SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	1.2622066275052795e-20	1.6013404366748475e-20	1.0	9.0	9.0	84.1141541725195	0.0	0.0	9.0	0.0	Act
TP53	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.277429475582927e-11	5.426703231477983e-11	2.0	5.0	5.0	20.412267893949398	377.761583344345	377.761583344345	2.0	2.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	8.829965687527206e-09	1.1202429777948218e-08	3.0	2.0	2.0	0.0	330.92094063892	330.92094063892	0.0	2.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.218841161398755e-07	1.5463233951553598e-07	4.0	4.0	4.0	3.18469426229471	61.4793261706997	61.4793261706997	1.0	3.0	LoF
CNTNAP5	1	dndscv,cbase	dndscv,cbase	0.0009960984982802922		5.0	8.0	6.0	22.565433583053302	0.0	0.0	7.0	0.0	Act
RMDN1	1	dndscv,oncodrivefml,mutpanning		5.298675263333778e-07		6.0	2.0	2.0	0.0	292.927263831269	292.927263831269	0.0	2.0	LoF
ZEB2	1	dndscv,oncodrivefml,mutpanning		5.298675263333778e-07		8.0	2.0	2.0	0.0	111.36286876765101	111.36286876765101	0.0	2.0	LoF
NOS3	1	dndscv,mutpanning		1.2255066060453293e-05		8.0	4.0	4.0	20.860624774903602	0.0	0.0	4.0	0.0	Act
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		4.3369028869955694e-07		10.0	2.0	2.0	0.0	67.50894988000499	67.50894988000499	0.0	2.0	LoF
SPATA31E1	1	dndscv,mutpanning		0.00014869591179381448		12.0	4.0	3.0	20.739665164943602	0.0	0.0	4.0	0.0	Act
DSC2	1	dndscv,mutpanning		0.000124689763993163		12.0	3.0	3.0	17.2051364708255	72.5612541069694	72.5612541069694	2.0	1.0	LoF
HIVEP1	1	dndscv,mutpanning		0.0005059621297025629		12.0	5.0	4.0	14.4162702120163	0.0	0.0	5.0	0.0	Act
RB1	1	dndscv,oncodrivefml,mutpanning		2.5226651026734097e-06	6.400926043438225e-06	12.0	2.0	2.0	0.0	52.62415029733089	52.62415029733089	0.0	2.0	LoF
TTN	1	smregions,cbase	cbase	3.478925553228359e-05		16.0	10.0	10.0	1.7191722165306005	4.27435903846711	4.27435903846711	7.0	2.0	LoF
MUC16	1	dndscv,cbase	cbase	1.8473513518140256e-05	4.426995993542468e-05	17.0	13.0	11.0	7.504693745813731	0.0	0.0	13.0	0.0	Act
EYS	1	smregions,mutpanning		5.70718420768603e-07		18.0	3.0	3.0	2.5547514585845	41.4187682441022	41.4187682441022	1.0	2.0	LoF
IRX4	1	oncodrivefml,mutpanning		8.382332511836608e-06		19.0	2.0	2.0	9.25264969623523	188.864960576042	188.864960576042	1.0	1.0	LoF
UNC13C	1	oncodrivefml,mutpanning		6.508901252669875e-05		19.0	2.0	2.0	3.7558203768461698	26.9960500332973	26.9960500332973	1.0	1.0	LoF
TENM3	1	oncodrivefml,mutpanning		6.947156747186411e-06		19.0	3.0	2.0	5.590770956765351	30.648298787816	30.648298787816	2.0	1.0	LoF
PCDHA11	1	oncodrivefml,mutpanning		0.0027643212695646338		19.0	2.0	2.0	5.3419258249399295	79.6792848790825	79.6792848790825	1.0	1.0	LoF
GRM3	1	dndscv,smregions		0.0001669333911283261	0.0007059520040005725	23.0	3.0	3.0	25.170684229565506	0.0	0.0	3.0	0.0	Act
LAMA1	1	smregions,mutpanning		0.0001035154064801514		24.0	4.0	4.0	10.0722495804514	0.0	0.0	4.0	0.0	Act
A2ML1	1	cbase		0.0005707683475566602		25.0	2.0	2.0	5.73435499712172	45.3504841433321	45.3504841433321	1.0	1.0	LoF
PKHD1	1	mutpanning		4.244521758395688e-05		59.0	7.0	7.0	5.704379283576031	10.037499362338	10.037499362338	5.0	1.0	LoF
FBN2	1	mutpanning		0.0004758915078353863		59.0	4.0	4.0	10.076266695452	0.0	0.0	4.0	0.0	Act
IL20RB	1	oncodriveclustl,dndscv		0.00022817839416458736		59.0	3.0	2.0	80.2652755426101	0.0	0.0	3.0	0.0	Act
GRM1	1	mutpanning		4.893847491592528e-06		59.0	3.0	2.0	11.124674461085501	75.0231015318795	75.0231015318795	2.0	1.0	LoF
LRRD1	1	dndscv,oncodrivefml		2.7780349082958813e-05		59.0	2.0	2.0	0.0	181.010809881376	181.010809881376	0.0	2.0	LoF
TMEM132D	1	mutpanning		8.382332511836608e-06		59.0	3.0	3.0	9.99393061535107	67.1132875624909	67.1132875624909	2.0	1.0	LoF
ASXL3	1	mutpanning		0.00024085428062586142		59.0	4.0	4.0	13.9960704807692	0.0	0.0	4.0	0.0	Act
NLN	1	dndscv		0.01459774357432187		66.0	3.0	3.0	51.6777190995543	0.0	0.0	3.0	0.0	Act
OR5B12	1	dndscv,oncodrivefml		0.03729268361385573		67.0	2.0	2.0	24.038879929247397	388.91982373513	388.91982373513	1.0	1.0	LoF
