SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	2.967407666244615e-09	3.167307883282052e-09	1.0	9.0	9.0	67.3752253435395	0.0	0.0	9.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.034021322763693e-06	1.2664024761160273e-05	2.0	6.0	6.0	27.736247223007894	346.028776525309	346.028776525309	3.0	2.0	LoF
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.482427922784723e-12	7.986483696026209e-12	3.0	3.0	3.0	0.0	386.0661569144409	386.0661569144409	0.0	3.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	7.501252219571199e-06	1.4678722843836554e-05	4.0	4.0	4.0	2.72472310601049	52.81263070298451	52.81263070298451	1.0	3.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml		0.0019140729711650602	0.009647570893002205	5.0	4.0	3.0	6.9418039646380185	47.601074563508796	47.601074563508796	2.0	1.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv	1.5543822628759862e-08	1.659093642860147e-08	5.0	2.0	2.0	0.0	280.04999147174703	280.04999147174703	0.0	2.0	LoF
LRP1	1	smregions,mutpanning		0.0015428679996613386		7.0	7.0	6.0	3.71627141908673	0.0	0.0	5.0	0.0	Act
EYS	1	smregions,cbase,mutpanning	cbase	2.573460200075201e-05		7.0	4.0	4.0	4.42825501290172	36.2550221462741	36.2550221462741	2.0	2.0	LoF
FAT4	1	smregions,mutpanning		0.0011534505494920912	0.005170842837588348	7.0	6.0	4.0	2.3461221810692003	10.716525440247699	10.716525440247699	3.0	1.0	LoF
FAT3	1	smregions,mutpanning		0.02450718328821495	0.16945910120997734	10.0	7.0	5.0	2.50561067511294	0.0	0.0	4.0	0.0	Act
ZNRF3	1	dndscv,oncodrivefml,mutpanning		4.297902928264507e-06	8.02800655500305e-06	10.0	2.0	2.0	4.82384413299593	158.797597512092	158.797597512092	1.0	1.0	LoF
LAMA1	1	smregions,mutpanning		0.000434354285333849		10.0	4.0	4.0	9.161461887678572	0.0	0.0	4.0	0.0	Act
STAB1	1	oncodriveclustl,mutpanning		0.025807412235908392		10.0	6.0	4.0	4.87724487947546	0.0	0.0	4.0	0.0	Act
GOLGA4	1	smregions,mutpanning		0.00035961975933887204		14.0	3.0	3.0	10.4572335771759	20.524595955660104	20.524595955660104	3.0	0.0	Act
SMARCAL1	1	dndscv,smregions,mutpanning		1.1028113376274327e-05		14.0	4.0	4.0	4.42243685134318	89.8749380445842	89.8749380445842	1.0	2.0	LoF
ZEB2	1	dndscv,oncodrivefml,mutpanning		7.501252219571199e-06		14.0	2.0	2.0	0.0	96.0612512582159	96.0612512582159	0.0	2.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		1.7099300750154165e-05		17.0	2.0	2.0	0.0	55.8165516238371	55.8165516238371	0.0	2.0	LoF
IL20RB	1	oncodriveclustl,dndscv		0.0015233517789495865		18.0	3.0	2.0	69.050613702169	0.0	0.0	3.0	0.0	Act
SETBP1	1	oncodrivefml,mutpanning		0.00018083774508258072	0.0006273147676536081	20.0	4.0	3.0	11.749997373519497	0.0	0.0	4.0	0.0	Act
TENM3	1	oncodrivefml,mutpanning		0.0006098131242832991		20.0	3.0	2.0	4.59923988647862	25.654592803562608	25.654592803562608	2.0	1.0	LoF
PLEKHG6	1	hotmaps,mutpanning		0.0006500301696590362		20.0	6.0	2.0	8.17683631533048	0.0	0.0	2.0	0.0	Act
UGT2A3	3	oncodriveclustl		0.041033713824815736		23.0	3.0	2.0	18.8688986132061	0.0	0.0	2.0	0.0	Act
ZNF804B	3	oncodriveclustl		0.04784998559500914		23.0	2.0	2.0	10.248964426378803	0.0	0.0	2.0	0.0	Act
ANKRD30B	4	oncodriveclustl		0.1538324587196329		23.0	4.0	4.0	5.085397017739299	0.0	0.0	2.0	0.0	Act
MAP3K14	3	oncodriveclustl		0.02064205918845723		23.0	2.0	2.0	10.890201158826	0.0	0.0	2.0	0.0	Act
NFIA	4	oncodriveclustl		0.21731721617315294		23.0	3.0	2.0	5.11909629810719	0.0	0.0	1.0	0.0	Act
ABCC3	4	oncodriveclustl		0.3001122939704469		23.0	2.0	2.0	2.80174947883587	0.0	0.0	1.0	0.0	Act
