SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.2019504364455788e-06	1.2890954590639258e-06	1.0	11.0	11.0	25.7148314295955	323.417122041727	323.417122041727	3.0	2.0	LoF
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.4356280933015985e-07	2.089774765973574e-07	2.0	5.0	5.0	0.0	344.98538911452596	344.98538911452596	0.0	3.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	0.00034935319566989007	0.0012364517660825578	3.0	4.0	4.0	2.16163582503824	40.713483924745	40.713483924745	1.0	3.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,mutpanning	3.975269333828918e-09	3.410790655860433e-09	3.0	11.0	11.0	60.492238825219296	0.0	0.0	9.0	0.0	Act
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv	2.559448680320916e-07	2.702536358497085e-07	5.0	2.0	2.0	0.0	244.316819634332	244.316819634332	0.0	2.0	LoF
ZNRF3	1	dndscv,oncodrivefml,mutpanning		3.9410024316429455e-06	5.703964694672321e-06	6.0	3.0	3.0	3.88703163219147	126.694535826768	126.694535826768	1.0	1.0	LoF
ARHGEF40	1	oncodrivefml,mutpanning		6.471741227719112e-06		7.0	2.0	2.0	0.0	49.010862299653795	49.010862299653795	0.0	2.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml		0.0009980842247344617	0.0036311441121812033	8.0	4.0	3.0	6.47317102330789	43.9074860250084	43.9074860250084	2.0	1.0	LoF
ANK2	1	smregions,mutpanning		0.0005660897256183526		9.0	6.0	6.0	4.81239482880588	9.658318200687491	9.658318200687491	4.0	1.0	LoF
LRP1	1	smregions,mutpanning		0.0005660897256183526		9.0	7.0	6.0	3.8419928545617097	0.0	0.0	5.0	0.0	Act
FAT4	1	smregions,mutpanning		0.0030218618484729697	0.013093583661784284	9.0	5.0	4.0	3.8922850804054	0.0	0.0	4.0	0.0	Act
LAMA1	1	smregions,mutpanning		0.0007407124290796433		9.0	5.0	5.0	5.790390415930519	0.0	0.0	4.0	0.0	Act
COL5A1	1	smregions,mutpanning		0.002364251057721149		9.0	6.0	5.0	6.65103280402732	0.0	0.0	4.0	0.0	Act
HSPG2	1	smregions,mutpanning		0.0009661102807986623		9.0	4.0	4.0	4.250051735085299	0.0	0.0	4.0	0.0	Act
ADGRV1	1	smregions,mutpanning		0.004757531930730121		9.0	4.0	4.0	2.88262538017879	8.12885295535971	8.12885295535971	3.0	1.0	LoF
GOLGA4	1	smregions,mutpanning		0.0008081888524414418		9.0	3.0	3.0	9.90685838394036	18.8431649305788	18.8431649305788	3.0	0.0	Act
C12orf65	1	oncodriveclustl,dndscv,smregions		0.0022930618801366358		17.0	3.0	3.0	108.09544891736401	0.0	0.0	3.0	0.0	Act
PLEC	1	oncodrivefml,cbase		6.530848849505635e-06		18.0	2.0	2.0	0.0	26.8431642323659	26.8431642323659	0.0	2.0	LoF
LRRD1	1	dndscv,oncodrivefml		1.00827851298717e-05		18.0	2.0	2.0	0.0	130.028593860553	130.028593860553	0.0	2.0	LoF
RMDN1	1	dndscv,oncodrivefml		3.9410024316429455e-06		18.0	2.0	2.0	0.0	214.74962941913105	214.74962941913105	0.0	2.0	LoF
OR5B12	1	oncodrivefml		0.009632158971919177		21.0	2.0	2.0	16.9633574075942	266.614922477188	266.614922477188	1.0	1.0	LoF
RB1	1	oncodrivefml		3.0920983716825394e-05	7.516912226868043e-05	21.0	2.0	2.0	0.0	40.5854070707365	40.5854070707365	0.0	2.0	LoF
CYP2U1	1	oncodrivefml		0.047478829950784236		21.0	2.0	2.0	7.917347245549049	0.0	0.0	1.0	0.0	Act
AKAP8	1	oncodrivefml		0.0001299276919389869		21.0	2.0	2.0	5.6413073914373895	70.083413143527	70.083413143527	1.0	1.0	LoF
NLGN4X	1	oncodrivefml		0.00014004843158600487		21.0	2.0	2.0	6.63452017945081	99.15285620549321	99.15285620549321	1.0	1.0	LoF
ZEB2	1	oncodrivefml		5.4608054687917575e-06		21.0	2.0	2.0	0.0	81.9564592246339	81.9564592246339	0.0	2.0	LoF
PCDHA11	1	oncodrivefml		0.003439318423217563		21.0	2.0	2.0	4.19081412727677	63.1793962053271	63.1793962053271	1.0	1.0	LoF
DNAH10	1	oncodrivefml		3.9028037652234215e-05		21.0	4.0	3.0	1.10467563341384	20.1031239147285	20.1031239147285	1.0	2.0	LoF
SLCO4C1	1	oncodrivefml		0.0004436386808885665		21.0	2.0	2.0	8.20358786868924	66.5982457838893	66.5982457838893	1.0	1.0	LoF
BEGAIN	3	oncodrivefml		8.971747244858109e-05		30.0	2.0	2.0	6.270969124224499	98.04319160274773	98.04319160274773	1.0	1.0	LoF
FBXW4	4	oncodrivefml		0.055953644399515584		30.0	2.0	2.0	9.52626414394364	0.0	0.0	1.0	0.0	Act
CYFIP2	3	oncodrivefml		0.005541571073136224		30.0	3.0	3.0	7.98695676936435	34.9581745242607	34.9581745242607	2.0	1.0	LoF
STAB2	3	dndscv,oncodrivefml		0.004714385849287151		30.0	2.0	2.0	0.0	16.4603816155759	16.4603816155759	0.0	1.0	LoF
IRX4	3	oncodrivefml		4.5389859839973184e-05		30.0	2.0	2.0	6.55895106269616	140.266155514054	140.266155514054	1.0	1.0	LoF
SMARCAL1	3	oncodrivefml		0.0005195962302461613		35.0	2.0	2.0	5.57860983376086	55.8223117925009	55.8223117925009	1.0	1.0	LoF
BCOR	2	oncodrivefml		0.00064698286272195	0.002450750400404409	36.0	2.0	2.0	2.79197857866517	33.1435793715912	33.1435793715912	1.0	1.0	LoF
MED23	3	oncodrivefml		0.010801957407824454		37.0	3.0	3.0	9.17811203732492	34.7018312129357	34.7018312129357	2.0	1.0	LoF
SLC10A5	3	oncodrivefml		0.0002218871614156215		37.0	2.0	2.0	12.1453208233671	169.624234539525	169.624234539525	1.0	1.0	LoF
C1orf87	3	oncodrivefml		2.451932650676207e-05		37.0	3.0	2.0	18.465155382725502	74.655241063033	74.655241063033	2.0	1.0	LoF
EXD2	3	dndscv,oncodrivefml		0.0009980842247344617		37.0	2.0	2.0	7.734756220537862	74.85479490625642	74.85479490625642	1.0	1.0	LoF
ELP1	3	oncodrivefml		0.013295124216955324		37.0	2.0	2.0	3.426870739331	22.3575169112459	22.3575169112459	1.0	1.0	LoF
TTN	3	smregions,cbase	cbase	0.013671718841102395		42.0	12.0	12.0	2.28241134255442	4.339755308712681	4.339755308712681	9.0	2.0	LoF
HMCN1	3	smregions,cbase		6.471741227719112e-06		42.0	7.0	7.0	7.30386308766366	0.0	0.0	7.0	0.0	Act
DNAH11	3	oncodrivefml		0.0030218618484729697		44.0	2.0	2.0	1.13507510095665	8.75648749443188	8.75648749443188	1.0	1.0	LoF
SETBP1	2	oncodrivefml		0.0006868017258688613	0.002450750400404409	45.0	3.0	2.0	8.15139048013838	0.0	0.0	3.0	0.0	Act
SCAF4	3	oncodrivefml		0.0011612597723681278		46.0	2.0	2.0	4.57864393084806	38.97433011824821	38.97433011824821	1.0	1.0	LoF
DDX18	3	oncodrivefml		0.0006868017258688613		46.0	2.0	2.0	8.19164049655961	59.720663112277094	59.720663112277094	1.0	1.0	LoF
SNW1	3	oncodrivefml		0.0008645829447442107		48.0	2.0	2.0	8.623602577596518	63.4472890372687	63.4472890372687	1.0	1.0	LoF
KMT2C	2	oncodrivefml		0.00432027512263153	0.020609843878635046	49.0	2.0	2.0	1.15792601911412	9.11747341406287	9.11747341406287	1.0	1.0	LoF
ITGA4	3	oncodrivefml		6.965883833335543e-05		49.0	3.0	2.0	0.0	57.67493315120321	57.67493315120321	0.0	2.0	LoF
HKDC1	3	oncodrivefml		0.004659913967746973		51.0	2.0	2.0	9.948315289036538	0.0	0.0	2.0	0.0	Act
ABCF1	3	oncodrivefml		0.0009002082725404857		51.0	2.0	2.0	6.0294802597673405	39.35946926367579	39.35946926367579	1.0	1.0	LoF
ASXL3	3	dndscv,cbase,mutpanning	mutpanning	2.559448680320916e-07		53.0	7.0	6.0	18.166099285967103	0.0	0.0	7.0	0.0	Act
STAB1	3	oncodriveclustl,mutpanning		0.006892742159058935		54.0	7.0	5.0	5.98703532971397	0.0	0.0	5.0	0.0	Act
ARHGAP44	3	oncodriveclustl,mutpanning		0.007808235747345135		55.0	4.0	2.0	8.14157270331552	32.0357131237632	32.0357131237632	2.0	1.0	LoF
SLIT2	3	smregions		0.002828041710126163		56.0	3.0	3.0	8.38396561568295	0.0	0.0	3.0	0.0	Act
UNC13C	3	smregions		0.0011146444838005137		56.0	3.0	3.0	5.56643129126152	19.7208797190257	19.7208797190257	2.0	1.0	LoF
DST	4	smregions		0.07243554813352422		56.0	4.0	4.0	1.7253751571168998	0.0	0.0	3.0	0.0	Act
DOCK2	3	smregions		0.003560529709427731		56.0	3.0	3.0	8.328878308758991	0.0	0.0	3.0	0.0	Act
SVEP1	3	smregions		0.004021162184186757		56.0	5.0	5.0	4.8512559102764	0.0	0.0	4.0	0.0	Act
CCDC168	3	smregions		0.0045510103680853455		56.0	5.0	4.0	1.94676374312404	5.779893634101128	5.779893634101128	3.0	1.0	LoF
NOTCH3	3	smregions		0.0009593657034307699		56.0	3.0	3.0	6.001732128212451	0.0	0.0	3.0	0.0	Act
FAT1	2	smregions		0.005541571073136224	0.02567527911647303	56.0	3.0	2.0	3.78401315423296	0.0	0.0	3.0	0.0	Act
KMT2A	2	smregions		0.005001827208414453	0.025596207990936797	56.0	3.0	3.0	3.79520914889549	0.0	0.0	3.0	0.0	Act
NLRP3	3	smregions		0.0012692718380637516		56.0	3.0	3.0	14.691959334501	0.0	0.0	3.0	0.0	Act
CSMD1	3	smregions		0.0030218618484729697		56.0	6.0	5.0	3.28338254548298	9.623109012727221	9.623109012727221	3.0	1.0	LoF
OBSCN	3	smregions		0.021312529432116364		56.0	6.0	6.0	1.06739549788105	0.0	0.0	3.0	0.0	Act
FBN3	3	smregions		0.007808235747345135		56.0	4.0	4.0	4.0313808561475	0.0	0.0	3.0	0.0	Act
KMT2B	3	smregions		0.004757531930730121		56.0	3.0	2.0	3.80637562489505	0.0	0.0	3.0	0.0	Act
