SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	2.0020462784033125e-15	2.37513976123388e-15	1.0	10.0	10.0	85.5669552391745	0.0	0.0	10.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	2.440821216499175e-11	2.8956830738168245e-11	2.0	9.0	9.0	50.678888531927605	479.6572543906671	479.6572543906671	5.0	3.0	LoF
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.2993691504556227e-13	2.727870556197769e-13	3.0	3.0	3.0	0.0	461.451246040494	461.451246040494	0.0	3.0	LoF
MUC4	1	oncodriveclustl,dndscv,cbase	oncodriveclustl,dndscv,cbase	6.19653656703466e-08	8.576515254040486e-08	4.0	18.0	12.0	11.522861972329302	0.0	0.0	16.0	0.0	Act
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	6.19653656703466e-08	8.338104159661483e-08	5.0	4.0	4.0	3.02585580286612	57.4469322962286	57.4469322962286	1.0	3.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	5.2288123061558175e-09	6.2032332350900125e-09	6.0	2.0	2.0	0.0	302.31726900677	302.31726900677	0.0	2.0	LoF
TMEM132D	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.0310136574423395e-06		6.0	4.0	3.0	9.23592675722251	128.661496012977	128.661496012977	2.0	2.0	LoF
ZNRF3	1	dndscv,oncodrivefml,mutpanning		6.586865436663152e-07	1.0744755744540164e-06	8.0	2.0	2.0	5.394525529531701	181.39967258425	181.39967258425	1.0	1.0	LoF
NF1	1	dndscv,oncodrivefml,mutpanning		4.279456909571929e-07	7.252799563881115e-07	9.0	4.0	4.0	0.0	55.1791516018287	55.1791516018287	0.0	3.0	LoF
LRRD1	1	dndscv,oncodrivefml,smregions,cbase		1.2707656555776064e-07		10.0	3.0	3.0	9.750050543971179	169.4421926668	169.4421926668	1.0	2.0	LoF
RMDN1	1	dndscv,oncodrivefml,mutpanning		2.498087452441729e-07		11.0	2.0	2.0	0.0	275.497949801213	275.497949801213	0.0	2.0	LoF
MUC16	1	dndscv,cbase,mutpanning	cbase,mutpanning	0.0005624895637619084	0.0018694895810638687	11.0	13.0	11.0	6.86572239101578	0.0	0.0	13.0	0.0	Act
ASXL3	1	dndscv,cbase,mutpanning		1.7295523702223527e-05		11.0	6.0	6.0	19.940096709324106	0.0	0.0	6.0	0.0	Act
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		4.552093343022305e-06		14.0	2.0	2.0	0.0	61.7387753456236	61.7387753456236	0.0	2.0	LoF
SETBP1	1	dndscv,mutpanning		2.010272704905877e-05	4.2928186180968435e-05	14.0	5.0	3.0	17.0117206204458	0.0	0.0	5.0	0.0	Act
TENM3	1	oncodrivefml,cbase,mutpanning	cbase	5.646379893091902e-05		14.0	4.0	3.0	7.702714947674968	28.7370818293034	28.7370818293034	3.0	1.0	LoF
SPATA31E1	1	dndscv,mutpanning		3.11067315356766e-05		14.0	5.0	4.0	23.622052123756895	0.0	0.0	5.0	0.0	Act
EYS	1	smregions,cbase,mutpanning	cbase	2.6323352026045174e-05		19.0	3.0	3.0	2.52306191990473	40.60228876722661	40.60228876722661	1.0	2.0	LoF
HIVEP1	1	dndscv,mutpanning		0.002911089149337432		20.0	5.0	4.0	13.114735086572402	0.0	0.0	5.0	0.0	Act
RB1	1	oncodrivefml,mutpanning		1.5025897682205787e-05	3.169078217019849e-05	22.0	2.0	2.0	0.0	56.51383846141971	56.51383846141971	0.0	2.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml		0.0014321439923321135	0.007281568812927005	22.0	4.0	3.0	8.173205096535849	56.5961682253507	56.5961682253507	2.0	1.0	LoF
MYLK	1	cbase,mutpanning		0.0005979769824088401		24.0	3.0	3.0	5.766491059322361	27.2003415214536	27.2003415214536	2.0	1.0	LoF
PKHD1	1	cbase,mutpanning		0.0016475495932333222		24.0	7.0	7.0	5.09363439479869	9.01950717445379	9.01950717445379	5.0	1.0	LoF
