SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	9.477061781686322e-18	6.757145050342347e-18	1.0	12.0	12.0	65.125325123759	0.0	0.0	10.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	8.122588657018224e-10	5.791405712453994e-10	2.0	14.0	14.0	37.328440473902894	340.492269376881	340.492269376881	5.0	3.0	LoF
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.927890163895464e-12	5.6525856868574654e-12	3.0	7.0	7.0	0.0	405.68199845958605	405.68199845958605	0.0	4.0	LoF
PRKAR1A	1	dndscv,mutpanning	dndscv,mutpanning	3.868037670048437e-10	2.757910858744536e-10	4.0	3.0	3.0	0.0	250.121923131655	250.121923131655	0.0	2.0	LoF
TMEM132D	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.9308676909106544e-05		5.0	4.0	3.0	7.62734035494118	100.475171815954	100.475171815954	2.0	2.0	LoF
ATRX	1	dndscv,cbase,mutpanning	cbase	1.626361454866691e-07	1.1595957173199508e-07	6.0	5.0	5.0	2.2922599261254906	41.6720040919595	41.6720040919595	1.0	3.0	LoF
ASXL3	1	dndscv,cbase,mutpanning		1.5903305878141525e-06		7.0	7.0	6.0	17.435160713687903	0.0	0.0	7.0	0.0	Act
ZNRF3	1	dndscv,oncodrivefml,mutpanning		3.198470760398211e-07	2.2805096521639247e-07	8.0	3.0	3.0	4.05994369281363	127.610667146307	127.610667146307	1.0	1.0	LoF
PKHD1	1	cbase,mutpanning		0.00031079069908624855		9.0	8.0	8.0	4.534062159037269	6.50000973492571	6.50000973492571	6.0	1.0	LoF
NF1	1	dndscv,oncodrivefml,mutpanning		3.0252711019252137e-07	2.1570182956726776e-07	10.0	6.0	6.0	0.0	37.591281178961204	37.591281178961204	0.0	3.0	LoF
TENM3	1	oncodrivefml,cbase,mutpanning	cbase	8.57988548052496e-06		11.0	5.0	4.0	8.31018661013418	22.342125779646697	22.342125779646697	4.0	1.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		5.532825556400923e-06		12.0	2.0	2.0	0.0	48.985956776762286	48.985956776762286	0.0	2.0	LoF
EYS	1	smregions,cbase,mutpanning	cbase	5.532825556400923e-06		13.0	4.0	4.0	3.88482269430186	29.696174740341398	29.696174740341398	2.0	2.0	LoF
CMYA5	1	cbase,mutpanning	cbase	0.001109008920454425		13.0	5.0	5.0	5.87242273008761	10.282023171093499	10.282023171093499	4.0	1.0	LoF
TRIOBP	1	cbase,mutpanning		0.00043871607666910175		13.0	4.0	4.0	6.004217203431621	17.9991026250197	17.9991026250197	3.0	1.0	LoF
C12orf65	1	oncodriveclustl,dndscv,smregions		0.00017244354116613427		16.0	3.0	3.0	98.657150659053	0.0	0.0	3.0	0.0	Act
ZEB2	1	oncodrivefml,mutpanning		3.922781784261897e-06		17.0	2.0	2.0	0.0	78.2616532678279	78.2616532678279	0.0	2.0	LoF
ITIH1	1	dndscv,mutpanning		8.57988548052496e-06		17.0	4.0	4.0	26.5758744489204	0.0	0.0	4.0	0.0	Act
IL20RB	1	oncodriveclustl,dndscv		0.003094157264238472		17.0	3.0	2.0	63.14302039162	0.0	0.0	3.0	0.0	Act
RMDN1	1	dndscv,oncodrivefml,mutpanning		8.927333497812429e-07		17.0	2.0	2.0	0.0	210.223969745491	210.223969745491	0.0	2.0	LoF
MUC4	1	oncodriveclustl,dndscv		0.0006145055085756238	0.001986448612165638	21.0	33.0	19.0	4.07722419595897	0.0	0.0	19.0	0.0	Act
CLTB	1	oncodriveclustl,dndscv		0.0013561229178662374		21.0	3.0	2.0	57.8055748431498	0.0	0.0	3.0	0.0	Act
GNAS	1	oncodriveclustl,oncodrivefml		0.0011953010831036745	0.004367779570296215	23.0	4.0	3.0	5.711460938318571	37.6785268044976	37.6785268044976	2.0	1.0	LoF
MXRA5	1	mutpanning		4.21707543986284e-05		24.0	5.0	4.0	9.21810477137479	0.0	0.0	5.0	0.0	Act
FLT4	1	mutpanning		9.188672464838898e-05	0.00017132808187933398	24.0	4.0	4.0	12.792261721188	0.0	0.0	4.0	0.0	Act
CRIM1	1	mutpanning		8.57988548052496e-06		24.0	4.0	4.0	17.737425582239002	0.0	0.0	4.0	0.0	Act
FBN2	1	mutpanning		0.003134063982362609		24.0	5.0	5.0	7.3604378757895805	0.0	0.0	4.0	0.0	Act
SETBP1	1	mutpanning		3.756489336463704e-05	6.695942242246553e-05	24.0	5.0	3.0	12.6148936512901	0.0	0.0	5.0	0.0	Act
CRYBG1	1	mutpanning		0.0007708531980254053		24.0	5.0	2.0	10.262651413291099	29.0223189636621	29.0223189636621	3.0	1.0	LoF
SPATA31E1	1	mutpanning		1.1973930409446173e-05		24.0	5.0	4.0	19.0875910659193	0.0	0.0	5.0	0.0	Act
SPATA31A3	1	mutpanning		0.01152239539571769		24.0	3.0	3.0	0.0	21.1120135551767	21.1120135551767	0.0	1.0	LoF
FRMD8	1	mutpanning		0.00037299023076623936		24.0	3.0	2.0	29.7763100004511	0.0	0.0	3.0	0.0	Act
GRM1	1	mutpanning		2.1161320166687985e-05		24.0	3.0	2.0	7.813189344537129	50.891832168564704	50.891832168564704	2.0	1.0	LoF
HSPG2	1	smregions,mutpanning		0.0006145055085756238		37.0	4.0	4.0	4.87301450379289	0.0	0.0	4.0	0.0	Act
ADAM33	1	smregions,mutpanning		0.0004173498382698029		39.0	3.0	2.0	18.7995947504375	0.0	0.0	3.0	0.0	Act
HIVEP1	1	mutpanning		0.0011446986686105176		40.0	5.0	4.0	10.801092451770199	0.0	0.0	5.0	0.0	Act
BEGAIN	1	oncodrivefml,mutpanning		0.0001893625597242754		41.0	2.0	2.0	6.56380403956029	99.1913711248221	99.1913711248221	1.0	1.0	LoF
TAF1	1	mutpanning		0.0001413470347062422		42.0	4.0	3.0	8.08716329953051	20.6768576222962	20.6768576222962	3.0	1.0	LoF
UNC13C	1	smregions,mutpanning		0.00023225319548764108		43.0	3.0	3.0	5.7207979446370185	19.6977580135199	19.6977580135199	2.0	1.0	LoF
KIR3DL2	3	oncodriveclustl		0.0075649631302293074		44.0	2.0	2.0	22.1319553366075	0.0	0.0	2.0	0.0	Act
DLGAP3	3	oncodriveclustl		0.01898473527132324		44.0	2.0	2.0	7.98850594113558	0.0	0.0	2.0	0.0	Act
GLB1L2	3	oncodriveclustl		0.010763307733651485		44.0	2.0	2.0	12.347043757520499	0.0	0.0	2.0	0.0	Act
CLCN2	3	oncodriveclustl		0.038590746419234684		44.0	3.0	2.0	6.67851522432307	0.0	0.0	2.0	0.0	Act
POLE	2	oncodriveclustl		0.01604173572173428	0.07759127432347925	44.0	2.0	2.0	3.87414846180716	0.0	0.0	2.0	0.0	Act
FSTL4	4	oncodriveclustl		0.08761763687197982		44.0	3.0	2.0	8.418619078169769	0.0	0.0	2.0	0.0	Act
ARHGAP44	3	oncodriveclustl		0.0012133045408037734		44.0	4.0	2.0	6.896755792947401	26.744571821146106	26.744571821146106	2.0	1.0	LoF
MICALL1	4	oncodriveclustl		0.0943744151413504		44.0	3.0	2.0	6.213466684893558	0.0	0.0	2.0	0.0	Act
ZNF804B	4	oncodriveclustl		0.09825185261361163		44.0	2.0	2.0	8.679669330673761	0.0	0.0	2.0	0.0	Act
UGT2A3	4	oncodriveclustl		0.11029666807834483		44.0	3.0	2.0	15.6176171085795	0.0	0.0	2.0	0.0	Act
ADGRV1	3	mutpanning		0.0036409254610752337		44.0	4.0	4.0	3.04951610695204	8.29051880073265	8.29051880073265	3.0	1.0	LoF
ABCC3	4	oncodriveclustl		0.20036538558197733		44.0	3.0	3.0	4.22641439017699	0.0	0.0	2.0	0.0	Act
MYLK	3	mutpanning		0.0003098748576808936		77.0	3.0	3.0	4.8060522728078405	21.543274498889602	21.543274498889602	2.0	1.0	LoF
PLAGL1	3	oncodriveclustl		0.01934095472612075		78.0	2.0	2.0	22.988804226279	0.0	0.0	2.0	0.0	Act
CNTNAP5	3	dndscv,cbase	dndscv,cbase	1.136556264138479e-06		80.0	9.0	7.0	19.3192045733547	0.0	0.0	8.0	0.0	Act
TTN	3	smregions,cbase	cbase	0.026241989072702258		80.0	13.0	12.0	2.3317381517236804	3.79955238571442	3.79955238571442	10.0	2.0	LoF
PLEC	3	oncodrivefml,cbase		8.57988548052496e-06		82.0	2.0	2.0	0.0	27.9155535910936	27.9155535910936	0.0	2.0	LoF
HMCN1	3	smregions,cbase		1.2298257412930376e-05		82.0	7.0	7.0	7.596487710671918	0.0	0.0	7.0	0.0	Act
LRRD1	3	dndscv,oncodrivefml,smregions		1.5903305878141525e-06		84.0	3.0	3.0	7.692598753104991	124.230331488685	124.230331488685	1.0	2.0	LoF
STAB2	3	dndscv,oncodrivefml		0.012260658559756128		85.0	2.0	2.0	0.0	15.726767132398601	15.726767132398601	0.0	1.0	LoF
EXD2	3	dndscv,oncodrivefml		0.007602505508961281		85.0	2.0	2.0	8.09757614933689	76.423023984293	76.423023984293	1.0	1.0	LoF
DNAH10	3	cbase		0.0001413470347062422		87.0	5.0	3.0	1.9088757950603	16.7878422104089	16.7878422104089	2.0	2.0	LoF
MPDZ	3	cbase		0.00013240678475607634		89.0	4.0	3.0	8.48032099349302	18.453602181081607	18.453602181081607	3.0	1.0	LoF
A2ML1	3	cbase		0.006633322049768038		90.0	2.0	2.0	3.76293616508375	29.3686980432091	29.3686980432091	1.0	1.0	LoF
CSN1S1	3	dndscv		0.00019462726325582706		112.0	3.0	2.0	78.06386628226552	0.0	0.0	3.0	0.0	Act
PLEKHG6	3	hotmaps		0.0038683045691012188		112.0	6.0	2.0	6.11165265049379	0.0	0.0	2.0	0.0	Act
AKAP8	3	oncodrivefml		0.0004173498382698029		112.0	2.0	2.0	5.550674002748821	66.126079989514	66.126079989514	1.0	1.0	LoF
RB1	2	oncodrivefml		2.1903161541230703e-05	4.4898743264330294e-05	115.0	2.0	2.0	0.0	44.8707296160817	44.8707296160817	0.0	2.0	LoF
SLCO4C1	3	oncodrivefml		0.000813455297474492		117.0	2.0	2.0	8.32445833851329	65.6395076822338	65.6395076822338	1.0	1.0	LoF
TWISTNB	4	dndscv		0.34906446703123484		117.0	2.0	2.0	14.693118458841601	0.0	0.0	1.0	0.0	Act
DAXX	2	dndscv		0.002163952114214944	0.00813251292205888	117.0	4.0	4.0	6.899855250005031	65.5958911287704	65.5958911287704	1.0	1.0	LoF
RRNAD1	3	dndscv		0.012403720598208469		117.0	2.0	2.0	0.0	86.22255844481491	86.22255844481491	0.0	1.0	LoF
ETV1	2	dndscv		0.014027907610767738	0.06502316307023312	117.0	2.0	2.0	20.5637625105701	0.0	0.0	2.0	0.0	Act
ATM	2	dndscv		0.03464917280443159	0.1789841913141572	117.0	4.0	4.0	0.0	9.46465766486266	9.46465766486266	0.0	1.0	LoF
IRF2	3	dndscv		0.01143890027497569		117.0	2.0	2.0	25.2378652878115	0.0	0.0	2.0	0.0	Act
ADAMTS2	3	oncodrivefml		0.0010479689301587886		136.0	2.0	2.0	3.03267881264364	37.5632322170512	37.5632322170512	1.0	1.0	LoF
FBXW4	4	oncodrivefml		0.16819023323414142		137.0	2.0	2.0	9.5252607118726	0.0	0.0	1.0	0.0	Act
CYFIP2	3	oncodrivefml		0.00019462726325582706		137.0	3.0	3.0	7.90419893600599	33.7053680691547	33.7053680691547	2.0	1.0	LoF
CYP2U1	4	oncodrivefml		0.15592585945968654		137.0	2.0	2.0	8.12032723517349	0.0	0.0	1.0	0.0	Act
DTHD1	3	oncodrivefml		0.0013561229178662374		137.0	2.0	2.0	7.54354988934128	64.5466289988068	64.5466289988068	1.0	1.0	LoF
NLGN4X	3	oncodrivefml		0.00044509825758769716		137.0	2.0	2.0	6.7190103616508905	97.7494950112692	97.7494950112692	1.0	1.0	LoF
