SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	7.87003242268278e-17	7.306423329912528e-17	1.0	12.0	12.0	82.0892557405664	0.0	0.0	10.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	8.9279541939055e-13	8.288582474289873e-13	2.0	14.0	14.0	43.601229137857196	396.67583406752505	396.67583406752505	5.0	3.0	LoF
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.0028491505388773e-12	9.310305264768484e-13	3.0	6.0	6.0	0.0	409.97242093617797	409.97242093617797	0.0	3.0	LoF
PRKAR1A	1	dndscv,mutpanning	dndscv,mutpanning	5.021453495076716e-09	4.661844195299086e-09	4.0	3.0	3.0	0.0	291.51738089819804	291.51738089819804	0.0	2.0	LoF
TMEM132D	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	3.785144529662295e-07		5.0	4.0	3.0	9.177723916014779	120.267962762546	120.267962762546	2.0	2.0	LoF
ZNRF3	1	dndscv,oncodrivefml,mutpanning		1.3279267815289454e-07	1.4261360031595265e-07	6.0	3.0	3.0	5.04535356700028	158.830922054686	158.830922054686	1.0	1.0	LoF
NF1	1	dndscv,oncodrivefml,mutpanning		1.5120474923827407e-07	1.637723314774796e-07	7.0	6.0	6.0	0.0	44.668724109874404	44.668724109874404	0.0	3.0	LoF
ATRX	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.147313167885853e-06	3.7022778558656943e-06	8.0	5.0	5.0	2.8889608437414105	52.4749496780088	52.4749496780088	1.0	3.0	LoF
TENM3	1	oncodrivefml,cbase,mutpanning	cbase	1.0139456242451641e-05		9.0	4.0	3.0	7.7814371062072185	27.808214542308693	27.808214542308693	3.0	1.0	LoF
ARHGEF40	1	oncodrivefml,mutpanning		9.125565261401848e-07		9.0	2.0	2.0	0.0	59.1107265436913	59.1107265436913	0.0	2.0	LoF
EYS	1	smregions,cbase,mutpanning	cbase	6.858019412807421e-05		11.0	4.0	4.0	4.76296189713214	36.579551596843096	36.579551596843096	2.0	2.0	LoF
RMDN1	1	dndscv,oncodrivefml,mutpanning		1.3279267815289454e-07		12.0	2.0	2.0	0.0	259.098312700773	259.098312700773	0.0	2.0	LoF
RB1	1	oncodrivefml,mutpanning		4.28641907557839e-06	6.964035679105386e-06	13.0	2.0	2.0	0.0	54.4803280983451	54.4803280983451	0.0	2.0	LoF
ZEB2	1	oncodrivefml,mutpanning		7.662857255257724e-07		13.0	2.0	2.0	0.0	93.1410395711643	93.1410395711643	0.0	2.0	LoF
LRRD1	1	dndscv,oncodrivefml,smregions		1.3907915439643157e-06		15.0	3.0	3.0	9.41352010402912	151.41573417812901	151.41573417812901	1.0	2.0	LoF
