SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1372753529822394e-20	6.89915352297176e-22	1.0	169.0	151.0	37.68574232551021	93.955234048704	93.955234048704	129.0	33.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.87399819768402e-22	3.1538734981715426e-23	2.0	77.0	71.0	16.0716327488336	0.0	0.0	75.0	0.0	Act
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.5679096612227523e-06	3.224724683052025e-07	3.0	59.0	53.0	2.5398572286014103	40.1411811337424	40.1411811337424	18.0	35.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.00045245532429861454	6.34346737556959e-05	4.0	42.0	39.0	2.2291861292726898	87.05191307679199	87.05191307679199	8.0	33.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0004397338220131937	6.185788202795511e-05	4.0	80.0	64.0	2.67433021073673	32.3559521863568	32.3559521863568	33.0	40.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.00015214465400664878	1.8567319515577066e-05	4.0	93.0	73.0	1.59299481738179	20.7047009428364	20.7047009428364	39.0	43.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.436278511201067e-29	2.9314288512497884e-30	7.0	28.0	27.0	8.29403511962857	35.752249811011204	35.752249811011204	19.0	9.0	LoF
CREBBP	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.001786114893203e-08	5.752976015290881e-09	8.0	40.0	36.0	2.90172133574775	20.127524107423802	20.127524107423802	22.0	15.0	LoF
TSC1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.929105911554503e-19	4.7507192825742243e-20	8.0	20.0	20.0	1.26704688323881	26.122784743203606	26.122784743203606	7.0	10.0	LoF
ELF3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.84425412504323e-18	1.0939339686246297e-19	10.0	35.0	29.0	21.570792290121396	24.514946293955607	24.514946293955607	30.0	4.0	LoF
