SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.318509479055978e-25	5.248707766826658e-26	1.0	181.0	163.0	44.8293601961211	113.43084977572501	113.43084977572501	139.0	35.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.001621384515571e-24	5.641694041458591e-26	2.0	77.0	70.0	14.706917917281697	0.0	0.0	74.0	0.0	Act
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.19945446407277e-06	1.907384803557761e-07	3.0	70.0	63.0	3.1219287637986897	36.867425838987	36.867425838987	26.0	36.0	LoF
FGFR3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.25682972323621e-09	8.310330825200915e-11	4.0	57.0	52.0	13.0720762771227	2.86033631953548	2.86033631953548	51.0	1.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.001267732792145158	0.00021001714438370934	5.0	92.0	70.0	1.58273403266404	18.8148422305308	18.8148422305308	40.0	40.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.03541295769732025	0.014408211109282497	5.0	74.0	59.0	2.76603232009669	30.9353883726686	30.9353883726686	32.0	35.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.002985605090365292	0.0006306226600012419	5.0	46.0	43.0	2.25334187035922	80.47000344354059	80.47000344354059	9.0	35.0	LoF
ERCC2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.039380727265914e-32	1.1486937354922982e-33	8.0	34.0	34.0	10.2491565697005	0.0	0.0	31.0	0.0	Act
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.1061371372783276e-28	1.7495508432871276e-29	9.0	47.0	42.0	6.8532690183953715	0.0	0.0	41.0	0.0	Act
TSC1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5641134221717564e-15	1.04117768573524e-16	10.0	22.0	22.0	1.3535410244913302	31.9173680895368	31.9173680895368	7.0	12.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2860829378325504e-22	7.24394123304449e-24	11.0	22.0	20.0	7.11125308028084	31.2770215624964	31.2770215624964	15.0	7.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.545262933542988e-21	2.329706339765116e-22	11.0	16.0	16.0	25.212020543783197	0.0	0.0	16.0	0.0	Act
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.686881764264528e-18	3.9149869297383226e-19	11.0	45.0	41.0	1.22926659194122	16.043361291665402	16.043361291665402	15.0	21.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.1656776503102774e-11	7.878901256323612e-13	14.0	18.0	15.0	26.0961495054359	171.167864042107	171.167864042107	14.0	4.0	LoF
HRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	4.527362842711481e-21	2.914359955979874e-22	14.0	14.0	14.0	24.9172512734025	0.0	0.0	14.0	0.0	Act
CREBBP	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.450984150329937e-13	1.5929214168754464e-14	14.0	40.0	37.0	2.2832222437911804	15.875443091720701	15.875443091720701	21.0	14.0	LoF
ELF3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.399046617826205e-16	5.0010702081549455e-17	17.0	33.0	26.0	21.884945780248103	20.207806779131698	20.207806779131698	28.0	3.0	Act
RHOB	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	8.821000764155612e-22		18.0	21.0	20.0	26.3382381790414	0.0	0.0	20.0	0.0	Act
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.2882125904888005e-20	3.723272825808857e-21	19.0	52.0	39.0	3.69280242636257	12.4872925408711	12.4872925408711	31.0	13.0	LoF
RHOA	1	dndscv,hotmaps	dndscv,hotmaps	1.753572244443651e-11	1.1620121764789649e-12	20.0	16.0	15.0	21.710496083119	0.0	0.0	15.0	0.0	Act
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6569555540451378e-11	1.7328433787298632e-12	21.0	48.0	44.0	2.43164043800667	8.77654285454987	8.77654285454987	32.0	11.0	LoF
ARID2	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml,mutpanning	1.7201392338379922e-11	1.150543813915855e-12	22.0	23.0	21.0	0.7626440812008379	8.48924233392169	8.48924233392169	7.0	11.0	LoF
PSIP1	1	dndscv,mutpanning	dndscv,mutpanning	6.154888510459388e-09	4.339976410573894e-10	22.0	11.0	11.0	2.31337995818542	24.8820084912217	24.8820084912217	5.0	5.0	LoF
RXRA	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.6999711804703807e-20		22.0	20.0	20.0	8.07280070628322	13.3055609069205	13.3055609069205	15.0	2.0	LoF
NFE2L2	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	4.193202259051304e-14	2.7554881175108122e-15	25.0	20.0	19.0	9.648456742600269	0.0	0.0	20.0	0.0	Act
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.153197771902592e-05	7.10938765778962e-06	26.0	51.0	44.0	1.42629671012606	5.92014925780588	5.92014925780588	29.0	15.0	LoF
ARID1B	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	3.913218367944712e-10	2.623981320812523e-11	27.0	24.0	20.0	1.44329297711824	10.684272044658801	10.684272044658801	12.0	8.0	LoF
TRRAP	1	hotmaps,cbase,mutpanning	cbase	2.368053114904395e-07	1.8139958513723205e-08	27.0	30.0	28.0	4.10540390371578	0.0	0.0	28.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.2256791390472504e-11	2.0894161525220333e-12	29.0	10.0	10.0	3.60039346529136	39.990803474911296	39.990803474911296	5.0	5.0	LoF
CDKN1A	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml	2.0802481689339826e-11	1.3669980022065713e-12	29.0	12.0	9.0	4.96491264521647	58.6655224721659	58.6655224721659	4.0	6.0	LoF
SPTAN1	1	dndscv,cbase	dndscv,cbase	4.3336945444156985e-11		31.0	51.0	35.0	1.22781893076119	7.4086430142343485	7.4086430142343485	21.0	13.0	LoF
GPS2	1	dndscv,mutpanning	dndscv	2.19945446407277e-06		31.0	9.0	7.0	3.87566475684845	35.306352462897294	35.306352462897294	4.0	4.0	LoF
KMT2A	1	dndscv,cbase	dndscv,cbase	3.103423781915985e-07	2.353107250837976e-08	33.0	38.0	29.0	1.067696686128	6.493239406013	6.493239406013	19.0	12.0	LoF
ZFP36L1	1	dndscv,cbase	dndscv,cbase	2.6978317936979063e-06		34.0	7.0	7.0	4.3274119117368	55.184584404186104	55.184584404186104	4.0	3.0	LoF
FAM120A	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.0967452639554096e-07		35.0	8.0	8.0	0.6175434651649859	15.5803623287945	15.5803623287945	2.0	5.0	LoF
ASXL2	1	smregions,mutpanning	smregions,mutpanning	3.672980728460761e-12	2.3643759791298e-13	36.0	16.0	16.0	5.83740842065759	4.34983535701128	4.34983535701128	15.0	1.0	Act
SMARCA2	1	hotmaps,smregions	hotmaps	7.676189620022185e-12		36.0	22.0	22.0	4.567835401326518	0.0	0.0	21.0	0.0	Act
GNA13	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	3.774605612103265e-07		36.0	7.0	7.0	6.23753851053094	0.0	0.0	7.0	0.0	Act
SF1	1	smregions,mutpanning	smregions,mutpanning	3.6939746361045255e-09		36.0	11.0	8.0	4.7745368019078205	0.0	0.0	10.0	0.0	Act
AHR	1	oncodriveclustl,hotmaps,mutpanning		1.2030686074492035e-05		36.0	14.0	13.0	4.23459168715583	2.62532384550314	2.62532384550314	12.0	1.0	Act
MROH2B	1	hotmaps,mutpanning	hotmaps,mutpanning	8.643497886598745e-06		41.0	15.0	14.0	2.64886549530406	0.0	0.0	13.0	0.0	Act
FREM2	1	cbase,mutpanning	cbase	8.626317510577845e-07		41.0	35.0	33.0	2.59392481165488	4.91864183652276	4.91864183652276	27.0	4.0	LoF
ZEB2	1	hotmaps,mutpanning		0.0006987827489884082		41.0	16.0	14.0	2.68181981088847	2.32023855060128	2.32023855060128	13.0	1.0	Act
