SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.763812508183099e-25	1.8696722677025997e-26	1.0	220.0	184.0	35.48818823776371	85.1185769488105	85.1185769488105	154.0	37.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4913015144421643e-26	7.408033950345119e-28	2.0	92.0	83.0	12.5269389328848	0.0	0.0	88.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.0720716214234272e-29	1.0293006994493138e-30	3.0	34.0	28.0	7.65978937534159	32.7278315180579	32.7278315180579	21.0	10.0	LoF
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.579482373316075e-09	2.9573127056059637e-10	4.0	104.0	90.0	2.58862229236027	31.175314483278108	31.175314483278108	26.0	36.0	LoF
FGFR3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.1755836462517324e-25	5.839706778652966e-27	5.0	63.0	55.0	10.410221483870801	2.07036877316447	2.07036877316447	56.0	1.0	Act
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.003473629559617357	0.0006170941802161536	6.0	66.0	55.0	2.2283331910197903	67.0351031347813	67.0351031347813	11.0	34.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.004040726019649868	0.0007487282543229702	6.0	138.0	99.0	1.43169057885248	17.871438651743894	17.871438651743894	48.0	52.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.01276246182874333	0.0030508688894670005	6.0	112.0	88.0	2.44339368445603	32.9075064949237	32.9075064949237	36.0	45.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2023880197272519e-11	6.346160977141212e-13	9.0	65.0	54.0	1.16898841389284	13.8068453613976	13.8068453613976	17.0	22.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.0720716214234272e-29	1.0293006994493138e-30	10.0	58.0	47.0	5.81702352171244	0.0	0.0	50.0	0.0	Act
TSC1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7430864328028172e-15	9.62086051645924e-17	11.0	28.0	26.0	1.431279877881	26.1040386027386	26.1040386027386	9.0	12.0	LoF
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.2961481991534116e-10	7.511712464709276e-12	12.0	68.0	51.0	4.45224194546981	14.5747371619195	14.5747371619195	39.0	16.0	LoF
CREBBP	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1419737049955317e-12	1.1400262819580217e-13	12.0	49.0	45.0	2.2292595946839704	15.218317081997599	15.218317081997599	24.0	16.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.9884646596700022e-11	1.1039770915444175e-12	14.0	24.0	20.0	16.6809608163164	107.48257209438499	107.48257209438499	12.0	3.0	LoF
ELF3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7395640299169575e-13	9.426847574630926e-15	14.0	61.0	46.0	15.3912815251305	17.0634497385422	17.0634497385422	31.0	3.0	LoF
HRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	7.310108888417606e-19	4.1500497040762143e-20	16.0	17.0	17.0	21.4723492089641	20.5383060709931	20.5383060709931	16.0	1.0	Act
ERCC2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	4.5836180012052555e-25	2.2769102987897792e-26	16.0	37.0	36.0	6.725113685766691	0.0	0.0	32.0	0.0	Act
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.198770954960119e-08	3.5215735469483564e-09	18.0	53.0	44.0	1.28230623015296	8.933929924483499	8.933929924483499	22.0	13.0	LoF
