SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.58122243924355e-26	3.984151435141074e-27	1.0	202.0	178.0	40.415131193467005	102.551320326887	102.551320326887	141.0	36.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.744298338772804e-27	3.5443236391995828e-28	2.0	83.0	76.0	16.9598002631196	0.0	0.0	81.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.3970756383857956e-28	1.2597325063805146e-29	3.0	32.0	27.0	8.37010024820216	34.0989988646272	34.0989988646272	20.0	9.0	LoF
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	3.2617784325714435e-08	2.1613306715561107e-09	4.0	99.0	86.0	2.6966507094094103	33.5166105700636	33.5166105700636	24.0	35.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.00029213415359314953	3.527807093058469e-05	5.0	105.0	86.0	2.8090304379460096	33.1539353578329	33.1539353578329	35.0	41.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0003969754806905317	4.9813844753753276e-05	5.0	62.0	54.0	2.04340803441501	72.0927371042744	72.0927371042744	9.0	33.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.000336311087094335	4.197603339985639e-05	5.0	118.0	90.0	1.5824148346272298	20.304199979160398	20.304199979160398	42.0	46.0	LoF
FGFR3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.0313430715523156e-23	5.420005825680481e-25	8.0	59.0	53.0	10.7895547582	2.29826871099586	2.29826871099586	52.0	1.0	Act
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.9740326368144682e-13	1.267947005264948e-14	9.0	56.0	48.0	1.23742981278499	15.247800297987304	15.247800297987304	15.0	21.0	LoF
TSC1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.090259185205636e-12	2.456627864201509e-13	10.0	25.0	25.0	1.23809457039335	27.1790552034005	27.1790552034005	7.0	11.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.8740894251374264e-13	2.4061179131297908e-14	11.0	21.0	17.0	17.6056486816844	123.053206529989	123.053206529989	11.0	3.0	LoF
CREBBP	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1003182918441258e-11	6.55348927553719e-13	12.0	40.0	37.0	3.2475894211499603	22.695951139609104	22.695951139609104	22.0	15.0	LoF
ELF3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.3135205898213075e-12	1.4184588999166046e-13	13.0	56.0	43.0	16.7939754763637	14.903763254293	14.903763254293	29.0	3.0	Act
ERCC2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.180501076664855e-24	1.14591631673424e-25	14.0	37.0	37.0	8.68057436371533	0.0	0.0	33.0	0.0	Act
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	2.180501076664855e-24	1.14591631673424e-25	15.0	54.0	47.0	5.3520835982428485	0.0	0.0	45.0	0.0	Act
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.090259185205636e-12	2.456627864201509e-13	16.0	61.0	46.0	4.277936464002741	14.909474292996302	14.909474292996302	34.0	15.0	LoF
RHOB	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	2.8558791208499262e-22		17.0	26.0	24.0	28.6997867134933	0.0	0.0	25.0	0.0	Act
