SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.66787140569929e-28	4.8782928490557465e-29	1.0	351.0	315.0	55.8525067999971	0.0	0.0	336.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.1203359206466413e-24	1.3489557938593568e-25	2.0	290.0	284.0	145.513125072095	408.3717036748671	408.3717036748671	208.0	42.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.437062270639277e-30	9.142577160718661e-32	3.0	27.0	27.0	18.8029908009926	0.0	0.0	26.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.3088840540500108e-13	8.327108506761608e-15	4.0	95.0	93.0	4.16465825771206	140.206162894242	140.206162894242	14.0	29.0	LoF
KMT2C	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.98407751352717e-09	1.8984674135833484e-10	5.0	68.0	64.0	2.17012046602989	20.3024449934765	20.3024449934765	23.0	24.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.024955322347969	0.008056793690707135	6.0	94.0	71.0	3.5587827961300404	32.1443100816818	32.1443100816818	22.0	19.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.858773363652698e-18	1.182549931808006e-19	7.0	41.0	39.0	22.549468869296604	95.20637648739701	95.20637648739701	20.0	9.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	9.460694724310558e-21	6.018885421891695e-22	8.0	27.0	24.0	7.30860676068338	0.0	0.0	24.0	0.0	Act
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.40999984738029e-15	4.078036101998501e-16	9.0	29.0	29.0	13.6030220786016	96.26585349699673	96.26585349699673	12.0	8.0	LoF
FOXA1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	5.030023045932206e-16	3.2000961097650136e-17	10.0	26.0	22.0	18.85393792385	0.0	0.0	20.0	0.0	Act
SF3B1	1	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	8.017107888325818e-08	5.100476783251628e-09	11.0	12.0	12.0	4.871895318351769	3.92699908514494	3.92699908514494	11.0	1.0	Act
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0216932901835871e-14	6.500003466054856e-16	12.0	38.0	37.0	2.54799791345907	19.928664792223	19.928664792223	16.0	12.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3186652648415477e-14	8.389336481299623e-16	12.0	23.0	23.0	1.97042693477784	29.795025611240202	29.795025611240202	8.0	10.0	LoF
GATA3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.7377306281548333e-14	3.014139938093075e-15	14.0	94.0	89.0	8.9743414635434	41.9071728877162	41.9071728877162	13.0	3.0	LoF
