SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.900348325994801e-31	5.150649052373498e-32	1.0	238.0	234.0	116.418657754949	319.87092439785704	319.87092439785704	197.0	38.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.9371956498073517e-35	1.2629588628531651e-36	2.0	318.0	283.0	59.293520504204295	0.0	0.0	313.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.315899398023746e-44	4.117664172132703e-45	3.0	25.0	25.0	17.9701511658318	0.0	0.0	24.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.8156736324474968e-05	1.560374425430059e-06	4.0	42.0	42.0	6.708528990581678	193.92305324039398	193.92305324039398	15.0	26.0	LoF
FOXA1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.2069491317011603e-20	7.868730776091215e-22	5.0	19.0	18.0	18.3750029963452	0.0	0.0	19.0	0.0	Act
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.0871968814145313e-21	7.088003409388995e-23	6.0	25.0	22.0	7.21299210302407	0.0	0.0	23.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.865659413693628e-14	3.172177100831513e-15	7.0	27.0	26.0	18.978165301381495	113.951790149107	113.951790149107	17.0	10.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.1866678744555146e-16	1.425602815303929e-17	8.0	24.0	22.0	12.1353523389992	79.657389031215	79.657389031215	14.0	9.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.856188613360894e-10	3.8179547391196415e-11	9.0	33.0	32.0	2.85838100219831	21.1015656800535	21.1015656800535	18.0	13.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3824423252474172e-16	9.012862419075712e-18	9.0	49.0	46.0	1.97583445518968	20.9535454673811	20.9535454673811	21.0	25.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.607289586822939e-14	4.307636631305321e-15	9.0	41.0	34.0	2.70490583804465	23.937288495883198	23.937288495883198	19.0	17.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.4204843363785384e-11	2.881944253430504e-12	9.0	17.0	16.0	1.92033937852155	27.350099194373694	27.350099194373694	5.0	11.0	LoF
