SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.387451336905786e-25	4.18820829826191e-26	1.0	298.0	291.0	119.14476814232	355.735871351034	355.735871351034	204.0	45.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.839276453989295e-27	5.578234957382642e-28	2.0	348.0	315.0	48.7661960835465	0.0	0.0	332.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.0027069680945218536	0.0005131573766079343	3.0	105.0	103.0	4.25957041284368	149.45269470568002	149.45269470568002	14.0	30.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.6511013041384402e-35	9.360679167817125e-37	3.0	28.0	28.0	16.4042647582236	0.0	0.0	27.0	0.0	Act
KMT2C	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.09747200364532614	0.046424039019114655	5.0	86.0	78.0	1.5204341431542598	15.771943008214299	15.771943008214299	24.0	28.0	LoF
MAP3K1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2546309480887787e-09	7.621015753223601e-11	6.0	103.0	75.0	2.9483739060779204	23.2419529673412	23.2419529673412	24.0	18.0	LoF
ERBB2	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	2.0494658837251088e-24	1.1619149324667348e-25	7.0	31.0	28.0	5.45624826638909	0.0	0.0	25.0	0.0	Act
PTEN	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.808224800336233e-26	2.1590177698680413e-27	8.0	43.0	41.0	16.6618588425838	85.2730852880388	85.2730852880388	18.0	10.0	LoF
ARID1A	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.770353191319958e-17	3.838353462498331e-18	9.0	31.0	31.0	2.09444808870524	32.6183392802615	32.6183392802615	10.0	12.0	LoF
NCOR1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3572259209448806e-10	7.694595342131058e-12	10.0	44.0	43.0	1.80826698887545	13.364602986916099	13.364602986916099	18.0	13.0	LoF
GATA3	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.4915443627015747e-17	1.412544908854199e-18	11.0	103.0	98.0	5.7600072846797685	34.8394722308101	34.8394722308101	10.0	3.0	LoF
MAP2K4	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.436044174082625e-16	1.3810798825645851e-17	12.0	30.0	30.0	12.119423500245302	71.730884907713	71.730884907713	13.0	7.0	LoF
RB1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.358315167450162e-10	7.70077066707632e-12	13.0	23.0	21.0	1.80929099227484	18.0958051080331	18.0958051080331	7.0	11.0	LoF
RUNX1	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2695960459892066e-13	7.197790486535584e-15	14.0	37.0	36.0	6.41919865742818	22.454823720112906	22.454823720112906	13.0	3.0	LoF
CBFB	2	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	3.62648847847387e-08	2.1769252944311364e-09	15.0	22.0	21.0	14.0194607081623	33.8038708015432	33.8038708015432	14.0	3.0	LoF
FOXA1	2	dndscv,oncodrivefml,hotmaps,smregions,mutpanning	dndscv,oncodrivefml,smregions	1.1802976493268347e-13	6.6915261893287496e-15	16.0	21.0	21.0	9.12836602950229	0.0	0.0	15.0	0.0	Act
TBX3	2	oncodrivefml,smregions,mutpanning	oncodrivefml,mutpanning	2.0415644378219483e-10	1.2464688087496034e-11	16.0	27.0	24.0	5.2280417352520985	9.977169880896179	9.977169880896179	9.0	0.0	Act
CASP8	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	3.62648847847387e-08	2.1769252944311364e-09	18.0	16.0	16.0	8.07963065612276	29.873270217986803	29.873270217986803	11.0	5.0	LoF
BRCA1	2	dndscv,cbase,mutpanning	cbase,mutpanning	4.9959354401464585e-06	3.6416225264754204e-07	18.0	21.0	21.0	1.87366908797926	10.9787119593878	10.9787119593878	11.0	5.0	LoF
HIST1H2AE	3	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	2.0015386784271836e-10		20.0	13.0	13.0	16.1477755067367	0.0	0.0	11.0	0.0	Act
KRAS	2	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	7.990990410822748e-05	7.878914808987927e-06	21.0	5.0	5.0	9.371125906574472	0.0	0.0	5.0	0.0	Act
SF3B1	2	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	2.9434388839857945e-09	1.7799892777995818e-10	22.0	19.0	19.0	4.5723595768269405	2.51079616775755	2.51079616775755	16.0	1.0	Act
