SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7776952471757325e-35	1.3817690082157393e-36	1.0	308.0	279.0	116.72710758490801	0.0	0.0	306.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.3309800747497554e-25	1.034545724731904e-26	2.0	246.0	242.0	133.824827889146	380.517650574767	380.517650574767	202.0	40.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.3230656261247596e-44	1.0283939729935176e-45	3.0	28.0	28.0	23.783468034800602	0.0	0.0	27.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.274478506278569e-06	1.0427664426797406e-07	4.0	37.0	36.0	4.04852113599318	145.02615066571002	145.02615066571002	11.0	23.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.668866275647053e-23	5.183584055964624e-24	5.0	19.0	17.0	8.00517924601062	0.0	0.0	18.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.44656045338056e-12	2.6789464768999665e-13	6.0	25.0	24.0	22.6113508087067	132.442112515231	132.442112515231	16.0	9.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.430845652049295e-20	5.7758562628487386e-21	7.0	19.0	19.0	17.0341084727616	111.537644245748	111.537644245748	12.0	7.0	LoF
KMT2C	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2738289688459511e-20	9.901232473423779e-22	8.0	42.0	39.0	2.6900800019562103	21.455714337300698	21.455714337300698	21.0	19.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.281776553510158e-11	2.550863057508713e-12	9.0	29.0	25.0	3.34404820335469	40.6525414567404	40.6525414567404	12.0	15.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.258636817232942e-11	7.1965638838843225e-12	10.0	28.0	27.0	2.82821652994551	22.341322266121892	22.341322266121892	15.0	11.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.196516088219894e-10	9.300294024864107e-12	11.0	17.0	16.0	2.21309235957227	31.1402657740773	31.1402657740773	5.0	11.0	LoF
FOXA1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.8456746172621264e-20	1.4346080912546563e-21	12.0	19.0	15.0	19.1574921339616	0.0	0.0	18.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.4466370027179462e-08	1.1947214045257974e-09	13.0	18.0	18.0	1.83771990656092	23.3400983473948	23.3400983473948	8.0	8.0	LoF
GATA3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.909380195853522e-10	3.8159686903341995e-11	14.0	14.0	14.0	10.877104659474304	50.417830961434	50.417830961434	10.0	2.0	LoF
CBFB	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	8.986653079725919e-14	6.985156051285927e-15	15.0	19.0	18.0	27.5846125014242	62.6104594851483	62.6104594851483	15.0	3.0	LoF
ERBB3	1	oncodriveclustl,dndscv,cbase,mutpanning	cbase	6.492170794603908e-07	5.326588766216017e-08	16.0	15.0	14.0	7.691826826489629	0.0	0.0	15.0	0.0	Act
CTCF	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase	1.1770855760075666e-10	9.14926431585517e-12	17.0	15.0	15.0	4.39509503592845	27.794115170068398	27.794115170068398	9.0	4.0	LoF
MED23	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,cbase	4.629785785025756e-09		18.0	13.0	13.0	1.9254618175552	15.390271385862999	15.390271385862999	6.0	5.0	LoF
SF3B1	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,mutpanning	6.886627112879323e-08	5.667718711993205e-09	19.0	12.0	12.0	6.46134748064487	0.0	0.0	12.0	0.0	Act
KRAS	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	1.0953817571048327e-05	9.393063225912632e-07	20.0	4.0	4.0	12.1962780336055	0.0	0.0	4.0	0.0	Act
