SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2708395621818718e-25	7.118159606516259e-27	1.0	318.0	306.0	76.1820242982558	216.865288414036	216.865288414036	217.0	45.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.289822887033812e-28	4.643251923818636e-29	2.0	363.0	324.0	43.9562508789939	0.0	0.0	346.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.289476721180827e-35	4.643058031224701e-36	3.0	28.0	28.0	16.1825909213503	0.0	0.0	27.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7212589895116688e-21	9.64102517430247e-23	4.0	48.0	44.0	18.6600434369662	93.69689122653921	93.69689122653921	20.0	10.0	LoF
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.2275313537320923e-06	1.1000934321391583e-07	5.0	111.0	108.0	4.50915611897474	122.691331550408	122.691331550408	18.0	30.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.69027146434852e-12	9.467459480814353e-14	5.0	114.0	79.0	2.84289302485816	20.9106702828803	20.9106702828803	27.0	19.0	LoF
KMT2C	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0002268831387417229	3.0353754972897223e-05	5.0	95.0	81.0	1.8631382539787096	16.0309678972778	16.0309678972778	30.0	29.0	LoF
FOXA1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.851803252026927e-32	2.7175664777108836e-33	8.0	36.0	30.0	16.1831312356586	0.0	0.0	27.0	0.0	Act
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	9.083625662328111e-27	5.087872552479214e-28	9.0	31.0	28.0	5.342724348704441	0.0	0.0	25.0	0.0	Act
MAP2K4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.0738402198458576e-19	6.0147372683582016e-21	10.0	34.0	32.0	10.6051136246824	59.8480957445368	59.8480957445368	15.0	8.0	LoF
