SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.7662564591107677e-24	1.7709482658727525e-25	1.0	300.0	292.0	125.24831301245199	350.264839695875	350.264839695875	207.0	42.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.778936171599936e-26	2.4192624794051133e-27	2.0	345.0	312.0	64.0891721316527	0.0	0.0	331.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.8427312295420364e-36	1.1797104583991e-37	3.0	27.0	27.0	19.382915033196	0.0	0.0	26.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.3072632969637344e-20	2.7574957633781128e-21	4.0	46.0	42.0	23.4291723195207	108.990898170824	108.990898170824	20.0	10.0	LoF
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.0020173707518885654	0.00043328215131730987	5.0	99.0	97.0	4.59713207607005	138.270345990526	138.270345990526	15.0	27.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.28491403183582e-07	3.3886437992892636e-08	6.0	97.0	70.0	3.19248716368226	30.5179768133849	30.5179768133849	19.0	17.0	LoF
KMT2C	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0292443110911141e-11	6.589188149504173e-13	6.0	68.0	62.0	2.19018594068253	18.103785984310502	18.103785984310502	23.0	22.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4845729654701628e-26	9.504187184459744e-28	8.0	26.0	23.0	7.104421911333059	0.0	0.0	23.0	0.0	Act
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.051315750014737e-22	1.9534422841820965e-23	9.0	31.0	31.0	14.0618087296554	108.97618016771798	108.97618016771798	12.0	9.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.030917681870518e-14	6.599901014069521e-16	10.0	40.0	39.0	2.90900232133304	20.2448108680027	20.2448108680027	18.0	12.0	LoF
FOXA1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.438481544990013e-25	2.841501253190036e-26	11.0	29.0	24.0	19.8725049080429	0.0	0.0	21.0	0.0	Act
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1512559112018423e-14	7.370302391174714e-16	12.0	22.0	20.0	2.29892580698702	26.9239318760613	26.9239318760613	6.0	11.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.563685215168854e-15	2.2814595266949323e-16	13.0	25.0	24.0	2.25984861997356	30.536634075204105	30.536634075204105	9.0	10.0	LoF
GATA3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	2.747103491519798e-14	1.7586865991607486e-15	14.0	98.0	92.0	9.246348978569287	33.0352074500614	33.0352074500614	13.0	2.0	LoF
GOLGA6L6	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	4.684667016925984e-05		15.0	34.0	33.0	5.5275876859414295	0.0	0.0	27.0	0.0	Act
KRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	4.382749547833776e-08	3.3319134021500634e-09	16.0	5.0	5.0	11.9987216813779	0.0	0.0	5.0	0.0	Act
CBFB	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.6820188824232726e-12	1.0768229435785088e-13	17.0	22.0	21.0	20.544222507095302	50.084435036903706	50.084435036903706	14.0	3.0	LoF
RUNX1	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,oncodrivefml,smregions,mutpanning	1.0913371850829193e-09	6.986704681844025e-11	18.0	35.0	33.0	7.59435924779058	13.412226786493301	13.412226786493301	13.0	1.0	LoF
CDKN1B	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	6.514434796383081e-06	4.837802830119729e-07	19.0	11.0	10.0	0.0	90.9326904889	90.9326904889	0.0	4.0	LoF
NF1	1	dndscv,mutpanning		4.774969613313095e-06	3.566406439473292e-07	20.0	30.0	27.0	1.31401257685413	7.84204643847816	7.84204643847816	11.0	6.0	LoF
TBX3	1	oncodrivefml,smregions,mutpanning	oncodrivefml	1.01868393236692e-06	7.825897143654801e-08	21.0	23.0	23.0	6.80973744696311	12.057380363280801	12.057380363280801	10.0	0.0	Act
CASP8	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.480889462333052e-06	2.616011168878405e-07	22.0	14.0	14.0	9.28001030236672	30.245078407993997	30.245078407993997	10.0	4.0	LoF
TLR4	1	dndscv,cbase,mutpanning	dndscv,cbase	0.00015256117548029507		23.0	16.0	13.0	8.903335280123098	15.9834267121087	15.9834267121087	13.0	2.0	LoF
CTCF	1	dndscv,smregions	dndscv,smregions	2.1754998060230967e-09	1.3927478040563125e-10	24.0	19.0	19.0	3.28369331535241	18.450061369068894	18.450061369068894	10.0	4.0	LoF
ERBB3	1	oncodriveclustl,dndscv,mutpanning		4.7190545786622675e-07	3.6571491179688456e-08	25.0	18.0	17.0	5.7238436699009005	0.0	0.0	17.0	0.0	Act
NLRP2	1	dndscv,cbase,mutpanning	dndscv,cbase	1.2268956665321887e-05		25.0	8.0	8.0	1.69787294390385	24.134609895043997	24.134609895043997	4.0	3.0	LoF
