SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.470818984842633e-21	6.253760993049726e-22	1.0	70.0	62.0	47.467383427686386	0.0	0.0	70.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0403769373608893e-13	1.0054783983567567e-14	2.0	27.0	27.0	17.2434956648858	79.8209372251432	79.8209372251432	17.0	10.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	5.434086229594773e-16	5.251804535888267e-17	3.0	13.0	13.0	49.99944424302521	0.0	0.0	13.0	0.0	Act
ERBB2	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	3.449277782786135e-13	3.3335747612024375e-14	4.0	11.0	10.0	4.5148420047518885	0.0	0.0	9.0	0.0	Act
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.1977481267557844e-11	4.056938318819517e-12	5.0	27.0	26.0	4.9545821089469415	26.330239643804497	26.330239643804497	16.0	10.0	LoF
MAPK1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.5720105683337844e-11	1.5192788418183262e-12	6.0	9.0	9.0	13.3200848081048	0.0	0.0	8.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.9932583833370667e-13	1.9263962654467382e-14	7.0	14.0	14.0	15.014238597633	77.2866422420841	77.2866422420841	9.0	5.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2003210138021507e-13	1.1600572899407644e-14	8.0	43.0	38.0	3.07203788193523	22.507550103155694	22.507550103155694	21.0	21.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.9859205268854875e-13	1.9193045510042583e-14	8.0	13.0	10.0	9.6243703755221	143.503368994636	143.503368994636	6.0	7.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.565145825419917e-07	3.445556111177069e-08	10.0	48.0	31.0	1.56561493376568	15.1660783197941	15.1660783197941	18.0	17.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	0.0002572743211550352	4.575054714056379e-05	11.0	10.0	8.0	2.53712094487941	28.6261911388053	28.6261911388053	4.0	5.0	LoF
NFE2L2	1	dndscv,hotmaps	dndscv	3.3621202650032594e-05	4.520822075140365e-06	12.0	12.0	11.0	9.552314847129	9.23857796796833	9.23857796796833	10.0	1.0	Act
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	6.536386413950261e-07	6.768352521220933e-08	13.0	14.0	12.0	4.31533757924995	0.0	0.0	11.0	0.0	Act
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.1977481267557844e-11	4.056938318819517e-12	14.0	17.0	14.0	0.22326909716495896	12.2673968797988	12.2673968797988	2.0	9.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.3372236063157725e-05	1.7949550057281414e-06	15.0	6.0	6.0	0.8003862394295109	34.0876413083186	34.0876413083186	1.0	4.0	LoF
