SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0824485386352652e-17	1.0377217000689915e-18	1.0	72.0	64.0	48.05468003853311	0.0	0.0	72.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2210956119424884e-16	1.1706398679879575e-17	2.0	28.0	27.0	17.5521779055165	77.7693279406357	77.7693279406357	18.0	10.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1018706684409058e-09	2.1829396834948683e-10	3.0	18.0	13.0	11.6693500483243	128.525406176257	128.525406176257	9.0	8.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7811928113467726e-13	1.7075938175054972e-14	4.0	44.0	39.0	3.0537795241921097	23.4757364798684	23.4757364798684	21.0	22.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	1.4841553630506006e-19	1.4228299743959803e-20	5.0	13.0	13.0	47.3537011945741	0.0	0.0	13.0	0.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.036684895951068e-06	3.6706546922342976e-07	6.0	46.0	31.0	1.16295739764159	13.357450878362696	13.357450878362696	15.0	17.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.14210381194899e-19	4.929631773899005e-20	7.0	15.0	15.0	16.5983406653213	75.7417864350124	75.7417864350124	10.0	5.0	LoF
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.3111329106269834e-16	1.2569568200883254e-17	8.0	32.0	28.0	5.95405933812753	25.283002209890103	25.283002209890103	20.0	10.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6894289157265853e-15	2.578301551555692e-16	9.0	10.0	8.0	1.86561631295926	32.472920480576896	32.472920480576896	3.0	6.0	LoF
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.3714681835607369e-12	1.3147990359241756e-13	10.0	20.0	16.0	0.5393999037690801	11.752677180813697	11.752677180813697	5.0	9.0	LoF
MUC4	1	dndscv,cbase	dndscv,cbase	0.008906454054548705	0.004222646116545591	11.0	93.0	45.0	3.8393301563741	4.49973151154731	4.49973151154731	52.0	6.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.0922108878251376e-15	1.0470806684045711e-16	12.0	7.0	7.0	0.7941327871520641	41.1736378358088	41.1736378358088	1.0	5.0	LoF
STK11	1	dndscv,cbase	dndscv,cbase	1.2495945023549498e-08	1.2778252613744695e-09	13.0	15.0	9.0	10.2699521089329	28.3474777805758	28.3474777805758	10.0	2.0	LoF
MAPK1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.0922108878251376e-15	1.0470806684045711e-16	14.0	10.0	10.0	14.718897490983698	0.0	0.0	9.0	0.0	Act
B2M	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml	6.49231374974953e-07	6.879214214585277e-08	15.0	4.0	4.0	4.4698915329257	96.95222608125007	96.95222608125007	1.0	3.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.845232209680012e-09	3.9496574829124433e-10	15.0	12.0	10.0	0.7109568839581379	13.68417155325	13.68417155325	3.0	6.0	LoF
NFE2L2	1	dndscv,hotmaps	dndscv	1.629991860437751e-06	1.8467569533169613e-07	17.0	12.0	11.0	8.98856819888634	8.678471461801571	8.678471461801571	10.0	1.0	Act
DMD	1	dndscv,cbase	cbase	0.002261300652592664		18.0	26.0	25.0	4.30611429116387	6.892375251309861	6.892375251309861	21.0	4.0	LoF
IFNGR1	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	2.032197944728622e-09		18.0	6.0	6.0	4.03012337894492	40.3154281621205	40.3154281621205	3.0	3.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.0104237023235539e-13	9.68672934315367e-15	20.0	16.0	13.0	5.6406715801307215	0.0	0.0	13.0	0.0	Act
LATS1	1	dndscv,oncodrivefml,mutpanning		1.1273707239377824e-06	1.2866520214039938e-07	21.0	6.0	5.0	1.16091453762556	19.267126957987106	19.267126957987106	2.0	4.0	LoF
MED12	1	oncodrivefml,cbase,mutpanning	cbase	3.845232209680012e-09	3.9496574829124433e-10	21.0	11.0	11.0	3.67389346290879	6.86380028031376	6.86380028031376	9.0	2.0	LoF
MAGEC1	1	oncodrivefml,cbase,mutpanning	cbase	4.086743483348777e-07		23.0	8.0	8.0	2.62601391061826	19.941985905528398	19.941985905528398	5.0	3.0	LoF
MCM7	1	dndscv,oncodrivefml,mutpanning	oncodrivefml	3.9420801162003125e-06		24.0	3.0	3.0	0.0	26.1477998271987	26.1477998271987	0.0	3.0	LoF
HLA-A	1	oncodriveclustl,dndscv,mutpanning	dndscv	1.655469536013082e-07	1.6804222257730597e-08	24.0	6.0	6.0	2.50986299402532	52.3563940186024	52.3563940186024	2.0	2.0	LoF
CDK12	1	dndscv,cbase,mutpanning	cbase	0.00048694047992264004	0.00011258601690031567	26.0	14.0	13.0	4.11168648786117	12.68294546418	12.68294546418	10.0	3.0	LoF
KLF5	1	oncodriveclustl,hotmaps,smregions,mutpanning	smregions,mutpanning	3.9420801162003125e-06		27.0	7.0	5.0	5.4687249115707806	0.0	0.0	5.0	0.0	Act
KIAA0040	1	oncodriveclustl,dndscv,oncodrivefml		3.9420801162003125e-06		28.0	2.0	2.0	0.0	170.58112250803	170.58112250803	0.0	2.0	LoF
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	1.0132565834450134e-06	1.1656665127426882e-07	29.0	13.0	12.0	3.78359447294779	0.0	0.0	10.0	0.0	Act
NF2	1	dndscv,mutpanning	dndscv	4.086743483348777e-07	4.302845942169292e-08	29.0	5.0	5.0	3.13819743065929	36.4266297591073	36.4266297591073	3.0	2.0	LoF
MAGEC3	1	dndscv,mutpanning		0.0003232359627840315		29.0	12.0	12.0	6.49993798789155	18.0606321505925	18.0606321505925	8.0	2.0	LoF
CTNNBIP1	1	dndscv,oncodrivefml		3.549367049509066e-06		33.0	2.0	2.0	0.0	122.2593415468	122.2593415468	0.0	2.0	LoF
TGFBR2	1	dndscv,oncodrivefml		3.9420801162003125e-06	5.339557674740646e-07	33.0	4.0	4.0	2.2175930596443103	45.9161359423103	45.9161359423103	2.0	2.0	LoF
ZNF675	1	dndscv,oncodrivefml		4.2886886693166905e-05		33.0	3.0	2.0	0.0	30.472437217116397	30.472437217116397	0.0	3.0	LoF
SMAD4	1	dndscv,oncodrivefml		1.5937312617203656e-07	1.6233705772552232e-08	33.0	7.0	7.0	6.494961793086059	21.4079955462506	21.4079955462506	5.0	2.0	LoF
HUWE1	1	cbase,mutpanning	cbase	6.985776131581636e-06		37.0	23.0	23.0	3.19218461706538	5.53622877992952	5.53622877992952	20.0	1.0	LoF
CNTLN	1	cbase,mutpanning	cbase	7.856088998246142e-07		37.0	9.0	9.0	2.9663835292186898	13.874864960155401	13.874864960155401	6.0	3.0	LoF
EYS	1	cbase,mutpanning	cbase	0.00010473869933254731		37.0	13.0	13.0	2.01068125599968	5.19385516035297	5.19385516035297	9.0	3.0	LoF
CELSR1	1	cbase,mutpanning	cbase	9.54922472413631e-07		37.0	11.0	10.0	2.20743262933888	9.67935478780857	9.67935478780857	8.0	2.0	LoF
LRP1B	1	cbase,mutpanning	cbase	0.0019176858427938364	0.0006410994487785566	37.0	27.0	26.0	3.01578910210792	2.1452867113287	2.1452867113287	23.0	2.0	Act
PDE1C	1	oncodrivefml,cbase	cbase	4.2886886693166905e-05		42.0	7.0	7.0	4.20863215248197	13.429170293315401	13.429170293315401	5.0	2.0	LoF
THSD7A	1	cbase,mutpanning	cbase	0.0003774735234787239		43.0	6.0	6.0	1.3845050985238998	9.76804233660445	9.76804233660445	3.0	3.0	LoF
ZBTB7A	3	dndscv		0.00017490787622987774		44.0	3.0	3.0	0.0	53.1133289146908	53.1133289146908	0.0	2.0	LoF
MAGEA3	3	dndscv		0.0022024082989142127		44.0	6.0	5.0	14.200572500363199	0.0	0.0	6.0	0.0	Act
TMEM51	3	dndscv		0.003951661534379001		44.0	6.0	6.0	15.149649840910499	0.0	0.0	6.0	0.0	Act
CASP8	2	dndscv		5.23343096795115e-05	8.529214986769971e-06	44.0	9.0	9.0	4.68567671901548	21.753144474053997	21.753144474053997	5.0	2.0	LoF
DNAJB14	3	dndscv		0.007732637162335844		44.0	6.0	6.0	11.2235010700053	0.0	0.0	6.0	0.0	Act
KRTAP4-12	4	dndscv		0.11028602506651827		44.0	4.0	4.0	19.331762889581896	0.0	0.0	4.0	0.0	Act
CXorf67	4	dndscv		0.4660548016301712		51.0	9.0	9.0	7.44272516421719	0.0	0.0	8.0	0.0	Act
PKD1L3	3	cbase	cbase	0.0021107824501196623		52.0	6.0	4.0	2.08530903822031	8.50150633876561	8.50150633876561	4.0	2.0	LoF
ALPK2	3	cbase	cbase	0.008080709838300615		52.0	9.0	9.0	2.43104913402056	7.246593180936509	7.246593180936509	7.0	2.0	LoF
ZBTB47	3	cbase	cbase	0.00014622053722760582		52.0	7.0	6.0	4.55287568940033	28.171054047464104	28.171054047464104	5.0	2.0	LoF
PTPRD	2	cbase	cbase	0.00023309515852964962	4.539105443292453e-05	52.0	10.0	10.0	3.82242972296997	3.4754298118339504	3.4754298118339504	9.0	1.0	Act
PIK3R4	3	cbase	cbase	6.861113252424661e-06		52.0	7.0	7.0	2.22098255020546	14.5674083828535	14.5674083828535	4.0	3.0	LoF
ZNF236	3	cbase	cbase	1.7315783642064636e-06		52.0	11.0	9.0	2.5805447938229	9.39310202008112	9.39310202008112	7.0	3.0	LoF
LRP2	3	cbase	cbase	0.001783027812371564		52.0	19.0	18.0	2.5181148486570697	3.05042562587326	3.05042562587326	16.0	2.0	LoF
TG	3	cbase	cbase	0.00042599996351612234		52.0	13.0	12.0	2.6975930668373	4.83050498602957	4.83050498602957	10.0	2.0	LoF
NHS	3	cbase	cbase	2.3321478612432136e-06		52.0	12.0	10.0	2.85628221483888	11.6005789326094	11.6005789326094	8.0	3.0	LoF
MDC1	3	cbase	cbase	4.886564318763309e-06		52.0	11.0	8.0	2.93782631561777	12.7831533638694	12.7831533638694	8.0	3.0	LoF
BOD1L1	3	cbase	cbase	4.098618215954768e-05		52.0	11.0	10.0	1.85057937741387	7.68729005356807	7.68729005356807	8.0	3.0	LoF
ZNF407	3	cbase	cbase	0.0017139103712642695		63.0	7.0	7.0	1.70486686713761	8.21236865093475	8.21236865093475	5.0	2.0	LoF
