SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.937641303015108e-24	1.551083848803941e-25	1.0	83.0	72.0	46.0523434411972	0.0	0.0	82.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.1755358700239185e-25	9.410176686709344e-27	2.0	24.0	24.0	10.905683182491801	73.4402885148844	73.4402885148844	13.0	11.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.9091267188599484e-16	3.1292599446123237e-17	3.0	15.0	15.0	37.0597137970599	0.0	0.0	14.0	0.0	Act
EP300	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	6.226227034022345e-16	4.9841011215186825e-17	4.0	31.0	30.0	4.16497014718383	24.3332789361654	24.3332789361654	16.0	11.0	LoF
MAPK1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.666343591521643e-16	1.3339097527211514e-17	5.0	13.0	13.0	17.741315766304893	0.0	0.0	12.0	0.0	Act
ERBB2	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	2.6135630470529915e-12	2.0921598976067562e-13	6.0	14.0	13.0	4.39438812443461	0.0	0.0	11.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.507999004183885e-17	4.409158847576031e-18	7.0	16.0	16.0	15.9888770305525	67.4716466004341	67.4716466004341	11.0	5.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.162068411700455e-13	3.3317400289517416e-14	8.0	14.0	12.0	8.28905576578751	124.133537200876	124.133537200876	6.0	7.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0170615478539564e-12	8.141588113656698e-14	9.0	52.0	39.0	1.7770999041641102	14.9196980728105	14.9196980728105	22.0	18.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6174227385228992e-12	2.0952495845839193e-13	9.0	53.0	46.0	1.99398376843063	13.404467004861699	13.404467004861699	22.0	20.0	LoF
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	7.969803005703492e-06	7.505688792596561e-07	11.0	22.0	18.0	0.300991172543053	11.103054247199	11.103054247199	3.0	9.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.49877146940808e-13	3.6012711717079025e-14	12.0	8.0	8.0	1.39847358316349	36.9239349412505	36.9239349412505	2.0	5.0	LoF
LATS1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.2691410441651058e-05	2.3613846507202118e-06	13.0	11.0	10.0	0.891689174683886	22.2993440929218	22.2993440929218	2.0	6.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	5.2583654801975896e-06	4.998575760006208e-07	14.0	12.0	11.0	0.48905939785437	14.447021012835199	14.447021012835199	2.0	6.0	LoF
NFE2L2	1	dndscv,hotmaps	dndscv	5.662532243819575e-07	5.2302263818542645e-08	15.0	12.0	11.0	8.370280629167679	8.12663317730056	8.12663317730056	10.0	1.0	Act
SMAD4	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.4507939064028828e-07	1.1613620088832005e-08	16.0	8.0	8.0	5.929304068252901	29.568105463490003	29.568105463490003	5.0	3.0	LoF
CASP8	1	dndscv,oncodrivefml,cbase	dndscv,cbase	0.0009916069562257383	0.0001679155044517114	16.0	11.0	10.0	5.928582553963111	23.2166732586171	23.2166732586171	6.0	3.0	LoF
IFNGR1	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	3.8244254044090345e-05		18.0	6.0	6.0	3.63059888451305	36.726825447366096	36.726825447366096	3.0	3.0	LoF
CDK12	1	dndscv,cbase,mutpanning	dndscv,cbase	0.01088747362378047	0.003640860638231647	18.0	16.0	16.0	5.49422864275489	13.1064319033919	13.1064319033919	13.0	3.0	LoF
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	1.3292051882192457e-06	1.2059007974195858e-07	20.0	13.0	11.0	3.4970799604142098	0.0	0.0	10.0	0.0	Act
B2M	1	dndscv,oncodrivefml	dndscv	1.6899876573014565e-05	1.6376446098423359e-06	21.0	4.0	4.0	3.8779170431344494	84.6104740944686	84.6104740944686	1.0	3.0	LoF
HLA-B	1	dndscv,mutpanning	dndscv	3.3846136598428876e-07		22.0	8.0	8.0	1.20765301306816	73.9260324612371	73.9260324612371	1.0	2.0	LoF
RB1	1	dndscv,mutpanning	dndscv	0.02497938134417113	0.011809682050424009	22.0	7.0	6.0	1.13752581268762	22.1639208901496	22.1639208901496	2.0	4.0	LoF
NF2	1	dndscv,mutpanning	dndscv	0.0009916069562257383	0.0001679155044517114	22.0	5.0	5.0	2.7416345759746403	32.3990622657736	32.3990622657736	3.0	2.0	LoF
KIAA0040	1	dndscv,oncodrivefml	oncodrivefml	3.061519237259563e-07		25.0	3.0	3.0	0.0	151.257815886747	151.257815886747	0.0	2.0	LoF
TGFBR2	1	dndscv,oncodrivefml	oncodrivefml	0.0012733230913416465	0.00022273514790175806	26.0	5.0	5.0	2.74000945471082	37.942911467533	37.942911467533	3.0	2.0	LoF
CTNNBIP1	1	dndscv,oncodrivefml		1.8919491442147415e-06		27.0	2.0	2.0	0.0	105.062711689999	105.062711689999	0.0	2.0	LoF
ARHGAP4	4	dndscv,cbase,mutpanning	cbase	0.1790726248550137		28.0	9.0	9.0	5.34111791774217	14.477517942606196	14.477517942606196	8.0	1.0	LoF
KLF5	3	oncodrivefml,smregions		1.004069794792657e-05		29.0	6.0	6.0	4.9651688435467	15.865027674767099	15.865027674767099	4.0	1.0	LoF
DMD	3	dndscv,cbase	dndscv,cbase	0.000258989552517988		30.0	32.0	31.0	4.76823770617891	6.219883887328839	6.219883887328839	26.0	4.0	LoF
MUC4	2	dndscv,cbase	dndscv,cbase	0.006122559106944291	0.0017637486329620546	30.0	54.0	36.0	2.9600643451679503	6.881676258313121	6.881676258313121	36.0	8.0	LoF
AKT1	2	hotmaps	hotmaps	5.814087406265485e-07	5.319066202433075e-08	32.0	6.0	6.0	6.94493894811354	0.0	0.0	6.0	0.0	Act
ZNF675	3	dndscv		0.0013647578817581655		32.0	3.0	2.0	0.0	26.712100611627804	26.712100611627804	0.0	3.0	LoF
MAGEA3	4	dndscv		0.07136789364476885		32.0	6.0	5.0	12.181995919867196	0.0	0.0	6.0	0.0	Act
DDX3X	2	dndscv		1.0548193722635846e-05	1.0320248748341685e-06	32.0	11.0	11.0	6.30623344918201	16.7194883642533	16.7194883642533	8.0	2.0	LoF
ZBTB7A	4	dndscv		0.09414698033461852		32.0	5.0	5.0	0.0	40.0786192393375	40.0786192393375	0.0	2.0	LoF
MAGEC3	3	dndscv		0.004354486619321276		32.0	12.0	12.0	5.9659526557824005	16.8210906080507	16.8210906080507	8.0	2.0	LoF
TMEM51	3	dndscv		0.01653602078827681		32.0	6.0	6.0	13.244347325456099	0.0	0.0	6.0	0.0	Act
PHF8	3	hotmaps		0.003903207499410343		39.0	7.0	7.0	3.07960338754204	0.0	0.0	6.0	0.0	Act
STK11	2	dndscv		0.005594120489492578	0.001582261711971487	41.0	15.0	12.0	6.297633230559679	12.240033904315501	12.240033904315501	7.0	1.0	LoF
TMEM47	3	dndscv		0.009774971638150371		41.0	4.0	4.0	11.6728641598562	47.6826171778706	47.6826171778706	3.0	1.0	LoF
CST2	4	dndscv		0.3238082813606109		41.0	4.0	4.0	16.9678236695542	0.0	0.0	4.0	0.0	Act
KLHL4	4	dndscv		0.2712754918231948		41.0	11.0	11.0	3.48604675158606	14.943926232884701	14.943926232884701	6.0	2.0	LoF
