SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.298735405138536e-22	2.3498184141416142e-23	1.0	68.0	63.0	49.5164156238832	0.0	0.0	68.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.894335937108492e-19	7.04754340237757e-20	2.0	29.0	29.0	19.139992677307998	91.41940663598291	91.41940663598291	18.0	11.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.298735405138536e-22	2.3498184141416142e-23	3.0	39.0	32.0	2.58312254941419	23.302385469145303	23.302385469145303	17.0	21.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	1.862863391616338e-24	1.9042603558744788e-25	4.0	15.0	15.0	61.852370635848104	0.0	0.0	15.0	0.0	Act
EP300	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.6097739299058407e-20	3.6899911283481916e-21	5.0	30.0	27.0	5.79323300332233	29.6783726390058	29.6783726390058	18.0	11.0	LoF
ERBB2	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	7.017624529852106e-16	7.173571741626598e-17	6.0	13.0	12.0	4.645624892963791	0.0	0.0	10.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0888442316728208e-07	2.5120741086784253e-08	7.0	14.0	11.0	12.1224770657509	154.684783511087	154.684783511087	7.0	7.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.894335937108492e-19	7.04754340237757e-20	8.0	19.0	18.0	24.4034701779655	80.9970836152665	80.9970836152665	14.0	5.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7575709758827648e-11	1.7966281086801598e-12	9.0	45.0	31.0	1.396063829735	13.587323261798199	13.587323261798199	17.0	17.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.998221321804085e-05	9.840119672226643e-06	10.0	10.0	8.0	2.1438892597914903	36.629806026401404	36.629806026401404	3.0	6.0	LoF
MAPK1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	1.658455870359549e-11	1.6953104452564282e-12	11.0	8.0	8.0	12.040052918604	0.0	0.0	7.0	0.0	Act
KLF5	1	oncodriveclustl,oncodrivefml,hotmaps,smregions,mutpanning	smregions,mutpanning	1.6794651597763702e-10		12.0	5.0	4.0	8.19028446109338	0.0	0.0	5.0	0.0	Act
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	9.930540391465128e-10	1.0997153989066936e-10	13.0	13.0	12.0	4.93666897912221	0.0	0.0	11.0	0.0	Act
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.5498868267630964e-10	5.073813188632786e-11	14.0	19.0	16.0	0.460428205414512	12.617612455206402	12.617612455206402	4.0	9.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.420730326175082e-13	4.518968777867861e-14	14.0	7.0	7.0	0.836600852413342	45.142634325488004	45.142634325488004	1.0	5.0	LoF
NFE2L2	1	dndscv,hotmaps	dndscv,hotmaps	5.087045192146936e-09	5.600097613235259e-10	16.0	13.0	13.0	11.181829608554802	9.784918809651607	9.784918809651607	11.0	1.0	Act
CASP8	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.5622386268874433e-07	4.652899342280143e-08	17.0	9.0	9.0	5.999217929975259	36.9436069878721	36.9436069878721	5.0	3.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	4.4609327456016815e-07	5.760081580285679e-08	18.0	12.0	10.0	0.7703865715372521	15.1950550808462	15.1950550808462	3.0	6.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,cbase	cbase	3.62945661497716e-08	4.240127093052682e-09	19.0	7.0	7.0	5.34718383335573	33.286883231705396	33.286883231705396	4.0	3.0	LoF
BRCA2	1	dndscv,cbase,mutpanning	cbase	4.5879352853986575e-06	6.60848052220049e-07	20.0	7.0	6.0	0.7183872562345649	10.0937531638649	10.0937531638649	3.0	4.0	LoF
HLA-B	1	dndscv,mutpanning		0.0002411950787174457		20.0	2.0	2.0	1.83502300048619	68.776570535167	68.776570535167	1.0	1.0	LoF
CDKN2A	1	dndscv,mutpanning		0.0002230358931153164	5.1101710376612735e-05	20.0	5.0	4.0	16.965571647461	0.0	0.0	5.0	0.0	Act
EPHA2	1	dndscv,cbase,mutpanning	cbase	0.00016193262120210356		20.0	8.0	7.0	5.4412133279811705	22.9739636382381	22.9739636382381	7.0	1.0	LoF
NF2	1	dndscv,mutpanning	dndscv	0.0007046776850648208	0.0001914038816957018	20.0	6.0	6.0	2.82721776219283	33.0715452759295	33.0715452759295	3.0	2.0	LoF
NHS	1	dndscv,cbase,mutpanning	cbase	4.5736147272190686e-07		25.0	12.0	11.0	4.06918543204208	14.8746549583605	14.8746549583605	9.0	3.0	LoF
LATS1	1	dndscv,oncodrivefml,mutpanning		3.3234434926995976e-06	4.691506475408744e-07	25.0	6.0	5.0	1.20294432869244	19.5636828498138	19.5636828498138	2.0	4.0	LoF
AKT1	1	hotmaps,smregions	hotmaps	2.0888442316728208e-07	2.5120741086784253e-08	27.0	5.0	5.0	6.639170754802881	0.0	0.0	5.0	0.0	Act
IFNGR1	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	3.11017523269025e-08		28.0	6.0	6.0	4.466613418607441	44.69966316124889	44.69966316124889	3.0	3.0	LoF
CDK12	1	dndscv,cbase	cbase	8.06592811292983e-05	1.5901401136918806e-05	29.0	13.0	12.0	3.98478294052946	13.540976640513401	13.540976640513401	9.0	3.0	LoF
SIX5	1	dndscv,cbase	cbase	0.0035356993474062828		29.0	10.0	5.0	5.31875949289279	37.4840156946815	37.4840156946815	6.0	2.0	LoF
STK11	1	dndscv,cbase	dndscv,cbase	9.692675303266391e-07	1.3375891918507627e-07	29.0	10.0	7.0	11.4783565351136	20.4547289937833	20.4547289937833	8.0	1.0	LoF
LRP1B	1	cbase,mutpanning	cbase	0.0043893546767985216	0.001862061795112973	32.0	26.0	25.0	3.08946783623798	2.30077899990544	2.30077899990544	22.0	2.0	Act
NWD1	1	cbase,mutpanning	cbase	3.61510409837486e-05		32.0	10.0	9.0	5.3915418302277605	7.14758734156878	7.14758734156878	9.0	1.0	LoF
CELSR1	1	cbase,mutpanning	cbase	3.3061591494600906e-05		32.0	11.0	10.0	2.04598021305089	9.43508277843582	9.43508277843582	8.0	2.0	LoF
MED12	1	cbase,mutpanning	cbase	8.056481883702321e-06	1.1816173429430071e-06	32.0	12.0	12.0	3.04327910198049	5.755693121635328	5.755693121635328	9.0	2.0	LoF
THSD7A	1	cbase,mutpanning	cbase	0.001295443465470439		32.0	7.0	7.0	1.97602294286114	10.5160615256315	10.5160615256315	4.0	3.0	LoF
PLXNB2	1	cbase,mutpanning	cbase	1.2295535312273865e-05		32.0	7.0	7.0	1.63640721019947	17.723389066021603	17.723389066021603	4.0	2.0	LoF
MDC1	1	cbase,mutpanning	cbase	5.8112222884588564e-08		32.0	10.0	8.0	2.7197955318205	13.6517750013878	13.6517750013878	7.0	3.0	LoF
KRT15	4	hotmaps		0.10625731355362766		39.0	3.0	3.0	4.62058361858061	0.0	0.0	3.0	0.0	Act
GRIPAP1	3	hotmaps		0.01582401276851001		40.0	7.0	7.0	3.3386101585477297	0.0	0.0	5.0	0.0	Act
TGFBR2	2	dndscv,oncodrivefml		2.6180633234516777e-05	4.281988013467634e-06	41.0	4.0	4.0	2.3690607878046497	50.0474782422165	50.0474782422165	2.0	2.0	LoF
ZBTB7A	3	dndscv,oncodrivefml	oncodrivefml	2.6789260593427885e-07		41.0	2.0	2.0	0.0	65.578402519899	65.578402519899	0.0	2.0	LoF
CTNNBIP1	3	dndscv,oncodrivefml	oncodrivefml	2.4611213507081035e-07		41.0	2.0	2.0	0.0	128.714119495576	128.714119495576	0.0	2.0	LoF
B2M	2	dndscv,oncodrivefml	dndscv,oncodrivefml	8.577324381488923e-08	1.0521517907959746e-08	41.0	4.0	4.0	4.86305756945198	104.43190759362601	104.43190759362601	1.0	3.0	LoF
KIAA0040	3	dndscv,oncodrivefml		7.962041142986784e-07		41.0	2.0	2.0	0.0	191.861269996673	191.861269996673	0.0	2.0	LoF
MXRA5	3	smregions,cbase	cbase	2.5646254999451526e-06		46.0	15.0	14.0	2.3150509148935403	9.75091694936295	9.75091694936295	10.0	3.0	LoF
FRAS1	3	smregions,cbase	cbase	0.00013528431147864843		47.0	13.0	13.0	2.24258280147827	1.92513842028754	1.92513842028754	11.0	1.0	Act
ZNF675	3	dndscv		3.4017296111393004e-05		48.0	3.0	2.0	0.0	33.3329760749061	33.3329760749061	0.0	3.0	LoF
DNAJB14	3	dndscv		0.005301793850664979		48.0	6.0	6.0	12.199225452504	0.0	0.0	6.0	0.0	Act
CT47B1	3	dndscv		0.03210867840145023		48.0	7.0	7.0	11.120392673522	0.0	0.0	6.0	0.0	Act
GIP	3	dndscv		0.041495036149720325		52.0	4.0	4.0	19.0696401545538	0.0	0.0	4.0	0.0	Act
TMEM51	3	dndscv		0.023925135388531672		53.0	5.0	5.0	13.3174806416354	0.0	0.0	5.0	0.0	Act
RBFOX1	3	dndscv		0.004027187333988083		54.0	6.0	6.0	10.3817132860661	0.0	0.0	6.0	0.0	Act
