SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.853357256242203e-24	2.2969313536451034e-25	1.0	79.0	70.0	43.8760721212453	0.0	0.0	78.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.19740400079723e-28	4.988864093164379e-29	2.0	29.0	28.0	15.5855918702645	65.2821607668969	65.2821607668969	19.0	10.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	5.722468429755622e-20	4.6065444934366215e-21	3.0	17.0	17.0	40.29574565102421	0.0	0.0	16.0	0.0	Act
MAPK1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	7.875227533150506e-16	6.339499548614228e-17	4.0	12.0	12.0	15.580811674993699	0.0	0.0	11.0	0.0	Act
EP300	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.587353485531827e-13	2.8877928550656984e-14	5.0	36.0	30.0	4.83661258115892	23.967059504913	23.967059504913	19.0	11.0	LoF
ERBB2	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,mutpanning	5.609398027720625e-11	4.51552366138509e-12	6.0	15.0	12.0	4.5351711357138695	0.0	0.0	12.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	8.015629511496723e-15	6.452522096166492e-16	7.0	17.0	17.0	16.9718678386581	65.0073675006357	65.0073675006357	12.0	5.0	LoF
MUC4	1	oncodriveclustl,dndscv,cbase	oncodriveclustl,dndscv,cbase	9.948895379049641e-08	9.152899120213178e-09	8.0	154.0	79.0	3.42812591107427	3.05049675697395	3.05049675697395	93.0	8.0	Act
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.2050818197282035e-05	2.307596788102148e-06	9.0	19.0	14.0	10.051702378716303	109.884475471773	109.884475471773	9.0	8.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.819606127122721e-10	1.6275215432742638e-11	9.0	54.0	46.0	2.36272195592832	14.576252213706901	14.576252213706901	24.0	20.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.122075479818894e-06	2.956761792407006e-07	11.0	55.0	38.0	1.47621916118157	12.329492745917802	12.329492745917802	21.0	17.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.238144640566786e-10	2.8673505674456608e-11	12.0	11.0	9.0	2.1179001417154	27.4564343128755	27.4564343128755	4.0	6.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.609339960377463e-08	5.210165674160817e-09	12.0	12.0	11.0	0.480032488616349	14.1869771844346	14.1869771844346	2.0	6.0	LoF
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	2.8908553150415416e-07	2.6180066383642267e-08	14.0	14.0	12.0	3.60737734392968	0.0	0.0	11.0	0.0	Act
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.7410498713417368e-09	2.407117903317499e-10	15.0	8.0	8.0	1.36403107865823	35.7630576949488	35.7630576949488	2.0	5.0	LoF
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.819606127122721e-10	1.6275215432742638e-11	15.0	26.0	21.0	0.58698059845326	10.721547063354803	10.721547063354803	6.0	9.0	LoF
NFE2L2	1	dndscv,hotmaps	dndscv,hotmaps	8.870680194933135e-06	9.01999772483754e-07	17.0	13.0	12.0	8.80265477659497	7.76361091137061	7.76361091137061	11.0	1.0	Act
KLF5	1	oncodrivefml,hotmaps,smregions,mutpanning	smregions,mutpanning	2.6564081095988806e-08		18.0	10.0	7.0	5.2995508583932	11.295886825976	11.295886825976	6.0	1.0	LoF
LATS1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.6564081095988806e-08	2.3937644318901845e-09	19.0	9.0	8.0	1.0200057802013298	21.278894828906697	21.278894828906697	2.0	5.0	LoF
GOLGA6L10	1	oncodriveclustl,dndscv	dndscv	0.00034305232226429364		19.0	15.0	13.0	13.681439687626801	0.0	0.0	14.0	0.0	Act
GOLGA6L6	4	oncodriveclustl,dndscv,mutpanning	oncodriveclustl	0.09328811124375276		21.0	19.0	17.0	4.91458167232844	0.0	0.0	13.0	0.0	Act
HLA-B	3	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	1.4884872833245006e-10		22.0	9.0	9.0	1.17094589951067	84.32730199055409	84.32730199055409	1.0	3.0	LoF
AKT1	2	oncodriveclustl,hotmaps		8.662689924574637e-06	8.910456721659052e-07	23.0	5.0	5.0	5.73169384550629	0.0	0.0	5.0	0.0	Act
STK11	2	dndscv	dndscv	4.6212755427587655e-05	5.580138623427365e-06	24.0	20.0	14.0	7.44380010006136	20.474766362692	20.474766362692	10.0	2.0	LoF
HLA-A	2	dndscv	dndscv	3.171686683762253e-05	3.5976686080608978e-06	24.0	9.0	9.0	4.2446091063688	45.204601994745104	45.204601994745104	4.0	2.0	LoF
B2M	2	dndscv,oncodrivefml	dndscv	2.1659956547759334e-07	1.9760917645885096e-08	24.0	4.0	4.0	3.80746186623757	82.1333894735153	82.1333894735153	1.0	3.0	LoF
NF2	2	dndscv,mutpanning		0.00025580061710925403	3.3093898849402315e-05	27.0	4.0	4.0	1.81434619894764	31.730204673411606	31.730204673411606	2.0	2.0	LoF
CASP8	2	dndscv		0.0009105186760796763	0.00015575416091017136	27.0	12.0	12.0	5.67731495205563	18.9674023416009	18.9674023416009	7.0	2.0	LoF
GOLGA6L22	4	oncodriveclustl,dndscv		0.07306073457858861		29.0	11.0	9.0	8.111602838848171	0.0	0.0	11.0	0.0	Act
DMD	3	dndscv,cbase	cbase	0.0013409270801574991		30.0	30.0	29.0	4.41126772034192	6.22387607972579	6.22387607972579	24.0	4.0	LoF
KIAA0040	3	dndscv,oncodrivefml	oncodrivefml	3.59423952068119e-06		31.0	3.0	3.0	0.0	146.143802568404	146.143802568404	0.0	2.0	LoF
IFNGR1	3	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	5.612405882265731e-07		32.0	6.0	6.0	3.48781651568656	34.6985600617642	34.6985600617642	3.0	3.0	LoF
MCM7	3	dndscv,oncodrivefml	oncodrivefml	2.515765948557418e-05		33.0	3.0	3.0	0.0	22.0584687958058	22.0584687958058	0.0	3.0	LoF
TGFBR2	2	dndscv,oncodrivefml	oncodrivefml	3.7534485844941294e-05	4.3351930315136165e-06	34.0	5.0	5.0	2.73765488197158	37.767618019086704	37.767618019086704	3.0	2.0	LoF
MAGEC3	3	dndscv		0.00048549866049356154		35.0	12.0	12.0	5.55831384462372	15.5204645539466	15.5204645539466	8.0	2.0	LoF
ZNF675	3	dndscv		4.4419226858436736e-05		35.0	3.0	2.0	0.0	25.6552092245653	25.6552092245653	0.0	3.0	LoF
MAGEA3	3	dndscv		0.03070706172062883		37.0	6.0	5.0	11.919252876903201	0.0	0.0	6.0	0.0	Act
CTNNBIP1	3	dndscv,oncodrivefml		2.3688978097657792e-05		38.0	2.0	2.0	0.0	100.983364489788	100.983364489788	0.0	2.0	LoF
CDK12	2	dndscv,cbase	cbase	0.0009638739956484881	0.00016223601840084528	39.0	16.0	15.0	4.24536933140194	10.964030988938902	10.964030988938902	12.0	3.0	LoF
ZBTB7A	3	dndscv		0.017661399583577674		40.0	5.0	5.0	0.0	38.3329893345899	38.3329893345899	0.0	2.0	LoF
NUBPL	4	dndscv		0.1277864645470597		40.0	6.0	6.0	11.0040540580247	0.0	0.0	6.0	0.0	Act
OR2A14	4	dndscv		0.15922954197651099		42.0	5.0	3.0	9.00468368165933	60.4025439818361	60.4025439818361	4.0	1.0	LoF
TRIP12	3	dndscv		0.03362688516129995		43.0	7.0	7.0	0.0	5.26073245983251	5.26073245983251	0.0	3.0	LoF
MMEL1	3	dndscv		0.03070706172062883		44.0	10.0	10.0	6.54988136517593	0.0	0.0	9.0	0.0	Act
NBPF14	3	oncodriveclustl,smregions	smregions	0.03070706172062883		45.0	6.0	6.0	1.3846452883263505	0.0	0.0	6.0	0.0	Act
TP63	2	hotmaps		7.028980245089488e-05	8.374249634948937e-06	46.0	8.0	8.0	4.4676672036487695	6.9180540268784405	6.9180540268784405	6.0	1.0	LoF
PHF8	3	hotmaps		0.03070706172062883		47.0	7.0	7.0	2.98131146844778	0.0	0.0	6.0	0.0	Act
DNAH6	4	hotmaps		0.4128928753668573		48.0	16.0	14.0	1.53351418881104	0.966673643960618	0.966673643960618	12.0	1.0	Act
KRT15	4	hotmaps		0.2684887023341056		49.0	4.0	4.0	3.7085878196209503	0.0	0.0	3.0	0.0	Act
GRIPAP1	4	hotmaps		0.2537640724059983		50.0	8.0	8.0	1.5785660720903605	0.0	0.0	4.0	0.0	Act
ZNF813	4	oncodriveclustl		0.10817377546311203		51.0	8.0	7.0	2.9365126489645	5.05480291938126	5.05480291938126	5.0	1.0	LoF
