SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.2748046163746865e-13	2.0739043513310908e-14	1.0	76.0	67.0	48.5488509550756	0.0	0.0	75.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.60521084396059e-14	6.021869048507707e-15	2.0	28.0	28.0	16.8988038651739	73.6420854659957	73.6420854659957	18.0	10.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.5376142955490444e-25	3.225188496655399e-26	3.0	16.0	16.0	58.07470056273439	0.0	0.0	16.0	0.0	Act
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.966472347882338e-12	2.7044871748946746e-13	4.0	51.0	43.0	2.38793771613059	16.676972642912	16.676972642912	22.0	21.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0620275706917564e-05	1.1787198807743052e-06	5.0	15.0	12.0	12.093453664986699	135.063233779193	135.063233779193	8.0	7.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.4338285731626776e-17	4.04225325759741e-18	5.0	16.0	16.0	17.2905742885291	72.70607926531649	72.70607926531649	11.0	5.0	LoF
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	9.126606418609956e-14	8.320586580576837e-15	7.0	30.0	27.0	4.9218751159178495	24.694479995117607	24.694479995117607	17.0	10.0	LoF
MAPK1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	5.053301139376361e-13	4.607016860305514e-14	8.0	10.0	10.0	13.675252262622399	0.0	0.0	9.0	0.0	Act
ERBB2	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	2.7709314223040284e-11	2.5262155231224644e-12	9.0	13.0	12.0	4.25248515067782	0.0	0.0	10.0	0.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1568861109681869e-07	1.2169791446943458e-08	10.0	50.0	33.0	1.4820237287112	15.2347624005715	15.2347624005715	18.0	18.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	0.0009386757976525092	0.00018720106018382826	11.0	9.0	7.0	1.8905138474602	28.304686468439602	28.304686468439602	3.0	5.0	LoF
LATS1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.476115378797772e-08	5.408530934901745e-09	11.0	9.0	8.0	1.10386860154561	27.0440194631126	27.0440194631126	2.0	6.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	9.126606418609956e-14	8.320586580576837e-15	13.0	7.0	7.0	0.7618454841454491	40.8169712137122	40.8169712137122	1.0	5.0	LoF
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	4.0130687164453677e-07	4.089082734791457e-08	13.0	24.0	20.0	0.426080094021305	11.695901683578803	11.695901683578803	4.0	9.0	LoF
CASP8	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.9182140369367703e-07	4.018697349840965e-08	15.0	10.0	10.0	5.470501340498741	33.7180673907474	33.7180673907474	5.0	3.0	LoF
NFE2L2	1	dndscv,hotmaps	dndscv	8.898483425356817e-07	8.966569344445918e-08	16.0	12.0	11.0	9.12737551776026	8.79712710094532	8.79712710094532	10.0	1.0	Act
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	3.05372148286416e-07	3.1552349839371963e-08	17.0	14.0	12.0	4.17583879067913	0.0	0.0	11.0	0.0	Act
MUC4	1	oncodriveclustl,dndscv,cbase	dndscv,cbase	0.003118322083146469	0.0008370838376342188	18.0	74.0	48.0	3.26983574115189	3.35480872305457	3.35480872305457	51.0	5.0	ambiguous
B2M	1	dndscv,oncodrivefml	dndscv,oncodrivefml	2.2154723030125503e-06	2.2217931940339842e-07	19.0	4.0	4.0	4.31863410677411	92.44664487528259	92.44664487528259	1.0	3.0	LoF
STK11	1	dndscv,cbase,mutpanning	dndscv,cbase	6.045344018478847e-07	6.123830091198188e-08	20.0	14.0	11.0	10.2604589393412	18.111639422924107	18.111639422924107	8.0	1.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	5.476115378797772e-08	5.408530934901745e-09	20.0	14.0	12.0	0.6943797261689201	13.722014371745804	13.722014371745804	3.0	6.0	LoF
NF2	2	dndscv,mutpanning	dndscv	1.0620275706917564e-05	1.1787198807743052e-06	22.0	5.0	5.0	2.9937550400284	35.058086626244105	35.058086626244105	3.0	2.0	LoF
GOLGA6L6	4	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv	0.1865200958612703		22.0	15.0	14.0	7.0697598063114295	0.0	0.0	12.0	0.0	Act
SMAD4	2	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	3.7096149484998547e-08	3.72019872866676e-09	24.0	8.0	8.0	6.13409720074414	30.5242745365492	30.5242745365492	5.0	3.0	LoF
DMD	3	dndscv,cbase	dndscv,cbase	0.00037209710634789934		25.0	29.0	28.0	4.61250317282663	6.71329909511418	6.71329909511418	23.0	4.0	LoF
HLA-B	3	dndscv,mutpanning		0.00010653963221291965		26.0	5.0	5.0	1.62634560587675	60.63434147159899	60.63434147159899	1.0	1.0	LoF
CDK12	2	dndscv,cbase,mutpanning	cbase	0.00024016057093230475	4.26925037808114e-05	27.0	16.0	15.0	4.840824694119861	12.388587797588198	12.388587797588198	12.0	3.0	LoF
IFNGR1	3	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	1.9129606379835332e-08		28.0	6.0	6.0	3.9184637855018094	39.4349563710604	39.4349563710604	3.0	3.0	LoF
MCM7	3	dndscv,oncodrivefml	oncodrivefml	0.00024016057093230475		29.0	3.0	3.0	0.0	25.047356010626306	25.047356010626306	0.0	3.0	LoF
TGFBR2	2	dndscv,oncodrivefml	oncodrivefml	0.0003608160796340938	6.461527001802731e-05	29.0	5.0	5.0	3.0835236799896903	43.090879890589896	43.090879890589896	3.0	2.0	LoF
CTNNBIP1	3	dndscv,oncodrivefml	oncodrivefml	2.31829090087e-06		31.0	2.0	2.0	0.0	116.50377873138001	116.50377873138001	0.0	2.0	LoF
MED12	2	oncodrivefml,cbase,mutpanning	cbase	1.6260860798529178e-07	1.6942601687927844e-08	32.0	12.0	12.0	3.796304598623181	6.46577640216092	6.46577640216092	10.0	2.0	LoF
GOLGA6L10	3	oncodriveclustl,dndscv		0.008664520437015447		33.0	10.0	10.0	8.78466531714699	9.92875222574014	9.92875222574014	8.0	1.0	LoF
KIAA0040	3	dndscv,oncodrivefml		8.526231442253726e-06		34.0	2.0	2.0	0.0	169.892474861126	169.892474861126	0.0	2.0	LoF
GOLGA6L22	4	oncodriveclustl,dndscv	oncodriveclustl	0.14917503819748856		35.0	9.0	7.0	7.11319695027115	0.0	0.0	9.0	0.0	Act
KLF5	3	oncodriveclustl,oncodrivefml,smregions,mutpanning	smregions,mutpanning	1.0467902472870433e-07		36.0	6.0	5.0	7.26583287145818	0.0	0.0	5.0	0.0	Act
AKT1	2	hotmaps		9.577534025197254e-06	1.0394869450126396e-06	37.0	5.0	5.0	6.07531943122182	0.0	0.0	5.0	0.0	Act
GRIPAP1	4	hotmaps		0.11698196039457733		38.0	7.0	7.0	2.07930163210394	0.0	0.0	4.0	0.0	Act
TRUB2	3	dndscv		0.03535544375637459		39.0	8.0	6.0	5.476107711946808	30.3141226142446	30.3141226142446	4.0	1.0	LoF
MAGEC3	3	dndscv		0.0008103645171496272		39.0	11.0	11.0	5.62753738645673	17.8803826855816	17.8803826855816	7.0	2.0	LoF
ZNF675	3	dndscv		0.0004716026233858656		39.0	3.0	2.0	0.0	29.4181268864409	29.4181268864409	0.0	3.0	LoF
SEL1L2	4	dndscv		0.15973554331019474		39.0	2.0	2.0	0.0	24.8230815964828	24.8230815964828	0.0	1.0	LoF
ZBTB7A	3	dndscv		0.0013385531338154409		39.0	4.0	4.0	0.0	52.0314051825558	52.0314051825558	0.0	2.0	LoF
DNAJB14	3	dndscv		0.022025452603277797		39.0	6.0	6.0	11.162485711804301	0.0	0.0	6.0	0.0	Act
MAGEA3	3	dndscv		0.01315932249704126		39.0	6.0	5.0	13.729686148270199	0.0	0.0	6.0	0.0	Act
CELSR1	3	cbase,mutpanning	cbase	0.00025082154639279784		47.0	12.0	11.0	1.97908524181987	9.075031931976062	9.075031931976062	8.0	2.0	LoF
FLG	3	cbase,mutpanning	cbase	0.00024016057093230475		47.0	34.0	29.0	2.86186740756402	4.44403806025817	4.44403806025817	27.0	5.0	LoF
ABCA12	3	cbase,mutpanning	cbase	0.0008798780455477504		49.0	17.0	17.0	1.40405486457652	5.99133263048836	5.99133263048836	7.0	4.0	LoF
MAGEC1	3	oncodrivefml,cbase	cbase	2.2325951932507112e-05		50.0	7.0	7.0	2.03315228865046	19.521669123280198	19.521669123280198	4.0	3.0	LoF
EPHA2	3	mutpanning		0.01761787047155971		51.0	6.0	5.0	3.55498187605431	21.0056333918738	21.0056333918738	5.0	1.0	LoF
PIK3R4	3	cbase,mutpanning	cbase	1.0620275706917564e-05		51.0	7.0	7.0	2.1107067610532	13.798305605283899	13.798305605283899	4.0	3.0	LoF
PLXNB2	3	cbase,mutpanning	cbase	2.302461462937117e-05		51.0	7.0	7.0	1.55320177473997	16.7417219100233	16.7417219100233	4.0	2.0	LoF
FAM135B	2	mutpanning		0.008387784927924106	0.0030006277834823875	51.0	8.0	8.0	4.01768177922672	0.0	0.0	8.0	0.0	Act
CNTLN	3	cbase,mutpanning	cbase	1.3398265333447153e-05		51.0	8.0	8.0	2.40819867925825	13.434065680432699	13.434065680432699	5.0	3.0	LoF
NIPBL	4	mutpanning		0.3815628543515112		56.0	13.0	11.0	1.6295664539663202	1.4167982530076	1.4167982530076	8.0	1.0	Act
KLHDC4	3	mutpanning		0.00247533625121255		56.0	4.0	4.0	2.28336557290933	24.472213867567202	24.472213867567202	2.0	2.0	LoF
HUWE1	3	cbase,mutpanning	cbase	0.00025082154639279784		59.0	24.0	24.0	3.09098709063836	4.03293155336945	4.03293155336945	20.0	1.0	LoF
BAIAP3	3	mutpanning		0.0267085403331626		60.0	5.0	5.0	2.51329233340833	14.156666397758901	14.156666397758901	4.0	1.0	LoF
RUNX1T1	2	mutpanning		2.2325951932507112e-05	2.713896893364889e-06	60.0	8.0	8.0	3.23942391739219	19.836156592305397	19.836156592305397	4.0	3.0	LoF
NBEAL1	3	mutpanning		0.0014949619389848776		60.0	8.0	8.0	1.1555062696363998	4.97198595564209	4.97198595564209	4.0	3.0	LoF
CACNA1F	3	mutpanning		0.00887319140588537		63.0	10.0	10.0	2.83030166205486	3.22152485153035	3.22152485153035	8.0	1.0	LoF
BOD1L1	3	cbase	cbase	4.693364261844929e-05		64.0	11.0	10.0	1.77626155723734	7.383602979279718	7.383602979279718	8.0	3.0	LoF
NHS	3	cbase	cbase	3.924532940001429e-05		64.0	14.0	12.0	3.40037091578434	11.208846750544	11.208846750544	10.0	3.0	LoF
MDC1	3	cbase	cbase	1.52199653610966e-05		64.0	10.0	7.0	2.4736114913410496	12.398053254791801	12.398053254791801	7.0	3.0	LoF
LRP2	3	cbase	cbase	0.0018397851140824367		64.0	19.0	18.0	2.40596337418577	2.90957399639221	2.90957399639221	16.0	2.0	LoF
TG	3	cbase	cbase	0.0115251145680633		64.0	14.0	13.0	2.8465449984402698	4.68570518820284	4.68570518820284	11.0	2.0	LoF
ZNF236	3	cbase	cbase	6.893055930037196e-05		64.0	11.0	9.0	2.46661502916668	9.2006616643892	9.2006616643892	7.0	3.0	LoF
THSD7A	3	cbase	cbase	0.0065976251868013975		70.0	7.0	7.0	1.7584522420181	9.36926208699299	9.36926208699299	4.0	3.0	LoF
LRP1B	2	cbase	cbase	0.03213053408321659	0.018072238047830542	71.0	26.0	25.0	2.82675855882267	2.1048990241421204	2.1048990241421204	22.0	2.0	Act
TRAF3	3	cbase	cbase	0.00023667781972140718		72.0	6.0	6.0	4.72441108049883	25.2187529326234	25.2187529326234	4.0	2.0	LoF
ALPK2	4	cbase	cbase	0.08884824425257742		72.0	10.0	10.0	2.36364791663554	7.1084935481535005	7.1084935481535005	7.0	2.0	LoF
CLEC14A	3	cbase	cbase	0.0004276965286548127		74.0	5.0	5.0	3.7986713635303504	43.884745079573705	43.884745079573705	3.0	2.0	LoF
PRUNE2	3	cbase	cbase	0.0016239207204960574		74.0	14.0	14.0	1.76802878034076	5.6992227466772905	5.6992227466772905	9.0	3.0	LoF
NBPF14	3	oncodriveclustl,smregions	smregions	0.01695789183206516		76.0	6.0	6.0	1.49755340548005	0.0	0.0	6.0	0.0	Act
RPF1	3	oncodrivefml		0.00014164001178340648		77.0	2.0	2.0	0.0	27.8349035876184	27.8349035876184	0.0	2.0	LoF
BCL2L11	3	oncodrivefml		0.00549520943436259		78.0	2.0	2.0	0.0	31.3338855123126	31.3338855123126	0.0	1.0	LoF
SIRPA	2	oncodrivefml		5.422520713111138e-05	7.118825273371375e-06	79.0	2.0	2.0	0.0	28.1612282652808	28.1612282652808	0.0	2.0	LoF
MLH1	2	oncodrivefml		0.0026232454417579967	0.0006901394894163925	80.0	3.0	3.0	0.9201330507425808	13.0737145773225	13.0737145773225	1.0	2.0	LoF
JHY	3	oncodrivefml		0.0011668294883907869		81.0	3.0	3.0	0.8139008382671801	11.5135008505458	11.5135008505458	1.0	2.0	LoF
CEACAM20	3	oncodrivefml		0.0022058865132938395		81.0	3.0	3.0	1.21588709577763	19.433226187063106	19.433226187063106	1.0	2.0	LoF
CLIP1	2	oncodrivefml		0.00036962219653413836	6.507178116866619e-05	81.0	2.0	2.0	0.0	7.65469305622553	7.65469305622553	0.0	2.0	LoF
POLQ	2	oncodrivefml		0.0004982669239720852	9.23666645082563e-05	84.0	7.0	6.0	1.42550030329359	4.3625230067834915	4.3625230067834915	5.0	2.0	LoF
EIF2S2	4	oncodrivefml		0.0782187600621564		85.0	3.0	3.0	1.76071845651318	24.9482610228346	24.9482610228346	1.0	2.0	LoF
BTN2A2	3	oncodrivefml		0.0001423208379182123		86.0	2.0	2.0	0.0	25.456251047235604	25.456251047235604	0.0	2.0	LoF
RAD21L1	3	oncodrivefml		0.0010285869823490547		87.0	2.0	2.0	0.0	16.7549930295674	16.7549930295674	0.0	2.0	LoF
IER5	3	oncodrivefml		0.0017572286802068592		88.0	2.0	2.0	1.5951981765355605	48.455273697312	48.455273697312	1.0	1.0	LoF
EPHB1	3	oncodrivefml		0.006768220264905862		88.0	3.0	3.0	1.40502712313539	9.492424210863721	9.492424210863721	2.0	1.0	LoF
ZC3H18	3	oncodrivefml		9.898936595549092e-05		90.0	5.0	5.0	1.68398506803663	13.4282289691438	13.4282289691438	3.0	2.0	LoF
HOXB3	3	oncodrivefml		0.002445190693380309		90.0	2.0	2.0	1.6452943082325802	40.1357250193729	40.1357250193729	1.0	1.0	LoF
SLC19A3	3	oncodrivefml		8.292342815987002e-05		92.0	3.0	3.0	1.6347725201556	28.2478609229638	28.2478609229638	1.0	2.0	LoF
BMS1	4	oncodrivefml		0.10425353841472908		93.0	4.0	4.0	1.47119155414742	4.23237911757136	4.23237911757136	3.0	1.0	LoF
SERPINA4	4	oncodriveclustl		0.3667896777370637		95.0	4.0	4.0	3.892986892985431	0.0	0.0	3.0	0.0	Act
ECHDC2	3	oncodriveclustl		0.01761787047155971		95.0	5.0	5.0	10.746898111041698	0.0	0.0	5.0	0.0	Act
SPTA1	3	oncodriveclustl		0.018395541144155987		95.0	11.0	11.0	2.0080782502990497	3.65939920948836	3.65939920948836	8.0	2.0	LoF
ACTG1	3	oncodriveclustl		0.007654044885940282		95.0	5.0	2.0	6.28520598077075	26.8451677998485	26.8451677998485	4.0	1.0	LoF
SHKBP1	4	oncodriveclustl		0.3454183490560598		95.0	5.0	5.0	2.10626727696394	0.0	0.0	3.0	0.0	Act
DGKK	4	oncodriveclustl		0.30792888151346703		95.0	6.0	6.0	2.04072793313293	0.0	0.0	5.0	0.0	Act
ELAVL4	3	oncodriveclustl		0.02205594369980736		95.0	3.0	3.0	5.822387444864429	0.0	0.0	3.0	0.0	Act
GTDC1	4	oncodriveclustl		0.25529851615981697		95.0	4.0	4.0	3.8689647670177103	0.0	0.0	3.0	0.0	Act
FAM83F	4	oncodriveclustl		0.3274679925103257		95.0	3.0	3.0	0.0	13.576742418689197	13.576742418689197	0.0	1.0	LoF
ZGLP1	4	oncodriveclustl		0.21018215441082566		95.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
CLMN	4	oncodriveclustl		0.4082544873917355		95.0	6.0	5.0	2.82219901021179	0.0	0.0	5.0	0.0	Act
C12orf43	4	oncodriveclustl		0.11463023557257393		95.0	3.0	3.0	6.45370230213151	0.0	0.0	3.0	0.0	Act
CUL1	4	oncodriveclustl		0.05298240734863121		95.0	6.0	6.0	3.9691430980390296	0.0	0.0	5.0	0.0	Act
KRT7	3	oncodriveclustl		0.0014998104749987552		95.0	3.0	3.0	1.2860069675637902	43.2252109250818	43.2252109250818	1.0	2.0	LoF
ZNF813	4	oncodriveclustl		0.1664391711158632		95.0	6.0	6.0	3.1419244220532203	6.683539497592942	6.683539497592942	4.0	1.0	LoF
PELI3	4	oncodriveclustl		0.17979687506612085		95.0	3.0	3.0	4.02525727923757	0.0	0.0	3.0	0.0	Act
HLA-A	2	oncodriveclustl		0.0016266731123358695	0.0003775991656930198	95.0	8.0	8.0	2.42497784447648	26.6485680491569	26.6485680491569	2.0	1.0	LoF
FAS	2	oncodriveclustl		0.04215038376874285	0.024321580948348367	95.0	4.0	4.0	4.913242388139491	0.0	0.0	3.0	0.0	Act
LRP4	3	smregions	smregions	0.0115251145680633		123.0	6.0	6.0	2.32277231757206	0.0	0.0	6.0	0.0	Act
FLII	3	smregions	smregions	0.003166824713959732		123.0	4.0	4.0	2.31158436486957	0.0	0.0	4.0	0.0	Act
PCDH20	4	smregions	smregions	0.06284640039869968		125.0	4.0	3.0	1.35500560793914	10.6718636878844	10.6718636878844	2.0	1.0	LoF
ADAMTS1	4	smregions	smregions	0.05398754771428666		126.0	4.0	4.0	1.7769686692011395	0.0	0.0	3.0	0.0	Act
