SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PBRM1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0736464959611436e-10	9.989932105542537e-10	1.0	8.0	8.0	5.5533743944274985	248.531846122709	248.531846122709	1.0	5.0	LoF
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.597078719195165e-16	1.0009281766411638e-15	2.0	6.0	6.0	151.609560001625	0.0	0.0	6.0	0.0	Act
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	2.5711647865805823e-13	9.90940806936192e-13	3.0	6.0	6.0	20.979228374857303	249.130219596172	249.130219596172	2.0	2.0	LoF
FGFR2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	2.964334772998105e-11	1.1424706449446752e-10	4.0	4.0	4.0	39.85131496311229	132.427720357959	132.427720357959	3.0	1.0	LoF
LRP1B	1	oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	1.4525875890611717e-08	8.39752662973472e-08	5.0	4.0	4.0	9.2687089134766	26.4611121402319	26.4611121402319	3.0	1.0	LoF
EPHA2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,cbase,mutpanning	9.500086081720936e-11		6.0	5.0	5.0	22.5911798509378	145.44451842162	145.44451842162	2.0	1.0	LoF
MAGEA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.4943903491765195e-09		7.0	3.0	2.0	70.7285687747698	573.1857717912629	573.1857717912629	2.0	1.0	LoF
TP53	1	dndscv,oncodrivefml,smregions		1.4943903491765195e-09	8.04066776455318e-09	8.0	4.0	4.0	87.2145319062953	0.0	0.0	3.0	0.0	Act
NYAP2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	2.105657173437236e-09		9.0	3.0	3.0	28.4543254402555	217.01028692097802	217.01028692097802	2.0	1.0	LoF
DNAH5	1	oncodrivefml,smregions,cbase	cbase	0.0007068140441899847		10.0	4.0	4.0	6.95675845300005	22.059800513818804	22.059800513818804	3.0	1.0	LoF
KRAS	1	oncodriveclustl,dndscv		0.0007015491242003106	0.005407616492484557	11.0	3.0	2.0	147.564598508856	0.0	0.0	2.0	0.0	Act
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	6.276167672575137e-07	3.801079772664617e-06	12.0	2.0	2.0	0.0	100.9399268444	100.9399268444	0.0	2.0	LoF
F13A1	1	dndscv,smregions,mutpanning		1.9787139941590448e-06		13.0	3.0	2.0	42.3496250384364	0.0	0.0	3.0	0.0	Act
ZNF521	1	oncodriveclustl,oncodrivefml		7.662953019787698e-05	0.0005611352678868321	14.0	3.0	2.0	6.881142050578519	88.75355532459602	88.75355532459602	1.0	1.0	LoF
IVL	1	dndscv,oncodrivefml,mutpanning		7.312726587393823e-08		15.0	2.0	2.0	0.0	382.108155037154	382.108155037154	0.0	2.0	LoF
PIK3CA	1	dndscv,smregions		3.342213453004035e-06	2.254187478911235e-05	16.0	3.0	3.0	36.3501690726382	0.0	0.0	3.0	0.0	Act
IDH2	1	oncodriveclustl,dndscv		8.614804097264516e-05	0.0006211457203763874	16.0	2.0	2.0	71.635053210271	0.0	0.0	2.0	0.0	Act
CHD7	1	dndscv,oncodrivefml		0.0012997843406623152		19.0	3.0	3.0	6.2142875986308495	61.45976339347239	61.45976339347239	1.0	1.0	LoF
ARAF	1	oncodriveclustl		5.265293219502516e-05	0.0004058544935681399	19.0	2.0	2.0	41.4611947976744	0.0	0.0	2.0	0.0	Act
POTEH	1	dndscv,oncodrivefml		4.200968813239427e-06		19.0	2.0	2.0	19.8336042112136	193.75077079216095	193.75077079216095	1.0	1.0	LoF
ARID1A	1	dndscv,oncodrivefml		0.00034055048498741206	0.0025374999560665657	19.0	7.0	7.0	0.0	93.88925103367441	93.88925103367441	0.0	1.0	LoF
ELF3	1	dndscv,oncodrivefml		8.580353997826171e-05	0.0006012572383734702	19.0	4.0	4.0	62.67787590675	0.0	0.0	2.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml		0.00023375787510625332	0.001940433354936068	19.0	2.0	2.0	78.3738164262139	0.0	0.0	2.0	0.0	Act
NME8	1	dndscv,oncodrivefml		0.00016933047265841003		19.0	3.0	2.0	27.770391833155	175.11124864763698	175.11124864763698	1.0	1.0	LoF
DCAF4L2	1	dndscv,mutpanning		1.3319707520943179e-05		31.0	3.0	3.0	91.2531088109927	0.0	0.0	3.0	0.0	Act
SDK2	1	smregions,mutpanning		1.7812369300096087e-05		32.0	3.0	3.0	18.095332621692602	0.0	0.0	3.0	0.0	Act
LAMA3	1	smregions,mutpanning		3.342213453004035e-06		32.0	3.0	3.0	17.9527822098858	0.0	0.0	3.0	0.0	Act
MAGEC1	1	dndscv,mutpanning		0.0001845761785622388		34.0	3.0	3.0	30.165050168456602	0.0	0.0	3.0	0.0	Act
MUC16	4	cbase	cbase	0.28486749005642226	0.9025543595912592	35.0	6.0	5.0	5.41941987350857	0.0	0.0	5.0	0.0	Act
TTN	4	smregions	smregions	0.09963519619065986		65.0	5.0	3.0	1.4108593711367898	0.0	0.0	3.0	0.0	Act
MUC5B	3	smregions		0.010226145709297106		65.0	5.0	4.0	5.1551438575873085	0.0	0.0	3.0	0.0	Act
DNAH8	3	smregions		0.0015669673801791712		67.0	3.0	3.0	8.895561914847221	0.0	0.0	3.0	0.0	Act
SPATS2	3	dndscv		0.003378175262566733		67.0	2.0	2.0	55.595691564650096	0.0	0.0	2.0	0.0	Act
ADAM30	3	dndscv		0.0038997010259561016		67.0	2.0	2.0	30.1000246790483	0.0	0.0	2.0	0.0	Act
KRCC1	4	dndscv		0.07913954252524291		67.0	2.0	2.0	78.1689201584967	0.0	0.0	1.0	0.0	Act
METTL8	3	dndscv		0.006357294914906103		67.0	2.0	2.0	79.12597605971409	0.0	0.0	2.0	0.0	Act
MAGEB10	4	dndscv		0.2431099910893712		67.0	2.0	2.0	38.361884561120796	0.0	0.0	1.0	0.0	Act
ALB	4	dndscv		0.2931084336245441		67.0	2.0	2.0	19.8359257138854	0.0	0.0	1.0	0.0	Act
OR11L1	3	dndscv		0.04754550199632365		67.0	2.0	2.0	79.392988430278	0.0	0.0	2.0	0.0	Act
CPNE4	3	dndscv		0.011702925645788708		67.0	2.0	2.0	110.412636634095	0.0	0.0	2.0	0.0	Act
FMN2	3	oncodrivefml		8.614804097264516e-05		86.0	2.0	2.0	6.20041813084114	86.5221839555407	86.5221839555407	1.0	1.0	LoF
UBE4B	3	oncodrivefml		0.0001845761785622388		86.0	2.0	2.0	9.017476994126687	89.40829739885729	89.40829739885729	1.0	1.0	LoF
CSMD2	3	oncodrivefml		8.614804097264516e-05		86.0	2.0	2.0	3.68511854955837	41.0638952502934	41.0638952502934	1.0	1.0	LoF
KMT2D	2	oncodrivefml		0.0015669673801791712	0.01308488346565832	89.0	2.0	2.0	2.6073299661014504	32.069381939101	32.069381939101	1.0	1.0	LoF
ECPAS	3	oncodrivefml		0.007907357394733711		90.0	2.0	2.0	5.6086785510844015	43.071754548333395	43.071754548333395	1.0	1.0	LoF
ZNF208	3	oncodrivefml		0.0005545818917258527		91.0	2.0	2.0	10.1967399346482	115.247996902941	115.247996902941	1.0	1.0	LoF
ANK2	4	oncodrivefml		0.17667312049133266		91.0	2.0	2.0	4.89745644393513	0.0	0.0	1.0	0.0	Act
SCN8A	3	oncodrivefml		0.002923470480876141		91.0	2.0	2.0	19.8283882564619	0.0	0.0	2.0	0.0	Act
PGBD1	3	oncodrivefml		0.0015669673801791712		91.0	2.0	2.0	34.615656918624396	0.0	0.0	2.0	0.0	Act
USP9X	3	oncodrivefml		0.0015483517912564832		91.0	2.0	2.0	6.96296907512279	58.8420484364429	58.8420484364429	1.0	1.0	LoF
PLXNB2	3	oncodrivefml		0.0004024154160901127		91.0	2.0	2.0	4.71519831243717	59.2098199077592	59.2098199077592	1.0	1.0	LoF
KEAP1	4	oncodrivefml		0.05775399050385808	0.6316658143274411	91.0	2.0	2.0	18.541072946461398	0.0	0.0	1.0	0.0	Act
FBN3	3	oncodrivefml		0.008702508598877551		98.0	2.0	2.0	8.601744383483469	0.0	0.0	2.0	0.0	Act
PCDH11X	3	oncodrivefml		0.005118386740738081		98.0	2.0	2.0	16.2341107825166	0.0	0.0	2.0	0.0	Act
DMD	3	oncodrivefml		0.005118386740738081		98.0	2.0	2.0	0.0	22.2099353818988	22.2099353818988	0.0	1.0	LoF
DOCK9	3	oncodrivefml		0.006954087412561824		101.0	2.0	2.0	11.159351118397801	0.0	0.0	2.0	0.0	Act
WNK1	4	oncodrivefml		0.3303341468449366		102.0	2.0	2.0	4.25478426118038	0.0	0.0	1.0	0.0	Act
TMEM132C	3	oncodrivefml		0.002589965504722895		103.0	2.0	2.0	15.2226889413504	0.0	0.0	2.0	0.0	Act
NOS1	3	oncodrivefml		0.005437822677669885		103.0	2.0	2.0	13.8340046079286	0.0	0.0	2.0	0.0	Act
MPDZ	3	oncodrivefml		0.006567774865166525		105.0	2.0	2.0	14.720378749723999	0.0	0.0	2.0	0.0	Act
PKHD1	3	oncodrivefml		0.007134829638624163		106.0	2.0	2.0	2.11176195297759	21.0958734163797	21.0958734163797	1.0	1.0	LoF
NEB	3	mutpanning	mutpanning	0.00017488927033844378		107.0	4.0	4.0	7.09616813900347	0.0	0.0	4.0	0.0	Act
