SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PBRM1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.9582864266299e-07	3.8479001057818985e-06	1.0	5.0	5.0	0.0	346.2111338963411	346.2111338963411	0.0	5.0	LoF
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	8.477670451112958e-15	4.111958524927578e-14	2.0	6.0	6.0	177.25995134624299	0.0	0.0	6.0	0.0	Act
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	2.779154851108775e-06	2.3108307974816988e-05	2.0	5.0	5.0	45.091105603505106	535.66228657771	535.66228657771	3.0	2.0	LoF
LRP1B	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	1.107900179627144e-08	8.685082058869028e-08	4.0	4.0	4.0	8.25829074708877	23.7824608605775	23.7824608605775	3.0	1.0	LoF
EPHA2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	2.90008412464424e-09		5.0	3.0	3.0	21.278010959011397	139.270973560491	139.270973560491	2.0	1.0	LoF
NYAP2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	3.108832940432543e-09		6.0	3.0	3.0	32.205508499133	254.153316280322	254.153316280322	2.0	1.0	LoF
FGFR2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	1.1937419940661498e-08	8.685082058869028e-08	7.0	3.0	3.0	28.490689733779696	143.953176887054	143.953176887054	2.0	1.0	LoF
ZNF521	1	oncodriveclustl,oncodrivefml	oncodriveclustl	0.00011400005437634848	0.001327053694209575	8.0	3.0	2.0	8.51365122925411	111.108031376155	111.108031376155	1.0	1.0	LoF
TP53	1	dndscv,oncodrivefml,smregions		2.90008412464424e-09	1.9948504261778407e-08	9.0	3.0	3.0	83.3322619487315	0.0	0.0	3.0	0.0	Act
DNAH5	1	oncodrivefml,smregions,cbase	cbase	0.00411282290289136		10.0	3.0	3.0	5.29218557443713	25.188283667414304	25.188283667414304	2.0	1.0	LoF
MUC16	1	oncodrivefml,cbase	cbase	3.0185247405024933e-05	0.0003228511995739052	10.0	5.0	4.0	4.5231571379683295	0.0	0.0	5.0	0.0	Act
IVL	1	dndscv,oncodrivefml,mutpanning		3.1757878933814364e-08		13.0	2.0	2.0	0.0	356.651695059951	356.651695059951	0.0	2.0	LoF
PIK3CA	1	dndscv,oncodrivefml,smregions		2.0730780031247083e-06	1.843441131350009e-05	13.0	3.0	3.0	36.2734744162262	0.0	0.0	3.0	0.0	Act
NEB	1	cbase,mutpanning	cbase	3.0185247405024933e-05		16.0	4.0	4.0	5.78872444562698	0.0	0.0	4.0	0.0	Act
DNAH8	1	oncodrivefml,smregions		0.003265274553258307		17.0	3.0	3.0	8.144503827033969	0.0	0.0	3.0	0.0	Act
LAMA3	1	oncodrivefml,smregions		5.540584141412828e-06		17.0	3.0	3.0	10.8049664356182	0.0	0.0	3.0	0.0	Act
ELF3	1	dndscv,oncodrivefml		4.77443357543742e-05	0.000514613928841554	17.0	2.0	2.0	59.621099879149114	0.0	0.0	2.0	0.0	Act
ARAF	1	oncodriveclustl	oncodriveclustl	0.00020590645568139223	0.002269809877873109	17.0	2.0	2.0	35.198024547139504	0.0	0.0	2.0	0.0	Act
POTEH	1	dndscv,oncodrivefml		2.8094673816079987e-06		17.0	2.0	2.0	22.481510627325395	216.31205721383998	216.31205721383998	1.0	1.0	LoF
F13A1	1	dndscv,smregions		1.6175603296636103e-06		57.0	3.0	2.0	48.4175007973038	0.0	0.0	3.0	0.0	Act
CHD7	1	oncodrivefml		0.000913654615360726		58.0	2.0	2.0	3.99626244535606	39.9592634932821	39.9592634932821	1.0	1.0	LoF
NME8	1	oncodrivefml		7.922104847849796e-05		58.0	3.0	2.0	20.5183582348824	131.194661414424	131.194661414424	1.0	1.0	LoF
UBE4B	1	oncodrivefml		7.59700666801213e-05		58.0	2.0	2.0	8.814058311291179	86.91114312071122	86.91114312071122	1.0	1.0	LoF
CSMD2	1	oncodrivefml		6.8943161743787e-05		58.0	2.0	2.0	3.17703916454202	35.718154306215794	35.718154306215794	1.0	1.0	LoF
TMEM132C	1	oncodrivefml		0.0008414605664814483		58.0	2.0	2.0	19.820968444364	0.0	0.0	2.0	0.0	Act
FMN2	1	oncodrivefml		3.260399019729533e-05		58.0	2.0	2.0	6.29788245733462	89.69517742949881	89.69517742949881	1.0	1.0	LoF
USP9X	1	oncodrivefml		0.0008720627253059901		58.0	2.0	2.0	4.87719922991629	41.5127489947458	41.5127489947458	1.0	1.0	LoF
PGBD1	1	oncodrivefml		0.0010765155646454553		58.0	2.0	2.0	31.8469148342695	0.0	0.0	2.0	0.0	Act
SCN8A	1	oncodrivefml		0.003039129821038675		58.0	2.0	2.0	12.1713417749505	0.0	0.0	2.0	0.0	Act
DMD	1	oncodrivefml		0.003039129821038675		58.0	2.0	2.0	0.0	22.6254324179196	22.6254324179196	0.0	1.0	LoF
DOCK9	1	oncodrivefml		0.003039129821038675		58.0	2.0	2.0	11.7028871750763	0.0	0.0	2.0	0.0	Act
MPDZ	1	oncodrivefml		0.00411282290289136		58.0	2.0	2.0	12.180932699509402	0.0	0.0	2.0	0.0	Act
FBN3	1	oncodrivefml		0.004616314210902982		58.0	2.0	2.0	7.814534026553509	0.0	0.0	2.0	0.0	Act
KMT2D	1	oncodrivefml		0.0008720627253059901	0.011062556037084151	58.0	2.0	2.0	2.09878083800289	26.0311486454645	26.0311486454645	1.0	1.0	LoF
NOS1	1	oncodrivefml		0.002111449044952893		58.0	2.0	2.0	15.4078189311282	0.0	0.0	2.0	0.0	Act
AHNAK2	1	oncodrivefml		0.013420610399493304		73.0	2.0	2.0	4.1178758401993	0.0	0.0	2.0	0.0	Act
FLT3	1	oncodrivefml		0.001561383863908427	0.0187222770286448	73.0	2.0	2.0	25.4205278050112	0.0	0.0	2.0	0.0	Act
CNNM4	1	oncodrivefml		0.0007404089830485223		75.0	2.0	2.0	27.778171281181397	0.0	0.0	2.0	0.0	Act
ARHGAP23	1	oncodrivefml		0.0021077482075121073		75.0	2.0	2.0	12.483823779284599	0.0	0.0	2.0	0.0	Act
BIRC6	1	oncodrivefml		0.017134378832286145	0.2361604554330583	77.0	2.0	2.0	5.27524420465122	0.0	0.0	2.0	0.0	Act
PRPF40A	1	oncodrivefml		0.0024248186540218987		78.0	2.0	2.0	25.8162721272972	0.0	0.0	2.0	0.0	Act
PCLO	1	oncodrivefml		0.00752522954467073		78.0	2.0	2.0	4.90002240422257	0.0	0.0	2.0	0.0	Act
SNCAIP	1	oncodrivefml		0.001993060333155165		80.0	2.0	2.0	24.2237351038659	0.0	0.0	2.0	0.0	Act
TTN	4	smregions		0.11165663664614743		81.0	5.0	3.0	0.956354569470096	0.0	0.0	3.0	0.0	ambiguous
DCAF4L2	3	dndscv		1.81531706293698e-06		81.0	3.0	3.0	84.87143362312791	0.0	0.0	3.0	0.0	Act
SDK2	3	smregions		6.497514931255258e-06		83.0	3.0	3.0	14.613254063166401	0.0	0.0	3.0	0.0	Act
MUC5B	3	smregions		0.009015883234015323		83.0	4.0	3.0	5.3422158600633205	0.0	0.0	3.0	0.0	Act
MAGEC1	3	dndscv		2.0301586623299397e-05		87.0	3.0	3.0	33.2918007081061	0.0	0.0	3.0	0.0	Act
SPRED1	3	dndscv		0.0008414605664814483		88.0	2.0	2.0	54.2198634006359	0.0	0.0	2.0	0.0	Act
OTX2	3	dndscv		0.0007025605133043385		88.0	2.0	2.0	81.3323304319009	0.0	0.0	2.0	0.0	Act
METTL8	3	dndscv		0.0026875965866128212		88.0	2.0	2.0	63.9008315318752	0.0	0.0	2.0	0.0	Act
RIOK2	3	dndscv		0.004861853816924902		88.0	3.0	3.0	40.4964649986678	0.0	0.0	2.0	0.0	Act
UBR1	3	dndscv		0.008040102085240109		88.0	2.0	2.0	14.60477525059	0.0	0.0	2.0	0.0	Act
HRH3	3	dndscv		0.0010531797771314846		88.0	2.0	2.0	44.111014456228105	0.0	0.0	2.0	0.0	Act
GSDMA	3	dndscv		0.0007404089830485223		88.0	2.0	2.0	54.5800205579233	0.0	0.0	2.0	0.0	Act
