SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PBRM1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5133676236954884e-09	4.4959629820620135e-09	1.0	8.0	8.0	6.5094636894213	283.743924747674	283.743924747674	1.0	5.0	LoF
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	5.388976645065521e-15	1.6009751449715485e-14	2.0	6.0	6.0	141.403535355294	0.0	0.0	6.0	0.0	Act
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.2217155471112385e-07	1.3200693209085942e-06	3.0	7.0	7.0	22.0755168045148	252.58269182690103	252.58269182690103	2.0	2.0	LoF
EPHA2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,cbase	1.9641274922129068e-09		4.0	6.0	6.0	21.139593478955103	128.809880667763	128.809880667763	2.0	1.0	LoF
FGFR2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	7.269891263824038e-08	5.039448235798024e-07	5.0	4.0	4.0	22.645901003668694	108.560139502946	108.560139502946	2.0	1.0	LoF
ZNF521	1	oncodriveclustl,oncodrivefml		0.0008572817469573326	0.007331833469186183	6.0	3.0	2.0	5.65651071401945	71.0747957711361	71.0747957711361	1.0	1.0	LoF
LRP1B	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	7.5339282266754195e-06	5.371690825619575e-05	7.0	5.0	5.0	12.4759035759976	25.9282300967693	25.9282300967693	4.0	1.0	LoF
NYAP2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	1.2401795702468832e-08		8.0	3.0	3.0	26.192807670843	191.97809271068002	191.97809271068002	2.0	1.0	LoF
CHD7	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	5.595374867324705e-08		8.0	5.0	5.0	17.2808651637358	56.2598701351779	56.2598701351779	3.0	1.0	LoF
MUC16	1	oncodrivefml,cbase	cbase	0.007011782922760066	0.0739853916759449	11.0	9.0	6.0	6.58929410139374	0.0	0.0	6.0	0.0	Act
ABCA1	1	oncodrivefml,cbase	cbase	0.00024671789491607666		11.0	2.0	2.0	4.6042159882446505	42.4945113770354	42.4945113770354	1.0	1.0	LoF
IVL	1	dndscv,oncodrivefml,mutpanning		5.595374867324705e-08		13.0	2.0	2.0	0.0	312.305622742416	312.305622742416	0.0	2.0	LoF
ARID1A	1	dndscv,oncodrivefml,mutpanning		0.00023617957064770128	0.0017541253528313644	14.0	7.0	7.0	0.0	82.3310709133205	82.3310709133205	0.0	1.0	LoF
CDKN2A	1	dndscv,oncodrivefml		0.00016119801102131207	0.0011174156569546787	15.0	2.0	2.0	73.51481883471041	0.0	0.0	2.0	0.0	Act
TP53	1	dndscv,oncodrivefml		0.00046820247997693886	0.003657808032149361	15.0	3.0	3.0	55.44656019164111	0.0	0.0	2.0	0.0	Act
CCDC83	1	dndscv,oncodrivefml		2.983710559624647e-05		15.0	2.0	2.0	38.6100919978555	279.144680672525	279.144680672525	1.0	1.0	LoF
ELF3	1	dndscv,oncodrivefml		0.00015835760953597104	0.0011173284043665623	15.0	4.0	4.0	56.3950575156001	0.0	0.0	2.0	0.0	Act
NF1	1	dndscv,oncodrivefml		8.437959296367806e-06	5.431350327641195e-05	15.0	3.0	3.0	0.0	70.3876135954514	70.3876135954514	0.0	2.0	LoF
DNAH17	1	smregions,cbase	cbase	0.00048124631702408136		20.0	3.0	3.0	5.401117676552792	29.254714340307693	29.254714340307693	2.0	1.0	LoF
DNAH5	1	smregions,cbase	cbase	0.00196968252629792		20.0	4.0	4.0	5.914208379358442	18.490965442190106	18.490965442190106	3.0	1.0	LoF
BMP7	4	oncodriveclustl		0.26416600445760025		22.0	3.0	2.0	10.9441973573375	0.0	0.0	1.0	0.0	Act
BCOR	2	oncodriveclustl		0.002630860762201417	0.023121886174465683	22.0	2.0	2.0	13.6793133680231	0.0	0.0	2.0	0.0	Act
IDH2	2	oncodriveclustl		0.0014192570853812756	0.013970832756153816	30.0	2.0	2.0	54.944521582727795	0.0	0.0	2.0	0.0	Act
F13A1	3	dndscv,smregions,mutpanning		6.159596590405733e-06		33.0	3.0	2.0	43.0013370084398	0.0	0.0	3.0	0.0	Act
PLXNB2	3	oncodrivefml		0.00023495379413971865		34.0	2.0	2.0	4.38832017711961	52.56268923277822	52.56268923277822	1.0	1.0	LoF
POTEH	3	oncodrivefml		1.804998510460794e-05		34.0	2.0	2.0	18.6659092447053	172.70940528408005	172.70940528408005	1.0	1.0	LoF
TPTE	3	oncodrivefml		0.00023617957064770128		34.0	2.0	2.0	19.406341351178998	118.783654503279	118.783654503279	1.0	1.0	LoF
NME8	3	oncodrivefml		0.00016794442989042678		34.0	3.0	2.0	20.103592209793398	126.37757845799801	126.37757845799801	1.0	1.0	LoF
UBE4B	3	oncodrivefml		0.00016119801102131207		34.0	2.0	2.0	7.94900141549605	77.0637652817243	77.0637652817243	1.0	1.0	LoF
UNC79	3	oncodrivefml		0.0005753287639280942		34.0	2.0	2.0	5.049588400942191	47.113083948822	47.113083948822	1.0	1.0	LoF
ZNF208	3	oncodrivefml		0.00046820247997693886		34.0	2.0	2.0	8.73174699936206	91.56789649909	91.56789649909	1.0	1.0	LoF
PHF20L1	3	oncodrivefml		0.0005882676786106412		34.0	2.0	2.0	8.62847263231463	67.673626323778	67.673626323778	1.0	1.0	LoF
CAD	4	oncodrivefml		0.2472742111155429		34.0	2.0	2.0	4.06594486090705	0.0	0.0	1.0	0.0	Act
ANK2	4	oncodrivefml		0.1987724645514673		34.0	2.0	2.0	4.378805264865529	0.0	0.0	1.0	0.0	Act
DISP1	4	oncodrivefml		0.1570618579289711		34.0	2.0	2.0	10.7827396138241	0.0	0.0	1.0	0.0	Act
TMEM260	3	oncodrivefml		0.008509353997073773		34.0	2.0	2.0	0.0	81.11624991691859	81.11624991691859	0.0	1.0	LoF
FBN3	3	oncodrivefml		0.0069039998521512		34.0	2.0	2.0	7.1525034016267695	0.0	0.0	2.0	0.0	Act
DMD	3	oncodrivefml		0.006520340367208713		34.0	2.0	2.0	0.0	17.3147567081925	17.3147567081925	0.0	1.0	LoF
ECPAS	3	oncodrivefml		0.005876154706886822		34.0	2.0	2.0	5.610752711226572	42.2449204567485	42.2449204567485	1.0	1.0	LoF
KEAP1	4	oncodrivefml		0.05908287365024669	0.6210897724297406	34.0	2.0	2.0	15.741630316206	0.0	0.0	1.0	0.0	Act
KMT2D	2	oncodrivefml		0.0012545361654732984	0.011979700258693687	34.0	2.0	2.0	2.13810783219716	25.7037817873558	25.7037817873558	1.0	1.0	LoF
SCN8A	3	oncodrivefml		0.0024335061231356464		34.0	2.0	2.0	15.953062363381	0.0	0.0	2.0	0.0	Act
PCDH11X	3	oncodrivefml		0.004000390941016456		34.0	2.0	2.0	14.4661911157566	0.0	0.0	2.0	0.0	Act
USP9X	3	oncodrivefml		0.0010005374657917508		34.0	2.0	2.0	6.07343294369178	50.4712832351815	50.4712832351815	1.0	1.0	LoF
DOCK9	3	oncodrivefml		0.0051620878065349535		54.0	2.0	2.0	10.1383418856071	0.0	0.0	2.0	0.0	Act
WNK1	4	oncodrivefml		0.3284353299369782		83.0	2.0	2.0	3.68642041293575	0.0	0.0	1.0	0.0	Act
DCAF4L2	3	dndscv,mutpanning		2.833253157921321e-06		84.0	3.0	3.0	87.3093351582045	0.0	0.0	3.0	0.0	Act
LAMA3	3	smregions,mutpanning		6.159596590405733e-06		85.0	3.0	3.0	16.7415360907519	0.0	0.0	3.0	0.0	Act
KIF19	3	smregions,mutpanning		1.4416470305072754e-05		85.0	3.0	3.0	19.271520284178198	0.0	0.0	3.0	0.0	Act
CPNE4	3	dndscv		0.005762489940535413		87.0	2.0	2.0	97.55675788658009	0.0	0.0	2.0	0.0	Act
CTCF	4	dndscv		0.21434974045883132	0.9594753313932809	87.0	2.0	2.0	15.633452224161198	0.0	0.0	1.0	0.0	Act
ALB	4	dndscv		0.21010355120612886		87.0	2.0	2.0	17.1319381171061	0.0	0.0	1.0	0.0	Act
MAGEB10	4	dndscv		0.20460957133353952		87.0	2.0	2.0	31.7557850644178	0.0	0.0	1.0	0.0	Act
GPR50	4	dndscv		0.13872394739233487		87.0	2.0	2.0	20.23206016667	0.0	0.0	1.0	0.0	Act
KRCC1	4	dndscv,mutpanning		0.08406669612760098		87.0	2.0	2.0	63.597134744408905	0.0	0.0	1.0	0.0	Act
PIK3CA	2	dndscv,smregions		9.324961626785485e-06	5.540581366581709e-05	87.0	3.0	3.0	30.225411198923698	0.0	0.0	3.0	0.0	Act
CDC37L1	3	dndscv		0.0010005374657917508		87.0	2.0	2.0	86.48103394351222	0.0	0.0	2.0	0.0	Act
UBR1	3	dndscv		0.0169506916692198		87.0	3.0	3.0	12.458355271338501	0.0	0.0	2.0	0.0	Act
EFNB2	3	dndscv		0.00027359574100647245		87.0	2.0	2.0	76.24024630866771	0.0	0.0	2.0	0.0	Act
NEB	3	mutpanning		0.00010445925084340228		108.0	4.0	4.0	6.452171542465	0.0	0.0	4.0	0.0	Act
TAF2	4	mutpanning		0.4604612020191269		120.0	2.0	2.0	7.342751715229942	0.0	0.0	1.0	0.0	Act
TTN	3	smregions		0.04790601248592157		131.0	6.0	4.0	1.6740645049708	0.0	0.0	4.0	0.0	Act
MUC5B	3	smregions		0.005876154706886822		132.0	6.0	5.0	6.10302977260146	0.0	0.0	4.0	0.0	Act
