SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.8647984413921826e-11	1.1267807531462931e-10	1.0	6.0	6.0	183.82069452868302	0.0	0.0	6.0	0.0	Act
PBRM1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.904417874473659e-14	5.380381308898068e-13	2.0	5.0	5.0	0.0	354.594595304243	354.594595304243	0.0	5.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.0037200965838005e-08	9.703761747311859e-08	3.0	5.0	5.0	30.069715597245693	359.482534108626	359.482534108626	2.0	2.0	LoF
FGFR2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	2.106867310232352e-05	0.00027052265537421967	4.0	4.0	4.0	43.751619046357405	143.89235889098	143.89235889098	3.0	1.0	LoF
LRP1B	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	1.4704434672919764e-09	1.3327451595498044e-08	5.0	4.0	4.0	8.5026502743322	24.217797301262802	24.217797301262802	3.0	1.0	LoF
IVL	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.267463401974153e-09		6.0	2.0	2.0	0.0	363.590911625599	363.590911625599	0.0	2.0	LoF
TP53	1	dndscv,oncodrivefml,smregions	dndscv	7.516230461841281e-10	7.569311185441856e-09	7.0	3.0	3.0	84.5276135908795	0.0	0.0	3.0	0.0	Act
ZNF521	1	oncodriveclustl,oncodrivefml	oncodriveclustl	5.056078731861064e-05	0.0005832408848394122	7.0	3.0	2.0	9.440811074661779	120.945147346017	120.945147346017	1.0	1.0	LoF
NYAP2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	4.907530216509321e-10		9.0	3.0	3.0	32.368739031177604	251.77799270088002	251.77799270088002	2.0	1.0	LoF
MAGEA1	1	dndscv,oncodrivefml,smregions,cbase	dndscv,cbase	2.789814351851527e-10		10.0	3.0	2.0	83.10169100965291	652.000191768133	652.000191768133	2.0	1.0	LoF
MUC16	1	oncodrivefml,cbase	cbase	5.056078731861064e-05	0.0005832408848394122	11.0	5.0	4.0	4.5185265920473485	0.0	0.0	5.0	0.0	Act
DNAH5	1	oncodrivefml,smregions,cbase	cbase	0.00030491266051982635		11.0	3.0	3.0	5.40486564937212	25.3656199575343	25.3656199575343	2.0	1.0	LoF
IDH2	1	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	0.00028678309280782065	0.003275594706273887	13.0	2.0	2.0	48.045639157886285	0.0	0.0	2.0	0.0	Act
MUC5B	1	oncodrivefml,smregions		0.0013133997123136742		14.0	4.0	3.0	5.61403718020545	0.0	0.0	3.0	0.0	Act
PIK3CA	1	dndscv,oncodrivefml,smregions		9.100900865793408e-07	9.165172764563136e-06	14.0	3.0	3.0	37.7341805871034	0.0	0.0	3.0	0.0	Act
ARAF	1	oncodriveclustl,oncodrivefml	oncodriveclustl	0.00015774396411388628	0.0015658857551474705	16.0	2.0	2.0	35.381412650147	0.0	0.0	2.0	0.0	Act
SDK2	1	smregions,cbase,mutpanning	cbase	6.249448576005398e-06		17.0	3.0	3.0	14.441624176725302	0.0	0.0	3.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml		1.8787547704368023e-05	0.00024326007590583053	18.0	2.0	2.0	98.50868533456129	0.0	0.0	2.0	0.0	Act
ELF3	1	dndscv,oncodrivefml		2.7580689061729625e-05	0.00033330561527141064	18.0	2.0	2.0	60.2015152743862	0.0	0.0	2.0	0.0	Act
AIRE	1	dndscv,oncodrivefml		4.1910792106633727e-05		18.0	2.0	2.0	37.457459880925	0.0	0.0	2.0	0.0	Act
EPHA2	1	dndscv,oncodrivefml		2.6594577842853848e-06		18.0	2.0	2.0	10.593396163884199	134.45336753260202	134.45336753260202	1.0	1.0	LoF
UBE4B	1	oncodrivefml		2.106867310232352e-05		26.0	2.0	2.0	8.964089556266028	88.82300844531048	88.82300844531048	1.0	1.0	LoF
TMEM132C	1	oncodrivefml		0.00028678309280782065		26.0	2.0	2.0	19.7369236133568	0.0	0.0	2.0	0.0	Act
FMN2	1	oncodrivefml		1.3308565939584525e-05		26.0	2.0	2.0	6.3729894173843	89.08095736941941	89.08095736941941	1.0	1.0	LoF
USP9X	1	oncodrivefml		0.00028678309280782065		26.0	2.0	2.0	5.0482809129738895	42.0259681470406	42.0259681470406	1.0	1.0	LoF
FLT3	1	oncodrivefml		0.00039931115890821787	0.004417580894866939	26.0	2.0	2.0	26.1685778793293	0.0	0.0	2.0	0.0	Act
