SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	5.0705760593901875e-18	1.2911859751232872e-17	1.0	6.0	6.0	142.062576866072	0.0	0.0	6.0	0.0	Act
PBRM1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.496853467621534e-15	8.904487580050549e-15	2.0	9.0	9.0	5.5066345946171	288.37619668213796	288.37619668213796	1.0	6.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.0559326299397676e-09	2.6888570183823368e-09	3.0	10.0	10.0	33.1173437021603	286.30472900099	286.30472900099	4.0	2.0	LoF
FGFR2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	2.636718558673192e-07	1.0550910028405024e-06	4.0	5.0	5.0	33.1585854549612	105.37842255648701	105.37842255648701	3.0	1.0	LoF
MUC4	1	oncodriveclustl,dndscv,cbase	oncodriveclustl,cbase	1.2500731781834834e-08	3.81986646876353e-08	5.0	11.0	11.0	12.912576994268901	0.0	0.0	9.0	0.0	Act
EPHA2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,cbase	4.2736395045700925e-08		6.0	6.0	6.0	18.9601785926045	115.251797240729	115.251797240729	2.0	1.0	LoF
LRP1B	1	oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	3.8557236900921886e-08	1.1454712462648881e-07	7.0	5.0	5.0	11.5164837832213	23.788279788880896	23.788279788880896	4.0	1.0	LoF
CHD7	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	3.940320495071575e-08		7.0	5.0	5.0	15.6253209265015	50.982023886005	50.982023886005	3.0	1.0	LoF
NYAP2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	3.8232340223445883e-07		7.0	3.0	3.0	27.336803299217898	200.877784053824	200.877784053824	2.0	1.0	LoF
KMT2D	1	oncodrivefml,smregions,cbase,mutpanning	cbase	6.759076806147423e-06	2.8730776435060998e-05	7.0	3.0	2.0	4.343847413714291	26.511140042090698	26.511140042090698	2.0	1.0	LoF
ZNF521	1	oncodriveclustl,oncodrivefml		0.0009488929161668487	0.006397373969895528	7.0	3.0	2.0	5.36736678387628	66.58825171420871	66.58825171420871	1.0	1.0	LoF
MAGEA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	2.095818905692079e-07		12.0	3.0	2.0	56.512187042967994	446.750840541489	446.750840541489	2.0	1.0	LoF
TP53	1	dndscv,oncodrivefml,smregions	oncodrivefml	2.9699196222033692e-09	7.562688180825008e-09	13.0	6.0	5.0	75.2979610331996	0.0	0.0	3.0	0.0	Act
IVL	1	dndscv,oncodrivefml		9.776971678934131e-09		13.0	2.0	2.0	0.0	323.13415681801797	323.13415681801797	0.0	2.0	LoF
KRAS	1	oncodriveclustl,dndscv		0.004806086994570079	0.039935692045482134	13.0	3.0	2.0	92.0539503419422	0.0	0.0	2.0	0.0	Act
CCDC83	1	dndscv,oncodrivefml		6.759076806147423e-06		17.0	2.0	2.0	36.2415902544213	264.232610343293	264.232610343293	1.0	1.0	LoF
ARID1A	1	dndscv,oncodrivefml		8.853928941421418e-05	0.00048097914935112167	17.0	7.0	7.0	0.0	75.52850562334021	75.52850562334021	0.0	1.0	LoF
ABCA1	1	oncodrivefml,cbase	cbase	3.507359031756133e-05		19.0	2.0	2.0	4.35098403686593	40.211937726676105	40.211937726676105	1.0	1.0	LoF
MUC16	1	oncodrivefml,cbase	cbase	0.00016126618453957245	0.000917929832755289	19.0	9.0	6.0	6.946115626151661	0.0	0.0	6.0	0.0	Act
NF1	1	dndscv,oncodrivefml		1.737493121717166e-06	7.189653457676972e-06	21.0	3.0	3.0	0.0	64.76714708275139	64.76714708275139	0.0	2.0	LoF
ELF3	1	dndscv,oncodrivefml		4.44683409326548e-05	0.00023462960895947568	22.0	4.0	4.0	48.30106317321071	0.0	0.0	2.0	0.0	Act
ARAF	1	oncodriveclustl		0.0007389817588885209	0.004754135195706695	23.0	2.0	2.0	32.7171684055156	0.0	0.0	2.0	0.0	Act
BCOR	1	oncodriveclustl		0.010172283395209591	0.091608146238131	23.0	2.0	2.0	12.2522620190487	0.0	0.0	2.0	0.0	Act
GOLGA6L9	1	oncodriveclustl		0.005724137466052565		23.0	3.0	2.0	27.549690587155197	0.0	0.0	2.0	0.0	Act
RABGAP1	1	oncodriveclustl,smregions		0.0002121057065527285		23.0	3.0	2.0	30.112364400270906	0.0	0.0	3.0	0.0	Act
IDH2	1	oncodriveclustl		0.0009896283368485892	0.006584562826960435	31.0	2.0	2.0	60.8705205578601	0.0	0.0	2.0	0.0	Act
BMP7	4	oncodriveclustl		0.4920742095393442		33.0	3.0	2.0	9.28132902770991	0.0	0.0	1.0	0.0	Act
DCAF4L2	3	dndscv		2.171976913997492e-06		36.0	3.0	3.0	90.16761463573401	0.0	0.0	3.0	0.0	Act
SDK2	3	dndscv,smregions,mutpanning		0.000160785356910123		38.0	3.0	3.0	16.3436868896811	0.0	0.0	3.0	0.0	Act
OTX2	3	dndscv		0.0003608542210295096		40.0	2.0	2.0	82.5209899852093	0.0	0.0	2.0	0.0	Act
PTCH1	2	dndscv		0.00033221117382663246	0.001861094454515913	40.0	2.0	2.0	25.6193062463028	0.0	0.0	2.0	0.0	Act
KRCC1	3	dndscv		0.03590070837311449		40.0	2.0	2.0	60.9606773990675	0.0	0.0	1.0	0.0	Act
CDC37L1	3	dndscv		0.0007382861437912707		40.0	2.0	2.0	85.23001074524541	0.0	0.0	2.0	0.0	Act
CSMD2	3	oncodrivefml		0.0004081960133628456		40.0	2.0	2.0	3.20879756704037	34.410327290009796	34.410327290009796	1.0	1.0	LoF
GOLGA6L6	3	dndscv		0.0008398228913231586		40.0	3.0	2.0	33.583838707386796	0.0	0.0	3.0	0.0	Act
DNAH5	3	smregions,cbase	cbase	0.001549266300601231		40.0	4.0	4.0	5.42684705907354	16.9245006755418	16.9245006755418	3.0	1.0	LoF
KMT2C	2	dndscv		0.0003305472393579967	0.001861094454515913	40.0	2.0	2.0	0.0	41.7389198378855	41.7389198378855	0.0	1.0	LoF
TPTE	3	oncodrivefml		3.507359031756133e-05		40.0	2.0	2.0	18.1770132113142	111.113361782132	111.113361782132	1.0	1.0	LoF
SPRED1	3	dndscv		0.000755639910404395		40.0	3.0	2.0	39.54533835712471	0.0	0.0	2.0	0.0	Act
POTEH	3	oncodrivefml		3.862230472932009e-05		40.0	2.0	2.0	16.8157183358757	156.15549555018	156.15549555018	1.0	1.0	LoF
MAGEB10	4	dndscv		0.1247496067205792		40.0	2.0	2.0	31.1214248640554	0.0	0.0	1.0	0.0	Act
DNAH17	3	smregions,cbase	cbase	0.0007444173011436722		63.0	3.0	3.0	5.02013770573094	27.0407658921526	27.0407658921526	2.0	1.0	LoF
UBE4B	3	oncodrivefml		2.6990311211153376e-05		89.0	2.0	2.0	7.97584468394951	77.96236684809641	77.96236684809641	1.0	1.0	LoF
AIRE	3	oncodrivefml		7.99373721773568e-05		90.0	2.0	2.0	30.1146532875356	0.0	0.0	2.0	0.0	Act
UNC79	3	oncodrivefml		9.047878749230574e-05		91.0	2.0	2.0	4.89678215222592	45.684599667565095	45.684599667565095	1.0	1.0	LoF
ECPAS	3	oncodrivefml		0.003725962476958085		92.0	2.0	2.0	5.855237599457411	44.260220109954396	44.260220109954396	1.0	1.0	LoF
PLXNB2	3	oncodrivefml		4.44683409326548e-05		93.0	2.0	2.0	4.39928898421196	52.8651519797058	52.8651519797058	1.0	1.0	LoF
MAP2K1	2	oncodrivefml		7.99373721773568e-05	0.00044292964243275614	93.0	2.0	2.0	62.4150324154507	0.0	0.0	2.0	0.0	Act
PGBD1	3	oncodrivefml		0.00040044508134111		93.0	2.0	2.0	35.3335617353158	0.0	0.0	2.0	0.0	Act
USP9X	3	oncodrivefml		0.00023893746051968217		93.0	2.0	2.0	5.7178233245702685	47.7999524859237	47.7999524859237	1.0	1.0	LoF
NME8	3	oncodrivefml		5.397784010425875e-05		93.0	3.0	2.0	17.982923636771893	112.33722059245599	112.33722059245599	1.0	1.0	LoF
SCN8A	3	oncodrivefml		0.0008347399932938982		93.0	2.0	2.0	15.493945330281901	0.0	0.0	2.0	0.0	Act
DISP1	4	oncodrivefml		0.05718509429783195		93.0	2.0	2.0	10.4752951095944	0.0	0.0	1.0	0.0	Act
ANK2	4	oncodrivefml		0.10199391679479812		93.0	2.0	2.0	4.17558598208904	0.0	0.0	1.0	0.0	Act
PHF20L1	3	oncodrivefml		0.00016930391431269323		93.0	3.0	3.0	7.562086636945518	59.560331774843206	59.560331774843206	1.0	1.0	LoF
KEAP1	2	oncodrivefml		0.017239192779952537	0.15120550714892494	93.0	2.0	2.0	14.693049861884901	0.0	0.0	1.0	0.0	Act
ZNF208	3	oncodrivefml		8.853928941421418e-05		103.0	2.0	2.0	9.60401731742769	101.489081736283	101.489081736283	1.0	1.0	LoF
TMEM260	3	oncodrivefml		0.002503403577578651		104.0	2.0	2.0	0.0	76.30810463666941	76.30810463666941	0.0	1.0	LoF
PCDH11X	3	oncodrivefml		0.0013745289331808525		104.0	2.0	2.0	14.6455053343648	0.0	0.0	2.0	0.0	Act
DMD	3	oncodrivefml		0.008357669272417573		104.0	2.0	2.0	0.0	16.058114200294	16.058114200294	0.0	1.0	LoF
NEB	3	mutpanning		7.99373721773568e-05		108.0	4.0	4.0	6.193853569687881	0.0	0.0	4.0	0.0	Act
