SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.5474895516591827e-17	6.269091195073847e-17	1.0	6.0	6.0	155.996139840974	0.0	0.0	6.0	0.0	Act
PBRM1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.607006323246568e-13	6.510201752697746e-13	2.0	8.0	8.0	6.79265018861144	300.440305170364	300.440305170364	1.0	5.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	4.084200367116933e-08	2.363664660514913e-07	3.0	7.0	7.0	38.417724888543404	302.185444551846	302.185444551846	3.0	2.0	LoF
FGFR2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	4.855241009199427e-10	1.9669243406586314e-09	4.0	5.0	5.0	37.4043230820611	123.126903285417	123.126903285417	3.0	1.0	LoF
LRP1B	1	oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	1.000091266340834e-08	6.482409753645588e-08	5.0	4.0	4.0	7.24241522538712	20.4956711250219	20.4956711250219	3.0	1.0	LoF
MUC4	1	oncodriveclustl,dndscv,cbase	oncodriveclustl,dndscv,cbase	4.766465550635255e-08	2.655070263752295e-07	6.0	8.0	8.0	12.5852882966063	0.0	0.0	7.0	0.0	Act
IVL	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.6971074543466546e-09		7.0	2.0	2.0	0.0	314.571897320675	314.571897320675	0.0	2.0	LoF
NF1	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	3.561058231285297e-08	2.1639498740679684e-07	7.0	2.0	2.0	0.0	68.9328300583405	68.9328300583405	0.0	2.0	LoF
ZNF521	1	oncodriveclustl,oncodrivefml	oncodriveclustl	0.00017940549490489814	0.0015898665217868374	9.0	3.0	2.0	8.04178392376286	101.818942684525	101.818942684525	1.0	1.0	LoF
MAGEA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	2.4940014586087163e-09		10.0	3.0	2.0	70.19724020733379	552.553865277673	552.553865277673	2.0	1.0	LoF
