SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.670182403190528e-27	1.2238255466363777e-28	1.0	98.0	85.0	121.447795202714	0.0	0.0	96.0	0.0	Act
APC	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	1.9040320023737854e-21	1.3951787551269242e-22	2.0	334.0	238.0	3.10998443361282	339.54961245925	339.54961245925	18.0	222.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.466894985169077e-12	1.343583456553394e-13	3.0	189.0	184.0	173.731912865274	365.528322424693	365.528322424693	154.0	22.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.075152986433183e-10	2.62887010045127e-11	4.0	158.0	155.0	300.944044754263	0.0	0.0	156.0	0.0	Act
AMER1	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.06435477647994947	0.031814540170793784	5.0	38.0	38.0	2.32931808812025	174.551018471305	174.551018471305	4.0	28.0	LoF
BRAF	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.0599180177549635e-18	2.615846113086682e-19	6.0	21.0	21.0	34.9000240027133	10.016701246976	10.016701246976	21.0	0.0	Act
PCBP1	2	oncodriveclustl,dndscv,smregions,mutpanning	dndscv,smregions,mutpanning	1.5547670884977875e-10	1.3463922927001045e-11	7.0	16.0	16.0	17.961373791540503	0.0	0.0	15.0	0.0	Act
FBXW7	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.590171091980734e-27	4.828945463479732e-28	8.0	47.0	41.0	25.425175335953803	61.507942693843496	61.507942693843496	28.0	11.0	LoF
SMAD4	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.174392485843287e-21	1.5932853007586312e-22	9.0	36.0	33.0	66.50309728589579	112.330674753481	112.330674753481	28.0	4.0	LoF
NRAS	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.8148798355328289e-28	1.3298525373979346e-29	10.0	16.0	16.0	94.02066988280079	0.0	0.0	16.0	0.0	Act
SOX9	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.127519184144874e-20		11.0	39.0	34.0	21.4764807135356	254.45337285029098	254.45337285029098	12.0	5.0	LoF
ARID1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	6.558119481123831e-08	5.44618761162608e-09	12.0	23.0	23.0	1.06451226015652	31.9450522601854	31.9450522601854	5.0	10.0	LoF
TGIF1	3	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.745914958817543e-13		13.0	12.0	12.0	4.11025076818825	151.430160587644	151.430160587644	2.0	4.0	LoF
