SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4044823792109485e-29	1.082978076763515e-30	1.0	92.0	79.0	57.11597676486521	0.0	0.0	91.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.318916025532215e-17	6.4146078380488596e-18	1.0	173.0	169.0	177.56035610613895	364.487275096966	364.487275096966	151.0	21.0	LoF
APC	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.429376361274783e-23	4.957608404054153e-24	3.0	240.0	183.0	4.03810501804209	464.01749591490096	464.01749591490096	17.0	218.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.568418341276334e-15	2.7515609234586627e-16	4.0	152.0	149.0	301.45700101083196	0.0	0.0	150.0	0.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.716975032269749e-20	3.637198034096341e-21	5.0	20.0	20.0	34.7064928864957	10.492462126989803	10.492462126989803	20.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.429376361274783e-23	4.957608404054153e-24	6.0	40.0	37.0	26.1868629674241	63.8619549524645	63.8619549524645	28.0	11.0	LoF
AMER1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.000619265479300846	0.00012133174394056008	7.0	33.0	33.0	2.40563328182828	182.601147454513	182.601147454513	4.0	28.0	LoF
PCBP1	1	oncodriveclustl,dndscv,smregions,mutpanning	dndscv,smregions,mutpanning	2.7375847930523937e-09	2.1109159915716053e-10	8.0	15.0	15.0	17.3045451767975	0.0	0.0	14.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.746561991509851e-12	2.8889251727886643e-13	9.0	30.0	28.0	30.3454930801637	43.7517464948574	43.7517464948574	26.0	3.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	6.429376361274783e-23	4.957608404054153e-24	10.0	16.0	16.0	43.514590093984005	0.0	0.0	15.0	0.0	Act
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7779941500164272e-08		11.0	16.0	16.0	20.548598963873197	261.545052537626	261.545052537626	11.0	5.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml,hotmaps,mutpanning	hotmaps,mutpanning	1.7491404982740343e-10	1.3487394650506156e-11	12.0	10.0	10.0	4.89984146258304	0.0	0.0	9.0	0.0	Act
SMAD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.00091602759198e-07	1.6530860332312812e-08	13.0	11.0	11.0	8.28162136876149	140.711205018864	140.711205018864	3.0	8.0	LoF
ATM	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.6138377524264928e-08	2.170534433508116e-09	14.0	19.0	19.0	10.1751568379756	40.3393965457752	40.3393965457752	14.0	5.0	LoF
TCF7L2	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.9725909010874903e-16	1.5210391614176878e-17	15.0	22.0	22.0	5.80485244460901	54.1177113647499	54.1177113647499	10.0	10.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.674576023887978e-12	3.6045047107527146e-13	16.0	17.0	17.0	1.07573335589805	28.6988797391115	28.6988797391115	5.0	9.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,mutpanning	1.1699315902146628e-06	1.1426840883695116e-07	17.0	14.0	14.0	21.496214815549106	0.0	0.0	14.0	0.0	Act
RYR2	1	oncodriveclustl,hotmaps,smregions	hotmaps,smregions	0.00035794387662042035		18.0	56.0	52.0	1.73255924442689	0.34707936540324	0.34707936540324	42.0	1.0	Act
PAX3	1	oncodriveclustl,mutpanning	mutpanning	0.00040243851114885027	6.702806081049756e-05	18.0	11.0	11.0	8.27821749520672	9.98179924532854	9.98179924532854	9.0	1.0	LoF
TGIF1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase	3.9046254712983336e-07		20.0	6.0	6.0	4.34183951350063	158.818245107565	158.818245107565	2.0	4.0	LoF
ADAMTSL3	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	4.8904761820210964e-05		21.0	15.0	15.0	11.766859431903804	33.7341902318265	33.7341902318265	12.0	3.0	LoF
MAGEC1	1	oncodriveclustl,hotmaps,mutpanning		2.679211688050172e-06		22.0	28.0	28.0	3.8516969428519294	3.6171088494205694	3.6171088494205694	21.0	1.0	Act
DUSP16	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.0835787999808175e-06		23.0	4.0	4.0	0.0	82.2419153246377	82.2419153246377	0.0	4.0	LoF
NYAP2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	7.233768000458012e-05		24.0	19.0	18.0	13.7841290276657	26.4278969870054	26.4278969870054	16.0	2.0	LoF
C8B	1	oncodriveclustl,hotmaps		0.00046811650933261864		25.0	9.0	9.0	6.922549983215539	8.12310317517318	8.12310317517318	7.0	1.0	LoF
ERBB3	1	oncodriveclustl,hotmaps		0.00012688867705536316	1.6307034472216793e-05	25.0	9.0	9.0	9.89480757955282	0.0	0.0	9.0	0.0	Act
KMT2B	1	oncodrivefml,smregions,cbase	cbase	1.0306731700465915e-06		27.0	19.0	18.0	2.82622935784132	12.9785093131231	12.9785093131231	13.0	4.0	LoF
EYS	1	cbase,mutpanning	cbase	0.00031307843726204233		28.0	27.0	25.0	3.5364736745521403	10.3887944573016	10.3887944573016	19.0	5.0	LoF
ACVR1B	1	dndscv,hotmaps,cbase	cbase	9.735422457371037e-05		28.0	11.0	10.0	18.689815896758894	37.8086833240597	37.8086833240597	10.0	1.0	LoF
RELN	1	oncodriveclustl,cbase	cbase	0.001937679459587468		30.0	21.0	20.0	3.7257452886717295	3.75268363033744	3.75268363033744	17.0	2.0	ambiguous
ANKRD30A	1	dndscv,cbase,mutpanning	cbase	0.004259845167115854		31.0	12.0	10.0	13.867729015545	27.6489272596238	27.6489272596238	11.0	1.0	LoF
TEX47	1	oncodriveclustl,dndscv		0.003557036956178116		32.0	6.0	6.0	24.133754231655196	58.062669422926	58.062669422926	5.0	1.0	LoF
ELMO1	1	dndscv,mutpanning		2.7747507415096886e-05		33.0	10.0	10.0	5.05155031322215	28.1784370344908	28.1784370344908	7.0	2.0	LoF
CATSPERD	1	oncodrivefml,cbase	cbase	2.8259949169820813e-05		33.0	7.0	7.0	8.20735735492299	49.4871209770609	49.4871209770609	5.0	2.0	LoF
BCOR	1	oncodrivefml,cbase	cbase	4.667629934355567e-06	4.7238826314091283e-07	33.0	8.0	8.0	5.123104941447831	45.8014813898768	45.8014813898768	5.0	3.0	LoF
DOCK2	1	oncodriveclustl	oncodriveclustl	0.00011071854561385678		33.0	15.0	14.0	1.45158918207273	6.1592962416451	6.1592962416451	8.0	3.0	LoF
CSNK1A1L	4	oncodriveclustl		0.23707663170496426		37.0	5.0	5.0	0.669113655929825	9.82338133236972	9.82338133236972	1.0	1.0	LoF
TMPRSS15	3	oncodriveclustl		0.0495420172475854		37.0	10.0	8.0	2.08618086559372	2.54118956291636	2.54118956291636	6.0	1.0	LoF
GABBR2	4	oncodriveclustl		0.09053334567290787		37.0	5.0	5.0	2.61602408044284	7.97882253935194	7.97882253935194	4.0	0.0	Act
NOS1	4	oncodriveclustl		0.2702292515740668		37.0	17.0	17.0	1.14679226376383	1.4090871889549	1.4090871889549	9.0	1.0	LoF
DDX43	4	oncodriveclustl		0.11220472761576214		37.0	5.0	5.0	3.64352914887843	0.0	0.0	4.0	0.0	Act
VWC2L	4	oncodriveclustl		0.23409359351949766		37.0	3.0	3.0	4.733894721663679	0.0	0.0	2.0	0.0	Act
GRM7	4	oncodriveclustl		0.1148139331668687		37.0	15.0	15.0	1.6654060316681103	2.84597917392098	2.84597917392098	9.0	0.0	Act
TMEM74	4	oncodriveclustl		0.13174854348806994		37.0	5.0	5.0	14.968880015308399	0.0	0.0	5.0	0.0	Act
DDX60L	3	oncodriveclustl		0.02567778552135749		37.0	8.0	8.0	2.01634362949827	0.0	0.0	6.0	0.0	Act
HSPA1L	3	oncodriveclustl		0.003625526809654749		37.0	8.0	8.0	14.9312548405037	0.0	0.0	8.0	0.0	Act
COL6A5	4	oncodriveclustl		0.3491539270446799		37.0	14.0	14.0	0.896163184423475	0.993542730057823	0.993542730057823	8.0	0.0	ambiguous
FLG	3	oncodriveclustl		0.0004373025075480456		37.0	47.0	40.0	2.214013165847	3.81582918657684	3.81582918657684	34.0	5.0	LoF
PXDNL	3	oncodriveclustl		0.015931597073938968		37.0	17.0	15.0	2.3620825050093703	2.09964146091203	2.09964146091203	12.0	1.0	Act
PRDM9	3	oncodriveclustl		0.000314767101957352		37.0	15.0	13.0	9.59430400927221	7.237761815024941	7.237761815024941	13.0	1.0	Act
CD163	3	oncodriveclustl		0.02773436379361477		37.0	9.0	7.0	4.122719965775181	5.83122292690762	5.83122292690762	7.0	1.0	LoF
LRP2	3	oncodriveclustl		0.009298994808119809		37.0	31.0	30.0	1.87644818063943	2.21391893576725	2.21391893576725	22.0	3.0	LoF
CNTNAP5	3	oncodriveclustl		0.0425662197716034		37.0	8.0	8.0	2.19744726878121	0.0	0.0	6.0	0.0	Act
DYNC1I1	3	oncodriveclustl		0.0007519626733171211		37.0	7.0	7.0	10.6314717393934	13.781549463852599	13.781549463852599	6.0	1.0	LoF
ZNF804A	3	mutpanning		0.0007341958661681629		58.0	15.0	14.0	4.81542960220586	9.53239813295132	9.53239813295132	11.0	2.0	LoF
TPTE	3	mutpanning		0.0067662025216405726		58.0	9.0	8.0	4.19077098675133	11.2806364184687	11.2806364184687	6.0	1.0	LoF
RASEF	3	mutpanning		0.003919765519360156		58.0	8.0	7.0	12.8232871726842	14.439711896491001	14.439711896491001	8.0	0.0	Act
USP9X	3	mutpanning		0.034027269203678226		58.0	13.0	10.0	1.24036183387273	6.7819974371000304	6.7819974371000304	7.0	3.0	LoF
ZNHIT1	3	oncodrivefml		0.0002027643461208281		72.0	2.0	2.0	0.0	104.506359510476	104.506359510476	0.0	2.0	LoF
SLC1A7	3	oncodrivefml		0.022036516124546848		72.0	3.0	3.0	3.16060235042331	36.15032633476871	36.15032633476871	2.0	1.0	LoF
NAGPA	3	oncodrivefml		7.473289453292466e-05		72.0	3.0	3.0	1.6423438949880902	70.3985466182764	70.3985466182764	1.0	2.0	LoF
PRAG1	3	oncodrivefml		0.03880025408701528		72.0	4.0	4.0	2.30303791595378	51.7139250841966	51.7139250841966	2.0	2.0	LoF
NEUROD4	3	oncodrivefml		0.0028952364379703837		72.0	4.0	4.0	11.479386615755502	52.0725294419707	52.0725294419707	3.0	1.0	LoF
MAK	3	oncodrivefml		0.00019746529549091943		72.0	3.0	3.0	0.0	14.524038724326598	14.524038724326598	0.0	2.0	LoF
NCOA7	3	oncodrivefml		0.003113439201932825		72.0	2.0	2.0	0.0	21.7389975084697	21.7389975084697	0.0	2.0	LoF
CPEB2	3	oncodrivefml	oncodrivefml	0.0011194750323892813		72.0	4.0	4.0	2.5704346751048703	40.7753731134473	40.7753731134473	2.0	2.0	LoF
MAP3K21	3	oncodrivefml		0.002141470844466052		72.0	7.0	7.0	5.948353042782888	36.7891915040259	36.7891915040259	5.0	2.0	LoF
PRMT3	3	oncodrivefml		0.004700456418787318		81.0	3.0	3.0	2.444599776436	35.826270784826605	35.826270784826605	1.0	2.0	LoF
HNRNPAB	3	oncodrivefml		0.0016797513894721131		81.0	3.0	3.0	0.0	26.5943451947727	26.5943451947727	0.0	2.0	LoF
HLA-A	2	oncodrivefml		0.038807584656504295	0.021419577785117785	81.0	2.0	2.0	2.3349376083151903	35.9703737752775	35.9703737752775	1.0	1.0	LoF
FRMD6	3	oncodrivefml		0.0085442512987823		81.0	3.0	3.0	1.98339281861177	38.4244611711807	38.4244611711807	1.0	2.0	LoF
SAP130	3	oncodrivefml		0.038807584656504295		81.0	6.0	6.0	6.25330977389667	12.2162173992508	12.2162173992508	5.0	1.0	LoF
TDRD7	3	oncodrivefml		0.015393279476540959		81.0	4.0	4.0	4.16701780119619	12.9920813924084	12.9920813924084	3.0	1.0	LoF
RBM10	2	oncodrivefml		7.152086570685468e-05	8.417449698744659e-06	81.0	5.0	5.0	3.53516169592372	35.1205842220538	35.1205842220538	3.0	2.0	LoF
INA	3	oncodrivefml		0.0253631551600072		81.0	2.0	2.0	1.6203918373303798	48.008968658918	48.008968658918	1.0	1.0	LoF
EFNB1	3	oncodrivefml		0.030161313533202137		81.0	2.0	2.0	2.58893120962311	52.4425971603047	52.4425971603047	1.0	1.0	LoF
PCDH15	3	hotmaps	hotmaps	0.03646533699383266		81.0	27.0	24.0	2.63145674928086	1.10462600895716	1.10462600895716	21.0	0.0	Act
DDX55	3	oncodrivefml		0.0007306120471795402		81.0	2.0	2.0	0.0	37.453297414710704	37.453297414710704	0.0	2.0	LoF
UBN1	3	oncodrivefml		0.03977674933566898		81.0	3.0	3.0	2.70107470213666	15.3693678569012	15.3693678569012	2.0	1.0	LoF
SYNE1	3	hotmaps		0.009652593722301622		93.0	96.0	82.0	2.07431508257998	0.8858638553596629	0.8858638553596629	75.0	4.0	Act
ACSM2A	3	hotmaps		0.0012657070626713187		94.0	7.0	7.0	4.09290811420949	13.3896321230212	13.3896321230212	4.0	2.0	LoF
GOLGB1	4	hotmaps		0.09663603791643688		95.0	11.0	11.0	1.88546031186335	1.8912116601682496	1.8912116601682496	8.0	1.0	ambiguous
ABCE1	3	hotmaps		0.00511972458407972		96.0	4.0	2.0	6.2219730806539415	11.7435738716819	11.7435738716819	3.0	1.0	LoF
CCDC88A	4	hotmaps		0.4308822963973489		97.0	8.0	8.0	1.47484593868244	1.90948707050112	1.90948707050112	5.0	1.0	LoF
MYH9	2	hotmaps		0.0034197167913358802	0.0010068160178386349	98.0	9.0	8.0	0.83207333882929	4.84998227545711	4.84998227545711	4.0	2.0	LoF
SMARCA4	2	hotmaps		0.102218597933287	0.0738785105240158	99.0	11.0	11.0	1.2343555025785802	0.0	0.0	7.0	0.0	Act
