SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.987313696512658e-25	4.255466109239105e-26	1.0	89.0	81.0	97.3243526274996	0.0	0.0	87.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0106791495417918e-12	8.081294837669239e-14	2.0	164.0	163.0	144.090066779135	346.214209192576	346.214209192576	127.0	21.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.963624914863049e-08	3.5854446569500396e-09	3.0	131.0	129.0	366.65851425143995	0.0	0.0	129.0	0.0	Act
APC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	1.5974858602038618e-14	1.1354085125096702e-15	3.0	323.0	237.0	2.9631641292221405	433.99219100561004	433.99219100561004	13.0	207.0	LoF
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.503689949235979e-19	2.490237624419061e-20	5.0	21.0	21.0	28.9986115943232	9.01078991636342	9.01078991636342	20.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2489873443859762e-22	8.87714187749814e-24	6.0	42.0	36.0	20.924220804671897	56.418465257077706	56.418465257077706	24.0	10.0	LoF
AMER1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.017967108648772743	0.007114753929595481	7.0	34.0	34.0	1.12079902874229	164.478401645688	164.478401645688	2.0	26.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	9.105463976643149e-19	6.471682514993565e-20	8.0	34.0	32.0	55.701575569954606	76.7989401114678	76.7989401114678	27.0	3.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	7.742055663843318e-30	5.502643950744972e-31	9.0	16.0	16.0	82.7240161053515	0.0	0.0	16.0	0.0	Act
SMAD2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.1608718029926585e-11	2.745820740801652e-12	10.0	15.0	14.0	13.8795116388464	108.37159023997299	108.37159023997299	6.0	7.0	LoF
PCBP1	1	dndscv,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	4.083200922592727e-09	3.482548072287154e-10	11.0	13.0	13.0	29.807113373050605	0.0	0.0	13.0	0.0	Act
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5462920187417694e-11		12.0	46.0	39.0	17.5276961547979	215.012678829397	215.012678829397	11.0	5.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.358042771627536e-15	5.940455028262216e-16	13.0	21.0	21.0	1.09015559796949	44.1800808583817	44.1800808583817	4.0	10.0	LoF
TGIF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.72693818934951e-14		14.0	13.0	12.0	1.91855659714888	141.514631499305	141.514631499305	1.0	4.0	LoF
MAGEC1	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	8.725394971253531e-08		15.0	24.0	24.0	4.63661103359198	4.772698519789191	4.772698519789191	19.0	1.0	ambiguous
CTNNB1	1	oncodriveclustl,dndscv,mutpanning	mutpanning	2.852123745855952e-07	2.650873823656664e-08	16.0	14.0	14.0	15.5544901337805	0.0	0.0	12.0	0.0	Act
PAX3	1	oncodriveclustl,mutpanning	mutpanning	0.00012876418311065472	2.1862818562621357e-05	17.0	12.0	12.0	5.35997173079883	6.49640395089442	6.49640395089442	9.0	1.0	LoF
