SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2411691740844399e-16	9.143266576352942e-18	1.0	181.0	175.0	172.233671898649	385.596617233451	385.596617233451	156.0	24.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.8317365598119454e-20	1.3493773462724484e-21	2.0	85.0	75.0	99.0819785462529	0.0	0.0	85.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.7488438351478086e-10	1.4054325010533098e-11	3.0	151.0	148.0	319.234771309083	0.0	0.0	149.0	0.0	Act
APC	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	8.283181045219119e-14	6.1019346901278855e-15	4.0	228.0	182.0	3.43661038636262	316.840584614168	316.840584614168	19.0	206.0	LoF
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.654415785714728e-23	3.428748084834385e-24	5.0	27.0	27.0	40.464370940954296	8.95347781720983	8.95347781720983	27.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6024499801839022e-25	1.917135424991389e-26	6.0	43.0	40.0	28.9815531157267	61.3359060495236	61.3359060495236	31.0	11.0	LoF
AMER1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.039956430952664136	0.020347659421802743	7.0	32.0	32.0	1.19757308264409	115.19639471744	115.19639471744	3.0	27.0	LoF
PCBP1	1	oncodriveclustl,dndscv,smregions,mutpanning	dndscv,smregions,mutpanning	2.4791322490766164e-09	1.9567408846059881e-10	8.0	15.0	15.0	16.710074180502602	0.0	0.0	14.0	0.0	Act
GNAS	1	oncodrivefml,hotmaps,mutpanning	hotmaps,mutpanning	6.811398599071277e-12	5.017723163729549e-13	9.0	10.0	10.0	2.6785900884154	0.0	0.0	8.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	3.8461064213489305e-18	2.8332943667696717e-19	10.0	15.0	15.0	41.9302790281325	0.0	0.0	14.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.387045750000333e-16	4.705117009588424e-17	11.0	23.0	22.0	46.3144861575445	89.6903209491864	89.6903209491864	20.0	3.0	LoF
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.978321590719815e-11		12.0	15.0	15.0	16.566684385683402	190.57703745811298	190.57703745811298	11.0	4.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3000532879443135e-11	9.57704559808082e-13	13.0	18.0	18.0	1.97796674731844	40.523829575467204	40.523829575467204	7.0	9.0	LoF
SMAD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7075952541202341e-09	1.3546903079221452e-10	14.0	10.0	10.0	7.43389619025246	107.872879688494	107.872879688494	3.0	7.0	LoF
ATM	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	9.229718986671529e-13	6.799216648464932e-14	15.0	19.0	19.0	8.10995074315374	34.0206328980452	34.0206328980452	13.0	6.0	LoF
TCF7L2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.033058010789508e-10	3.218599773010349e-11	16.0	25.0	24.0	7.5222007045850185	55.2167459858741	55.2167459858741	13.0	10.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,mutpanning	mutpanning	1.85710991269827e-05	2.1889104367630874e-06	17.0	13.0	13.0	17.1598383817363	0.0	0.0	13.0	0.0	Act
TGIF1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase	7.439300034275183e-09		18.0	6.0	6.0	3.5605557667408	137.945654275694	137.945654275694	2.0	4.0	LoF
MAGEC1	1	oncodriveclustl,hotmaps,mutpanning		7.545685141847862e-06		19.0	25.0	25.0	3.59408626979361	4.29731555902029	4.29731555902029	18.0	1.0	LoF
C8B	1	oncodriveclustl,hotmaps		0.0031901373018163627		20.0	7.0	7.0	4.83432750791162	8.06176241209443	8.06176241209443	5.0	1.0	LoF
ACVR2A	1	oncodrivefml,hotmaps		0.00011638851694105383	1.3932655563296275e-05	21.0	6.0	6.0	9.463684974978499	35.0646307291647	35.0646307291647	4.0	2.0	LoF
RAF1	1	oncodriveclustl,hotmaps		0.0008693096857729437	0.00017189430756088704	22.0	6.0	6.0	9.329269234206393	0.0	0.0	6.0	0.0	Act
ELMO1	1	dndscv,cbase,mutpanning	cbase	0.0006771445914664527		23.0	8.0	8.0	7.9978992656698	42.4049388662225	42.4049388662225	6.0	2.0	LoF
RYR2	1	hotmaps,smregions	hotmaps,smregions	0.003371255424970982		24.0	49.0	44.0	2.0537496370569	0.459509926825141	0.459509926825141	38.0	1.0	Act
MYH6	4	hotmaps		0.2924504004500035		25.0	18.0	17.0	1.41812759797554	0.0	0.0	12.0	0.0	Act
BCL3	2	hotmaps		0.05786095902109065	0.03262908502909306	25.0	4.0	4.0	2.2494695833413703	0.0	0.0	3.0	0.0	Act
HYDIN	4	hotmaps		0.3101781935154708		25.0	31.0	31.0	0.759767993751729	0.4663540406631521	0.4663540406631521	17.0	1.0	ambiguous
RPA1	4	hotmaps		0.3088641088588993		25.0	5.0	5.0	3.5133764549833595	0.0	0.0	4.0	0.0	Act
ITPR3	4	hotmaps		0.20199861080993006		25.0	14.0	11.0	0.916164174312129	1.7450294987062498	1.7450294987062498	8.0	1.0	LoF
ACSM2A	4	hotmaps		0.06695604140307336		25.0	7.0	7.0	2.6712622266073702	4.23619486345526	4.23619486345526	4.0	1.0	LoF
PRMT5	4	hotmaps		0.15825192786806686		25.0	3.0	3.0	4.55772585850868	0.0	0.0	3.0	0.0	Act
KRT72	4	hotmaps		0.07727923446160724		25.0	3.0	3.0	4.59294211688924	0.0	0.0	3.0	0.0	Act
BCHE	4	hotmaps		0.05812101297453815		25.0	8.0	8.0	6.06454165599489	11.2490078254929	11.2490078254929	6.0	1.0	LoF
MYO5A	2	hotmaps		0.04570960689547557	0.02369715970286254	25.0	16.0	16.0	2.3262425478207702	1.33125413809293	1.33125413809293	12.0	1.0	Act
CTNND1	2	hotmaps		0.041389269821618585	0.021404931749774984	25.0	8.0	8.0	0.621003355753518	2.3619029293155096	2.3619029293155096	3.0	1.0	LoF
ME3	4	hotmaps		0.1199273945721957		25.0	6.0	6.0	2.09685602486487	0.0	0.0	4.0	0.0	Act
MAP2K1	2	hotmaps		0.012059522291716394	0.004077452681446505	25.0	4.0	4.0	10.1087375710567	0.0	0.0	4.0	0.0	Act
KRT15	3	hotmaps		0.0009436345019114713		25.0	5.0	5.0	8.01005142420249	19.6890774362168	19.6890774362168	4.0	1.0	LoF
RAB40C	3	hotmaps		0.040055901294580726		25.0	4.0	3.0	8.84765402463232	0.0	0.0	4.0	0.0	Act
FUK	3	hotmaps		0.01427166225617239		25.0	8.0	8.0	7.86257099487966	0.0	0.0	8.0	0.0	Act
ACVR1B	3	hotmaps		0.00037001081802755335		25.0	8.0	7.0	12.5970034228538	16.3799212011875	16.3799212011875	8.0	0.0	Act
SNX1	3	hotmaps		0.021319235576218037		25.0	4.0	4.0	6.87569546801101	0.0	0.0	4.0	0.0	Act
