SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.284490447626197e-25	3.8823249918290475e-26	1.0	98.0	84.0	124.92039576982401	0.0	0.0	96.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.895001009775145e-14	5.065509154427764e-15	2.0	196.0	187.0	115.866801336019	243.144336810471	243.144336810471	156.0	22.0	LoF
APC	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	3.0196042541169377e-15	2.2183945978098095e-16	3.0	348.0	246.0	3.2518678061503703	336.06818486909697	336.06818486909697	19.0	221.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.598817890605271e-15	4.847914073670713e-16	4.0	156.0	153.0	297.089174500693	0.0	0.0	154.0	0.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.757396895396844e-18	2.0257602857811488e-19	5.0	23.0	23.0	39.947838653836996	10.5103951945505	10.5103951945505	23.0	0.0	Act
AMER1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.030968511128011782	0.011416353018230059	6.0	37.0	37.0	1.79450552279613	179.89259344060295	179.89259344060295	3.0	28.0	LoF
PCBP1	1	oncodriveclustl,dndscv,smregions,mutpanning	dndscv,smregions,mutpanning	7.61043621406597e-09	5.59111365710981e-10	7.0	15.0	15.0	17.6416277855568	0.0	0.0	14.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.2885366242059686e-18	2.4159695337201337e-19	8.0	46.0	40.0	25.9083630829564	57.207746993445504	57.207746993445504	28.0	10.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.3082032021742545e-13	9.610898224772713e-15	9.0	34.0	32.0	64.3336117888439	118.5876453502	118.5876453502	26.0	4.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.5888435623816247e-24	1.1672661974650244e-25	10.0	17.0	17.0	45.752121942488	0.0	0.0	16.0	0.0	Act
