SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MYD88	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	1.6960927543099392e-14	1.698474907054756e-14	1.0	7.0	7.0	71.04197062897059	0.0	0.0	7.0	0.0	Act
CD79B	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,mutpanning	1.3543447832036406e-10	1.6953086910537142e-10	1.0	6.0	4.0	81.63187525685001	0.0	0.0	5.0	0.0	Act
KMT2D	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	5.654372887519636e-13	5.662314422474018e-13	3.0	14.0	11.0	2.4408618701450298	44.43009125822	44.43009125822	4.0	5.0	LoF
PIM1	1	oncodriveclustl,dndscv,mutpanning	dndscv	5.593039636288871e-06	9.478437741446331e-06	4.0	47.0	10.0	10.201725031377801	18.902833353555806	18.902833353555806	14.0	2.0	LoF
P2RY8	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.3543447832036406e-10	1.6953086910537142e-10	5.0	8.0	6.0	62.3680115786401	0.0	0.0	8.0	0.0	Act
FOXC1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	4.951943709534008e-08		6.0	4.0	3.0	14.4917617835582	205.90080633041904	205.90080633041904	3.0	1.0	LoF
TP53	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.6897734454073288e-08	2.256195630291059e-08	6.0	4.0	4.0	26.9716757928872	182.67239977185397	182.67239977185397	3.0	1.0	LoF
ARID1A	1	oncodrivefml,cbase,mutpanning	cbase	5.837780710878783e-09	8.351399772986703e-09	6.0	3.0	3.0	1.57525475588046	42.4919934166725	42.4919934166725	1.0	2.0	LoF
SPEN	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.6891179789935385e-10	3.231473796105157e-10	6.0	3.0	3.0	0.0	34.003611888459204	34.003611888459204	0.0	3.0	LoF
BCL10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	2.497718461026812e-09	3.334968656764264e-09	6.0	4.0	2.0	34.603591206676	313.473419659726	313.473419659726	2.0	2.0	LoF
CD70	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	1.7439597990978607e-09		11.0	3.0	3.0	15.159037790123199	412.709274753319	412.709274753319	1.0	2.0	LoF
B2M	1	oncodriveclustl,dndscv,oncodrivefml	dndscv	1.6897734454073288e-08	2.256195630291059e-08	11.0	7.0	7.0	179.37436428789601	0.0	0.0	5.0	0.0	Act
IRF4	1	dndscv,smregions,cbase,mutpanning	dndscv,cbase	4.007677727843121e-05	8.262689829669951e-05	11.0	6.0	5.0	47.584606884074496	0.0	0.0	6.0	0.0	Act
