SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MYD88	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	3.8311845066016535e-17	4.32220657153003e-17	1.0	7.0	7.0	75.2694169570462	0.0	0.0	7.0	0.0	Act
KMT2D	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.829033862749904e-07	2.6824865306691234e-07	2.0	8.0	7.0	2.9778448746247594	45.103203812238206	45.103203812238206	4.0	4.0	LoF
P2RY8	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.635379456486129e-08	2.459969519988629e-08	3.0	8.0	6.0	69.3062095397861	0.0	0.0	8.0	0.0	Act
B2M	1	dndscv,oncodrivefml,mutpanning	dndscv	7.516993715562407e-10	1.187256823872531e-09	3.0	7.0	5.0	270.763466568631	0.0	0.0	7.0	0.0	Act
BCL10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	2.23524838846194e-08	3.242221724403317e-08	3.0	4.0	2.0	36.5099540562574	342.309288898206	342.309288898206	2.0	2.0	LoF
TP53	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.226620542730713e-10	2.7676596423006285e-10	6.0	4.0	4.0	29.1884256252426	196.331623064064	196.331623064064	3.0	1.0	LoF
CARD11	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	3.089443203011272e-10	5.809000537307587e-10	6.0	9.0	8.0	31.653139917870398	0.0	0.0	9.0	0.0	Act
CD79B	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	7.516993715562407e-10	1.187256823872531e-09	8.0	6.0	5.0	85.0416560536615	0.0	0.0	5.0	0.0	Act
CD70	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	8.711345358291555e-08		9.0	3.0	3.0	17.200111309400302	458.00703933815987	458.00703933815987	1.0	2.0	LoF
IGLL5	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps	0.0004102835904220852		9.0	39.0	11.0	9.83089473469941	11.501374097917099	11.501374097917099	11.0	1.0	LoF
TMSB4X	1	dndscv,oncodrivefml,cbase	dndscv,cbase	6.507797415222438e-11		11.0	4.0	4.0	316.40127943038897	2079.92757433349	2079.92757433349	3.0	1.0	LoF
PIM1	1	oncodriveclustl,dndscv,hotmaps	dndscv	8.112453290778693e-05	0.0001769421906048851	12.0	57.0	10.0	8.01392607001385	15.772063627139401	15.772063627139401	13.0	2.0	LoF
BTG2	1	dndscv,smregions,mutpanning	dndscv,mutpanning	8.501141840276946e-14		13.0	16.0	12.0	64.78168691566961	346.89975808688	346.89975808688	12.0	1.0	LoF
STAT3	1	dndscv,smregions,cbase,mutpanning	dndscv,smregions	1.6676949126800166e-07	2.5085790564152987e-07	14.0	6.0	5.0	36.9259115094479	0.0	0.0	6.0	0.0	Act
KLF2	1	dndscv,smregions,cbase,mutpanning	dndscv,cbase	1.6952638974318262e-06		15.0	6.0	2.0	24.346959000445	183.58575297164901	183.58575297164901	4.0	0.0	Act
KLHL6	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	dndscv	4.83133226773955e-07		16.0	5.0	5.0	36.5622493493835	0.0	0.0	5.0	0.0	Act
