SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MYD88	1	oncodriveclustl,dndscv,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	6.308173445775628e-14	5.297676874956449e-14	1.0	7.0	7.0	62.34812130278979	0.0	0.0	7.0	0.0	Act
KMT2D	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	8.21017726552561e-12	6.895001637596891e-12	2.0	15.0	12.0	1.8715643849294497	34.1028051588845	34.1028051588845	4.0	5.0	LoF
CD79B	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.2044971867681774e-13	1.8513621839407666e-13	3.0	9.0	5.0	93.0219348032275	0.0	0.0	6.0	0.0	Act
ARID1A	1	oncodrivefml,cbase,mutpanning	cbase	6.433453474004152e-08	6.753610610961366e-08	4.0	3.0	3.0	1.46286519146393	39.7148747757853	39.7148747757853	1.0	2.0	LoF
CARD11	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.5345557649642168e-09	1.6109220559768647e-09	4.0	9.0	8.0	24.458924248632197	0.0	0.0	9.0	0.0	Act
SPEN	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	8.102574978086746e-09	9.526490392374782e-09	4.0	3.0	3.0	0.0	30.2803739136854	30.2803739136854	0.0	3.0	LoF
BCL10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	6.012907065898982e-08	6.492482692558265e-08	4.0	4.0	2.0	32.526428245504896	298.475672538698	298.475672538698	2.0	2.0	LoF
UBE2A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.677676724169276e-10		8.0	2.0	2.0	0.0	779.037993210266	779.037993210266	0.0	2.0	LoF
TP53	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.9042248844937956e-08	2.132253384600041e-08	9.0	4.0	4.0	24.372308926972398	166.47696047429702	166.47696047429702	3.0	1.0	LoF
CSNK2A1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.0683914093700107e-06		10.0	3.0	2.0	7.777651051885071	88.61153770102041	88.61153770102041	1.0	2.0	LoF
STAT3	1	dndscv,smregions,cbase,mutpanning	dndscv,smregions	1.0590922130283145e-07	1.0870907246147193e-07	11.0	6.0	5.0	30.338930945482996	0.0	0.0	6.0	0.0	Act
PIM1	1	dndscv,hotmaps,mutpanning	dndscv	5.386435708978731e-05	0.00010460803919211418	12.0	62.0	10.0	7.4625646040674996	6.98193874607669	6.98193874607669	14.0	1.0	Act
STRC	1	oncodrivefml,cbase,mutpanning	cbase	2.0683914093700107e-06		13.0	4.0	2.0	5.6642737546665005	17.532549347376097	17.532549347376097	3.0	1.0	LoF
FOXC1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.255549028804117e-07		13.0	4.0	3.0	12.2007850491504	177.447685560223	177.447685560223	3.0	1.0	LoF
PDE3A	1	cbase,mutpanning	cbase	3.512538266330481e-06		13.0	5.0	4.0	9.6534447079328	31.9960839317408	31.9960839317408	4.0	1.0	LoF
CSMD3	1	cbase,mutpanning	cbase	4.9209027534345295e-06	7.920875957358937e-06	16.0	5.0	5.0	4.4294542170390185	9.090180730728447	9.090180730728447	4.0	1.0	LoF
KLF2	1	dndscv,smregions,cbase,mutpanning	cbase	1.491662714900357e-06		16.0	6.0	2.0	20.0882308248177	156.822733766026	156.822733766026	4.0	0.0	Act
TMEM30A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	cbase	1.2309926972930742e-07		16.0	3.0	3.0	10.4010664520658	201.929132969954	201.929132969954	1.0	2.0	LoF
NFKBIA	1	dndscv,cbase,mutpanning	cbase	2.6097127285368925e-06		16.0	5.0	5.0	21.7858879884554	206.26527582500702	206.26527582500702	2.0	2.0	LoF
USH2A	1	smregions,cbase,mutpanning		1.277455725212521e-05		20.0	6.0	5.0	4.14122773103169	0.0	0.0	6.0	0.0	Act
CD70	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	2.555066334612142e-07		21.0	3.0	3.0	13.4745568700825	370.53005766885695	370.53005766885695	1.0	2.0	LoF
IGLL5	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps	6.909858672906325e-05		22.0	47.0	14.0	9.8034013172927	21.38010121146	21.38010121146	12.0	1.0	LoF
PTPN6	1	oncodrivefml,smregions,cbase,mutpanning	cbase	6.259700398553342e-07	8.411149840600295e-07	23.0	4.0	3.0	14.9419219946981	48.610416055941	48.610416055941	3.0	1.0	LoF
HIST1H1C	1	dndscv,smregions,mutpanning	dndscv,smregions	8.313463870020898e-06		24.0	12.0	8.0	108.35837218569999	0.0	0.0	8.0	0.0	Act
