SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.5662819702496225e-18	2.4565751095204153e-19	1.0	121.0	112.0	208.30196282108898	947.312989430024	947.312989430024	93.0	27.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase	5.0478419663623825e-12	7.917094857053186e-13	2.0	10.0	10.0	16.594307872309	160.871598972866	160.871598972866	5.0	5.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.260060214650147e-18	9.818352250430169e-19	3.0	15.0	15.0	24.747136410699802	0.0	0.0	15.0	0.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase	dndscv,cbase	0.0007597870932389898	0.0005446479755860349	4.0	16.0	14.0	1.18790331578616	14.738378210682399	14.738378210682399	7.0	6.0	LoF
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	5.459027591947025e-11	8.562003240339263e-12	4.0	14.0	14.0	43.3361473240528	0.0	0.0	14.0	0.0	Act
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.984821750565577e-09	4.681429626381999e-10	6.0	5.0	4.0	1.63011498106668	36.330119742301896	36.330119742301896	2.0	3.0	LoF
GNAS	1	dndscv,hotmaps,cbase	cbase	5.418714031364444e-07	1.322031663026834e-07	7.0	10.0	10.0	14.104958765189302	25.4814294475253	25.4814294475253	9.0	1.0	LoF
TRRAP	1	oncodrivefml,cbase	cbase	6.900527385186615e-07	1.6234302768273395e-07	8.0	11.0	10.0	7.8121307519483105	0.0	0.0	11.0	0.0	Act
FBXW7	1	oncodriveclustl,oncodrivefml,cbase	cbase	1.064450117627189e-07	2.3849944499660167e-08	9.0	6.0	6.0	10.873970480995	44.8370048563402	44.8370048563402	4.0	2.0	LoF
CCDC85A	1	oncodrivefml,cbase	cbase	7.443741724844073e-06		10.0	5.0	5.0	8.8727336812934	84.6657808290563	84.6657808290563	3.0	2.0	LoF
RNF169	1	oncodrivefml,cbase	cbase	1.794544624251005e-05		10.0	4.0	4.0	4.38764133216448	65.0651380529991	65.0651380529991	2.0	2.0	LoF
HCN1	1	dndscv,oncodrivefml,cbase	cbase	3.582122523536046e-07		10.0	9.0	9.0	5.6665988741674695	42.669522804075896	42.669522804075896	5.0	3.0	LoF
