SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1258126242233395e-14	1.7089725379417522e-15	1.0	122.0	114.0	370.250202937903	1691.26675085749	1691.26675085749	94.0	28.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase	5.027228242779346e-15	7.631283238453639e-16	2.0	11.0	11.0	19.231258582882603	154.382942203181	154.382942203181	6.0	5.0	LoF
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.512056402682421e-14	2.2952868109699093e-15	3.0	15.0	15.0	44.8586498417583	0.0	0.0	15.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	8.365210128268924e-13	1.2698307050150616e-13	4.0	14.0	14.0	22.816992931238197	0.0	0.0	14.0	0.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.5293215114277275e-07	3.250093107743576e-08	5.0	15.0	14.0	0.990376372721724	14.200860206339	14.200860206339	6.0	6.0	LoF
CDKN2A	1	dndscv,oncodrivefml,mutpanning	dndscv	6.003143250709814e-07	1.366906899432435e-07	5.0	4.0	4.0	20.1018742365948	404.237996676186	404.237996676186	3.0	1.0	LoF
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.2273981200314303e-09		5.0	5.0	5.0	4.88252020650034	128.568488909829	128.568488909829	2.0	3.0	LoF
HCN1	1	dndscv,oncodrivefml,cbase	cbase	2.455067899644621e-05		8.0	8.0	8.0	9.61443215801138	72.17830097007041	72.17830097007041	5.0	3.0	LoF
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.9131692932638567e-06	5.407947162660822e-07	9.0	5.0	4.0	1.59585835614693	35.6479880297173	35.6479880297173	2.0	3.0	LoF
FBXW7	1	oncodriveclustl,oncodrivefml,cbase	cbase	9.196541384744745e-07	1.994322822264365e-07	10.0	6.0	6.0	10.6933234089859	44.7312074790185	44.7312074790185	4.0	2.0	LoF
HLA-B	1	dndscv,oncodrivefml,mutpanning	dndscv	9.643311147291529e-07		11.0	3.0	3.0	4.07894948704719	206.05876139734403	206.05876139734403	1.0	2.0	LoF
ZNF804B	1	dndscv,cbase,mutpanning	dndscv,cbase	6.003143250709814e-07		12.0	17.0	16.0	24.128224833246694	0.0	0.0	17.0	0.0	Act
CSMD3	1	dndscv,cbase,mutpanning	dndscv,cbase	8.029539261668213e-06	2.1330333433567195e-06	12.0	32.0	29.0	7.695728291318399	4.84920694064538	4.84920694064538	28.0	2.0	Act
CNTNAP5	1	dndscv,smregions,cbase	dndscv,smregions,cbase	1.7017037582802056e-08		14.0	16.0	15.0	23.6125839780042	0.0	0.0	16.0	0.0	Act
RNF169	1	oncodrivefml,cbase	oncodrivefml	9.643311147291529e-07		14.0	4.0	4.0	4.42933932829331	65.1160625032139	65.1160625032139	2.0	2.0	LoF
TRRAP	1	oncodrivefml,cbase	cbase	8.598502372960527e-06	2.2375615530597117e-06	14.0	11.0	10.0	8.13974860820537	0.0	0.0	11.0	0.0	Act
OR6T1	1	dndscv,oncodrivefml		0.00015502866257303974		14.0	2.0	2.0	0.0	204.251427520163	204.251427520163	0.0	2.0	LoF
CCDC85A	1	oncodrivefml,cbase	cbase	1.677444246232264e-06		14.0	5.0	5.0	8.93203537332437	83.9923338909165	83.9923338909165	3.0	2.0	LoF
PTCH1	1	dndscv,oncodrivefml		1.9792058456457758e-06	5.407947162660822e-07	19.0	2.0	2.0	0.0	59.743591794697	59.743591794697	0.0	2.0	LoF
ANGPT1	1	dndscv,oncodrivefml,cbase	cbase	7.174160184776112e-06		20.0	7.0	6.0	16.5910969745062	59.3061393998991	59.3061393998991	5.0	2.0	LoF
SYNE1	1	hotmaps,cbase	cbase	0.00016968250750342112		21.0	37.0	30.0	4.28746727262267	2.40093510009362	2.40093510009362	32.0	2.0	Act
NLGN1	1	dndscv,cbase	cbase	9.643311147291529e-07		21.0	8.0	8.0	13.050372174002499	53.41084942318989	53.41084942318989	6.0	2.0	LoF
LRFN5	1	dndscv,cbase	cbase	0.0002707515700352227		21.0	8.0	8.0	17.1888836816228	37.2699099528191	37.2699099528191	7.0	1.0	LoF
ARID1A	1	dndscv,cbase	cbase	8.598502372960527e-06	2.2375615530597117e-06	21.0	8.0	8.0	0.732704573085032	19.8041689577997	19.8041689577997	2.0	4.0	LoF
CYLC1	1	dndscv,cbase	cbase	9.68857939964667e-05		21.0	7.0	6.0	12.8531049716762	57.8098370577123	57.8098370577123	5.0	2.0	LoF
GNAS	1	hotmaps,cbase	cbase	1.9792058456457758e-06	5.407947162660822e-07	21.0	11.0	11.0	7.76240734246972	13.8707524968911	13.8707524968911	9.0	1.0	LoF
HDAC9	1	hotmaps,cbase	cbase	3.912569540540557e-05		21.0	7.0	7.0	9.28101284943268	30.5206868176755	30.5206868176755	5.0	2.0	LoF
SORCS3	1	dndscv,cbase	cbase	0.0006594060970651294		21.0	11.0	10.0	16.5897210369461	0.0	0.0	11.0	0.0	Act
PKHD1L1	1	smregions,cbase,mutpanning	cbase	9.68857939964667e-05		29.0	17.0	15.0	10.8637814730673	5.97468330878523	5.97468330878523	17.0	0.0	Act
PNLIPRP3	1	oncodriveclustl,hotmaps,smregions		0.002433805148870274		30.0	5.0	5.0	7.24280099189745	0.0	0.0	4.0	0.0	Act
FANK1	1	oncodriveclustl,hotmaps,smregions	oncodriveclustl	0.000650250988395638		30.0	3.0	3.0	14.2928399479261	0.0	0.0	3.0	0.0	Act
CADM1	1	oncodriveclustl,oncodrivefml		0.01881649482357249		30.0	2.0	2.0	3.60188244030023	35.936954906927795	35.936954906927795	1.0	1.0	LoF
POTEH	3	dndscv,smregions		1.7998169797985073e-05		33.0	7.0	7.0	21.1125358073382	0.0	0.0	7.0	0.0	Act
DST	4	hotmaps,smregions	smregions	0.10502715498503004		33.0	7.0	7.0	0.605533082686832	1.28588408572606	1.28588408572606	4.0	0.0	ambiguous
POMZP3	3	oncodrivefml		8.81286732580337e-06		33.0	2.0	2.0	0.0	178.429204480754	178.429204480754	0.0	2.0	LoF
ADCK2	3	oncodrivefml		1.6558025650194313e-05		33.0	2.0	2.0	0.0	81.72083405569079	81.72083405569079	0.0	2.0	LoF
KCNT2	3	oncodriveclustl,dndscv	oncodriveclustl	0.00029849332380432964		33.0	10.0	10.0	16.470860954289698	0.0	0.0	10.0	0.0	Act
TRIM49C	4	oncodriveclustl,hotmaps	oncodriveclustl	0.07474460286547896		33.0	4.0	4.0	15.671830059200197	0.0	0.0	4.0	0.0	Act
IPP	3	oncodrivefml		0.00014785691918836987		33.0	2.0	2.0	0.0	56.1837892720852	56.1837892720852	0.0	2.0	LoF
TNFRSF8	3	oncodrivefml	oncodrivefml	9.643311147291529e-07		33.0	3.0	3.0	2.8584615099425204	57.7567073196196	57.7567073196196	1.0	2.0	LoF
NME8	3	oncodriveclustl,dndscv	oncodriveclustl	0.0004579644506845227		33.0	9.0	9.0	13.2924605574805	0.0	0.0	8.0	0.0	Act
OR5D13	3	oncodriveclustl,dndscv	dndscv	0.000108759174198095		33.0	7.0	7.0	42.6552376909031	0.0	0.0	7.0	0.0	Act
OR4K13	3	oncodrivefml		0.02461997967827783		43.0	2.0	2.0	5.37417677755125	89.31814829854929	89.31814829854929	1.0	1.0	LoF
RB1	2	oncodrivefml		0.0002476535486344433	0.00010684487219752068	43.0	2.0	2.0	0.0	27.418651744851303	27.418651744851303	0.0	2.0	LoF
ACD	3	oncodrivefml		0.002311989318130177		43.0	2.0	2.0	2.84645700660182	33.504218955936196	33.504218955936196	1.0	1.0	LoF
KRT72	3	oncodrivefml		0.0019219969163603813		43.0	2.0	2.0	3.1191710331177003	48.8014587585354	48.8014587585354	1.0	1.0	LoF
ATP8A1	3	oncodrivefml		0.00016968250750342112		43.0	6.0	6.0	2.78939982190343	13.2681133023204	13.2681133023204	3.0	2.0	LoF
CNNM2	3	oncodrivefml		0.00040907740587082814		48.0	5.0	5.0	7.185942751702	31.928806993408	31.928806993408	4.0	1.0	LoF
LOXL2	3	oncodrivefml		0.004293060169237661		48.0	2.0	2.0	2.39056302331262	27.772005316296802	27.772005316296802	1.0	1.0	LoF
