SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.5432074377249222e-17	1.933076077122048e-18	1.0	132.0	120.0	148.808257278876	809.257299769449	809.257299769449	80.0	29.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	3.017240877934325e-25	3.779502364664746e-26	2.0	18.0	17.0	21.3546312751259	0.0	0.0	18.0	0.0	Act
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	4.805385096633471e-15	6.019394894412622e-16	3.0	15.0	15.0	29.427034499730702	0.0	0.0	14.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.7587494167190826e-16	2.2030715638100947e-17	4.0	13.0	13.0	14.369351662143801	137.968743668352	137.968743668352	6.0	6.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.154323228667322e-10	8.961757663457134e-11	5.0	27.0	24.0	1.35368892554426	16.3921601013694	16.3921601013694	9.0	8.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	0.000125325351994242	3.743535130451282e-05	6.0	15.0	15.0	0.990566680785004	22.099736969025894	22.099736969025894	3.0	5.0	LoF
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	4.9942247475626e-09		6.0	9.0	9.0	5.12878529315475	87.48630798913521	87.48630798913521	3.0	3.0	LoF
CDKN2A	1	dndscv,mutpanning	dndscv,mutpanning	1.9465174359437533e-05	5.282932218834226e-06	6.0	8.0	8.0	20.4172483765488	207.910522988442	207.910522988442	4.0	0.0	Act
PTCH1	1	dndscv,mutpanning	mutpanning	7.255241821416773e-05	2.313352835283403e-05	9.0	4.0	4.0	0.0	41.6643160389319	41.6643160389319	0.0	2.0	LoF
CSMD3	1	dndscv,cbase,mutpanning	dndscv,cbase	0.0002519913763334227	7.693507179045182e-05	9.0	39.0	33.0	6.22109836819108	3.1936601729619403	3.1936601729619403	34.0	2.0	Act
PTPRD	1	dndscv,cbase,mutpanning	cbase	2.3845410284305468e-05	6.40062902797528e-06	11.0	14.0	13.0	10.9951020236892	0.0	0.0	14.0	0.0	Act
SORCS3	1	dndscv,cbase,mutpanning	cbase	0.001993860170814681		12.0	11.0	10.0	12.3507076594933	0.0	0.0	11.0	0.0	Act
CDH11	1	dndscv,mutpanning	dndscv	0.005772748340372496	0.003641399639234692	12.0	13.0	12.0	11.8982110733468	0.0	0.0	12.0	0.0	Act
DNAH5	1	oncodriveclustl,dndscv,hotmaps,cbase	cbase	4.1625451395940616e-07		14.0	34.0	30.0	5.08314062879936	1.72497752002352	1.72497752002352	30.0	1.0	Act
PKHD1L1	1	smregions,cbase,mutpanning	cbase	0.0015358565028770269		15.0	18.0	16.0	4.45032568005302	5.15020640389839	5.15020640389839	16.0	1.0	LoF
OR5D13	1	dndscv,hotmaps	dndscv	0.03433295919270578		16.0	8.0	8.0	32.9488069278757	0.0	0.0	8.0	0.0	Act
TGFBR2	1	dndscv,hotmaps		3.616339554622241e-05	1.1073222115601718e-05	17.0	10.0	10.0	10.762144074126804	18.970333667078396	18.970333667078396	8.0	1.0	LoF
NSD1	1	oncodrivefml,cbase,mutpanning		3.0828389002563645e-05	7.823492382639645e-06	18.0	6.0	6.0	2.31538561498672	19.216516319285894	19.216516319285894	4.0	2.0	LoF
PCDH9	1	dndscv,cbase,mutpanning	cbase	0.0006013008579115763		19.0	14.0	13.0	8.77942988574282	0.0	0.0	12.0	0.0	Act
FANK1	1	oncodriveclustl,hotmaps,smregions	oncodriveclustl	0.0020156070151626988		20.0	3.0	3.0	9.9535270186543	0.0	0.0	3.0	0.0	Act
PNLIPRP3	1	oncodriveclustl,hotmaps,smregions		0.005058424488401021		20.0	5.0	5.0	6.65227197310612	15.1928095010293	15.1928095010293	4.0	0.0	Act
TPTE	1	cbase,mutpanning		0.0007792577550205128		22.0	10.0	10.0	9.777727580505141	9.44267595784667	9.44267595784667	7.0	0.0	Act
AKAP9	1	cbase,mutpanning	cbase	0.0005294235543315144	0.00016800423730449818	22.0	11.0	7.0	3.9027818240232	7.02528954641034	7.02528954641034	9.0	2.0	LoF
PDZD2	1	cbase,mutpanning	cbase	0.0020385732611333065		22.0	12.0	12.0	7.04195851073761	0.0	0.0	12.0	0.0	Act
CNTNAP5	1	dndscv,smregions	dndscv	8.267928186906577e-06		25.0	19.0	18.0	8.779947691393089	0.0	0.0	17.0	0.0	Act
POTEH	1	dndscv,smregions		3.0828389002563645e-05		25.0	8.0	8.0	17.4464107310881	0.0	0.0	8.0	0.0	Act
ANGPT1	1	dndscv,oncodrivefml,cbase	cbase	8.32536782733939e-06		27.0	8.0	7.0	14.612357543202698	43.39819124606321	43.39819124606321	6.0	2.0	LoF
HCN1	1	dndscv,oncodrivefml,cbase	cbase	0.005753338822242169		27.0	9.0	9.0	4.70089879275289	34.9989752035803	34.9989752035803	5.0	3.0	LoF
SOX11	1	mutpanning		0.001619780183953443		29.0	5.0	5.0	5.59035702706687	0.0	0.0	4.0	0.0	Act
KDM6A	1	mutpanning		0.0005654159462416548	0.00017706499019250698	29.0	7.0	7.0	5.0769899022752005	16.470142147158597	16.470142147158597	5.0	1.0	LoF
GNAS	1	mutpanning		0.007936776107015894	0.005700014492035613	31.0	11.0	11.0	4.26508437980286	8.393895432742362	8.393895432742362	8.0	1.0	LoF
CDC42BPA	1	oncodriveclustl,hotmaps	oncodriveclustl	0.0042122070790740545		32.0	5.0	5.0	4.26893056257133	0.0	0.0	5.0	0.0	Act
TRIM49C	1	oncodriveclustl,hotmaps	oncodriveclustl	0.003493449022597223		32.0	7.0	7.0	9.08238740681443	0.0	0.0	5.0	0.0	Act
NME8	1	oncodriveclustl,dndscv	oncodriveclustl	0.0020156070151626988		34.0	9.0	9.0	11.1713354339589	0.0	0.0	8.0	0.0	Act
FMN2	1	oncodriveclustl,hotmaps		0.008736673427829847		35.0	17.0	17.0	2.50607674443538	0.0	0.0	11.0	0.0	Act
