SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2577735472543494e-17	2.156788213545818e-18	1.0	126.0	116.0	235.08159948621602	1056.69208801682	1056.69208801682	97.0	28.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.887625604611169e-16	3.236837556728629e-17	2.0	14.0	14.0	26.0359023769381	0.0	0.0	14.0	0.0	Act
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	7.563550584348608e-10	1.2969724787495331e-10	3.0	14.0	14.0	50.797953776048004	0.0	0.0	14.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase	3.8246466391656763e-13	6.558376752585683e-14	4.0	10.0	10.0	22.285621427214398	145.070581678829	145.070581678829	6.0	4.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	9.768843620687308e-10	1.6751287882515755e-10	5.0	9.0	9.0	0.798575501396068	27.4859237674416	27.4859237674416	2.0	5.0	LoF
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	4.3441566946875666e-08		6.0	6.0	6.0	8.21338986026472	141.055670118418	141.055670118418	3.0	3.0	LoF
CDKN2A	1	dndscv,oncodrivefml,mutpanning	dndscv	7.055217791435611e-05	2.495223355800393e-05	7.0	4.0	4.0	29.8892649537293	308.840174513745	308.840174513745	4.0	0.0	Act
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	8.504702548198177e-06	2.3698318879043088e-06	8.0	5.0	4.0	1.87213120987218	41.3833788618621	41.3833788618621	2.0	3.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.596124027136871e-05	8.013144724452768e-06	9.0	15.0	14.0	1.22757452023923	13.088566611102399	13.088566611102399	7.0	5.0	LoF
PTCH1	1	dndscv,oncodrivefml,mutpanning		9.525903126187694e-07	2.1001759211415672e-07	10.0	2.0	2.0	0.0	67.5432052755296	67.5432052755296	0.0	2.0	LoF
ERBB2	1	oncodriveclustl,hotmaps		9.525903126187694e-07	2.1001759211415672e-07	11.0	8.0	8.0	14.292935746786899	0.0	0.0	8.0	0.0	Act
PNLIPRP3	1	oncodriveclustl,hotmaps,smregions		0.002822816728655156		11.0	5.0	5.0	7.90549641912965	0.0	0.0	4.0	0.0	Act
FANK1	1	oncodriveclustl,hotmaps,smregions	oncodriveclustl	0.0003758890810896473		11.0	3.0	3.0	15.041101982044196	0.0	0.0	3.0	0.0	Act
ZNF804B	1	dndscv,cbase,mutpanning	dndscv,cbase	0.00012890713900539386		14.0	15.0	14.0	24.8858740728331	0.0	0.0	15.0	0.0	Act
PKHD1L1	1	smregions,cbase,mutpanning	cbase	7.2164412866391415e-06		15.0	12.0	11.0	8.6498097395197	6.74104757937483	6.74104757937483	12.0	0.0	Act
GNAS	1	hotmaps,cbase	cbase	1.5669804913498953e-05	4.606295981581016e-06	16.0	8.0	8.0	12.227004146668401	28.4818879569192	28.4818879569192	7.0	1.0	LoF
HDAC9	1	hotmaps,cbase	cbase	0.0002136722248729196		16.0	8.0	8.0	12.9574408584675	35.188015032108396	35.188015032108396	6.0	2.0	LoF
CCDC85A	1	dndscv,oncodrivefml,cbase	cbase	2.2246030017131233e-07		18.0	5.0	5.0	10.020749255688198	95.37182880287241	95.37182880287241	3.0	2.0	LoF
TGFBR2	1	dndscv,hotmaps		1.3094115162444624e-05	4.11644802064507e-06	19.0	10.0	10.0	13.2993169897822	24.6009178968609	24.6009178968609	8.0	1.0	LoF
SYNE1	1	hotmaps,smregions	hotmaps	0.00011404494359267587		20.0	33.0	27.0	3.17179724090734	1.01431207088024	1.01431207088024	28.0	1.0	Act
DST	1	hotmaps,smregions		0.039943480500373434		21.0	7.0	7.0	0.671215361441457	1.42481787517102	1.42481787517102	4.0	0.0	ambiguous
OBSCN	1	smregions,mutpanning		4.130631082757102e-05		22.0	18.0	16.0	3.40991149442765	3.05152137749006	3.05152137749006	16.0	0.0	Act
FOLH1	1	hotmaps,smregions		0.015227810146974488		23.0	6.0	5.0	4.19024894746231	0.0	0.0	4.0	0.0	Act
COL6A5	1	oncodrivefml,cbase	cbase	0.00018181469102871171		24.0	13.0	12.0	5.91677460216659	12.841477578202	12.841477578202	10.0	2.0	LoF
PCDH9	1	cbase,mutpanning	cbase	0.0057016623435107395		25.0	9.0	9.0	14.8853156638941	0.0	0.0	8.0	0.0	Act
FBXW7	1	oncodrivefml,cbase	cbase	9.066793757736317e-06	2.792615259081081e-06	26.0	6.0	6.0	12.6415590647067	51.268708249483204	51.268708249483204	4.0	2.0	LoF
RNF169	1	oncodrivefml,cbase	cbase	2.2236540526608726e-06		26.0	4.0	4.0	5.02033023433191	74.7844233163724	74.7844233163724	2.0	2.0	LoF
PTPRD	1	cbase,mutpanning		0.0017754445585995066	0.001126455096210043	28.0	11.0	10.0	13.3882051486707	0.0	0.0	11.0	0.0	Act
CTSL	3	hotmaps		0.024771300939861882		29.0	2.0	2.0	12.4993193987665	0.0	0.0	2.0	0.0	Act
UNC13C	3	hotmaps		0.0002634939318011225		29.0	14.0	13.0	4.34962979031217	3.63462161841332	3.63462161841332	11.0	1.0	Act
ETNPPL	4	hotmaps		0.0921938212824596		29.0	3.0	3.0	11.6624256869539	0.0	0.0	3.0	0.0	Act
BCHE	3	hotmaps		0.014849322829756519		29.0	9.0	7.0	4.85032410005007	12.0826584519047	12.0826584519047	5.0	1.0	LoF
PRMT5	4	hotmaps		0.0686702528792261		29.0	2.0	2.0	6.251096608315248	0.0	0.0	2.0	0.0	Act
SMARCA4	2	hotmaps		9.066793757736317e-06	2.792615259081081e-06	34.0	8.0	8.0	10.2730387928796	0.0	0.0	8.0	0.0	Act
ROBO2	2	hotmaps		0.0049262491763973106	0.004418623322389595	34.0	7.0	7.0	5.0321640778454695	0.0	0.0	6.0	0.0	Act
CR2	3	hotmaps		0.035922783318854505		36.0	2.0	2.0	3.77218163155258	0.0	0.0	2.0	0.0	Act
C3	4	hotmaps		0.06940889853972376		36.0	6.0	6.0	2.0777548201618	0.0	0.0	4.0	0.0	Act
TLN1	4	hotmaps		0.10489786101891233		38.0	4.0	4.0	1.82431662170395	0.0	0.0	3.0	0.0	Act
POLRMT	3	hotmaps		0.01405528954183456		38.0	2.0	2.0	3.17682387977299	0.0	0.0	2.0	0.0	Act
OR6T1	3	dndscv,oncodrivefml		0.0005691740003268186		40.0	2.0	2.0	0.0	240.497658417537	240.497658417537	0.0	2.0	LoF
POMZP3	3	dndscv,oncodrivefml		9.066793757736317e-06		40.0	2.0	2.0	0.0	209.524844469063	209.524844469063	0.0	2.0	LoF
SESTD1	3	dndscv,oncodrivefml		2.2993762532998785e-05		40.0	2.0	2.0	0.0	66.2978468276942	66.2978468276942	0.0	2.0	LoF
RAG1	4	mutpanning		0.42617404742355136		57.0	3.0	3.0	2.17502814084733	0.0	0.0	2.0	0.0	Act
CHODL	4	mutpanning		0.3462436510852739		58.0	3.0	3.0	6.97512442485916	0.0	0.0	2.0	0.0	Act
KCNT2	3	oncodriveclustl,dndscv	oncodriveclustl	0.001406951366485312		68.0	10.0	10.0	19.3900470045394	0.0	0.0	10.0	0.0	Act
OR5D13	3	oncodriveclustl,dndscv	dndscv	4.130631082757102e-05		68.0	7.0	7.0	50.987354564313	0.0	0.0	7.0	0.0	Act
NME8	3	oncodriveclustl,dndscv	oncodriveclustl	0.005694459478406522		70.0	8.0	8.0	13.2688600437842	0.0	0.0	7.0	0.0	Act
PTEN	2	oncodrivefml		0.00956750495026714	0.010253774395052416	71.0	2.0	2.0	4.54058911005843	42.67288802334871	42.67288802334871	1.0	1.0	LoF
ARHGAP23	3	oncodrivefml		0.0014268476376992885		71.0	4.0	4.0	3.98186411598602	22.3945809848205	22.3945809848205	3.0	1.0	LoF
KRT72	3	oncodrivefml		0.003090662383835267		71.0	2.0	2.0	3.59456479836151	58.364550743084095	58.364550743084095	1.0	1.0	LoF
ACD	3	oncodrivefml		0.005054077369223286		71.0	2.0	2.0	3.17477056057696	38.163953399162295	38.163953399162295	1.0	1.0	LoF
RB1	2	oncodrivefml		0.0003758890810896473	0.00018620682446795692	71.0	2.0	2.0	0.0	28.7295151383392	28.7295151383392	0.0	2.0	LoF
STON1-GTF2A1L	4	oncodrivefml		0.10116050360033853		71.0	3.0	3.0	1.92914005515684	42.3986613598496	42.3986613598496	1.0	2.0	LoF
NCOA3	3	oncodrivefml		0.019698578129999318		71.0	2.0	2.0	1.56519902477617	14.231041547729497	14.231041547729497	1.0	1.0	LoF
TNFRSF8	3	oncodrivefml	oncodrivefml	9.066793757736317e-06		71.0	3.0	3.0	3.2045011560740697	65.913646731365	65.913646731365	1.0	2.0	LoF
PARP10	3	oncodrivefml		1.5977641359899437e-05		71.0	2.0	2.0	0.0	60.3378817588488	60.3378817588488	0.0	2.0	LoF
