SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.686596251441126e-14	2.016336564851648e-15	1.0	154.0	139.0	181.40134932972904	772.934827815614	772.934827815614	102.0	29.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	3.3775354029924775e-24	4.0378650944561317e-25	2.0	18.0	17.0	22.980564798045602	0.0	0.0	18.0	0.0	Act
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.305336030733915e-14	1.5605375417727726e-15	3.0	17.0	17.0	36.4393666195675	0.0	0.0	16.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.525147361443215e-16	1.8233233881774185e-17	4.0	13.0	13.0	16.1955798036236	155.213349164426	155.213349164426	6.0	6.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,mutpanning	dndscv,mutpanning	3.7197938886888044e-11	4.447037294827496e-12	5.0	11.0	11.0	26.247918706002196	315.775932513986	315.775932513986	5.0	1.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.8270873855404333e-09	2.1842946108154407e-10	5.0	26.0	23.0	1.16112415219609	15.8880424381295	15.8880424381295	8.0	8.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.098766123469952e-11	6.0956073877164255e-12	7.0	17.0	17.0	1.29896989858298	26.1756809482935	26.1756809482935	4.0	6.0	LoF
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	3.001431888927118e-09		8.0	9.0	9.0	5.56754338250301	94.4722282577406	94.4722282577406	3.0	3.0	LoF
HLA-B	1	dndscv,smregions,mutpanning	dndscv,mutpanning	2.935461141516896e-08		9.0	5.0	5.0	3.59307282988814	90.2298593926041	90.2298593926041	2.0	2.0	LoF
ZNF804B	1	dndscv,cbase,mutpanning	dndscv	1.0884399443939411e-05		9.0	20.0	19.0	12.8119831594531	0.0	0.0	19.0	0.0	Act
