SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.887439190620993e-14	2.6100545828409e-15	1.0	149.0	133.0	206.07022082408	889.8869022058908	889.8869022058908	100.0	28.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.3351063098167338e-20	1.8462583376635598e-21	2.0	15.0	15.0	23.0265308340355	0.0	0.0	15.0	0.0	Act
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	3.3382865051948743e-13	4.6163659391077295e-14	3.0	16.0	16.0	41.1275209528029	0.0	0.0	15.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.260328222759599e-15	3.1257060178968086e-16	4.0	12.0	12.0	18.9698166377432	152.16149605371598	152.16149605371598	6.0	5.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.086604185355954e-09	1.5078546433263293e-09	5.0	23.0	21.0	1.09659804740706	15.431963123187304	15.431963123187304	7.0	7.0	LoF
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.02080752992335e-09		6.0	9.0	9.0	6.51716415232376	111.485805735072	111.485805735072	3.0	3.0	LoF
PTCH1	1	dndscv,mutpanning	mutpanning	6.37028549462398e-05	1.5780790825377482e-05	7.0	4.0	4.0	0.0	54.957477628883495	54.957477628883495	0.0	2.0	LoF
ZNF804B	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.875446446086131e-06		8.0	19.0	18.0	24.251268098296197	0.0	0.0	18.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml,mutpanning	dndscv	1.907317665802236e-05	3.854871459483035e-06	9.0	7.0	7.0	24.1305496093673	250.450689089909	250.450689089909	4.0	0.0	Act
CDH11	1	dndscv,mutpanning	dndscv	0.011985306651001048	0.009288942658529354	10.0	13.0	11.0	13.339096695631401	0.0	0.0	12.0	0.0	Act
SORCS3	1	dndscv,cbase,mutpanning	cbase	0.0017321536004771944		10.0	11.0	10.0	15.1328180940044	0.0	0.0	11.0	0.0	Act
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	3.4259855368246064e-06	6.76805853861228e-07	12.0	5.0	4.0	1.50705251634473	33.172709963245104	33.172709963245104	2.0	3.0	LoF
ERBB2	1	oncodriveclustl,hotmaps,mutpanning		1.381217192935857e-06	2.546697332721143e-07	13.0	9.0	9.0	11.4598208184442	0.0	0.0	8.0	0.0	Act
HCN1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	0.006499485803850486		14.0	9.0	9.0	5.20613146828447	38.798494785985	38.798494785985	5.0	3.0	LoF
GNAS	1	hotmaps,cbase,mutpanning	cbase	4.046118437589583e-06	7.693392868991248e-07	15.0	10.0	10.0	12.5889292478495	22.5187279944127	22.5187279944127	9.0	1.0	LoF
IPP	1	dndscv,oncodrivefml,mutpanning	oncodrivefml	4.504916908877362e-05		16.0	3.0	3.0	0.0	76.7355754904463	76.7355754904463	0.0	3.0	LoF
TGFBR2	1	dndscv,hotmaps		7.0405442570156325e-06	1.4604076964465128e-06	17.0	10.0	10.0	11.8915135443886	21.5623825079077	21.5623825079077	8.0	1.0	LoF
EP300	1	oncodrivefml,smregions,mutpanning		1.788838829785752e-05	3.710556882187474e-06	18.0	8.0	8.0	5.132592634849269	16.4817900672483	16.4817900672483	6.0	1.0	LoF
ATP8A1	1	oncodrivefml,cbase,mutpanning	cbase	0.00014297473620385637		18.0	8.0	8.0	3.5458946903069903	18.6129059246588	18.6129059246588	4.0	3.0	LoF
CCDC85A	1	oncodrivefml,cbase,mutpanning	cbase	5.019446075404617e-06		20.0	5.0	5.0	8.26884825754683	78.093027212598	78.093027212598	3.0	2.0	LoF
FBXW7	1	oncodrivefml,cbase,mutpanning		1.2573583636495855e-05	2.529082483340587e-06	20.0	10.0	8.0	9.92345473471662	40.1652919063427	40.1652919063427	4.0	2.0	LoF
PKHD1L1	1	smregions,cbase,mutpanning	cbase,mutpanning	0.00018176384486180336		20.0	14.0	13.0	8.16082939917917	5.386609354025941	5.386609354025941	14.0	0.0	Act
RB1	1	oncodrivefml,mutpanning		0.0008981172749206975	0.0003433670423934136	23.0	4.0	4.0	0.0	23.649019128916606	23.649019128916606	0.0	2.0	LoF
PTPRD	1	dndscv,cbase,mutpanning	cbase	0.00013691106330243497	3.668232680582962e-05	24.0	12.0	11.0	11.9987136047839	0.0	0.0	12.0	0.0	Act
PNLIPRP3	1	oncodriveclustl,hotmaps,smregions		0.018093935385934838		25.0	5.0	5.0	6.98176017348636	0.0	0.0	4.0	0.0	Act
FANK1	1	oncodriveclustl,hotmaps,smregions	oncodriveclustl	0.004362195015258687		25.0	3.0	3.0	12.7392822680002	0.0	0.0	3.0	0.0	Act
SMARCA4	1	cbase,mutpanning	cbase	6.6168847869766135e-06	1.4233631571330181e-06	27.0	10.0	10.0	10.427042170199	0.0	0.0	10.0	0.0	Act
ASXL1	1	cbase,mutpanning		0.006473693344537357	0.0043230635515185524	27.0	7.0	7.0	7.10969982820261	15.7057501239368	15.7057501239368	6.0	1.0	LoF
PDZD2	1	cbase,mutpanning		0.004362195015258687		27.0	10.0	10.0	7.56437953812163	0.0	0.0	10.0	0.0	Act
PCDH9	1	cbase,mutpanning		0.002060124646411036		27.0	13.0	12.0	9.439655957544607	0.0	0.0	11.0	0.0	Act
ARID1A	1	cbase,mutpanning	cbase,mutpanning	0.002060124646411036	0.0010129256946063744	27.0	14.0	14.0	1.07320849805879	19.4939972381061	19.4939972381061	3.0	4.0	LoF
MROH9	1	cbase,mutpanning	cbase	2.0648238542513697e-05		27.0	7.0	7.0	10.2075870910743	35.0898421105729	35.0898421105729	5.0	2.0	LoF
OBSCN	1	smregions,mutpanning		0.0014376272831678224		27.0	22.0	20.0	2.83575450915001	2.11186591071706	2.11186591071706	19.0	0.0	Act
AKAP9	1	cbase,mutpanning	cbase	0.00012311077852407486	3.4048869312515666e-05	27.0	11.0	8.0	5.67651359019488	4.52893533565393	4.52893533565393	10.0	1.0	Act
NLGN1	1	cbase,mutpanning	cbase	5.207722718018589e-05		35.0	7.0	7.0	10.2266632869657	50.1823898935736	50.1823898935736	5.0	2.0	LoF
POMZP3	1	dndscv,oncodrivefml		3.541229779900583e-05		36.0	2.0	2.0	0.0	156.57922701805902	156.57922701805902	0.0	2.0	LoF
GRXCR1	1	dndscv,oncodrivefml		0.004391929835049498		36.0	4.0	4.0	9.590295929423972	96.9186188406551	96.9186188406551	2.0	2.0	LoF
