SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.1347359627114e-20	5.71626230439747e-21	1.0	121.0	105.0	119.695948983265	205.642246038642	205.642246038642	103.0	8.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.1347359627114e-20	5.71626230439747e-21	2.0	94.0	80.0	26.297143660738502	0.0	0.0	89.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.066235927369067e-07	3.4913585548661635e-08	3.0	103.0	102.0	2047.69218272525	5845.784771813979	5845.784771813979	64.0	22.0	LoF
RB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.952971526044247e-06	4.762888521685919e-07	4.0	24.0	24.0	5.1998330982147	134.43972908891	134.43972908891	4.0	14.0	LoF
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.438250424794344e-06	1.6776460299950503e-06	5.0	41.0	32.0	7.67148174904986	112.784637539816	112.784637539816	11.0	19.0	LoF
IDH1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	3.585151105567147e-09	4.956462590390765e-10	6.0	25.0	25.0	668.597923890587	0.0	0.0	25.0	0.0	Act
PIK3R1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.869171910707902e-23	1.2261608364262845e-23	7.0	26.0	26.0	232.16655149402501	277.598328162663	277.598328162663	15.0	1.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	5.776263461229758e-08	9.12648004100468e-09	8.0	23.0	22.0	7.479033501651322	27.2906753825888	27.2906753825888	11.0	6.0	LoF
PIK3CA	1	dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase	3.1947113644941966e-12	4.416680608140452e-13	8.0	29.0	27.0	338.580140418857	70.4621095771671	70.4621095771671	27.0	1.0	Act
LZTR1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	9.89747441445739e-09	1.3683234047912575e-09	10.0	12.0	12.0	130.684979407203	170.244747297996	170.244747297996	10.0	1.0	LoF
SPTA1	1	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,cbase	9.19286821538978e-05		11.0	35.0	32.0	7.14833707540748	11.178885522381599	11.178885522381599	26.0	6.0	LoF
BRAF	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	2.066235927369067e-07	3.4913585548661635e-08	12.0	6.0	6.0	8.119341286649341	0.0	0.0	5.0	0.0	Act
PTPN11	1	dndscv,oncodrivefml,hotmaps	hotmaps	3.596418650532573e-07	5.966447932328963e-08	13.0	8.0	8.0	142.73892128952102	0.0	0.0	8.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml	oncodrivefml	3.0920664505585387e-06	4.932431846477541e-07	13.0	2.0	2.0	0.0	1437.85552874748	1437.85552874748	0.0	2.0	LoF
KRTAP4-6	1	oncodriveclustl,dndscv,smregions	smregions	0.007537118966414152		15.0	5.0	5.0	201.460015001427	0.0	0.0	5.0	0.0	Act
RIMS2	1	oncodrivefml,cbase	cbase	9.429577712565786e-08		16.0	18.0	16.0	4.16770597562269	17.727640012087	17.727640012087	10.0	6.0	LoF
ABCC9	1	oncodrivefml,smregions,cbase		3.14160545439912e-06		16.0	15.0	12.0	12.2085219859024	7.941926411373251	7.941926411373251	12.0	1.0	Act
SEMA3E	1	oncodrivefml,cbase		0.0001370391927055592		16.0	6.0	6.0	45.3455501606995	240.500262491842	240.500262491842	3.0	2.0	LoF
FGFR4	1	oncodrivefml,cbase		0.00015421437497115334	4.382464882961509e-05	16.0	3.0	3.0	12.294868376698101	286.7074490125	286.7074490125	1.0	2.0	LoF
OPRK1	1	oncodrivefml,cbase		0.0035431802184693367		16.0	3.0	3.0	21.974691999177494	923.611181551208	923.611181551208	1.0	2.0	LoF
STAG2	1	cbase,mutpanning		2.1736563707262164e-05	4.419227337094482e-06	21.0	13.0	12.0	4.2334196812715	32.7958460643175	32.7958460643175	4.0	4.0	LoF
TGFA	1	dndscv,cbase		1.5940072467534106e-05		22.0	5.0	5.0	178.760528946948	518.641379966979	518.641379966979	4.0	1.0	LoF
TPTE2	1	dndscv,cbase	dndscv,cbase	1.5821235651928042e-08		22.0	8.0	8.0	120.12826285352502	374.48055260179	374.48055260179	5.0	3.0	LoF
FLNA	2	smregions	smregions	0.12696744244566135	0.1813832496373843	24.0	11.0	10.0	1.05937250116615	0.0	0.0	6.0	0.0	Act
SEL1L2	3	oncodriveclustl,smregions	smregions	0.0027819889480192863		24.0	3.0	3.0	69.4590960038766	0.0	0.0	3.0	0.0	Act
TRHDE	3	smregions	smregions	0.00044677653750885597		24.0	9.0	9.0	9.582239579892802	12.684296704272802	12.684296704272802	7.0	1.0	LoF
DST	4	oncodriveclustl,smregions	smregions	0.06733079475704869		24.0	9.0	9.0	1.1365621065836298	0.0	0.0	6.0	0.0	Act
FAT4	2	smregions	smregions	0.07668063651633089	0.09598235385620853	28.0	9.0	9.0	2.1546597610033	0.0	0.0	7.0	0.0	Act
NOS1	4	smregions	smregions	0.2535182830997415		28.0	17.0	17.0	1.21901036648469	0.0	0.0	9.0	0.0	Act
