SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.79904151373555e-22	1.5028428907923094e-22	1.0	111.0	96.0	120.656154137473	210.664285469714	210.664285469714	101.0	8.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.344588979389472e-22	9.730462340943632e-23	2.0	91.0	74.0	12.4221921662781	0.0	0.0	83.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.017974634239896e-06	1.243181067863626e-06	3.0	84.0	83.0	14386.570086843798	41440.3969700569	41440.3969700569	63.0	21.0	LoF
RB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.871514282444258e-05	1.1875197605432374e-05	4.0	19.0	19.0	5.78880273859126	149.391052796085	149.391052796085	4.0	14.0	LoF
IDH1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.101236225986777e-12	3.222588576314417e-13	5.0	23.0	23.0	4392.86846817491	0.0	0.0	23.0	0.0	Act
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.1225092907290196e-10	4.788877445235085e-11	6.0	30.0	25.0	8.29260038927889	109.458296925449	109.458296925449	11.0	18.0	LoF
PIK3R1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.0448427454390684e-21	1.6024368197420002e-22	7.0	16.0	16.0	1670.64194228629	1992.2432290348895	1992.2432290348895	15.0	1.0	LoF
PIK3CA	1	dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.663227864281343e-12	2.5508312911004473e-13	8.0	28.0	26.0	2307.3931348054502	496.00350966102013	496.00350966102013	26.0	1.0	Act
BRAF	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,mutpanning	1.7041572546842456e-08	2.9869750732012834e-09	9.0	5.0	5.0	6.94334582230574	0.0	0.0	4.0	0.0	Act
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	4.893886786810168e-06	1.243181067863626e-06	10.0	8.0	8.0	309.463252466647	2389.26392735555	2389.26392735555	4.0	4.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.6039529618855146e-07	3.5532229162106145e-08	10.0	17.0	17.0	7.489723484285519	30.0244025761642	30.0244025761642	10.0	6.0	LoF
PDGFRA	2	dndscv,mutpanning		3.6099382643222052e-06	9.562923339676745e-07	12.0	15.0	11.0	17.0371332718417	0.0	0.0	14.0	0.0	Act
KRTAP4-6	4	oncodriveclustl,dndscv,smregions	smregions	0.05512041420474925		12.0	5.0	5.0	1437.63427876934	0.0	0.0	5.0	0.0	Act
LZTR1	2	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.480397189310237e-08	4.2796054968282935e-09	14.0	10.0	10.0	820.94006928652	1184.0724107628998	1184.0724107628998	9.0	1.0	LoF
SPTA1	3	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,cbase	7.729152276003827e-08		15.0	35.0	32.0	7.29581178368808	11.2762796216747	11.2762796216747	26.0	6.0	LoF
SEL1L2	3	oncodriveclustl,smregions	smregions	0.0006535935941370702		16.0	3.0	3.0	496.21956365562795	0.0	0.0	3.0	0.0	Act
GABRB2	3	dndscv,smregions		0.0001330009204738012		16.0	7.0	7.0	993.6311799001261	1505.80169919493	1505.80169919493	7.0	0.0	Act
DST	4	oncodriveclustl,smregions	smregions	0.05136264075898584		16.0	9.0	9.0	1.15906715992013	0.0	0.0	6.0	0.0	Act
ABCC9	3	oncodrivefml,smregions,cbase	cbase	4.077150563226799e-05		19.0	15.0	12.0	13.104279731895499	8.459073163282321	8.459073163282321	12.0	1.0	Act
MMP3	3	hotmaps,smregions		3.3182063248865525e-05		19.0	5.0	5.0	853.563256457453	0.0	0.0	5.0	0.0	Act
ZDHHC4	3	oncodriveclustl,mutpanning		0.017354009772762545		21.0	4.0	4.0	827.199968182113	0.0	0.0	4.0	0.0	Act
ODF4	3	dndscv,oncodrivefml,cbase	dndscv,cbase	3.6105374943604628e-09		22.0	6.0	4.0	1171.94041760619	7948.82112003677	7948.82112003677	4.0	2.0	LoF
FCGBP	4	smregions		0.11233562778757797		23.0	10.0	10.0						ambiguous
TTN	3	smregions		0.007723740298243678		23.0	110.0	93.0	1.7369357228172702	0.637800164680947	0.637800164680947	85.0	3.0	Act
NOS1	4	smregions	smregions	0.12463312804887773		23.0	17.0	17.0	1.23739475407833	0.0	0.0	9.0	0.0	Act
ARAP2	4	smregions		0.1895295394785676		23.0	4.0	4.0	2.8860015012816205	0.0	0.0	3.0	0.0	Act
ZNF418	4	smregions		0.2803992531850253		23.0	4.0	2.0	5.53073385582512	0.0	0.0	3.0	0.0	Act
OBSCN	3	smregions	smregions	0.008286703600634144		23.0	28.0	25.0	1.46085147607129	5.289412177800902	5.289412177800902	18.0	2.0	LoF
FLNA	2	smregions	smregions	0.054861584663610914	0.0809839712738466	23.0	11.0	10.0	1.09722939530088	0.0	0.0	6.0	0.0	Act
FAT4	2	smregions		0.10699517248494944	0.1784202686275312	23.0	8.0	8.0	1.93543055381949	0.0	0.0	6.0	0.0	Act
TFAP2D	3	smregions	smregions	0.005642104941151203		23.0	7.0	6.0	13.8625881200875	0.0	0.0	6.0	0.0	Act
PCDH11X	4	smregions		0.050782719017798635		23.0	13.0	12.0	3.94482866997946	0.0	0.0	10.0	0.0	Act
LRP1B	2	smregions		0.00236155851381818	0.001914398646499628	23.0	11.0	10.0	5.6930258569733	10.3576235913255	10.3576235913255	9.0	1.0	LoF
CELSR3	3	smregions		0.04730046123641847		23.0	4.0	4.0	185.211851815053	0.0	0.0	4.0	0.0	Act
TRHDE	3	smregions	smregions	0.0005536288044163201		23.0	9.0	9.0	10.3974857582707	13.5952544996154	13.5952544996154	7.0	1.0	LoF
THSD4	3	smregions		0.02211537567193081		23.0	3.0	3.0	242.439268793391	0.0	0.0	3.0	0.0	Act
CABP1	3	smregions	smregions	0.021235834684228863		23.0	5.0	3.0	2.87889581335806	0.0	0.0	3.0	0.0	Act
CHEK1	3	smregions		0.002063116851743573		23.0	4.0	4.0	434.40867300492897	1078.9986368598	1078.9986368598	3.0	1.0	LoF
