SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.962872531653157e-09	2.868217281399297e-10	1.0	100.0	99.0	243.392603773778	634.766647368485	634.766647368485	62.0	18.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6416418916933115e-32	2.557249035885979e-33	2.0	104.0	90.0	82.2518467919651	155.383072420138	155.383072420138	83.0	8.0	LoF
RB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.940265907796781e-05	3.3207216864656105e-06	3.0	24.0	24.0	2.45346918268207	96.20872856595993	96.20872856595993	3.0	13.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.4333332201406278e-33	2.35559522687808e-34	4.0	70.0	62.0	14.8213363638561	0.0	0.0	58.0	0.0	Act
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.881838070417012e-17	2.7897716379828688e-18	5.0	40.0	30.0	4.36021552945092	70.2396909384465	70.2396909384465	10.0	16.0	LoF
IDH1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.3296745845824252e-10	1.2871953084018793e-11	6.0	23.0	22.0	81.0928026757099	0.0	0.0	23.0	0.0	Act
PIK3R1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.074123920231004e-25	3.9439673862880686e-26	7.0	31.0	31.0	34.2529841918576	41.671260719648	41.671260719648	17.0	1.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.9948453675071e-08	1.931115799170327e-09	8.0	26.0	25.0	4.18120225332832	19.6235169417961	19.6235169417961	10.0	6.0	LoF
PIK3CA	1	dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	9.94519620926062e-15	9.627475812600132e-16	9.0	31.0	30.0	44.2095521688875	11.288507292066601	11.288507292066601	27.0	1.0	Act
BRAF	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,mutpanning	5.276238407804021e-08	5.107677775662665e-09	10.0	6.0	6.0	5.22805732421449	0.0	0.0	5.0	0.0	Act
