SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.657283533558797e-17	2.764795071855965e-18	1.0	80.0	78.0	43.514130423851604	0.0	0.0	79.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4976380328616432e-14	1.1557941211216476e-15	1.0	348.0	296.0	32.9075308681317	128.10588481404199	128.10588481404199	227.0	67.0	LoF
FAT1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0012973097855773965	0.0002800536700682961	3.0	131.0	105.0	1.44491345619833	40.0727667996034	40.0727667996034	28.0	58.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.2863707304224186e-13	9.545670320542982e-15	3.0	79.0	75.0	24.937636350204397	1305.75554032471	1305.75554032471	19.0	52.0	LoF
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.009473875672329912	0.002823798834010919	5.0	59.0	51.0	4.705003648118098	51.626031197996504	51.626031197996504	22.0	24.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.027980961551479496	0.009930233337602238	5.0	59.0	57.0	4.30092963836631	65.8231689355758	65.8231689355758	22.0	26.0	LoF
HRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.3812897965413143e-19	8.200023027939065e-21	7.0	29.0	27.0	66.8807725837944	0.0	0.0	29.0	0.0	Act
CASP8	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	8.079678117544811e-17	5.4382927737448395e-18	8.0	50.0	45.0	17.1924498453877	117.752474459645	117.752474459645	26.0	19.0	LoF
EP300	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	8.079678117544811e-17	5.4382927737448395e-18	9.0	32.0	32.0	9.59895923205884	21.922623468745602	21.922623468745602	26.0	5.0	LoF
EPHA2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0812505659546537e-16		10.0	19.0	15.0	4.26888678095085	76.840560455858	76.840560455858	6.0	7.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.063533091697797e-20	6.313661235125413e-22	11.0	33.0	31.0	7.44358139265769	13.757094705666999	13.757094705666999	21.0	4.0	LoF
TGFBR2	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.9027844244572248e-15	1.411984304164656e-16	12.0	20.0	19.0	7.82211649405872	48.9343901480478	48.9343901480478	14.0	5.0	LoF
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0812505659546537e-16	7.904842740269709e-18	13.0	13.0	13.0	2.75590005644396	35.027775832031196	35.027775832031196	5.0	6.0	LoF
HLA-A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.4381375338062594e-16	1.0976785022308256e-17	14.0	20.0	18.0	3.2011991594481803	51.4048152988976	51.4048152988976	7.0	7.0	LoF
AJUBA	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.20728215649531e-11		14.0	25.0	23.0	2.6072317158963	51.786772610620794	51.786772610620794	6.0	8.0	LoF
HLA-B	1	dndscv,oncodrivefml,hotmaps,smregions,mutpanning	dndscv,oncodrivefml,mutpanning	6.648768272433461e-11		16.0	17.0	15.0	11.4998289315278	95.6435220443215	95.6435220443215	9.0	4.0	LoF
RAC1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.2495521737684788e-14	9.442690080196456e-16	17.0	11.0	11.0	26.251084878502105	0.0	0.0	11.0	0.0	Act
RASA1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	8.079678117544811e-17		18.0	14.0	14.0	3.5823068874170096	33.6178969434806	33.6178969434806	6.0	6.0	LoF
MAPK1	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	8.628147105791561e-11	6.951417526724363e-12	19.0	7.0	7.0	8.97349738433428	15.382738285265699	15.382738285265699	6.0	1.0	LoF
NFE2L2	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.807804332535035e-14	2.877002521135083e-15	20.0	26.0	26.0	13.9830624010814	0.0	0.0	24.0	0.0	Act
ZNF750	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2495521737684788e-14		21.0	19.0	16.0	4.642893449708518	37.680166225827996	37.680166225827996	9.0	5.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	1.8156917681552463e-08	1.4147239472468706e-09	22.0	17.0	17.0	1.32727853464595	11.8983047681391	11.8983047681391	7.0	7.0	LoF
RHOA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps	6.231887552502827e-11	4.8378839424188536e-12	23.0	9.0	9.0	20.450553165980306	28.9630117931611	28.9630117931611	8.0	1.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.866820629709311e-10	2.2691830239099772e-11	24.0	11.0	11.0	4.82054636099009	61.5718857331841	61.5718857331841	4.0	5.0	LoF
SMAD4	1	dndscv,oncodrivefml,cbase	dndscv,cbase	0.0002658916819899563	3.741547209897013e-05	25.0	10.0	10.0	5.277641370187982	45.29006363558889	45.29006363558889	5.0	5.0	LoF
PTPN14	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	1.885573436648421e-06		25.0	16.0	15.0	3.70711735213009	23.939748903846894	23.939748903846894	9.0	6.0	LoF
KEAP1	1	dndscv,oncodrivefml,cbase	dndscv,cbase	7.759307963016569e-06	8.06104426743889e-07	27.0	20.0	18.0	9.682071796810213	7.92587197748571	7.92587197748571	17.0	1.0	Act
NPFFR2	1	dndscv,cbase,mutpanning	dndscv,cbase	5.1748463841289215e-06		28.0	14.0	13.0	14.3557749166261	13.109070511376801	13.109070511376801	13.0	1.0	Act
LTBP1	1	cbase,mutpanning	cbase	1.885573436648421e-06		29.0	20.0	19.0	8.44259787385854	7.812161659734992	7.812161659734992	17.0	2.0	Act
NAA25	1	oncodrivefml,cbase,mutpanning	cbase	0.0001251638603908969		29.0	12.0	12.0	5.45054677673879	19.7612268323599	19.7612268323599	8.0	4.0	LoF
SEMA5A	1	cbase,mutpanning	cbase	5.1748463841289215e-06		29.0	18.0	17.0	6.13200089747205	10.7182029122202	10.7182029122202	15.0	2.0	LoF
LPAR4	1	dndscv,oncodrivefml,cbase	dndscv,cbase	5.525126972124261e-07		32.0	7.0	7.0	6.58993723939437	90.8418983863241	90.8418983863241	4.0	3.0	LoF
HIST1H3C	1	oncodriveclustl,mutpanning	mutpanning	0.0015263266742342678		33.0	7.0	6.0	5.9852298480939	0.0	0.0	5.0	0.0	Act
TPTE	4	mutpanning		0.10375406736016952		34.0	13.0	12.0	1.64329147681932	1.4021088739492602	1.4021088739492602	7.0	1.0	Act
EYS	4	mutpanning		0.0904422409534272		34.0	19.0	16.0	3.29870444224558	3.46800022762914	3.46800022762914	16.0	2.0	LoF
