SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.601022780570858e-18	4.109199517171092e-19	1.0	278.0	249.0	33.5102207507058	128.267118689355	128.267118689355	209.0	58.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	3.246038457589934e-12	2.525862299306787e-13	2.0	60.0	57.0	22.6298573495915	1126.81342180032	1126.81342180032	16.0	43.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.2707269885676005e-21	2.036058684993379e-22	2.0	65.0	63.0	37.6890132232575	0.0	0.0	65.0	0.0	Act
EP300	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	6.143318120039189e-16	3.8242740090211187e-17	4.0	29.0	29.0	9.43666032000007	23.366153175206104	23.366153175206104	24.0	5.0	LoF
NSD1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.3478708944855162e-08	2.1259228823304127e-09	5.0	48.0	41.0	5.334392459437692	51.540143517806996	51.540143517806996	24.0	23.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.220136306757671e-22	7.595464656430026e-24	6.0	27.0	27.0	7.650349232121	14.242914376179199	14.242914376179199	21.0	4.0	LoF
FAT1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0003813664074484856	4.0255497992273496e-05	7.0	88.0	73.0	1.86060284586996	44.65255157428179	44.65255157428179	29.0	52.0	LoF
CASP8	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.4885886201057155e-12	1.191420753615876e-13	8.0	43.0	40.0	15.7742022213026	122.396947436582	122.396947436582	23.0	19.0	LoF
HRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	5.615972448824401e-13	4.692539623768949e-14	9.0	23.0	20.0	57.617045309367	0.0	0.0	23.0	0.0	Act
MAPK1	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	2.3251526532717305e-09	2.1711444902816257e-10	10.0	7.0	7.0	9.24833188192832	15.7691094687794	15.7691094687794	6.0	1.0	LoF
EPHA2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.615972448824401e-13		11.0	14.0	10.0	1.6618123825785902	35.2134083389143	35.2134083389143	5.0	7.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.158318136084826e-13	5.1114822157296623e-14	12.0	52.0	50.0	2.62044932648713	36.7994646763584	36.7994646763584	23.0	26.0	LoF
