SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.532614531023243e-13	5.5116065060462526e-14	1.0	283.0	251.0	39.762010215031296	143.348668785219	143.348668785219	213.0	58.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.8921851188697216e-18	2.814737309500477e-19	2.0	58.0	57.0	38.6451287552409	0.0	0.0	58.0	0.0	Act
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.5590622120655327e-10	1.503303137649857e-11	3.0	66.0	64.0	28.583996994647798	1489.65911483565	1489.65911483565	17.0	48.0	LoF
FAT1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	0.007224019067892372	0.002317420058129512	4.0	75.0	67.0	1.80954693781075	48.61927142916621	48.61927142916621	23.0	46.0	LoF
NSD1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.872281560533448e-08	8.065154213381274e-09	4.0	43.0	38.0	3.2104014308658395	41.736402220197895	41.736402220197895	18.0	23.0	LoF
HRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	8.137788783541085e-26	5.8850586511978016e-27	6.0	22.0	20.0	66.481465721476	0.0	0.0	22.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,mutpanning	8.795423641448232e-18	6.360644810141041e-19	7.0	18.0	18.0	9.42486092224226	9.828744791630688	9.828744791630688	15.0	2.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.441601194683864e-11	4.919048503063928e-12	8.0	38.0	38.0	6.5677667527655	92.8422914555988	92.8422914555988	19.0	19.0	LoF
CASP8	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.092700162551244e-14	1.816070216159067e-15	8.0	38.0	35.0	16.7171727489002	143.94190559429398	143.94190559429398	20.0	17.0	LoF
EP300	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.6495799537659397e-14	1.4911720855589132e-15	10.0	26.0	26.0	9.55673962805497	18.945234047759897	18.945234047759897	22.0	4.0	LoF
EPHA2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.844414180980125e-16		11.0	11.0	9.0	4.22549953595795	81.1473683384038	81.1473683384038	5.0	6.0	LoF
