SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.876468369631518e-30	2.1325277907903264e-31	1.0	89.0	87.0	41.6296462153101	0.0	0.0	88.0	0.0	Act
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	2.325529477406684e-08	1.8123746501087249e-09	2.0	95.0	86.0	18.8147120737519	914.265858423846	914.265858423846	22.0	56.0	LoF
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	6.133025884005453e-07	5.0608621916298234e-08	3.0	34.0	31.0	64.1110118405781	0.0	0.0	33.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.766534983027078e-13	1.1337765933010212e-14	4.0	393.0	322.0	29.005263028055396	110.67062316143101	110.67062316143101	245.0	70.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	8.113665729453099e-22	4.4635002799949355e-23	5.0	35.0	33.0	5.287987216212129	9.81081840799061	9.81081840799061	21.0	4.0	LoF
KMT2D	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.000713281722605735	0.00013044364862114426	6.0	72.0	67.0	2.6162154143028302	39.8004893262204	39.8004893262204	25.0	29.0	LoF
CASP8	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.652436341698274e-12	3.5537435285245986e-13	6.0	54.0	48.0	16.5126836257542	105.60857120322399	105.60857120322399	28.0	19.0	LoF
NSD1	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.06357510697940444	0.034249333136281916	6.0	64.0	53.0	4.8232891722559295	46.8165683087745	46.8165683087745	25.0	24.0	LoF
FAT1	2	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0011478469311201572	0.00022318909553882402	6.0	146.0	114.0	1.54118546603681	42.5048618420156	42.5048618420156	31.0	64.0	LoF
RAC1	2	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	3.6699076428491093e-16	2.018894336742252e-17	10.0	13.0	13.0	24.171286335475802	0.0	0.0	12.0	0.0	Act
EP300	2	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	1.2352807156329784e-21	6.795542241881082e-23	11.0	35.0	35.0	8.60947887840894	24.435367356630998	24.435367356630998	27.0	6.0	LoF
MAPK1	2	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	7.004685563095049e-15	3.853426677248469e-16	12.0	8.0	8.0	8.59880831872357	12.695396823498001	12.695396823498001	7.0	1.0	LoF
KDM6A	2	oncodriveclustl,dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	4.0363373447271684e-11	2.664570141647891e-12	13.0	17.0	16.0	1.53637121125454	13.983141427481801	13.983141427481801	7.0	6.0	LoF
TGFBR2	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.0821247103664115e-11	2.119428037588609e-12	13.0	22.0	21.0	7.936874514244732	43.6337366943727	43.6337366943727	16.0	5.0	LoF
RASA1	3	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.7438542307737562e-11		15.0	17.0	17.0	4.10560052465309	29.0489029937944	29.0489029937944	8.0	6.0	LoF
AJUBA	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.8062616516818473e-14		16.0	35.0	31.0	2.3583832545649703	51.9363340145585	51.9363340145585	6.0	9.0	LoF
HLA-B	3	dndscv,oncodrivefml,hotmaps,mutpanning	dndscv,oncodrivefml,mutpanning	1.1302506858517131e-10		16.0	22.0	20.0	12.0481486929345	94.1793605173862	94.1793605173862	11.0	5.0	LoF
HLA-A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.315927225199297e-11	2.8059713671646217e-12	16.0	23.0	20.0	2.9156747540827	46.93625716854079	46.93625716854079	7.0	7.0	LoF
EPHA2	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.2046395678570664e-10		19.0	26.0	19.0	2.62939153164792	31.757051872564503	31.757051872564503	9.0	7.0	LoF
NFE2L2	2	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.173298446218897e-11	2.1336321642808715e-12	20.0	28.0	28.0	9.6325266896258	0.0	0.0	25.0	0.0	Act
ZNF750	3	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.9799634728269405e-10		21.0	21.0	18.0	4.141800033671029	33.8491215133952	33.8491215133952	9.0	5.0	LoF
PTEN	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	3.6457781112324843e-07	3.1516888348250814e-08	21.0	12.0	12.0	4.0920696469255695	52.531607941420496	52.531607941420496	4.0	5.0	LoF
NPFFR2	3	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	2.0003678662450424e-05		23.0	15.0	14.0	13.1328301259568	11.1492156241834	11.1492156241834	14.0	1.0	Act
ARID2	2	dndscv,cbase,mutpanning	dndscv,cbase	4.5351052935831654e-07	3.825448913162022e-08	23.0	19.0	19.0	0.960288496944139	9.697912323028367	9.697912323028367	7.0	8.0	LoF
RHOA	2	oncodriveclustl,hotmaps,mutpanning	hotmaps	6.222565807744524e-08	4.739768233411739e-09	25.0	10.0	10.0	10.981614068644301	15.6240446915136	15.6240446915136	8.0	1.0	LoF
PTPN14	3	dndscv,cbase,mutpanning	cbase	7.082337631555282e-08		26.0	17.0	16.0	2.4768420140336604	16.0513049600455	16.0513049600455	9.0	6.0	LoF
MYH9	2	oncodriveclustl,hotmaps		0.001852993564610323	0.00043838615161395666	27.0	32.0	26.0	1.5534431707052698	0.7923951000939721	0.7923951000939721	19.0	0.0	Act
PIK3CG	3	oncodriveclustl,hotmaps		0.00768577859899168		27.0	21.0	20.0	1.69124035641794	3.0521956326876003	3.0521956326876003	13.0	2.0	LoF
KRTAP4-8	4	oncodriveclustl,mutpanning	mutpanning	0.22590893210053445		29.0	5.0	5.0	0.6741239047347439	0.0	0.0	1.0	0.0	ambiguous
MB21D2	2	oncodriveclustl,mutpanning	mutpanning	4.4076327043653134e-05	5.208684847182479e-06	29.0	8.0	8.0	3.66883126122246	9.551280462474619	9.551280462474619	6.0	1.0	LoF
HIST1H3C	3	oncodriveclustl,mutpanning	mutpanning	0.0029222628072483954		29.0	7.0	6.0	5.49034181642447	0.0	0.0	5.0	0.0	Act
LTBP1	3	cbase,mutpanning	cbase	7.082337631555282e-08		32.0	21.0	20.0	7.7877827204181385	6.81808348314808	6.81808348314808	18.0	2.0	Act
TANC1	3	dndscv,oncodrivefml,cbase	cbase	4.1959141913937215e-06		33.0	12.0	12.0	1.68738209736254	17.2696292596942	17.2696292596942	6.0	4.0	LoF
FAT3	2	smregions,cbase	cbase	4.1959141913937215e-06	4.162502340741134e-07	33.0	55.0	44.0	2.33992384046794	3.67505085369991	3.67505085369991	41.0	5.0	LoF
LPAR4	3	dndscv,cbase	dndscv,cbase	7.082337631555282e-08		33.0	7.0	7.0	5.62827363358024	77.56721543171629	77.56721543171629	4.0	3.0	LoF
CYLD	2	cbase,mutpanning	cbase	1.051663514506675e-06	8.50797782550177e-08	36.0	10.0	10.0	2.1921055137289898	18.092698697300197	18.092698697300197	4.0	4.0	LoF
ZNF568	3	smregions,cbase	cbase	2.435818358065874e-05		37.0	7.0	7.0	2.83713341477619	16.6665476257192	16.6665476257192	4.0	3.0	LoF
KEAP1	2	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	0.00031077868848660307	4.464111539890033e-05	37.0	24.0	20.0	7.11584318604447	5.2344156774214206	5.2344156774214206	19.0	1.0	Act
PCDHA4	4	oncodriveclustl		0.1889805811064805		39.0	14.0	13.0	1.12150798972412	0.0	0.0	8.0	0.0	Act
MYH7	3	oncodriveclustl		0.02848062486566077		39.0	20.0	19.0	1.51219241832203	2.22079453961039	2.22079453961039	13.0	2.0	LoF
PDZD2	3	oncodriveclustl		0.007225214777828853		39.0	29.0	27.0	1.2340018394571	2.4636294063877795	2.4636294063877795	17.0	3.0	LoF
AGAP4	3	oncodriveclustl		0.0044002341147518454		39.0	10.0	10.0	2.8969620237244302	0.0	0.0	8.0	0.0	Act
HHIPL2	4	oncodriveclustl		0.18235646594889035		39.0	8.0	7.0	1.95864485351982	0.0	0.0	6.0	0.0	Act
NCOR1	2	oncodriveclustl	oncodriveclustl	0.000126000721412941	1.638370612287016e-05	39.0	19.0	16.0	2.09170639628397	2.33222041078767	2.33222041078767	14.0	2.0	LoF
MAEL	3	oncodriveclustl		0.015543119738473676		45.0	7.0	7.0	3.86085092056488	4.426497241359651	4.426497241359651	6.0	0.0	Act
NLRP12	4	oncodriveclustl		0.1061624656920723		45.0	29.0	27.0	1.64651004589254	2.34534964568866	2.34534964568866	17.0	2.0	LoF
NLN	4	oncodriveclustl		0.06931355648522733		45.0	13.0	8.0	2.3295603190606298	3.0967001981962503	3.0967001981962503	7.0	1.0	LoF
FAM71B	4	oncodriveclustl		0.1367981665632042		45.0	12.0	11.0	2.6101022480666503	0.0	0.0	9.0	0.0	Act
PCDHA6	4	oncodriveclustl		0.2030996517848601		45.0	19.0	19.0	0.751086654925719	1.6480572988960298	1.6480572988960298	8.0	1.0	LoF
PAX3	2	oncodriveclustl		0.2416021024963162	0.1913105119812628	45.0	8.0	8.0	2.61403944141433	0.0	0.0	6.0	0.0	Act
BCAN	4	oncodriveclustl		0.43816905067277895		45.0	15.0	13.0	1.22706548222311	0.0	0.0	9.0	0.0	Act
LY96	4	oncodriveclustl		0.38652966960812496		45.0	5.0	5.0	1.01081352948943	6.52534943727715	6.52534943727715	1.0	1.0	LoF
PKHD1L1	3	oncodriveclustl		0.008094696568501649		45.0	64.0	54.0	1.41901922409773	1.7270947528186795	1.7270947528186795	46.0	4.0	LoF
ROBO1	3	oncodriveclustl		0.0243151106590705		45.0	10.0	10.0	1.9916691407682696	0.0	0.0	8.0	0.0	Act
HIST1H4K	3	oncodriveclustl		7.26523595470797e-05		45.0	5.0	5.0	11.048073654909599	135.260847189658	135.260847189658	4.0	1.0	LoF
SLC5A7	3	oncodriveclustl		0.008927982240750698		45.0	10.0	10.0	3.53670056683071	0.0	0.0	8.0	0.0	Act
ADAMTS18	4	oncodriveclustl		0.3964493833745626		45.0	13.0	13.0	0.41431301432540296	0.736450693825784	0.736450693825784	4.0	1.0	ambiguous
NAA25	3	oncodrivefml,cbase	cbase	3.3265365858067814e-06		61.0	12.0	12.0	4.65738338648172	16.9611678378105	16.9611678378105	8.0	4.0	LoF
ARHGAP35	3	oncodrivefml,cbase	cbase	1.5250482333258997e-06		61.0	12.0	12.0	2.06443765547001	14.6094593465185	14.6094593465185	7.0	4.0	LoF
SLC5A2	3	cbase	cbase	3.609939064325718e-05		63.0	7.0	7.0	4.23210080933299	20.395205865299	20.395205865299	5.0	2.0	LoF
ITGA8	3	cbase	cbase	8.290131122596686e-05		63.0	20.0	20.0	3.68422876061894	7.13693712725523	7.13693712725523	15.0	3.0	LoF
SPTBN1	3	cbase	cbase	2.915680605173437e-05		63.0	17.0	16.0	3.1885384488763497	7.3969282277494415	7.3969282277494415	13.0	3.0	LoF
BIRC6	2	cbase	cbase	1.4751562860615341e-05	1.584386200319408e-06	63.0	28.0	25.0	2.09953191259438	5.7608673686949805	5.7608673686949805	18.0	5.0	LoF
DYSF	3	cbase	cbase	3.344883668302615e-06		63.0	19.0	18.0	2.81060501111279	7.54603754109141	7.54603754109141	14.0	3.0	LoF
KMT2C	2	cbase	cbase	3.622547081752864e-06	3.6535405200191584e-07	63.0	35.0	33.0	1.84796806436706	6.53167932925557	6.53167932925557	21.0	7.0	LoF
SULF1	3	cbase	cbase	9.14693045412703e-05		63.0	16.0	16.0	4.167829518859629	12.926789247566399	12.926789247566399	11.0	4.0	LoF
ABCC9	3	cbase	cbase	0.005250176429928648		63.0	23.0	18.0	3.6354692628751897	3.22565590925793	3.22565590925793	17.0	2.0	Act
DCC	2	cbase	cbase	0.000881666869459605	0.00016720554488890778	63.0	26.0	24.0	4.758465711738428	5.1323292829805185	5.1323292829805185	22.0	2.0	LoF
FLNA	2	cbase	cbase	8.310648369524457e-05	1.0913483297431047e-05	63.0	21.0	20.0	2.81701718427994	7.714677377365558	7.714677377365558	14.0	2.0	LoF
HERC1	3	cbase	cbase	0.0001493631874178236		63.0	21.0	21.0	4.61405015675557	1.88793265841557	1.88793265841557	19.0	1.0	Act
POM121L12	3	dndscv	dndscv	1.917289153477149e-05		74.0	25.0	22.0	7.62717330506693	19.9869441241989	19.9869441241989	18.0	3.0	LoF
OR5D18	4	hotmaps	hotmaps	0.2674181837829609		74.0	14.0	14.0	3.5370054760078995	9.20908135366681	9.20908135366681	8.0	1.0	LoF
REG1A	3	dndscv	dndscv	0.0006234743202674696		76.0	15.0	13.0	14.2473703767259	7.785843166703651	7.785843166703651	12.0	1.0	Act
ITGB1	3	hotmaps		0.0005964582054594392		76.0	12.0	10.0	3.52969445204551	6.57275102408383	6.57275102408383	9.0	2.0	LoF
SFI1	4	hotmaps		0.15617860737414566		78.0	8.0	8.0	0.766385654320984	1.30938557199142	1.30938557199142	4.0	1.0	LoF
OR2M5	4	dndscv	dndscv	0.1556713753566374		78.0	14.0	11.0	18.481372110155	0.0	0.0	13.0	0.0	Act
NBAS	4	hotmaps		0.06111162534395585		80.0	20.0	20.0	2.0552848400209	2.0121926384133	2.0121926384133	16.0	1.0	ambiguous
OR4A5	4	hotmaps		0.3924604963997617		80.0	11.0	10.0	5.28409142962321	13.318498187766199	13.318498187766199	7.0	1.0	LoF
DZIP3	4	hotmaps		0.11020632419479247		80.0	14.0	14.0	1.6155083422909498	2.41176844269135	2.41176844269135	9.0	2.0	LoF
DPP10	3	dndscv	dndscv	2.238667076456171e-06		84.0	27.0	26.0	7.411752954374091	6.20580863850647	6.20580863850647	23.0	1.0	Act
FAM135B	2	dndscv	dndscv	0.02599940812969561	0.010304929097036324	85.0	63.0	54.0	3.0586324096821804	0.6086901651662711	0.6086901651662711	50.0	1.0	Act
ZNF99	3	hotmaps		0.001852993564610323		86.0	23.0	20.0	2.91337852747401	4.90977497746243	4.90977497746243	16.0	3.0	LoF
DPPA2	3	dndscv	dndscv	0.03164828667310663		86.0	13.0	12.0	10.1873729417415	0.0	0.0	12.0	0.0	Act
FSIP2	4	hotmaps		0.3467810928319001		88.0	17.0	16.0	0.873472636622788	0.7385336039317679	0.7385336039317679	11.0	1.0	ambiguous
OR5L1	4	dndscv	dndscv	0.2929052760456356		88.0	12.0	11.0	11.2650627839904	0.0	0.0	11.0	0.0	Act
TRRAP	2	hotmaps		0.08723715129368655	0.04991821266302973	90.0	27.0	26.0	1.51639410119511	0.0	0.0	20.0	0.0	Act
RARG	3	dndscv		0.003205277326356809		90.0	13.0	13.0	12.580347573137699	0.0	0.0	12.0	0.0	Act
DNAH7	4	hotmaps		0.10299698901381428		92.0	43.0	36.0	1.20701464270751	0.662838655584229	0.662838655584229	31.0	2.0	Act
SMAD4	2	dndscv		1.5183180027123133e-05	1.5945854828619312e-06	92.0	11.0	11.0	2.8289929151303	24.3525484884375	24.3525484884375	5.0	5.0	LoF
DTNA	3	hotmaps		0.03029720519612644		94.0	7.0	7.0	2.2728604600745896	3.40144838951442	3.40144838951442	5.0	1.0	LoF
PRB3	3	dndscv		0.0001292053176925639		94.0	14.0	12.0	2.2923601190674	19.2706040548813	19.2706040548813	6.0	5.0	LoF
ZIC4	3	dndscv		0.014102867767729215		96.0	21.0	19.0	5.5885670407621095	0.0	0.0	17.0	0.0	Act
NFAT5	3	hotmaps		0.04621596000956541		96.0	11.0	9.0	1.1748598116097702	2.58121345847279	2.58121345847279	6.0	2.0	LoF
C8orf34	4	hotmaps		0.05056171264434571		98.0	9.0	9.0	5.34998732578451	6.12839040950446	6.12839040950446	7.0	1.0	LoF
AGTR1	3	dndscv		0.0017262297277823714		98.0	13.0	13.0	9.11310799953655	0.0	0.0	12.0	0.0	Act
SYNE1	4	hotmaps		0.05657006320341958		100.0	117.0	91.0	1.6507690220016995	1.48784596879208	1.48784596879208	84.0	8.0	Act
SLC12A9	3	hotmaps		0.025472714919116644		101.0	6.0	6.0	1.83614892530501	13.684226880033501	13.684226880033501	4.0	1.0	LoF
ITGA2B	3	hotmaps		0.025472714919116644		102.0	6.0	5.0	1.94041001622778	0.0	0.0	5.0	0.0	Act
ALOX5	4	hotmaps		0.3035192555158427		103.0	5.0	5.0	2.00270948467151	0.0	0.0	4.0	0.0	Act
SLC7A3	4	hotmaps		0.12496902807929855		104.0	6.0	5.0	1.6649973708333898	0.0	0.0	4.0	0.0	Act
CAPZB	4	hotmaps		0.4651254664554755		105.0	6.0	6.0	1.96500672842478	0.0	0.0	3.0	0.0	Act
B2M	2	hotmaps		0.004559588879255059	0.0011721604685786516	106.0	6.0	5.0	11.420564760831802	0.0	0.0	4.0	0.0	Act
NCF2	4	hotmaps		0.17524140874859895		107.0	6.0	6.0	3.02192162099667	0.0	0.0	5.0	0.0	Act
OR2T27	4	hotmaps		0.18510649562227952		108.0	9.0	8.0	7.3848616496947015	0.0	0.0	8.0	0.0	Act
AGER	3	hotmaps		0.007566024144864284		109.0	5.0	3.0	4.63688019833526	8.3179501261477	8.3179501261477	4.0	1.0	LoF
PABPC3	4	hotmaps		0.080589532389371		109.0	8.0	8.0	3.13924418839711	0.0	0.0	7.0	0.0	Act
TPTE	3	mutpanning	mutpanning	0.015289779759973868		113.0	23.0	21.0	3.03329236500789	2.2674820069403	2.2674820069403	16.0	1.0	Act
FGFR3	2	mutpanning	mutpanning	1.917289153477149e-05	2.0543586272732733e-06	114.0	12.0	10.0	8.4097188785668	0.0	0.0	12.0	0.0	Act
RBP3	4	mutpanning	mutpanning	0.42683286720165386		115.0	19.0	18.0	1.03805013309666	2.01258510630479	2.01258510630479	10.0	1.0	LoF
LRP1B	2	mutpanning		0.012304272071040834	0.003925928393650669	116.0	114.0	92.0	1.5866375446251395	1.5015457382689	1.5015457382689	85.0	5.0	ambiguous
NOTCH2	2	mutpanning		4.9784043691652316e-05	5.726199761216761e-06	117.0	20.0	19.0	0.934339123282313	5.4574713779598785	5.4574713779598785	9.0	4.0	LoF
RB1	2	mutpanning		5.036601666722501e-05	5.726199761216761e-06	118.0	16.0	15.0	1.1952691566567	8.93988754026543	8.93988754026543	6.0	5.0	LoF
SLC4A8	3	mutpanning		0.0018077492504478601		119.0	9.0	9.0	1.30334084592895	11.3198219189531	11.3198219189531	5.0	2.0	LoF
ASXL1	2	mutpanning		0.00021426224269510314	2.912087836116981e-05	120.0	16.0	14.0	1.10442565732892	7.2757696798058	7.2757696798058	7.0	4.0	LoF
CSMD3	2	mutpanning		0.0031030768511557034	0.0007246332223679977	121.0	131.0	92.0	1.7040341681803	2.26451166176573	2.26451166176573	92.0	11.0	LoF
CREBBP	2	smregions	smregions	1.917289153477149e-05	2.0543586272732733e-06	122.0	38.0	34.0	1.98326340876429	3.8001012339315	3.8001012339315	25.0	5.0	LoF
HUWE1	3	smregions	smregions	5.261284621371531e-05		123.0	48.0	46.0	2.3617402250898	2.92431819012825	2.92431819012825	36.0	3.0	LoF
LIN28B	3	smregions	smregions	0.0005069984875142704		124.0	7.0	7.0	9.6336510861518	0.0	0.0	6.0	0.0	Act
DCST1	4	smregions		0.062026395672197476		125.0	6.0	5.0	2.51442688522177	0.0	0.0	5.0	0.0	Act
TTBK1	4	smregions		0.1324507804237912		125.0	10.0	10.0	1.09702461119134	2.31981581703124	2.31981581703124	6.0	1.0	LoF
GRIN2D	4	smregions		0.3355268376784826		127.0	10.0	10.0	0.992934919815996	0.0	0.0	6.0	0.0	ambiguous
ZNF491	4	smregions		0.21103492710134786		127.0	5.0	5.0	2.47270801897886	0.0	0.0	4.0	0.0	Act
SYTL1	4	smregions		0.06134504067434263		129.0	5.0	5.0	1.60330218436753	5.4906925792504095	5.4906925792504095	3.0	1.0	LoF
FBLN2	2	smregions		0.00010089408368551171	1.3355646089239265e-05	130.0	7.0	7.0	1.36086901460576	7.41685703994374	7.41685703994374	4.0	2.0	LoF
HKDC1	4	smregions		0.08933108954392574		131.0	4.0	4.0	2.6205807870065896	0.0	0.0	4.0	0.0	Act
THBS1	3	smregions		0.03666412912245389		132.0	8.0	7.0	2.2260075602731	0.0	0.0	7.0	0.0	Act
EML3	4	smregions		0.3531372017838538		133.0	7.0	7.0	0.6896419175030739	2.23778539848441	2.23778539848441	3.0	1.0	LoF
LPA	3	smregions		0.016201794797075397		134.0	16.0	15.0	1.89443783339425	0.0	0.0	13.0	0.0	Act
C1QTNF3	3	smregions		0.027894952137022252		134.0	4.0	4.0	2.5811354794171404	11.974873724980302	11.974873724980302	2.0	1.0	LoF
HSPG2	3	smregions		0.0035138330053223026		134.0	21.0	21.0	1.6689113933185402	4.3176653971447	4.3176653971447	15.0	2.0	LoF
GSX2	4	smregions		0.0514070401151524		134.0	3.0	3.0	3.72046158361028	0.0	0.0	3.0	0.0	Act
MAGI1	4	smregions		0.05211022288478414		134.0	12.0	12.0	2.11520065842429	0.0	0.0	10.0	0.0	Act
PALLD	4	smregions		0.05388455175076099		134.0	4.0	4.0	1.5562135786290698	3.86334930754139	3.86334930754139	3.0	1.0	LoF
ZNF174	4	smregions		0.06525301418029915		134.0	4.0	4.0	4.15315411184814	0.0	0.0	4.0	0.0	Act
HNRNPL	4	smregions		0.40669969340271744		134.0	10.0	10.0	1.5132405822610802	0.0	0.0	4.0	0.0	Act
CDH5	4	smregions		0.07421017242872763		134.0	4.0	4.0	2.84926013230606	0.0	0.0	4.0	0.0	Act
CEP250	4	smregions		0.20038717812262213		134.0	15.0	12.0	1.15024637977425	1.72829640898169	1.72829640898169	10.0	1.0	LoF
ZNF841	4	smregions		0.1630847944701335		134.0	6.0	2.0	1.15083235668643	0.0	0.0	2.0	0.0	Act
PCDHA8	4	smregions		0.4762958217796526		134.0	15.0	15.0	1.03035942139026	0.0	0.0	8.0	0.0	Act
PCDHGA3	4	smregions		0.06558104924040205		134.0	12.0	12.0	2.99403761026908	0.0	0.0	10.0	0.0	Act
ADGRV1	4	smregions		0.08876795530765086		148.0	40.0	37.0	1.52835286899438	0.914088668791494	0.914088668791494	31.0	1.0	Act
PCDHGA7	4	smregions		0.4565305917571496		148.0	17.0	16.0	1.11672016542224	2.01775643395364	2.01775643395364	9.0	1.0	LoF
NF2	2	smregions		5.595198151877682e-06	5.694369634888895e-07	148.0	4.0	4.0	0.7789648533187349	18.4156763931019	18.4156763931019	1.0	2.0	LoF
CSNK2A1	3	oncodrivefml	oncodrivefml	8.201684001329314e-06		152.0	6.0	6.0	2.0967747260912	24.5086175952712	24.5086175952712	2.0	4.0	LoF
HLA-C	3	oncodrivefml		1.6290625809092852e-05		153.0	6.0	6.0	1.42797961775273	22.5026780589255	22.5026780589255	2.0	3.0	LoF
CD8A	3	oncodrivefml		7.281855338280549e-05		154.0	3.0	3.0	1.86005012710795	39.3263625994339	39.3263625994339	1.0	2.0	LoF
VPS33B	3	oncodrivefml		3.087570956660561e-05		155.0	6.0	6.0	2.50101890359204	17.1312325718783	17.1312325718783	3.0	3.0	LoF
TRPC3	3	oncodrivefml		2.5150866676819515e-05		156.0	9.0	8.0	3.06434108602985	13.8652531446004	13.8652531446004	5.0	2.0	LoF
CECR2	3	oncodrivefml		0.0006862349374653316		157.0	12.0	12.0	4.56758391105816	8.42199719960479	8.42199719960479	10.0	2.0	LoF
KLF3	3	oncodrivefml		2.3336103070231657e-06		158.0	5.0	5.0	2.51439803154234	41.573829473576005	41.573829473576005	2.0	3.0	LoF
CMBL	3	oncodrivefml		0.029480682874268062		159.0	2.0	2.0	0.0	13.414659044305902	13.414659044305902	0.0	1.0	LoF
GOLGA6B	3	oncodrivefml		0.00046255548478360596		159.0	2.0	2.0	0.0	9.932112893569348	9.932112893569348	0.0	2.0	LoF
SBNO2	3	oncodrivefml		5.750198256027704e-05		161.0	4.0	4.0	0.0	13.2955980521664	13.2955980521664	0.0	2.0	LoF
PPM1A	3	oncodrivefml		0.010414193536580484		162.0	4.0	4.0	1.75125862498081	17.7733290579515	17.7733290579515	2.0	2.0	LoF
RNF111	3	oncodrivefml		0.008821663123544975		162.0	9.0	9.0	3.05486133289894	13.7720968882495	13.7720968882495	6.0	3.0	LoF
FAT2	3	oncodrivefml		0.0003518977573022288		162.0	41.0	38.0	1.9167446950903704	3.5587075103081696	3.5587075103081696	22.0	3.0	LoF
GNL2	3	oncodrivefml		0.0033255828964654835		162.0	4.0	4.0	1.28613565550021	9.63710930803467	9.63710930803467	2.0	2.0	LoF
NAV1	3	oncodrivefml		0.0010386990720476644		166.0	13.0	13.0	1.43560494247499	6.36058171750564	6.36058171750564	7.0	3.0	LoF
CDK13	4	oncodrivefml		0.11318975556975393		167.0	5.0	5.0	1.60517502615275	4.26606887561876	4.26606887561876	4.0	1.0	LoF
RASA2	3	oncodrivefml		6.462880415776619e-05		168.0	6.0	6.0	1.78287323319529	16.7030136824901	16.7030136824901	3.0	3.0	LoF
