SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	2.3285530829112786e-06	3.495280732875245e-05	1.0	14.0	13.0	247.263349841671	1951.18155505038	1951.18155505038	10.0	4.0	LoF
ZAN	1	dndscv,oncodrivefml,smregions,cbase	cbase	1.4112723519521156e-06		2.0	3.0	3.0	7.89212063531698	59.518086739254294	59.518086739254294	2.0	1.0	LoF
STXBP5	1	dndscv,oncodrivefml		0.0001686441095691875		3.0	2.0	2.0	11.7329984963011	92.9678249267622	92.9678249267622	1.0	1.0	LoF
PCDH1	1	oncodrivefml		0.0013195484104645086		4.0	2.0	2.0	15.713054087249999	0.0	0.0	2.0	0.0	Act
DNAH3	1	oncodrivefml		0.0001407392585153673		4.0	2.0	2.0	2.980617161666	34.023478808670895	34.023478808670895	1.0	1.0	LoF
YLPM1	1	oncodrivefml		0.00035973173693230285		4.0	2.0	2.0	5.84764069311565	46.0263128942525	46.0263128942525	1.0	1.0	LoF
LMTK3	1	oncodrivefml		0.00013622766605418478		7.0	2.0	2.0	4.94990928933465	117.139927077991	117.139927077991	1.0	1.0	LoF
ICE1	1	oncodrivefml		0.005852874467714179		8.0	2.0	2.0	6.3912773006993095	76.0566903081745	76.0566903081745	1.0	1.0	LoF
ARFGAP3	1	dndscv,oncodrivefml		0.0001686441095691875		9.0	2.0	2.0	25.109478404362	160.523330150683	160.523330150683	1.0	1.0	LoF
UCP2	1	dndscv,oncodrivefml		0.0019878814968524337		9.0	2.0	2.0	63.0321398771054	0.0	0.0	2.0	0.0	Act
CFAP47	4	oncodrivefml		0.1924692714360203		11.0	2.0	2.0	8.9869175782316	0.0	0.0	2.0	0.0	Act
MTOR	2	oncodrivefml		0.001339840670076269	0.031424552558038804	11.0	2.0	2.0	8.892125296829471	0.0	0.0	2.0	0.0	Act
FAM189B	3	oncodrivefml		0.0012614666985302622		11.0	2.0	2.0	25.1196598950424	0.0	0.0	2.0	0.0	Act
PTEN	2	dndscv,oncodrivefml		0.0001686441095691875	0.005062873689382345	14.0	2.0	2.0	36.923107894831396	258.760914500838	258.760914500838	1.0	1.0	LoF
GRM3	2	oncodrivefml		0.0012614666985302622	0.031424552558038804	15.0	2.0	2.0	23.6149878392176	0.0	0.0	2.0	0.0	Act
SNX25	3	dndscv,oncodrivefml		0.0015924581841796285		16.0	2.0	2.0	35.358625256212704	0.0	0.0	2.0	0.0	Act
CSMD1	3	oncodrivefml		0.0008968139954407412		17.0	2.0	2.0	6.38957235596002	0.0	0.0	2.0	0.0	Act
TSC2	2	oncodrivefml		0.0012614666985302622	0.031424552558038804	17.0	2.0	2.0	9.793459133702331	0.0	0.0	2.0	0.0	Act
ATP10B	3	oncodrivefml		0.002158156603551556		17.0	2.0	2.0	16.8516643118331	0.0	0.0	2.0	0.0	Act
TRRAP	2	oncodrivefml		0.0023254308299128067	0.06855945498224979	17.0	2.0	2.0	5.0949258185406	0.0	0.0	2.0	0.0	Act
PCDHB9	3	dndscv,oncodrivefml		0.00029332384208552486		21.0	2.0	2.0	24.8631687137507	0.0	0.0	2.0	0.0	Act
NLRP7	3	oncodrivefml		0.0012614666985302622		22.0	2.0	2.0	20.5088549186625	0.0	0.0	2.0	0.0	Act
ATM	2	oncodrivefml		0.004886318922321657	0.11735395003335887	23.0	2.0	2.0	10.046348988333499	0.0	0.0	2.0	0.0	Act
ZNF836	3	oncodrivefml		0.008208055869445771		24.0	2.0	2.0	0.0	250.834758581413	250.834758581413	0.0	1.0	LoF
ELOA2	3	oncodrivefml		0.03345975270121351		24.0	2.0	2.0	22.155429159580606	0.0	0.0	2.0	0.0	Act
GALNS	3	dndscv,oncodrivefml		0.0010245856636591935		26.0	2.0	2.0	34.546300851268605	0.0	0.0	2.0	0.0	Act
MUC16	2	oncodrivefml		0.008234587009918139	0.1926791384011124	27.0	3.0	3.0	2.14426621522032	0.0	0.0	2.0	0.0	Act
RYR1	3	oncodrivefml		0.002724478897490236		27.0	2.0	2.0	3.24635210594953	0.0	0.0	2.0	0.0	Act
CHD4	2	oncodrivefml		0.0041304896808469615	0.1041980165125918	27.0	2.0	2.0	11.9293058588808	0.0	0.0	2.0	0.0	Act
HSPG2	3	oncodrivefml		0.002045945036603709		27.0	2.0	2.0	3.8174581240720498	0.0	0.0	2.0	0.0	Act
