SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.2167084961773085e-06	6.131229404661383e-05	1.0	15.0	14.0	256.823097981388	1849.1310333832605	1849.1310333832605	11.0	4.0	LoF
ZAN	1	dndscv,oncodrivefml,smregions,cbase	cbase	0.00018771500683317907		2.0	3.0	3.0	7.437250735207889	55.5444422035647	55.5444422035647	2.0	1.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions		0.00011438507589370081	0.0017893055937883075	2.0	3.0	3.0	67.5908921071094	243.438543492323	243.438543492323	2.0	1.0	LoF
ILKAP	1	dndscv,oncodrivefml		3.0019168021107912e-06		4.0	2.0	2.0	22.607849054242703	321.644366951907	321.644366951907	1.0	1.0	LoF
DNAH3	1	oncodrivefml		0.0012093097355116527		5.0	2.0	2.0	2.76876573068136	31.8405563684023	31.8405563684023	1.0	1.0	LoF
PCDH1	1	oncodrivefml		0.00011438507589370081		5.0	2.0	2.0	14.829581947612901	0.0	0.0	2.0	0.0	Act
ICE1	1	oncodrivefml		0.007213198479880712		5.0	2.0	2.0	5.8992971598275314	71.3973361136915	71.3973361136915	1.0	1.0	LoF
YLPM1	1	oncodrivefml		3.571801296824706e-05		5.0	2.0	2.0	5.4205185605302	44.07204106557821	44.07204106557821	1.0	1.0	LoF
STXBP5	1	oncodrivefml		5.885545821860334e-06		5.0	2.0	2.0	10.8542330733731	86.6844434276853	86.6844434276853	1.0	1.0	LoF
LMTK3	1	oncodrivefml		3.2167084961773085e-06		5.0	2.0	2.0	4.6969474822188095	111.47012403955699	111.47012403955699	1.0	1.0	LoF
ARFGAP3	1	dndscv,oncodrivefml		6.970801244379959e-06		11.0	2.0	2.0	23.3602800564367	150.900613563587	150.900613563587	1.0	1.0	LoF
UCP2	1	dndscv,oncodrivefml		0.00011438507589370081		11.0	2.0	2.0	59.46036098237571	0.0	0.0	2.0	0.0	Act
MTOR	2	oncodrivefml		0.0004714510702061111	0.008089041490675441	13.0	2.0	2.0	8.31447476530864	0.0	0.0	2.0	0.0	Act
CFAP47	4	oncodrivefml		0.06461453706205403		13.0	2.0	2.0	8.2750640920759	0.0	0.0	2.0	0.0	Act
SNX25	3	dndscv,oncodrivefml		0.00015699574823040518		15.0	2.0	2.0	32.396508227739	0.0	0.0	2.0	0.0	Act
SYNDIG1	3	dndscv,oncodrivefml		4.848124332554054e-05		15.0	2.0	2.0	73.78458150670208	0.0	0.0	2.0	0.0	Act
GRM3	2	oncodrivefml		0.0001226517348342712	0.0018576126310112086	17.0	2.0	2.0	22.160983680328197	0.0	0.0	2.0	0.0	Act
TSC2	2	oncodrivefml		0.0002992494590634228	0.004648471989372994	17.0	2.0	2.0	9.270378508250001	0.0	0.0	2.0	0.0	Act
ATP10B	3	oncodrivefml		0.00033320643252678187		17.0	2.0	2.0	15.6569144443088	0.0	0.0	2.0	0.0	Act
TRRAP	2	oncodrivefml		0.0009738427151437727	0.01780384245891051	17.0	2.0	2.0	4.7941161819826	0.0	0.0	2.0	0.0	Act
PCDHGB5	3	oncodrivefml		0.03677598988942301		17.0	2.0	2.0	17.986812974776896	0.0	0.0	2.0	0.0	Act
CSMD1	3	oncodrivefml		0.01886035530110448		17.0	2.0	2.0	5.97425485368688	0.0	0.0	2.0	0.0	Act
OR13C2	3	dndscv,oncodrivefml		0.026180907669207117		23.0	3.0	3.0	46.0751706340126	1604.86812957121	1604.86812957121	1.0	1.0	LoF
PCDHB9	3	oncodrivefml		0.0015108302424324295		24.0	2.0	2.0	23.4237769164725	0.0	0.0	2.0	0.0	Act
NLRP7	3	oncodrivefml		0.00015699574823040518		24.0	2.0	2.0	19.2558866499248	0.0	0.0	2.0	0.0	Act
ATM	2	oncodrivefml		0.0012598163365300234	0.02091511263599538	26.0	2.0	2.0	9.21588461117033	0.0	0.0	2.0	0.0	Act
KIAA1211	3	oncodrivefml		0.005608130288945943		26.0	2.0	2.0	13.481896038572	0.0	0.0	2.0	0.0	Act
NFIA	3	dndscv,oncodrivefml		0.00017780860584834995		28.0	2.0	2.0	36.3314467908399	0.0	0.0	2.0	0.0	Act
TAL1	2	dndscv,oncodrivefml		9.027603157548988e-05	0.0012620943237906725	28.0	2.0	2.0	35.590324388819205	0.0	0.0	2.0	0.0	Act
ZNF836	3	oncodrivefml		0.0008053466149625937		30.0	2.0	2.0	0.0	234.942395931703	234.942395931703	0.0	1.0	LoF
ELOA2	4	oncodrivefml		0.0657059691637194		30.0	2.0	2.0	20.9541374286365	0.0	0.0	2.0	0.0	Act
RYR1	3	oncodrivefml		0.0024678984625101704		32.0	2.0	2.0	3.07402356765294	0.0	0.0	2.0	0.0	Act
GALNS	3	dndscv,oncodrivefml		0.00011036493637460083		33.0	2.0	2.0	32.7391530465435	0.0	0.0	2.0	0.0	Act
CHD4	2	oncodrivefml		0.0012093097355116527	0.02091511263599538	34.0	2.0	2.0	11.120251290219299	0.0	0.0	2.0	0.0	Act
HSPG2	3	oncodrivefml		0.0018095998786262454		34.0	2.0	2.0	3.62375555216176	0.0	0.0	2.0	0.0	Act
MUC16	3	oncodrivefml		0.022699766910176552	0.2856164789462803	34.0	3.0	3.0	1.98204652326918	0.0	0.0	2.0	0.0	Act
MYO1F	3	oncodrivefml		0.01002117313171369		37.0	2.0	2.0	13.4854316560849	0.0	0.0	2.0	0.0	Act
CD276	3	oncodrivefml		0.00018771500683317907		37.0	2.0	2.0	31.111132703899198	0.0	0.0	2.0	0.0	Act
TSHZ3	3	oncodrivefml		0.00019929309089229352		37.0	2.0	2.0	17.2472923700409	0.0	0.0	2.0	0.0	Act
BSN	3	oncodrivefml		0.0027963169243763733		37.0	2.0	2.0	4.72250289241605	0.0	0.0	2.0	0.0	Act
ERBB3	4	mutpanning		0.1545349467269085	0.8713622418057341	59.0	2.0	2.0	8.325845540895799	0.0	0.0	1.0	0.0	Act
DDX50	3	dndscv		0.0008204372621114218		87.0	2.0	2.0	34.3216630322085	0.0	0.0	2.0	0.0	Act
AICDA	3	dndscv		0.00032542986773738804		87.0	2.0	2.0	69.9671427470361	0.0	0.0	2.0	0.0	Act
