SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	9.869164227178758e-07	4.163736150283109e-06	1.0	16.0	14.0	252.638715072875	1874.32447378868	1874.32447378868	12.0	4.0	LoF
FAT3	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	9.869164227178758e-07	4.163736150283109e-06	2.0	4.0	3.0	2.22032775621044	75.28053382138759	75.28053382138759	1.0	2.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions		5.2760664815353135e-05	0.000667781432189588	3.0	4.0	4.0	57.4198058641536	204.757019819047	204.757019819047	2.0	1.0	LoF
TSC1	1	dndscv,oncodrivefml		0.024507807100472186	0.2325610211205468	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
RNF103	1	dndscv,oncodrivefml		5.2156201712098996e-05		5.0	2.0	2.0	17.3239680844227	186.175127459777	186.175127459777	1.0	1.0	LoF
ILKAP	1	dndscv,oncodrivefml		1.4876711005519807e-05		6.0	2.0	2.0	20.2352524765602	262.523168163037	262.523168163037	1.0	1.0	LoF
ZAN	1	oncodrivefml,smregions	smregions	3.0669323624702985e-05		13.0	3.0	3.0	9.84973474470822	0.0	0.0	3.0	0.0	Act
CSF2RB	1	dndscv,smregions		0.0013564196502889039		14.0	3.0	3.0	30.363368001403998	0.0	0.0	3.0	0.0	Act
ICE1	1	dndscv,oncodrivefml		0.005791496445693861		14.0	3.0	3.0	5.05597955773825	60.25978544297111	60.25978544297111	1.0	1.0	LoF
SYNDIG1	1	dndscv,oncodrivefml		0.0008772326197823383		14.0	2.0	2.0	66.6825778444874	0.0	0.0	2.0	0.0	Act
CDKN1A	1	dndscv,oncodrivefml		0.001348077364500652	0.014874870946847887	14.0	2.0	2.0	0.0	476.04343252170304	476.04343252170304	0.0	1.0	LoF
