SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0001254596466830939	0.0016601845689915675	1.0	14.0	13.0	276.487640978272	1724.68888588038	1724.68888588038	11.0	3.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions		8.333394618613808e-08	6.529352047331478e-07	2.0	3.0	3.0	76.6864502101162	274.730366955507	274.730366955507	2.0	1.0	LoF
MUC4	1	oncodriveclustl,dndscv,oncodrivefml,cbase	cbase	1.5586902355535956e-06	1.8318892383786488e-05	3.0	8.0	8.0	12.592500613662601	0.0	0.0	6.0	0.0	Act
ZAN	1	dndscv,oncodrivefml,smregions,cbase	cbase	2.8580478796903643e-07		4.0	3.0	3.0	8.06336504099491	63.1125985710098	63.1125985710098	2.0	1.0	LoF
CHD4	1	dndscv,oncodrivefml		0.0016513383283841279	0.03665910600429307	5.0	2.0	2.0	12.176191645469196	0.0	0.0	2.0	0.0	Act
SNX25	1	dndscv,oncodrivefml		0.00015471538311233568		5.0	2.0	2.0	36.50043423947221	0.0	0.0	2.0	0.0	Act
KIAA1324	1	dndscv,oncodrivefml		5.688188252591641e-06		5.0	2.0	2.0	12.042832050533097	119.62288845869	119.62288845869	1.0	1.0	LoF
UCP2	1	dndscv,oncodrivefml		0.0001254596466830939		5.0	2.0	2.0	63.9695273438176	0.0	0.0	2.0	0.0	Act
ARFGAP3	1	dndscv,oncodrivefml		5.688188252591641e-06		5.0	2.0	2.0	25.7275254680084	168.498907981088	168.498907981088	1.0	1.0	LoF
KRTAP10-4	1	dndscv,oncodrivefml		3.4501006688420035e-05		5.0	2.0	2.0	54.80224496493361	0.0	0.0	2.0	0.0	Act
GALNS	1	dndscv,oncodrivefml		0.0001254596466830939		5.0	2.0	2.0	35.1173173171081	0.0	0.0	2.0	0.0	Act
CFAP47	4	oncodrivefml		0.11029202892535216		17.0	2.0	2.0	9.282362025555619	0.0	0.0	2.0	0.0	Act
ATP10B	3	oncodrivefml		0.0005349224425684992		17.0	2.0	2.0	17.3274228250555	0.0	0.0	2.0	0.0	Act
DNAH3	3	oncodrivefml		0.00015471538311233568		17.0	2.0	2.0	3.07217918276358	35.5347652615268	35.5347652615268	1.0	1.0	LoF
FAM189B	3	oncodrivefml		0.00015471538311233568		17.0	2.0	2.0	25.3004859749858	0.0	0.0	2.0	0.0	Act
PCDH1	3	oncodrivefml		0.00015471538311233568		17.0	2.0	2.0	15.9039846407963	0.0	0.0	2.0	0.0	Act
PCDHB9	3	oncodrivefml		0.00016800059025146074		17.0	2.0	2.0	25.1162069416287	0.0	0.0	2.0	0.0	Act
NLRP7	3	oncodrivefml		0.0001861567193951251		17.0	2.0	2.0	20.9523627709531	0.0	0.0	2.0	0.0	Act
GRM3	2	oncodrivefml		0.00015471538311233568	0.0030735570547468123	17.0	2.0	2.0	24.1206548955747	0.0	0.0	2.0	0.0	Act
LMTK3	3	oncodrivefml		5.688188252591641e-06		17.0	2.0	2.0	4.9460875542213305	119.61085323616501	119.61085323616501	1.0	1.0	LoF
MTOR	2	oncodrivefml		0.0006581357428170803	0.013922825477990787	17.0	2.0	2.0	9.086458001927733	0.0	0.0	2.0	0.0	Act
ZNF836	3	oncodrivefml		0.0010499059101517936		17.0	2.0	2.0	0.0	282.531377663074	282.531377663074	0.0	1.0	LoF
