SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.83817512795275e-09	1.0742777592051728e-08	1.0	16.0	14.0	556.897087673276	3616.05269432741	3616.05269432741	12.0	4.0	LoF
MUC4	4	oncodriveclustl,dndscv,cbase	cbase	0.2535230084817359	0.9872720014176368	2.0	16.0	14.0	5.771174366966081	0.0	0.0	11.0	0.0	Act
PTEN	2	dndscv,oncodrivefml,smregions		6.325113994119256e-08	3.696562522792647e-07	3.0	4.0	4.0	117.124340992071	453.39899704416496	453.39899704416496	2.0	1.0	LoF
ZAN	3	dndscv,oncodrivefml,smregions,cbase	cbase	0.007187413979244644		4.0	4.0	4.0	20.0575366773192	81.8375819973207	81.8375819973207	3.0	1.0	LoF
ENO1	3	dndscv,oncodrivefml		0.0006402799445547593		5.0	2.0	2.0	35.5528310170903	370.037276569448	370.037276569448	1.0	1.0	LoF
FAT3	2	oncodrivefml		0.004598299528254227	0.06318758087552863	6.0	2.0	2.0	3.64748786897098	56.8050286112636	56.8050286112636	1.0	1.0	LoF
DMD	3	oncodrivefml		0.04952849827600271		6.0	2.0	2.0	5.59607114100715	0.0	0.0	1.0	0.0	Act
UBR5	2	oncodrivefml		0.004598299528254227	0.06318758087552863	6.0	2.0	2.0	10.654702691851302	79.28169319283741	79.28169319283741	1.0	1.0	LoF
ADAMTSL1	3	oncodrivefml		0.0006402799445547593		6.0	2.0	2.0	22.695139810631105	248.960654139225	248.960654139225	1.0	1.0	LoF
TSC1	4	dndscv,oncodrivefml		0.21728847143752755	0.9872720014176368	10.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
RNF103	3	dndscv,oncodrivefml		0.0008913641500842654		11.0	2.0	2.0	54.96220572352329	593.977273220777	593.977273220777	1.0	1.0	LoF
DST	3	oncodrivefml		0.0066480434314408424		12.0	2.0	2.0	4.61908855613132	36.9220031759333	36.9220031759333	1.0	1.0	LoF
CDKN1A	2	dndscv,oncodrivefml		0.0075680483546959046	0.13457615533040534	13.0	2.0	2.0	0.0	1444.6642097603	1444.6642097603	0.0	1.0	LoF
PCDHGB5	3	oncodrivefml		0.04180696644473832		14.0	2.0	2.0	33.104930321162804	0.0	0.0	2.0	0.0	Act
ABCE1	3	dndscv,oncodrivefml		0.0066480434314408424		15.0	2.0	2.0	93.57788727987871	0.0	0.0	2.0	0.0	Act
CALD1	4	dndscv,oncodrivefml		0.20274387657888426		15.0	2.0	2.0	26.1645567770196	0.0	0.0	1.0	0.0	Act
ICE1	3	dndscv,oncodrivefml		0.03443841463918825		15.0	3.0	3.0	9.98408791868983	115.91321412407	115.91321412407	1.0	1.0	LoF
FAM189B	3	dndscv,oncodrivefml		0.0066480434314408424		15.0	2.0	2.0	43.716700112774106	0.0	0.0	2.0	0.0	Act
SPAG17	3	oncodrivefml		0.003996661766706025		19.0	2.0	2.0	23.8544482462052	0.0	0.0	2.0	0.0	Act
ROBO2	2	oncodrivefml		0.00410717012486145	0.06318758087552863	19.0	2.0	2.0	14.573980806417199	128.06395242776898	128.06395242776898	1.0	1.0	LoF
MTOR	2	oncodrivefml		0.007953334145038833	0.13557066502011206	19.0	2.0	2.0	22.2197896122478	0.0	0.0	2.0	0.0	Act
SPTA1	3	oncodrivefml		0.0006402799445547593		19.0	2.0	2.0	6.123092304507999	44.979202240270396	44.979202240270396	1.0	1.0	LoF
GRM3	2	oncodrivefml		0.006243783099466077	0.08514404767605244	23.0	2.0	2.0	68.1939567655983	0.0	0.0	2.0	0.0	Act
KRTAP10-4	3	dndscv,oncodrivefml		0.004368056896827064		24.0	2.0	2.0	130.961391959497	0.0	0.0	2.0	0.0	Act
NCAPH	3	oncodrivefml		0.006243783099466077		25.0	2.0	2.0	70.689364009353	0.0	0.0	2.0	0.0	Act
LPIN1	3	oncodrivefml		0.0066480434314408424		25.0	2.0	2.0	49.0328092884509	0.0	0.0	2.0	0.0	Act
SOS2	3	oncodrivefml		0.0108980908875778		25.0	2.0	2.0	38.86989568524921	0.0	0.0	2.0	0.0	Act
GALNS	3	dndscv,oncodrivefml		0.005438646177179225		28.0	3.0	2.0	58.1055763392353	0.0	0.0	2.0	0.0	Act
TSC2	3	oncodrivefml		0.01180267413878636	0.2660577047374429	29.0	2.0	2.0	11.821341602544198	0.0	0.0	2.0	0.0	Act
CSMD1	3	oncodrivefml		0.003996661766706025		29.0	2.0	2.0	12.2071254828381	0.0	0.0	2.0	0.0	Act
NDST4	3	oncodrivefml		0.0075680483546959046		31.0	2.0	2.0	77.32314941871729	0.0	0.0	2.0	0.0	Act
NLRP7	3	oncodrivefml		0.0075680483546959046		33.0	2.0	2.0	37.3850421068371	0.0	0.0	2.0	0.0	Act
TAL1	2	dndscv,oncodrivefml		0.0035188881055205658	0.06318758087552863	34.0	2.0	2.0	149.33685342981002	0.0	0.0	2.0	0.0	Act
E2F7	4	dndscv,oncodrivefml		0.20457658076482646		34.0	2.0	2.0	26.2571606219025	0.0	0.0	1.0	0.0	Act
C5	3	dndscv,oncodrivefml		0.04460137178725775		34.0	2.0	2.0	11.008066660601301	0.0	0.0	1.0	0.0	Act
ZNF836	3	oncodrivefml		0.03806141344904912		37.0	2.0	2.0	0.0	147.408953295184	147.408953295184	0.0	1.0	LoF
CHD4	3	oncodrivefml		0.01629310116056426	0.32785344824520546	37.0	2.0	2.0	18.7195064575125	0.0	0.0	2.0	0.0	Act
DSPP	3	oncodrivefml		0.010034197414309365		37.0	2.0	2.0	50.752893330115995	0.0	0.0	2.0	0.0	Act
PTPRN2	3	oncodrivefml		0.007279209638864044		37.0	2.0	2.0	37.0801966835758	0.0	0.0	2.0	0.0	Act
ZNF831	3	oncodrivefml		0.010932920274718342		37.0	2.0	2.0	22.276001818081397	0.0	0.0	2.0	0.0	Act
AGAP4	3	oncodriveclustl,dndscv		0.0006402799445547593		79.0	3.0	3.0	107.806056599394	0.0	0.0	3.0	0.0	Act
ANXA8	3	oncodriveclustl		0.004598299528254227		80.0	3.0	3.0	65.0554937793359	0.0	0.0	2.0	0.0	Act
CSF2RB	3	dndscv,smregions		8.740934273467356e-06		92.0	3.0	3.0	76.4879392228836	0.0	0.0	3.0	0.0	Act
HCN1	3	dndscv		0.0108980908875778		93.0	4.0	3.0	34.4530380510801	0.0	0.0	2.0	0.0	Act
C17orf53	4	dndscv		0.11108179250356168		93.0	2.0	2.0	50.4046124220685	0.0	0.0	1.0	0.0	Act
SETD1B	4	dndscv		0.12384374118678132	0.9872720014176368	93.0	2.0	2.0	8.8219401462217	0.0	0.0	1.0	0.0	Act
CD5L	3	dndscv		0.0066480434314408424		93.0	2.0	2.0	133.221764694148	0.0	0.0	2.0	0.0	Act
FOLR2	4	mutpanning		0.2586767049107933		122.0	2.0	2.0	49.3399348931945	0.0	0.0	1.0	0.0	Act
TTN	3	smregions	smregions	0.010034197414309365		150.0	5.0	4.0	0.584634727403734	0.0	0.0	3.0	0.0	ambiguous
MUC16	3	smregions	smregions	0.025417389313526325	0.4690922842246144	151.0	4.0	4.0	2.0973629644174903	0.0	0.0	3.0	0.0	Act
