SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.6204250189863e-06	8.752750291948728e-06	1.0	16.0	15.0	240.99009560711	1982.84231296848	1982.84231296848	11.0	5.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions		0.0003169329330855334	0.0035949352294414984	2.0	4.0	4.0	64.4056564239178	231.271422537798	231.271422537798	2.0	1.0	LoF
ZAN	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	2.104305050418648e-05		3.0	4.0	4.0	10.4733756622785	52.8586090930979	52.8586090930979	3.0	1.0	LoF
TSC1	4	dndscv,oncodrivefml		0.0931790502399031	0.34747800853367666	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
CDKN1A	2	dndscv,oncodrivefml		0.0007942312632740051	0.00954849008441573	5.0	2.0	2.0	0.0	472.59846880964204	472.59846880964204	0.0	1.0	LoF
ARFGAP3	3	dndscv,oncodrivefml		7.472093010620735e-05		6.0	2.0	2.0	21.9733245878777	142.416686581405	142.416686581405	1.0	1.0	LoF
UCP2	3	dndscv,oncodrivefml		0.0007243254807558001		6.0	2.0	2.0	55.996101326219204	0.0	0.0	2.0	0.0	Act
ICE1	3	dndscv,oncodrivefml		0.009499404811149385		6.0	3.0	3.0	5.59517133412385	67.46116298137629	67.46116298137629	1.0	1.0	LoF
GALNS	3	dndscv,oncodrivefml		0.0003169329330855334		9.0	3.0	2.0	30.6540979872553	0.0	0.0	2.0	0.0	Act
SLK	3	dndscv,oncodrivefml		0.04300644237508		10.0	2.0	2.0	10.3550802965707	0.0	0.0	1.0	0.0	Act
AGAP4	3	oncodriveclustl,dndscv		0.0003169329330855334		11.0	3.0	3.0	42.80224678548721	0.0	0.0	3.0	0.0	Act
ANXA8	3	oncodriveclustl,dndscv		0.001874824393786572		11.0	3.0	3.0	56.31655150444679	0.0	0.0	2.0	0.0	Act
