SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
VHL	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	8.206508819746726e-10	1.7576571908919842e-10	1.0	73.0	71.0	243.721686506577	1878.28527451375	1878.28527451375	48.0	23.0	LoF
PBRM1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.2935302228990964e-06	3.878647847695639e-07	2.0	52.0	52.0	14.850722096970001	324.187607708587	324.187607708587	17.0	35.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.4183097391113833e-10	9.463066518433215e-11	3.0	24.0	23.0	5.64082786540403	84.5871615391293	84.5871615391293	10.0	14.0	LoF
BAP1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.826853222565301e-05	1.4668966144597228e-05	4.0	15.0	15.0	12.9610523222182	137.446629816378	137.446629816378	8.0	6.0	LoF
MTOR	1	dndscv,hotmaps,cbase,mutpanning	dndscv,cbase	5.059748279382122e-15	1.0836889525982136e-15	5.0	21.0	21.0	10.068720916934199	0.0	0.0	20.0	0.0	Act
ATG7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.358203364774509e-07		6.0	3.0	3.0	0.0	62.374249864380396	62.374249864380396	0.0	3.0	LoF
KDM5C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.3396191153953832e-09	8.940929818552522e-10	7.0	11.0	11.0	2.82895523445449	32.0322567529356	32.0322567529356	4.0	5.0	LoF
ATM	1	oncodrivefml,cbase,mutpanning	cbase	9.207633210943327e-05	5.9162293295908035e-05	8.0	10.0	9.0	3.35145722066818	10.6290910180645	10.6290910180645	7.0	3.0	LoF
DNAH9	1	dndscv,cbase	cbase	0.002264252510247293		9.0	19.0	16.0	4.9175899982493	5.81465054633888	5.81465054633888	16.0	2.0	LoF
PCDH10	1	dndscv,oncodrivefml,smregions,cbase	cbase	3.245394589944565e-09		10.0	6.0	6.0	5.09137716868345	39.2904703893765	39.2904703893765	4.0	2.0	LoF
AKAP9	1	cbase,mutpanning	cbase	0.01418760774082225	0.01597073453261763	11.0	11.0	10.0	3.10477505369432	2.4590630652378	2.4590630652378	9.0	1.0	Act
SLITRK6	1	dndscv,cbase	dndscv,cbase	2.7079122585360826e-06		12.0	9.0	9.0	8.46914800336687	38.6832532449998	38.6832532449998	6.0	2.0	LoF
TP53	1	dndscv	dndscv	2.8880083339547277e-05	1.4668966144597228e-05	12.0	5.0	5.0	8.77620272324018	76.0131996548533	76.0131996548533	3.0	1.0	LoF
PTEN	1	dndscv	dndscv	0.0031788618217776826	0.002528847807240041	12.0	6.0	6.0	8.523584455436161	68.604990499264	68.604990499264	3.0	2.0	LoF
CCNB2	1	dndscv,cbase	cbase	4.415286288540055e-05		15.0	5.0	5.0	10.3177592710245	50.5859028063385	50.5859028063385	3.0	2.0	LoF
NF2	1	dndscv		0.0035854089418541893	0.0028971424092682626	16.0	2.0	2.0	2.27881428951448	48.5426869357255	48.5426869357255	1.0	1.0	LoF
TINF2	4	dndscv		0.1618670755926788		17.0	4.0	4.0	12.2203563710147	0.0	0.0	4.0	0.0	Act
MACROD2	4	dndscv		0.12025589003119988		17.0	3.0	3.0	9.357632015082697	18.301367607579998	18.301367607579998	3.0	0.0	Act
WASL	3	dndscv		0.03683775432028224		17.0	6.0	6.0	11.5850584236712	0.0	0.0	5.0	0.0	Act
OR4K1	4	dndscv		0.09446194186083412		17.0	3.0	3.0	12.565083399955402	0.0	0.0	3.0	0.0	Act
TP53I3	3	dndscv,smregions		1.6100742281945055e-05		17.0	4.0	3.0	12.375765275095198	42.8425651627966	42.8425651627966	3.0	1.0	LoF
CCDC126	3	dndscv		0.0037951114208530272		17.0	3.0	2.0	29.2065102833799	0.0	0.0	3.0	0.0	Act
SPG21	3	dndscv		0.028021218880784304		17.0	3.0	3.0	12.8986395589531	34.6549548420531	34.6549548420531	3.0	0.0	Act
XPO7	3	dndscv		0.0013327782476153915		17.0	6.0	6.0	7.68310541347417	0.0	0.0	6.0	0.0	Act
ABCB1	3	dndscv,cbase	cbase	3.750993078764133e-06		17.0	7.0	6.0	6.518439516674711	9.20210410161423	9.20210410161423	6.0	1.0	LoF
LMO4	4	dndscv		0.05363565297057679		17.0	2.0	2.0	15.488380125237901	80.24438862577009	80.24438862577009	2.0	0.0	Act
SLCO4C1	3	dndscv,oncodrivefml,cbase		1.7115710682278585e-05		17.0	4.0	4.0	3.76498975678981	33.3171569814186	33.3171569814186	2.0	2.0	LoF
SH3BGR	4	dndscv		0.10062520878280733		17.0	3.0	3.0	16.8803846458084	0.0	0.0	3.0	0.0	Act
ERBB4	2	dndscv		0.00021189864466035865	0.00012317194414117222	17.0	9.0	8.0	7.33421361386153	0.0	0.0	8.0	0.0	Act
C8orf34	3	dndscv,oncodrivefml		9.202581207217592e-05		17.0	2.0	2.0	0.0	37.127895285715105	37.127895285715105	0.0	2.0	LoF
PRKAG1	3	dndscv		0.02100123649240964		17.0	4.0	4.0	16.0514454136952	0.0	0.0	4.0	0.0	Act
DCAF13	3	dndscv		0.017099787662637048		17.0	4.0	4.0	8.56829445188196	0.0	0.0	4.0	0.0	Act
BRINP2	3	dndscv		0.004806280110428904		17.0	5.0	5.0	8.86344702407913	0.0	0.0	5.0	0.0	Act
PCDHB13	3	dndscv,cbase	cbase	0.004575400242911732		17.0	5.0	5.0	6.79359631262794	31.3262925832028	31.3262925832028	4.0	1.0	LoF
