SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
VHL	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.6732479304258288e-06	5.362395605868464e-07	1.0	75.0	72.0	177.584232160896	1467.8706788534698	1467.8706788534698	48.0	24.0	LoF
PBRM1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	0.00031540779983557133	0.00022959903968227784	2.0	52.0	52.0	13.734828279395499	289.182044349429	289.182044349429	17.0	35.0	LoF
SETD2	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.06056156857537157	0.09113067854712134	3.0	27.0	25.0	6.5882806713389	102.295586479199	102.295586479199	11.0	16.0	LoF
BAP1	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.284651634981126e-16	1.0161695295958856e-16	4.0	15.0	15.0	12.611657132248	133.886752119904	133.886752119904	8.0	6.0	LoF
MTOR	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	4.4478237656095436e-11	8.552584533116516e-12	5.0	22.0	22.0	7.93521523896898	0.0	0.0	20.0	0.0	Act
ATG7	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3419812854934614e-09		6.0	3.0	3.0	0.0	60.538471424817885	60.538471424817885	0.0	3.0	LoF
KDM5C	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.811408149542192e-11	9.251709845263168e-12	7.0	11.0	11.0	2.70278410699132	30.8088978241243	30.8088978241243	4.0	5.0	LoF
ATM	2	oncodrivefml,cbase,mutpanning	cbase	1.6732479304258288e-06	5.362395605868464e-07	8.0	10.0	9.0	3.42419880861418	10.930680264358001	10.930680264358001	7.0	3.0	LoF
PCDH10	3	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	7.749659942367149e-10		9.0	6.0	6.0	4.9791274054555315	38.8284546571005	38.8284546571005	4.0	2.0	LoF
PTEN	2	dndscv,mutpanning	dndscv	0.0001671808897552116	0.00010138575533594931	10.0	6.0	6.0	7.08680120888031	57.293217462016	57.293217462016	3.0	2.0	LoF
NF2	2	dndscv,mutpanning		0.0001492653589166351	0.00010138575533594931	10.0	2.0	2.0	2.3318274517457103	49.970152310889596	49.970152310889596	1.0	1.0	LoF
