SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
VHL	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.365793189221654e-07	1.0848738446158793e-07	1.0	128.0	121.0	134.541993909084	1039.81710768224	1039.81710768224	54.0	25.0	LoF
PBRM1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	0.012402834458596851	0.008447834611349977	2.0	96.0	93.0	13.890783711	311.996266089411	311.996266089411	17.0	36.0	LoF
SETD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.01861220743291047	0.013386736038925292	3.0	34.0	31.0	4.89277539255575	92.20437627647392	92.20437627647392	9.0	16.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.345475175671849e-08	8.733823256530028e-09	4.0	27.0	26.0	12.7501037616892	148.043904054736	148.043904054736	9.0	8.0	LoF
MTOR	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.559200249756241e-10	2.350337797201268e-11	5.0	21.0	20.0	8.55421563561234	0.0	0.0	19.0	0.0	Act
KDM5C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.595737005839049e-13	9.942411173706642e-14	6.0	16.0	15.0	3.6513469096453295	41.57716670191829	41.57716670191829	4.0	5.0	LoF
ATG7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.533948464538728e-09		7.0	3.0	3.0	0.0	55.2688835025014	55.2688835025014	0.0	3.0	LoF
ATM	1	dndscv,cbase,mutpanning	cbase,mutpanning	1.6906808901899354e-07	3.185664573745835e-08	7.0	13.0	11.0	3.5754598686168	9.96198520724152	9.96198520724152	8.0	2.0	LoF
PCDH10	1	oncodrivefml,smregions,cbase,mutpanning	cbase	4.365793189221654e-07		9.0	6.0	6.0	4.77495764426937	37.70242586744771	37.70242586744771	4.0	2.0	LoF
TP53	1	dndscv,smregions	dndscv	3.3607339142024687e-06	8.44328146873277e-07	10.0	7.0	7.0	9.47352524635511	61.9338751221064	61.9338751221064	4.0	1.0	LoF
SMARCA4	1	dndscv,mutpanning		0.00029812759820216844	0.00011684332802265959	11.0	11.0	11.0	5.28443829720332	12.048995898051801	12.048995898051801	8.0	0.0	Act
CDK12	1	dndscv,mutpanning		0.002883614993847684	0.0017091372873633511	11.0	7.0	7.0	2.54341018546365	18.083553524056	18.083553524056	3.0	1.0	LoF
NF2	1	dndscv,mutpanning		0.0045833358194481595	0.0026416452997428787	11.0	2.0	2.0	2.1831776322222	46.964168662394	46.964168662394	1.0	1.0	LoF
PLXNA4	1	dndscv,cbase,mutpanning	cbase	0.00033577493432550943		11.0	10.0	9.0	6.167530567064331	0.0	0.0	9.0	0.0	Act
SSPO	1	smregions,cbase,mutpanning	cbase	0.0033172276207870358		15.0	11.0	11.0	1.8758848689392296	4.6783969766682585	4.6783969766682585	7.0	2.0	LoF
ERBB4	2	dndscv,mutpanning		0.00018533565249610957	8.032027920940011e-05	16.0	14.0	12.0	8.09525315625324	0.0	0.0	11.0	0.0	Act
NPHP3	4	dndscv,mutpanning		0.09376832100136803		16.0	8.0	7.0	5.87470648146177	0.0	0.0	6.0	0.0	Act
DSCAML1	4	oncodriveclustl,smregions		0.07067491021575308		18.0	8.0	7.0	1.86425882426558	0.0	0.0	5.0	0.0	Act
KIF1A	3	oncodrivefml,cbase,mutpanning	cbase,mutpanning	3.509634222733554e-07		19.0	5.0	5.0	1.5837705845435102	19.989294762946397	19.989294762946397	2.0	3.0	LoF
RALGAPA1	3	oncodrivefml,cbase,mutpanning	cbase	0.00034800980797659197		19.0	7.0	7.0	1.6909354651174	9.90871150626586	9.90871150626586	3.0	2.0	LoF
PRKDC	3	oncodrivefml,cbase,mutpanning	cbase	5.7102551079017065e-05		19.0	8.0	8.0	1.82473277984403	8.81165288704349	8.81165288704349	5.0	2.0	LoF
FLG	3	cbase,mutpanning	cbase	0.0018828320586089821		22.0	11.0	11.0	2.9379676189512205	4.09343766721312	4.09343766721312	8.0	1.0	LoF
ANK2	3	cbase,mutpanning	cbase	0.02689628497414568		22.0	10.0	10.0	1.52717583300152	9.11537159434074	9.11537159434074	5.0	3.0	LoF
MYH4	3	cbase,mutpanning	cbase	0.00033577493432550943		22.0	9.0	6.0	4.06968788342302	10.6139303454486	10.6139303454486	6.0	1.0	LoF
AHNAK2	4	cbase,mutpanning	cbase	0.10996725817285948		22.0	13.0	12.0	1.8435223036961896	4.300042182648871	4.300042182648871	8.0	1.0	LoF
SPEN	2	cbase,mutpanning	cbase	0.00011046190398287354	4.043819807237723e-05	22.0	14.0	11.0	4.0414668090860495	4.74079267951749	4.74079267951749	11.0	1.0	LoF
AKAP9	2	cbase,mutpanning	cbase	0.15851359633497672	0.20008544076498536	22.0	15.0	11.0	2.83208538465944	2.24830970617333	2.24830970617333	9.0	1.0	Act
KMT2C	2	cbase,mutpanning	cbase	0.015298208676982913	0.010367893478429086	28.0	10.0	10.0	1.9260042824774095	7.67259387759321	7.67259387759321	7.0	2.0	LoF
COL3A1	2	oncodrivefml,smregions		0.0018063102899208395	0.0009006288368626283	28.0	6.0	4.0	2.62873788146071	6.21335205534385	6.21335205534385	3.0	1.0	LoF
ANKS1B	3	cbase,mutpanning	cbase	0.00016815218111583034		28.0	8.0	7.0	4.0325120255710285	16.898008958185	16.898008958185	4.0	2.0	LoF
DYNC1H1	3	mutpanning		0.047608592472928465		31.0	6.0	6.0	1.9560893910165	2.94455102217069	2.94455102217069	6.0	0.0	Act
CHD4	2	mutpanning		0.00513856422270885	0.0028401521634041933	31.0	7.0	7.0	5.26712342163271	0.0	0.0	7.0	0.0	Act
DNAH2	3	mutpanning		0.009490284101437528		31.0	13.0	13.0	3.189817059431721	0.0	0.0	12.0	0.0	Act
XPO7	3	mutpanning		0.002883614993847684		31.0	6.0	6.0	5.524610061834659	0.0	0.0	6.0	0.0	Act
ZSWIM8	4	mutpanning		0.26328973630065394		31.0	5.0	5.0	3.7256193864844303	0.0	0.0	5.0	0.0	Act
VWF	3	mutpanning		0.018467946842572795		31.0	9.0	8.0	3.35842168713287	4.04491886057185	4.04491886057185	8.0	0.0	Act
COL24A1	3	mutpanning		0.04846621759475265		31.0	4.0	4.0	1.86047676034985	11.547941060157699	11.547941060157699	3.0	0.0	Act
ARID1A	2	mutpanning	mutpanning	0.0002842230092629464	0.00011684332802265959	31.0	11.0	9.0	1.76827010547623	6.89925226553339	6.89925226553339	3.0	1.0	LoF
ABCA7	3	mutpanning		0.04559032027672675		31.0	6.0	6.0	3.09461682871293	0.0	0.0	6.0	0.0	Act
MTUS2	3	cbase,mutpanning	cbase	0.011266624490970632		40.0	7.0	7.0	5.61204888791599	10.1959414846493	10.1959414846493	6.0	1.0	LoF
NRP1	3	smregions		0.008165115767824421		41.0	3.0	2.0	3.50711886511794	0.0	0.0	3.0	0.0	Act
SALL1	3	smregions		0.004230162711397525		41.0	7.0	5.0	3.45026287129067	0.0	0.0	4.0	0.0	Act
IQGAP1	3	smregions		0.03653398374242222		41.0	7.0	5.0	1.6217986038281	0.0	0.0	3.0	0.0	Act
FREM2	4	smregions		0.22752394895247646		45.0	9.0	9.0	2.15046725518631	0.0	0.0	7.0	0.0	Act
PPFIA2	4	smregions		0.19010368862575824		45.0	3.0	3.0	3.1083967913757498	0.0	0.0	3.0	0.0	Act
DNAH8	4	smregions		0.05925948010267711		45.0	5.0	5.0	1.4916633085897602	0.0	0.0	5.0	0.0	Act
WASHC4	4	smregions		0.2661259275645053		45.0	4.0	4.0	3.4022862215978904	0.0	0.0	3.0	0.0	Act
UHRF1BP1L	4	smregions		0.1621824946301754		45.0	6.0	5.0	2.16025293311584	0.0	0.0	3.0	0.0	Act
NBPF12	4	smregions		0.059013831261756286		45.0	6.0	5.0	2.34447265479438	5.17734390041665	5.17734390041665	3.0	1.0	LoF
OTOF	4	smregions		0.06822886611311982		45.0	5.0	5.0	1.74286788177235	0.0	0.0	3.0	0.0	Act
FREM1	4	smregions		0.3588629324626611		45.0	5.0	5.0	1.70868656176463	0.0	0.0	3.0	0.0	Act
FASN	4	smregions		0.4153654682193952		45.0	7.0	7.0	1.62837907601947	0.0	0.0	4.0	0.0	Act
ABL2	2	smregions		0.13705467573613306	0.17256855738814236	45.0	3.0	3.0	3.13228258619104	0.0	0.0	3.0	0.0	Act
MUC16	4	smregions		0.28766177847629903	0.4571330409379077	45.0	34.0	27.0	1.09868666845699	0.0	0.0	19.0	0.0	Act
CELSR3	4	smregions		0.2801867021204037		45.0	3.0	3.0	1.2976304998108998	0.0	0.0	3.0	0.0	Act
NEB	4	smregions		0.2196030712195337		45.0	12.0	12.0	0.633497455149199	0.0	0.0	5.0	0.0	ambiguous
NRXN2	3	smregions		0.04830890519421144		45.0	3.0	3.0	2.58191938449893	0.0	0.0	3.0	0.0	Act
DIP2B	4	smregions		0.4446745980346112		45.0	7.0	7.0	1.68898451585845	0.0	0.0	3.0	0.0	Act
SLITRK6	3	dndscv,cbase	cbase	0.0011205309614500947		45.0	9.0	9.0	6.5599008081603705	30.1982065381315	30.1982065381315	6.0	2.0	LoF
