SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
VHL	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.813773390500829e-09	7.674905996278084e-10	1.0	77.0	75.0	301.664072694123	2300.40325223941	2300.40325223941	50.0	25.0	LoF
PBRM1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.8030418355613003e-06	6.557351842668743e-07	2.0	46.0	46.0	14.603674308533199	290.29165288235	290.29165288235	16.0	29.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7537888868446014e-19	4.783670529151495e-20	3.0	20.0	20.0	6.8551277481196	71.8070596582183	71.8070596582183	10.0	10.0	LoF
BAP1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5814127874893382e-15	4.313493945982777e-16	4.0	12.0	12.0	15.826241308341901	152.825157302523	152.825157302523	7.0	5.0	LoF
MTOR	1	dndscv,hotmaps,cbase,mutpanning	dndscv,cbase	1.1356477469601214e-13	3.097616081035067e-14	5.0	19.0	19.0	10.820461767327002	0.0	0.0	18.0	0.0	Act
ATG7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.895893455082564e-07		6.0	3.0	3.0	0.0	77.1030111891031	77.1030111891031	0.0	3.0	LoF
KDM5C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	4.0694419678825134e-09	1.1099893355394922e-09	7.0	11.0	11.0	3.3479710331082897	38.890910408511	38.890910408511	4.0	5.0	LoF
TP53	1	dndscv,oncodrivefml,smregions	dndscv	3.326544745989875e-05	1.9281297277229956e-05	8.0	5.0	5.0	10.5554856685755	92.7036537209144	92.7036537209144	3.0	1.0	LoF
SLITRK6	1	dndscv,cbase	dndscv,cbase	1.9470161332795638e-06		9.0	9.0	9.0	10.163339853647901	47.14491048762101	47.14491048762101	6.0	2.0	LoF
PTEN	1	dndscv		0.028314254899643575	0.03683259925525883	10.0	5.0	5.0	10.240851753507	55.608844040466785	55.608844040466785	3.0	1.0	LoF
NF2	1	dndscv		0.002533103110390312	0.002290993005589788	11.0	2.0	2.0	2.78133074903826	60.4397282176975	60.4397282176975	1.0	1.0	LoF
ERBB4	1	dndscv		0.00027457485473225766	0.00018382974641617482	12.0	9.0	8.0	8.805102607899721	0.0	0.0	8.0	0.0	Act
TP53I3	1	dndscv,smregions		1.5315934487989067e-05		13.0	4.0	3.0	15.1177552959675	53.343930754312	53.343930754312	3.0	1.0	LoF
