SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
VHL	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.3541141299102836e-06	2.6220693006332593e-07	1.0	146.0	135.0	119.22865052158998	850.0565398931619	850.0565398931619	62.0	27.0	LoF
PBRM1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	0.0030655217746648087	0.0014621804270540913	2.0	101.0	98.0	14.7612356440274	302.116462004382	302.116462004382	20.0	37.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.021322435573133267	0.014408731120316631	3.0	38.0	34.0	6.36077756495793	90.45842873792441	90.45842873792441	12.0	16.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.610218490287818e-16	6.376500065131355e-17	4.0	25.0	25.0	11.5960990413323	112.018408838576	112.018408838576	9.0	6.0	LoF
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	4.0863458377189406e-07	7.064899569092155e-08	5.0	16.0	13.0	4.30058018870212	12.812545667653199	12.812545667653199	10.0	3.0	LoF
KDM5C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.826427602732165e-13	3.9092975378235386e-14	6.0	18.0	17.0	2.27232766394648	26.195021392323106	26.195021392323106	4.0	5.0	LoF
MTOR	1	dndscv,hotmaps,cbase,mutpanning	dndscv,cbase	1.70536115995495e-07	3.144966070605573e-08	7.0	24.0	24.0	7.216502579702982	0.0	0.0	21.0	0.0	Act
ATG7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	8.726237121900622e-09		8.0	3.0	3.0	0.0	50.11099980834501	50.11099980834501	0.0	3.0	LoF
PCDH10	1	smregions,cbase,mutpanning	cbase	1.8811669701010952e-06		9.0	6.0	6.0	4.31087946648091	34.0055643969742	34.0055643969742	4.0	2.0	LoF
PTEN	1	dndscv,oncodrivefml,mutpanning		2.516840849703457e-06	5.221651384593303e-07	10.0	12.0	12.0	5.87241276800983	47.5967952946051	47.5967952946051	3.0	2.0	LoF
ERBB4	1	oncodriveclustl,dndscv,mutpanning		3.154730622444729e-05	7.635916846082271e-06	10.0	15.0	12.0	8.15252230984173	0.0	0.0	12.0	0.0	Act
SMARCA4	1	dndscv,mutpanning		0.00010279321754262353	2.6855406613517402e-05	12.0	12.0	12.0	5.34056917854257	10.9843849798122	10.9843849798122	9.0	0.0	Act
SPEN	1	oncodriveclustl,cbase,mutpanning	cbase	0.001373827011890801	0.0006457312405885401	13.0	16.0	13.0	4.08235767475195	4.414322021391519	4.414322021391519	12.0	1.0	LoF
SSPO	1	smregions,cbase,mutpanning	cbase	0.004143667193131507		14.0	11.0	11.0	1.7180448728576398	4.33995839076241	4.33995839076241	7.0	2.0	LoF
TP53	1	dndscv,mutpanning	dndscv	7.003748494950024e-06	1.5222502271274225e-06	15.0	6.0	6.0	6.33218361999835	55.7209801438489	55.7209801438489	3.0	1.0	LoF
NF2	1	dndscv,mutpanning		0.001601104012984393	0.0007770701838403122	16.0	2.0	2.0	2.00778507825848	43.46477667145471	43.46477667145471	1.0	1.0	LoF
NPHP3	4	dndscv,mutpanning		0.06526102596646624		17.0	8.0	7.0	5.31264477221817	0.0	0.0	6.0	0.0	Act
NBPF14	4	oncodriveclustl,smregions		0.2402702665182584		18.0	3.0	3.0	1.3074913696898798	0.0	0.0	3.0	0.0	Act
TP53I3	3	dndscv,smregions,cbase	cbase	7.003748494950024e-06		19.0	5.0	3.0	10.1801765424921	71.6638049670323	71.6638049670323	3.0	2.0	LoF
FUS	2	oncodriveclustl,smregions		0.01840819986888434	0.011909087597037684	20.0	6.0	4.0	5.4218932970925	0.0	0.0	4.0	0.0	Act
KIF1A	3	oncodrivefml,cbase,mutpanning	cbase	1.3541141299102836e-06		21.0	5.0	5.0	1.4242429013662	18.3103884656874	18.3103884656874	2.0	3.0	LoF
PRKDC	3	cbase,mutpanning	cbase	0.00028261160359086435		22.0	10.0	10.0	2.02103473894691	8.19547291251928	8.19547291251928	6.0	2.0	LoF
MTUS2	3	cbase,mutpanning	cbase	0.001601104012984393		22.0	8.0	8.0	5.98611001704389	9.4449229887355	9.4449229887355	7.0	1.0	LoF
MYH4	3	cbase,mutpanning		0.00043521759237893286		22.0	9.0	6.0	3.7597364084158	9.85931836221042	9.85931836221042	6.0	1.0	LoF
PLXNA4	3	cbase,mutpanning	cbase	0.0003761768004169201		22.0	10.0	9.0	5.649861460462531	0.0	0.0	9.0	0.0	Act
AKAP9	2	cbase,mutpanning	cbase	0.13409014841027828	0.1555276774898405	22.0	15.0	11.0	2.68296546555351	2.1435515889004697	2.1435515889004697	9.0	1.0	Act
KMT2C	2	cbase,mutpanning	cbase	0.00046714821200253203	0.00016909792908573017	22.0	13.0	13.0	2.5463077020040097	7.13255137987837	7.13255137987837	10.0	2.0	LoF
DNAH2	3	cbase,mutpanning		0.002113541543841638		22.0	14.0	14.0	3.1737295181156897	0.0	0.0	13.0	0.0	Act
ANK2	3	cbase,mutpanning	cbase	0.02118126213752276		22.0	10.0	10.0	1.3697479873021798	8.22644720969442	8.22644720969442	5.0	3.0	LoF
CHD4	2	mutpanning		0.0030655217746648087	0.0014621804270540913	30.0	7.0	7.0	4.74548431731425	0.0	0.0	7.0	0.0	Act
XPO7	3	mutpanning		0.0018113096299191493		30.0	6.0	6.0	5.06672729966937	0.0	0.0	6.0	0.0	Act
ARID1A	2	mutpanning		0.0016206427868554355	0.0007770701838403122	30.0	13.0	11.0	1.73470656254374	5.12826632467036	5.12826632467036	4.0	1.0	LoF
KIAA1549L	3	mutpanning		0.00146867266207707		30.0	8.0	8.0	5.93207590651374	0.0	0.0	8.0	0.0	Act
COL24A1	3	mutpanning		0.024734334327757956		30.0	4.0	4.0	1.6961743448511002	10.5612805885581	10.5612805885581	3.0	0.0	Act
