SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
VHL	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.637978383713886e-09	1.0226096635939968e-09	1.0	132.0	122.0	172.11761301305302	1194.93097919056	1194.93097919056	58.0	25.0	LoF
PBRM1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.5343501885590482e-05	5.5659714293696335e-06	2.0	94.0	90.0	12.094028430922899	256.632689920164	256.632689920164	18.0	34.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0035825361560404578	0.0032128804778803715	2.0	32.0	29.0	6.03581516038761	85.3706895898598	85.3706895898598	10.0	14.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.200906662694537e-12	1.6688492624017308e-12	4.0	26.0	26.0	17.3919643073596	135.85999585767098	135.85999585767098	11.0	6.0	LoF
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.239783772146246e-06	3.1481866226313483e-07	5.0	15.0	12.0	4.3026088764612	10.6651311677621	10.6651311677621	9.0	3.0	LoF
KDM5C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0607831385295685e-11	1.9240355578010242e-12	6.0	18.0	16.0	2.73141593093309	31.217534385531106	31.217534385531106	4.0	5.0	LoF
MTOR	1	dndscv,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	8.911620209312595e-11	1.616378837252577e-11	7.0	24.0	24.0	8.687399333565331	0.0	0.0	21.0	0.0	Act
ATG7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.998501729530781e-06		8.0	3.0	3.0	0.0	57.631373421485	57.631373421485	0.0	3.0	LoF
PCDH10	1	oncodrivefml,smregions,cbase,mutpanning	smregions,cbase	2.1471428851049192e-08		9.0	6.0	6.0	4.93159330824604	38.3985109268273	38.3985109268273	4.0	2.0	LoF
PTEN	1	dndscv,oncodrivefml,mutpanning	dndscv	0.0028670587249091783	0.002416580376164713	10.0	10.0	10.0	6.882264767620809	55.698693483056296	55.698693483056296	3.0	2.0	LoF
TP53	1	dndscv,mutpanning	dndscv	4.159053579069569e-05	1.8320270535269917e-05	10.0	6.0	6.0	7.6005971265407	66.3425886989634	66.3425886989634	3.0	1.0	LoF
SSPO	1	cbase,mutpanning	cbase	4.423394559932436e-05		10.0	6.0	6.0	1.30906985674721	5.74866869347216	5.74866869347216	4.0	2.0	LoF
SPEN	1	cbase,mutpanning	cbase	0.0009177064718627998	0.0006241968148418116	10.0	16.0	13.0	4.6239061025516905	4.93132024751707	4.93132024751707	12.0	1.0	LoF
TP53I3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.1205238157902254e-06		14.0	5.0	3.0	11.8889633593949	83.1183476227167	83.1183476227167	3.0	2.0	LoF
KMT2C	1	cbase,mutpanning	cbase	0.0005864084017762028	0.0003403585371387902	14.0	11.0	11.0	2.31094295341427	8.04646098917638	8.04646098917638	8.0	2.0	LoF
UNC80	1	cbase,mutpanning	cbase	0.0001689058440469343		14.0	6.0	6.0	1.99364459594196	8.57335469104469	8.57335469104469	4.0	2.0	LoF
PRKDC	1	cbase,mutpanning	cbase	0.001276034151142308		14.0	8.0	8.0	1.7748647927251002	5.73199006038608	5.73199006038608	5.0	2.0	LoF
PRPF8	1	cbase,mutpanning		0.005332317733701262		18.0	7.0	7.0	2.692421937599029	4.74518705436136	4.74518705436136	5.0	1.0	LoF
RALGAPA1	1	oncodrivefml,cbase,mutpanning	cbase	3.888083740319588e-06		18.0	7.0	7.0	1.7442895272184598	10.2399164829339	10.2399164829339	3.0	2.0	LoF
AKAP9	1	cbase,mutpanning	cbase	0.0003377821900202484	0.0001974143515375979	18.0	9.0	8.0	3.1907076918868897	2.85755514855419	2.85755514855419	8.0	1.0	Act
FBN2	1	cbase,mutpanning	cbase	0.000745639189631442		18.0	13.0	13.0	3.42782908515261	3.08475133334866	3.08475133334866	9.0	1.0	Act
NPHP3	1	dndscv,mutpanning		0.0012689740150159585		18.0	6.0	6.0	6.022517192403951	7.449195601201461	7.449195601201461	6.0	0.0	Act
MTUS2	1	cbase,mutpanning	cbase	1.8856499165750686e-05		18.0	7.0	7.0	5.71945597709388	10.3997454013299	10.3997454013299	6.0	1.0	LoF
ARID1A	1	dndscv,mutpanning		0.018927484733872083	0.023416562713904254	24.0	8.0	8.0	2.02360763968594	0.0	0.0	4.0	0.0	Act
NF2	1	dndscv,mutpanning		0.0016484191743677324	0.0012123281581310464	24.0	2.0	2.0	2.31006863080777	49.6601895830225	49.6601895830225	1.0	1.0	LoF
ANK2	1	cbase,mutpanning		0.0006833387516356341		26.0	8.0	8.0	1.26578062041729	6.2821520947488	6.2821520947488	4.0	2.0	LoF
ABCB1	1	cbase,mutpanning	cbase	4.291564428575615e-05		26.0	7.0	6.0	6.35581714105653	9.03626804581274	9.03626804581274	6.0	1.0	LoF
KIF1A	1	cbase,mutpanning	cbase	0.0006833387516356341		26.0	4.0	4.0	1.5688288130542	13.337140164081301	13.337140164081301	2.0	2.0	LoF
PDGFRA	1	cbase,mutpanning		0.000745639189631442	0.0004780205699221477	29.0	6.0	5.0	6.44736589029555	10.963467642715399	10.963467642715399	5.0	1.0	LoF
EP400	1	cbase,mutpanning		0.0010109320510020988		30.0	5.0	5.0	1.72507555104573	3.95836760858209	3.95836760858209	4.0	1.0	LoF
DNAH8	1	smregions,cbase		0.0010805324933572207		31.0	6.0	6.0	1.4401927773015002	2.29579160555682	2.29579160555682	5.0	1.0	LoF
XPO7	3	mutpanning		0.00031929510430970674		32.0	6.0	6.0	6.184414396039621	0.0	0.0	6.0	0.0	Act
ABCA7	3	mutpanning		0.009951945108849544		32.0	6.0	6.0	2.96425311502666	0.0	0.0	6.0	0.0	Act
ABCC6	3	mutpanning		0.0002581458225078801		32.0	5.0	5.0	2.44884111224308	7.80728348809762	7.80728348809762	3.0	1.0	LoF
CDK12	2	mutpanning		0.007164426293720118	0.007395601018519914	32.0	5.0	5.0	1.83255813348562	19.4724868066891	19.4724868066891	2.0	1.0	LoF
COL24A1	4	mutpanning		0.05977213581754887		32.0	3.0	3.0	1.2690433911496102	11.8035291581531	11.8035291581531	2.0	0.0	Act
BCORL1	2	mutpanning		0.005685111366184285	0.005391149379522094	32.0	7.0	6.0	4.7544623365523	0.0	0.0	6.0	0.0	Act
KIAA1549L	3	mutpanning		0.0024056306375387073		32.0	7.0	7.0	6.29129054475168	0.0	0.0	7.0	0.0	Act
CELSR2	3	mutpanning		0.0024056306375387073		32.0	7.0	7.0	3.06642408348638	0.0	0.0	7.0	0.0	Act
ATXN2L	3	mutpanning		0.000997634400556914		32.0	3.0	3.0	2.59678264838077	12.074999177088499	12.074999177088499	2.0	1.0	LoF
MYH4	3	mutpanning		0.001654524429870341		32.0	6.0	4.0	4.35106039019371	5.64720429345213	5.64720429345213	6.0	0.0	Act
EML5	3	oncodriveclustl,smregions	smregions	0.006072366150392189		42.0	8.0	5.0	2.37974654459627	0.0	0.0	5.0	0.0	Act
THBS3	3	smregions		0.0069007906543775135		43.0	3.0	2.0	4.19398911683242	0.0	0.0	3.0	0.0	Act
PEG3	4	smregions		0.13004994552397206		43.0	7.0	7.0	2.1373538914990498	0.0	0.0	4.0	0.0	Act
IQGAP1	3	smregions	smregions	0.004914591503687941		43.0	5.0	4.0	2.03806657745799	0.0	0.0	3.0	0.0	Act
SALL1	3	smregions	smregions	0.005332317733701262		43.0	6.0	5.0	3.67272845496611	0.0	0.0	4.0	0.0	Act
LRBA	3	smregions	smregions	0.001654524429870341		43.0	5.0	5.0	1.98882271085548	0.0	0.0	4.0	0.0	Act
LAMC3	4	smregions		0.05300459904584117		43.0	6.0	6.0	1.79252228269602	0.0	0.0	3.0	0.0	Act
TAF1L	3	oncodriveclustl,smregions		0.0035825361560404578		49.0	4.0	3.0	3.11727323021074	0.0	0.0	4.0	0.0	Act
FASN	4	smregions		0.0998437230347978		50.0	5.0	5.0	1.2902117672315905	0.0	0.0	3.0	0.0	Act
LRP2	3	smregions		0.0202147341686738		50.0	18.0	17.0	2.0329176636733703	3.31463212757755	3.31463212757755	11.0	2.0	LoF
NMT2	3	smregions		0.000704832216025229		50.0	4.0	4.0	9.895378897406859	0.0	0.0	4.0	0.0	Act
IGF2R	4	smregions		0.10541671149178652		50.0	4.0	4.0	1.3387552650743502	0.0	0.0	3.0	0.0	Act
NEB	3	smregions		0.04516041280960722		50.0	11.0	11.0	0.667915461478597	0.0	0.0	5.0	0.0	ambiguous
ABCA1	3	smregions		0.0013668826234084484		50.0	5.0	5.0	2.71179279734458	0.0	0.0	5.0	0.0	Act
KLF3	3	smregions		0.011770877058217845		50.0	3.0	3.0	10.8575884419591	0.0	0.0	3.0	0.0	Act
DIP2B	4	smregions		0.09946803024526578		50.0	5.0	5.0	1.89015328568536	0.0	0.0	3.0	0.0	Act
MKI67	3	smregions		0.012122369062635623		50.0	5.0	5.0	1.0687172682684398	4.39836825784539	4.39836825784539	3.0	1.0	LoF
CAMTA2	3	smregions		0.0007958521727168816		50.0	3.0	3.0	3.1285527678178595	9.76645576842773	9.76645576842773	3.0	0.0	Act
FREM2	4	smregions		0.0724453989782852		50.0	7.0	7.0	1.6325151090937702	0.0	0.0	5.0	0.0	Act
DSCAML1	4	smregions		0.09201586020164162		50.0	7.0	6.0	1.63698133181808	0.0	0.0	4.0	0.0	Act
FRAS1	3	smregions		0.0008903491925506352		50.0	5.0	5.0	1.78135663709133	3.26085448261482	3.26085448261482	5.0	0.0	Act
SPINK5	3	smregions		0.002812606091691841		50.0	4.0	3.0	5.54114179363168	0.0	0.0	4.0	0.0	Act
TENM2	3	smregions		0.002793820417874195		50.0	5.0	5.0	3.08931677780405	0.0	0.0	5.0	0.0	Act
NBPF12	3	smregions		0.0107858207627153		50.0	3.0	2.0	1.96655329780088	6.53156461077823	6.53156461077823	2.0	1.0	LoF
YTHDC2	4	smregions		0.06698677275314904		50.0	5.0	5.0	2.25257398109835	0.0	0.0	3.0	0.0	Act
IGSF22	4	smregions		0.07518531704703535		50.0	4.0	4.0	2.2407649260775	0.0	0.0	3.0	0.0	Act
ITPR2	3	hotmaps		1.1529777695427451e-05		50.0	7.0	6.0	3.49219571420465	0.0	0.0	7.0	0.0	Act
MUC16	4	smregions		0.4118863291750761	0.6849593795755266	50.0	25.0	23.0	0.978230378580108	0.0	0.0	16.0	0.0	ambiguous
TTN	4	smregions		0.09117383139098922		50.0	75.0	61.0	0.7900514099233601	1.5297793714665902	1.5297793714665902	42.0	7.0	LoF
UHRF1BP1L	4	smregions		0.07604666356183402		50.0	4.0	4.0	2.27566218109983	0.0	0.0	3.0	0.0	Act
IPP	3	smregions		0.007724624511607439		72.0	4.0	3.0	6.45231853392924	0.0	0.0	3.0	0.0	Act
NUP210L	3	smregions		0.0039159481499056095		72.0	7.0	6.0	2.4831956159229702	5.5120441996869305	5.5120441996869305	4.0	1.0	LoF
SRGAP1	3	smregions		0.0040534203940173884		72.0	4.0	4.0	2.12055462647087	9.17240017020092	9.17240017020092	2.0	1.0	LoF
HMCN1	4	dndscv,cbase	cbase	0.0572633844908485		75.0	17.0	17.0	2.79080707068663	4.82052734483078	4.82052734483078	10.0	2.0	LoF
DNAH9	4	cbase	cbase	0.059941110895236585		76.0	20.0	17.0	4.12014905035972	4.6262917760166	4.6262917760166	17.0	2.0	LoF
CSMD1	3	oncodrivefml,cbase	cbase	6.404447384554605e-05		77.0	6.0	6.0	1.24728370799613	7.365496941792671	7.365496941792671	3.0	2.0	LoF
SLITRK6	3	dndscv,cbase	cbase	0.0006985891793321543		78.0	9.0	9.0	7.36275432144451	33.771534072566105	33.771534072566105	6.0	2.0	LoF
CCNB2	3	dndscv,cbase	cbase	0.00037566619810386223		79.0	5.0	5.0	9.42610521450633	46.2418729968308	46.2418729968308	3.0	2.0	LoF
COL5A3	3	cbase	cbase	0.0005317929906870991		80.0	5.0	5.0	1.5725412120473798	16.782275400037	16.782275400037	2.0	2.0	LoF
USH2A	3	cbase	cbase	0.0008917291171348367		81.0	12.0	12.0	1.13918966228589	4.32257149096182	4.32257149096182	5.0	2.0	LoF
ABCA4	3	cbase	cbase	0.006466319843531768		81.0	4.0	2.0	1.23598728238861	10.701350494375	10.701350494375	2.0	2.0	LoF
TRIOBP	3	cbase	cbase	0.0037020920047578366		83.0	7.0	7.0	2.84273308852178	6.0187981064113405	6.0187981064113405	5.0	1.0	LoF
