SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.7374605543065032e-22	3.0303556145316445e-23	1.0	22.0	21.0	22.2732948144172	0.0	0.0	22.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.0024998140023714e-15	1.7484891570051144e-16	2.0	5.0	5.0	36.254731746389396	0.0	0.0	5.0	0.0	Act
CUL3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.0040395908659692e-12	1.7511747267305185e-13	3.0	9.0	8.0	8.65701076602471	74.1595300993594	74.1595300993594	5.0	4.0	LoF
PBRM1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.022196062825328e-12	1.2247616909966874e-12	4.0	8.0	8.0	2.34637387039681	34.9459532061248	34.9459532061248	3.0	3.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	7.260209102247753e-08	1.2662742392129763e-08	5.0	6.0	6.0	0.967412582350717	28.670143914495398	28.670143914495398	1.0	4.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.854173063208533e-09	4.978046462983573e-10	6.0	7.0	6.0	2.4199165395304103	25.8433154143481	25.8433154143481	3.0	3.0	LoF
NF2	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,mutpanning	2.7192884391194475e-07	4.7427902570747696e-08	7.0	7.0	6.0	1.7608383238220802	54.75792348471	54.75792348471	1.0	2.0	LoF
SMARCA4	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.7192884391194475e-07	4.7427902570747696e-08	8.0	12.0	11.0	6.4411115316899	6.47891508926123	6.47891508926123	10.0	1.0	ambiguous
DNAJB9	1	oncodriveclustl,dndscv,oncodrivefml		0.00023004291374462783		9.0	3.0	3.0	0.0	92.91824933325859	92.91824933325859	0.0	2.0	LoF
KMT2C	1	dndscv,cbase,mutpanning	cbase,mutpanning	0.00031951558204020697	0.00010349419660087638	10.0	17.0	15.0	3.0536959416487206	5.40045787876371	5.40045787876371	11.0	1.0	LoF
PTEN	1	dndscv,cbase,mutpanning		9.369632810523454e-06	1.7827472497517941e-06	11.0	5.0	5.0	5.7934790707239285	49.0350866886675	49.0350866886675	2.0	2.0	LoF
WDFY3	1	smregions,cbase,mutpanning		2.981555733637019e-05		11.0	13.0	12.0	3.4146725232482003	6.067928067435219	6.067928067435219	10.0	1.0	LoF
FAM91A1	1	dndscv,oncodrivefml,cbase,mutpanning		1.7665496314549332e-06		11.0	4.0	4.0	2.97681523009326	32.9236831513389	32.9236831513389	2.0	2.0	LoF
TP53	1	dndscv,oncodrivefml,cbase		2.218918145476394e-06	4.3000887087537213e-07	11.0	5.0	5.0	11.9359874892537	27.522030064984797	27.522030064984797	4.0	1.0	LoF
DNMT3A	1	dndscv,mutpanning		0.01285278459475712	0.00930501187223679	15.0	4.0	4.0	1.34953134395103	24.505927308632106	24.505927308632106	1.0	1.0	LoF
NRAP	1	oncodriveclustl,hotmaps,smregions	smregions	1.0298800751282033e-05		16.0	7.0	5.0	5.16361251362399	0.0	0.0	7.0	0.0	Act
SMC6	1	oncodrivefml,cbase,mutpanning		6.521849976519244e-05		17.0	5.0	5.0	3.4178852380808995	16.8626753081143	16.8626753081143	3.0	2.0	LoF
PARD6B	1	dndscv,cbase		2.8092731770061408e-05		18.0	7.0	7.0	16.2665885729278	0.0	0.0	5.0	0.0	Act
BAP1	1	dndscv,cbase		0.0002762234214312192	8.52361110953365e-05	18.0	8.0	8.0	10.228488705353401	0.0	0.0	7.0	0.0	Act
USH2A	1	cbase,mutpanning		6.521849976519244e-05		20.0	15.0	15.0	3.6554509684077696	0.0	0.0	14.0	0.0	Act
RAI1	1	cbase,mutpanning		0.0054376691686661045		20.0	5.0	4.0	2.9147100864832	12.8448482015363	12.8448482015363	4.0	1.0	LoF
SRRM2	1	cbase,mutpanning		0.007239251645568543		20.0	12.0	11.0	3.96285504852031	5.94593588842788	5.94593588842788	9.0	1.0	LoF
MDN1	1	cbase,mutpanning		0.007715913965205243		20.0	9.0	8.0	1.043406466507	3.5782938178308	3.5782938178308	5.0	2.0	LoF
HERC1	1	cbase,mutpanning	cbase	0.002287925078734826		20.0	11.0	10.0	2.18870712654268	4.8339644379199695	4.8339644379199695	8.0	2.0	LoF
HERC2	1	cbase,mutpanning	cbase	0.0010950662362858422		20.0	13.0	13.0	2.90157923241727	2.80415554000841	2.80415554000841	10.0	1.0	ambiguous
CENPF	1	cbase,mutpanning	cbase	0.0004489063499548712		20.0	7.0	7.0	2.33799408795498	8.53249576437023	8.53249576437023	5.0	2.0	LoF
TET1	1	cbase,mutpanning		0.006005534459197962	0.0036909888306798392	20.0	7.0	7.0	3.77386685847542	9.08588415825805	9.08588415825805	5.0	1.0	LoF
SETD2	1	cbase,mutpanning	cbase,mutpanning	2.8970236305927307e-06	5.558061725718881e-07	20.0	14.0	14.0	2.55434924878966	15.444061705580197	15.444061705580197	5.0	2.0	LoF
SLC5A12	1	dndscv,hotmaps	hotmaps	0.00031951558204020697		29.0	9.0	9.0	10.6286109457076	0.0	0.0	7.0	0.0	Act
PIK3CA	1	oncodriveclustl,hotmaps		0.0008338878191113322	0.0002958891566026863	30.0	4.0	3.0	5.46747820801068	0.0	0.0	4.0	0.0	Act
PFKFB3	1	oncodriveclustl,hotmaps		0.00853501224561028		30.0	4.0	2.0	4.77981963344057	0.0	0.0	3.0	0.0	Act
ACTB	1	dndscv		0.018275637880668338		32.0	6.0	6.0	13.9276447613342	0.0	0.0	5.0	0.0	Act
ACSF2	1	dndscv		0.002960332626678557		32.0	6.0	6.0	10.8374894852356	15.888747189838801	15.888747189838801	6.0	0.0	Act
PARL	1	dndscv		0.01067102815667625		32.0	6.0	5.0	12.7882761954515	0.0	0.0	5.0	0.0	Act
PCF11	1	dndscv	dndscv	0.00031951558204020697		32.0	14.0	13.0	8.08717457222096	0.0	0.0	12.0	0.0	Act
FBXO47	4	oncodriveclustl		0.05543425556664645		37.0	2.0	2.0	4.64679766091872	0.0	0.0	2.0	0.0	Act
COX10	4	oncodriveclustl		0.10735864088487378		37.0	5.0	5.0	6.395923753966709	0.0	0.0	3.0	0.0	Act
ERBB2	2	oncodriveclustl		0.10735864088487378	0.16647820206903868	37.0	6.0	4.0	2.10755194283648	0.0	0.0	3.0	0.0	Act
AUP1	4	oncodriveclustl		0.10511089578310467		37.0	2.0	2.0	6.18456436676701	0.0	0.0	2.0	0.0	Act
OR5P2	3	oncodriveclustl		0.02315583805263112		37.0	5.0	3.0	10.7946550952424	0.0	0.0	4.0	0.0	Act
CSF2RB	4	oncodriveclustl		0.14076529344542135		37.0	4.0	3.0	3.44982506398249	0.0	0.0	3.0	0.0	Act
LGR4	4	dndscv		0.20597622915022104		37.0	3.0	3.0	0.0	13.201656043835799	13.201656043835799	0.0	0.0	ambiguous
ZNF606	4	oncodriveclustl		0.2448408535618097		37.0	3.0	3.0	2.6062534211706696	0.0	0.0	2.0	0.0	Act
ALMS1	4	oncodriveclustl		0.14573885097329997		37.0	7.0	5.0	1.06333565292957	2.9994119561703503	2.9994119561703503	4.0	1.0	LoF
FGFR3	2	oncodriveclustl		5.254370116385028e-05	1.298275851694042e-05	37.0	6.0	4.0	9.08082688929791	0.0	0.0	6.0	0.0	Act
ASIC5	4	oncodriveclustl		0.08955575273906471		37.0	4.0	3.0	6.649649282717099	0.0	0.0	3.0	0.0	Act
F12	4	dndscv		0.08754601518055226		37.0	10.0	10.0	6.74361868770343	0.0	0.0	5.0	0.0	Act
FAM83A	4	oncodriveclustl		0.15202585797162713		37.0	3.0	2.0	4.5082845689329005	0.0	0.0	2.0	0.0	Act
CLK4	3	dndscv		0.017521831680466022		37.0	4.0	4.0	4.92008501384234	38.91996007419221	38.91996007419221	2.0	1.0	LoF
SYNE3	3	oncodriveclustl		0.024169558924397046		37.0	3.0	3.0	4.286187023876701	0.0	0.0	3.0	0.0	Act
PIPOX	4	dndscv		0.34528864833463624		37.0	3.0	3.0	2.76988749959545	0.0	0.0	1.0	0.0	Act
ARID1A	2	dndscv		0.006646025911865807	0.0040043458916583395	37.0	11.0	11.0	1.9178891808349496	9.58078746571218	9.58078746571218	5.0	2.0	LoF
SLC2A13	3	dndscv		0.006909663026418522		37.0	4.0	4.0	3.7258217356269103	20.670912467414606	20.670912467414606	2.0	1.0	LoF
SAV1	3	dndscv		0.007549559035941131		37.0	6.0	6.0	9.58348436223148	27.933342928468598	27.933342928468598	3.0	1.0	LoF
PMFBP1	4	oncodriveclustl		0.3807688583108178		37.0	3.0	2.0	2.20087774049461	0.0	0.0	2.0	0.0	Act
FBXO46	3	oncodriveclustl		0.007715913965205243		37.0	5.0	3.0	6.75675539341082	0.0	0.0	4.0	0.0	Act
ASIP	3	oncodriveclustl		0.008276193754989607		37.0	2.0	2.0	17.603792138099394	0.0	0.0	2.0	0.0	Act
SLITRK2	3	oncodriveclustl		0.00938902358575373		37.0	4.0	2.0	2.6212111594683	20.7102039097146	20.7102039097146	2.0	1.0	LoF
EP400	3	oncodriveclustl		0.0096097096954772		37.0	6.0	4.0	2.75672525234789	0.0	0.0	6.0	0.0	Act
MKL1	2	oncodriveclustl		0.11811729030505035	0.18508873567764272	37.0	5.0	4.0	3.44708648501227	0.0	0.0	3.0	0.0	Act
BRAF	2	oncodriveclustl		0.012051588372696627	0.008884061124561103	37.0	4.0	4.0	4.360934678250721	0.0	0.0	3.0	0.0	Act
SPTAN1	4	oncodriveclustl		0.34372508957959663		37.0	5.0	5.0	1.14836552546692	0.0	0.0	3.0	0.0	Act
VHL	4	dndscv		0.3420030204722646	0.6567299488085738	37.0	3.0	3.0	5.1065706932672414	0.0	0.0	1.0	0.0	Act
ATP1B1	3	dndscv		0.0010557973352463292		37.0	7.0	7.0	12.361398453914099	0.0	0.0	4.0	0.0	Act
NUDT16L1	3	dndscv		0.017176164163820555		37.0	4.0	3.0	16.6202114708432	0.0	0.0	3.0	0.0	Act
CR1L	3	oncodriveclustl		0.01197018853578913		37.0	3.0	2.0	6.39871009907472	0.0	0.0	3.0	0.0	Act
MYH7	4	oncodriveclustl		0.12010116616874505		37.0	5.0	5.0	2.3787144188983302	0.0	0.0	4.0	0.0	Act
PKHD1	3	mutpanning		0.008025876426507714		88.0	17.0	17.0	2.6091233747242795	2.00554707509356	2.00554707509356	13.0	0.0	Act
JAG1	3	mutpanning		0.005956466786649851		88.0	4.0	4.0	3.10309187068602	9.39787939362508	9.39787939362508	3.0	1.0	LoF
HELZ2	3	mutpanning		0.002287925078734826		88.0	10.0	9.0	4.1404718204045885	0.0	0.0	9.0	0.0	Act
ZZEF1	4	mutpanning		0.27448157274358365		88.0	5.0	5.0	0.884892803764731	4.09626161915181	4.09626161915181	2.0	1.0	LoF
KAT6A	2	mutpanning		0.03381389912434751	0.041132478981168216	88.0	5.0	5.0	2.45850508215731	6.516659680361401	6.516659680361401	4.0	1.0	LoF
SYNE1	3	cbase		0.005354352915862333		93.0	16.0	14.0	2.72857505942469	0.0	0.0	15.0	0.0	Act
DNAH5	3	cbase		0.002765461001182282		93.0	5.0	5.0	0.8969123359061171	5.648940570524862	5.648940570524862	3.0	2.0	LoF
KIAA1109	3	cbase		0.013657372148287206		95.0	19.0	18.0	3.6215282907710695	2.1704402870949	2.1704402870949	15.0	1.0	Act
CNNM4	3	cbase		6.149234404748678e-05		96.0	5.0	5.0	6.218449855905581	26.871416446234694	26.871416446234694	4.0	1.0	LoF
RASGRF1	3	oncodrivefml,cbase		0.0009652759734081508		97.0	5.0	5.0	3.87986131241628	9.51532394012896	9.51532394012896	4.0	1.0	LoF
