SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.7668848269537164e-31	3.8129203438801446e-32	1.0	21.0	20.0	21.74577123778189	0.0	0.0	21.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.5047470451726967e-14	3.2472295496614187e-15	2.0	5.0	5.0	39.0821326811441	0.0	0.0	5.0	0.0	Act
CUL3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	8.547064326678047e-07	1.844448203668719e-07	3.0	10.0	9.0	10.8489957715014	77.8839584475574	77.8839584475574	6.0	4.0	LoF
PBRM1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.974417798726676e-10	4.260774486961622e-11	4.0	6.0	6.0	2.45976249917281	36.785597766360794	36.785597766360794	3.0	3.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.7038344203739687e-08	3.67685817713874e-09	5.0	5.0	5.0	1.06142371746564	31.492275647542897	31.492275647542897	1.0	4.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	7.018847974923682e-10	1.5146605950728164e-10	6.0	6.0	5.0	2.83492408873104	30.415583460114608	30.415583460114608	3.0	3.0	LoF
BAP1	1	dndscv,cbase,mutpanning	dndscv	2.236980805610666e-05	6.582794881137482e-06	7.0	10.0	10.0	14.1652038942532	0.0	0.0	9.0	0.0	Act
NF2	1	dndscv,smregions,mutpanning	dndscv,mutpanning	1.2928444448275005e-05	3.0689403694861043e-06	8.0	4.0	3.0	1.91124536453273	59.5143960199047	59.5143960199047	1.0	2.0	LoF
DNAJB9	1	oncodriveclustl,dndscv,oncodrivefml		0.00016861377474987043		9.0	3.0	3.0	0.0	103.078052678851	103.078052678851	0.0	2.0	LoF
FAM91A1	1	dndscv,oncodrivefml,mutpanning		3.57538995238322e-06		9.0	3.0	3.0	1.58970451320934	35.292309758765796	35.292309758765796	1.0	2.0	LoF
SMARCA4	1	dndscv,cbase,mutpanning		3.5608925574217865e-06	7.684371650852705e-07	11.0	11.0	10.0	6.31842884684497	7.125377145658032	7.125377145658032	9.0	1.0	LoF
NRAP	1	oncodriveclustl,hotmaps,smregions	smregions	3.526046659961081e-05		12.0	7.0	5.0	5.47632705328479	0.0	0.0	7.0	0.0	Act
PIK3CA	1	oncodriveclustl,hotmaps,smregions		0.0001976266721711497	7.891960847850683e-05	13.0	4.0	3.0	5.7052035105027	0.0	0.0	4.0	0.0	Act
FGFR3	1	oncodriveclustl,dndscv		4.652094998382682e-05	1.6731959916499454e-05	14.0	6.0	4.0	9.611386894141368	0.0	0.0	6.0	0.0	Act
SETD2	1	oncodrivefml,cbase,mutpanning		1.2928444448275005e-05	3.0689403694861043e-06	17.0	8.0	8.0	2.32757340851969	14.1302231182252	14.1302231182252	5.0	2.0	LoF
SMC6	1	oncodrivefml,cbase,mutpanning		2.655143667780051e-05		17.0	5.0	5.0	3.66948283373482	18.1277076235975	18.1277076235975	3.0	2.0	LoF
SLC5A12	1	dndscv,hotmaps		0.001204989653930637		19.0	9.0	9.0	11.732084509359801	0.0	0.0	7.0	0.0	Act
KDELR3	1	dndscv,oncodrivefml		0.0031351476222114386		20.0	4.0	3.0	10.2074893622815	62.8408639671617	62.8408639671617	2.0	1.0	LoF
PTEN	1	dndscv,cbase		1.2928444448275005e-05	3.0689403694861043e-06	20.0	4.0	4.0	6.3292687916047585	53.5941409353726	53.5941409353726	2.0	2.0	LoF
NFE2L2	1	dndscv,hotmaps		0.004786200030721559	0.003051623932750807	20.0	5.0	5.0	11.267768195953	0.0	0.0	5.0	0.0	Act
TP53	1	dndscv,oncodrivefml		0.00016648470854714405	6.300896151324723e-05	20.0	4.0	4.0	12.963682010486	0.0	0.0	4.0	0.0	Act
UQCR10	1	dndscv,oncodrivefml		0.0006438052860381308		20.0	2.0	2.0	19.4710676744837	241.66857634954	241.66857634954	1.0	1.0	LoF
MUC4	1	oncodriveclustl	oncodriveclustl	0.002178481686256648	0.0009402284759691225	25.0	24.0	20.0	2.27807182178827	0.0	0.0	16.0	0.0	Act
MCM6	4	oncodriveclustl		0.06562463509278586		26.0	4.0	3.0	4.148862688163	0.0	0.0	3.0	0.0	Act
FMO4	4	oncodriveclustl		0.050469455555532616		26.0	3.0	2.0	7.39427761579807	0.0	0.0	3.0	0.0	Act
ZNF615	4	oncodriveclustl		0.06741043085934155		26.0	5.0	4.0	6.136975054396942	0.0	0.0	4.0	0.0	Act
USP29	4	oncodriveclustl		0.07616222699774833		26.0	4.0	3.0	3.82781391380845	0.0	0.0	3.0	0.0	Act
MYH7	4	oncodriveclustl		0.0934203246647309		26.0	5.0	5.0	2.51743323823465	0.0	0.0	4.0	0.0	Act
FRYL	4	oncodriveclustl		0.11539296444200682		26.0	7.0	5.0	1.6659344990878702	0.0	0.0	5.0	0.0	Act
LRWD1	4	oncodriveclustl		0.1816263664416608		26.0	3.0	2.0	3.4159295907739504	0.0	0.0	2.0	0.0	Act
SMC1B	4	oncodriveclustl		0.19004783776269046		26.0	3.0	2.0	1.97179382879513	0.0	0.0	2.0	0.0	Act
PDE1C	4	oncodriveclustl		0.2608470850477821		26.0	3.0	3.0	2.98477492958421	0.0	0.0	2.0	0.0	Act
HOXA10	4	oncodriveclustl		0.3257396852201015		26.0	2.0	2.0	2.62252160548171	0.0	0.0	1.0	0.0	Act
SYNE3	3	oncodriveclustl		0.044362803067207635		26.0	3.0	3.0	4.31464025424742	0.0	0.0	3.0	0.0	Act
