SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.513502648276922e-28	2.4060811331581838e-29	1.0	23.0	22.0	22.874776385471396	0.0	0.0	23.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,mutpanning	3.974060625541827e-14	6.317737404707521e-15	2.0	5.0	5.0	35.6256303311064	0.0	0.0	5.0	0.0	Act
CUL3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.4344156208282424e-13	2.2803530382397702e-14	3.0	11.0	9.0	10.2422199062818	73.3665207444538	73.3665207444538	6.0	4.0	LoF
PBRM1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	8.575485256569735e-09	1.3632822715572406e-09	4.0	8.0	8.0	2.2716593148751	33.9078070534898	33.9078070534898	3.0	3.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.6841920581246123e-12	2.677433528300666e-13	5.0	9.0	8.0	2.48117505329989	26.5593936560564	26.5593936560564	3.0	3.0	LoF
SETD2	1	cbase,mutpanning	mutpanning	2.6261823473206625e-06	4.174956552150797e-07	6.0	17.0	16.0	2.09560444399546	12.703414511840501	12.703414511840501	5.0	2.0	LoF
NF2	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,mutpanning	8.575485256569735e-09	1.3632822715572406e-09	7.0	8.0	7.0	1.62204566910676	50.5247947697491	50.5247947697491	1.0	2.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.0898940271497268e-09	3.322395632904693e-10	8.0	8.0	8.0	0.955090273235524	28.370803520261802	28.370803520261802	1.0	4.0	LoF
KMT2C	1	cbase,mutpanning	mutpanning	0.0001554351628188686	3.611491554253003e-05	9.0	18.0	16.0	3.19200061263784	5.1872623175467805	5.1872623175467805	12.0	1.0	LoF
BAP1	1	dndscv,cbase,mutpanning	dndscv	0.00038299284040061343	0.00012938283775072005	10.0	11.0	10.0	12.3210520682814	0.0	0.0	9.0	0.0	Act
HERC1	1	cbase,mutpanning	cbase	0.00017698410991182274		11.0	11.0	10.0	2.03706960082065	4.50315646713733	4.50315646713733	8.0	2.0	LoF
SRRM2	1	cbase,mutpanning		1.776500610442411e-05		11.0	13.0	12.0	4.1091889739619	5.5427694285883	5.5427694285883	10.0	1.0	LoF
RAI1	1	cbase,mutpanning		0.0018979985422894789		11.0	7.0	5.0	4.27610256828957	12.492598189956801	12.492598189956801	6.0	1.0	LoF
HERC2	1	cbase,mutpanning		0.0001768523051374301		14.0	14.0	14.0	2.73467430057376	2.65115526973852	2.65115526973852	10.0	1.0	ambiguous
WDFY3	1	cbase,mutpanning		0.00015548673591094138		15.0	13.0	12.0	3.24825982331607	5.7847078966298096	5.7847078966298096	10.0	1.0	LoF
MDN1	1	cbase,mutpanning		0.00033169977220294625		15.0	9.0	8.0	0.998045667968146	3.42702826811369	3.42702826811369	5.0	2.0	LoF
USH2A	1	cbase,mutpanning		0.0001834843884697696		17.0	15.0	15.0	3.50411445932189	0.0	0.0	14.0	0.0	Act
FAM91A1	1	dndscv,oncodrivefml,cbase,mutpanning		0.0001446453719650754		18.0	4.0	4.0	2.9520632448840898	32.6999188769566	32.6999188769566	2.0	2.0	LoF
PTEN	1	cbase,mutpanning		3.002106192046765e-05	6.363438766047845e-06	19.0	6.0	6.0	5.681926817876401	48.298749920458796	48.298749920458796	2.0	2.0	LoF
SMARCA4	1	cbase,mutpanning		4.2510668810408346e-05	8.785538220817725e-06	20.0	13.0	12.0	5.02308316179568	5.052243880185482	5.052243880185482	10.0	1.0	ambiguous
SMC6	1	oncodrivefml,cbase,mutpanning		5.164782876819459e-06		21.0	5.0	5.0	3.25057879450164	16.1158943683036	16.1158943683036	3.0	2.0	LoF
HELZ2	1	cbase,mutpanning		0.0014399980347879365		21.0	11.0	10.0	4.39413179427816	0.0	0.0	10.0	0.0	Act
TET1	1	cbase,mutpanning		0.00013435030383433647	3.1066550443744015e-05	23.0	7.0	7.0	3.53562608564511	8.54235864730409	8.54235864730409	5.0	1.0	LoF
NOTCH2	1	cbase,mutpanning		0.00017698410991182274	4.647717725018605e-05	23.0	7.0	6.0	2.6356121909544705	5.961064612271402	5.961064612271402	5.0	1.0	LoF
DNMT3A	1	dndscv,mutpanning		0.003185729598973589	0.002129657104861688	25.0	4.0	4.0	1.2973381752609	23.729203466107396	23.729203466107396	1.0	1.0	LoF
TP53	1	dndscv,oncodrivefml,cbase		0.0007662365125173466	0.0002692685396214805	25.0	5.0	5.0	11.3873124880177	26.4083915577528	26.4083915577528	4.0	1.0	LoF
GPAM	1	oncodrivefml,mutpanning		0.0011548930452931175		27.0	2.0	2.0	1.3151535202300602	21.6307611160586	21.6307611160586	1.0	1.0	LoF
SLC5A12	1	dndscv,hotmaps		0.00017829472302364102		28.0	9.0	9.0	9.529803534888892	0.0	0.0	7.0	0.0	Act
NFE2L2	1	dndscv,hotmaps		0.00014056035094099788	3.1656113224746104e-05	28.0	6.0	6.0	11.846864749610601	0.0	0.0	6.0	0.0	Act
NRAP	1	oncodriveclustl,hotmaps,smregions	smregions	2.6006489811334126e-05		30.0	7.0	5.0	4.93516760887767	0.0	0.0	7.0	0.0	Act
EP400	1	oncodriveclustl,mutpanning		0.00036708046724782684		31.0	8.0	6.0	3.13738188090898	0.0	0.0	7.0	0.0	Act
PFKFB3	1	oncodriveclustl,hotmaps		0.007005558773918935		32.0	4.0	2.0	4.39732082070071	0.0	0.0	3.0	0.0	Act
PIK3CA	1	oncodriveclustl,hotmaps		0.00017698410991182274	4.647717725018605e-05	32.0	4.0	3.0	5.374514638473752	0.0	0.0	4.0	0.0	Act
DSCAM	1	mutpanning		0.00016031988003898469		34.0	6.0	5.0	3.76258751683585	0.0	0.0	6.0	0.0	Act
QRICH2	1	mutpanning		0.016259297363825326		34.0	6.0	6.0	3.09223281032936	8.30488576028473	8.30488576028473	4.0	1.0	LoF
ITPR1	1	mutpanning		0.014807710815366503		34.0	9.0	6.0	2.25446818808904	0.0	0.0	5.0	0.0	Act
ATP10A	1	mutpanning		0.004027484615073183		34.0	6.0	6.0	2.82108078565153	16.400627839740903	16.400627839740903	4.0	0.0	Act
KIF1B	1	mutpanning		0.0001083785012724458		34.0	9.0	8.0	4.29849282322948	9.71529444838689	9.71529444838689	7.0	1.0	LoF
KAT6A	1	mutpanning		0.0004066492003610246	0.0001342264790683416	34.0	5.0	5.0	2.42651793820928	6.43188038735425	6.43188038735425	4.0	1.0	LoF
ZZEF1	1	mutpanning		0.0069487887487024325		34.0	5.0	5.0	0.8741811215089591	4.05466534879207	4.05466534879207	2.0	1.0	LoF
MEGF8	1	mutpanning		0.0012126157148890024		42.0	9.0	8.0	3.2248116013872496	0.0	0.0	8.0	0.0	Act
JAG1	1	mutpanning		0.0031069786727724665		43.0	4.0	4.0	3.04591042729992	9.26856075586101	9.26856075586101	3.0	1.0	LoF
TERT	1	mutpanning		0.0004095904728163916	0.0001374636971446465	44.0	5.0	4.0	4.90600409138817	0.0	0.0	5.0	0.0	Act
DNAH5	3	oncodrivefml,cbase	cbase	0.0002968352149362645		45.0	7.0	7.0	1.47934584014992	5.5958346811008	5.5958346811008	5.0	2.0	LoF
PARD6B	3	dndscv,cbase		0.0008662357674524673		45.0	7.0	7.0	16.1613888344056	0.0	0.0	5.0	0.0	Act
EFNA1	4	hotmaps		0.17767115645876375		45.0	3.0	3.0	17.0935272030645	0.0	0.0	3.0	0.0	Act
RALGAPA1	3	hotmaps		0.018447446398883047		45.0	6.0	6.0	2.24184877243008	0.0	0.0	5.0	0.0	Act
POLR1A	3	oncodrivefml,cbase		0.0022612581453792103		45.0	6.0	6.0	3.85604825329356	7.24650540308942	7.24650540308942	5.0	1.0	LoF
RASGRF1	3	oncodrivefml,cbase		0.013803947260328629		50.0	5.0	5.0	3.76203318352857	9.237571250425331	9.237571250425331	4.0	1.0	LoF
WDR20	3	hotmaps		0.007002723435114229		50.0	9.0	7.0	4.919998252476152	17.237755818527994	17.237755818527994	4.0	1.0	LoF
ANPEP	3	hotmaps		0.009815960810285813		50.0	10.0	7.0	4.52821802586491	0.0	0.0	6.0	0.0	Act
OR4A15	3	dndscv,oncodrivefml		0.012136820276720292		53.0	3.0	2.0	0.0	56.49768835682379	56.49768835682379	0.0	1.0	LoF
TWF2	3	dndscv,oncodrivefml		0.01723587099865167		54.0	6.0	3.0	6.4316998579347695	0.0	0.0	2.0	0.0	Act
DNAJB9	3	oncodriveclustl,dndscv,oncodrivefml		0.001071918705796726		55.0	3.0	3.0	0.0	89.0288075549375	89.0288075549375	0.0	2.0	LoF
SYNE1	3	cbase	cbase	0.0002689594019464208		56.0	17.0	15.0	2.65039807309496	1.44277849654942	1.44277849654942	15.0	1.0	Act
AP2A2	3	cbase		0.0004066492003610246		56.0	5.0	5.0	4.9148084333142315	12.1269907169184	12.1269907169184	4.0	1.0	LoF
CNNM4	3	cbase		0.0002026148304570329		56.0	5.0	5.0	5.9021947193384685	25.323471946795998	25.323471946795998	4.0	1.0	LoF
CENPF	3	cbase		0.004027484615073183		56.0	9.0	9.0	1.91167967849087	6.99337788986714	6.99337788986714	5.0	2.0	LoF
KIAA1109	3	cbase		0.0014498188672138106		56.0	20.0	18.0	3.54017693233646	1.99269419812942	1.99269419812942	16.0	1.0	Act
CSMD1	3	cbase		0.001071918705796726		56.0	6.0	6.0	1.94727129696382	3.67677666010132	3.67677666010132	5.0	1.0	LoF
EIF4G3	3	cbase		0.0015998984417092998		56.0	6.0	3.0	3.81635068192709	6.84951363551772	6.84951363551772	5.0	1.0	LoF
FLG	3	cbase		0.0018979985422894789		63.0	6.0	6.0	1.70325229840903	3.9275493705991695	3.9275493705991695	5.0	1.0	LoF
GBF1	3	cbase		0.014035877387305155		64.0	8.0	8.0	5.01477762817831	0.0	0.0	8.0	0.0	Act
GOLGB1	3	cbase		0.0008956294659734852		65.0	6.0	6.0	2.14950575326824	3.96186493806972	3.96186493806972	5.0	1.0	LoF
PKD1L1	3	cbase		0.0018979985422894789		65.0	5.0	5.0	1.70611514258976	4.04563333083033	4.04563333083033	4.0	1.0	LoF
STAB2	3	cbase		0.0018979985422894789		65.0	3.0	3.0	0.567071330574783	4.5247957246676	4.5247957246676	1.0	1.0	LoF
CCDC57	3	cbase		0.0004066492003610246		68.0	5.0	5.0	6.05932681095116	13.2728005755002	13.2728005755002	4.0	1.0	LoF
PCF11	4	dndscv		0.14690073291788378		69.0	15.0	14.0	7.292197137205192	0.0	0.0	12.0	0.0	Act
FAM20C	3	dndscv		0.0018979985422894789		70.0	6.0	5.0	6.252508047231469	42.0093909476845	42.0093909476845	4.0	1.0	LoF
ACSF2	3	dndscv		0.010281488889500158		71.0	6.0	6.0	10.147420067549099	14.8812994171669	14.8812994171669	6.0	0.0	Act
TMEM176A	4	dndscv		0.08509305649561079		72.0	4.0	4.0	20.8727291611683	0.0	0.0	4.0	0.0	Act
ACTB	4	dndscv		0.07901706237257047		72.0	6.0	6.0	13.576591959584501	0.0	0.0	5.0	0.0	Act
SAV1	3	dndscv		0.009259533271184776		72.0	8.0	7.0	12.4440118847452	27.197891567722	27.197891567722	4.0	1.0	LoF
MUC4	4	oncodriveclustl,dndscv	oncodriveclustl	0.329718185454998	0.6305577788861385	76.0	42.0	32.0	2.0992726420988403	0.0	0.0	27.0	0.0	Act
NR2F2	3	dndscv		0.01678056438968398		77.0	6.0	6.0	8.869002336801492	0.0	0.0	4.0	0.0	Act
OGG1	4	dndscv		0.11493984634997985		77.0	4.0	3.0	5.5194125158749285	0.0	0.0	2.0	0.0	Act
NUTM2F	3	oncodrivefml		0.0001083785012724458		77.0	2.0	2.0	0.0	37.6898167870308	37.6898167870308	0.0	2.0	LoF
OASL	3	dndscv		0.010107819922587243		77.0	5.0	2.0	0.0	27.6041061211724	27.6041061211724	0.0	1.0	LoF
CNDP2	3	dndscv		0.01810073829895448		77.0	5.0	5.0	9.676159303317302	0.0	0.0	4.0	0.0	Act
ARRDC3	4	dndscv		0.19185282208521756		77.0	3.0	3.0	5.424931436449209	0.0	0.0	2.0	0.0	Act
PLXNB2	3	oncodriveclustl,smregions		0.0019461072772902293		77.0	8.0	6.0	3.50364180833182	6.526054907860909	6.526054907860909	6.0	0.0	Act
MTMR14	4	dndscv		0.3410395417756895		77.0	3.0	2.0	1.75114111845446	0.0	0.0	1.0	0.0	Act
VHL	2	dndscv		0.050610884118658286	0.06862622145199669	77.0	4.0	4.0	9.8196552117196	0.0	0.0	2.0	0.0	Act
